GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51013000038,51,013,000038,1614.59,196.79,49.26,3.82
51013000039,51,013,000039,1027.94,203.04,34.64,1.1
51013000040,51,013,000040,2106.75,408.51,78.78,8.75
51013000041,51,013,000041,1793.8,282.73,74.86,7.61
51013000042,51,013,000042,1502,216,52,5
51013000043,51,013,000043,1460,147,21,6
51013000044,51,013,000044,1392,205,51,4
51013000045,51,013,000045,1392.98,204.07,49.29,1.97
51013000046,51,013,000046,2063,358,89,10
51013000047,51,013,000047,1159.9,130.63,33.84,3.15
51013000048,51,013,000048,1277.81,290.61,50.76,6.84
51013000049,51,013,000049,1054,159,50,2
51013000050,51,013,000050,1457.07,345.57,51.83,12.95
51013000051,51,013,000051,487,131,11,2
51013000052,51,013,000052,1341.58,218.56,45.86,8.78
51013000053,51,013,000053,1615,335,54,10
51013000054,51,013,000054,849.2,122.9,47.24,7.71
51015000101,51,015,000101,307.23,526.05,16.79,0.99
51015000102,51,015,000102,320.52,596.65,17.7,0.98
51015000103,51,015,000103,455.92,1102.63,38.39,4.12
51015000201,51,015,000201,398.44,1141.39,29.96,0
51015000202,51,015,000202,217,654.46,9.51,0.86
51015000203,51,015,000203,512.5,1156.42,32.34,5.1
51015000301,51,015,000301,719.18,1616.9,63.84,1.99
51015000302,51,015,000302,148.2,482.69,11.11,0
51015000303,51,015,000303,134.32,637.27,6.96,1.99
51015000304,51,015,000304,196.36,591.36,6.52,0.01
51015000401,51,015,000401,187.11,573.37,15.72,0
51015000402,51,015,000402,215.84,663.83,13.78,0
51015000403,51,015,000403,111,442,6,0
51015000404,51,015,000404,54.38,221.16,5.02,1
51015000405,51,015,000405,403.57,724.69,24.07,0.05
51015000501,51,015,000501,350.19,1041.6,27.94,2
51015000502,51,015,000502,184,530,17,0
51015000503,51,015,000503,159.81,568.4,4.06,0
51015000504,51,015,000504,360,1090,37,4
51015000601,51,015,000601,268,726,15,0
51015000602,51,015,000602,579,1585,33,3
51015000603,51,015,000603,504.08,1044.61,35.29,3.01
51015000801,51,015,000801,321.6,823.71,15.58,2.01
51015000802,51,015,000802,733.68,1344.39,33.65,1.03
51015000803,51,015,000803,645.07,931.22,35.89,1.94
51017000101,51,017,000101,129.08,180.85,5.01,0
51017000102,51,017,000102,18.12,53.19,1.17,1
51017000201,51,017,000201,113,151,1,1
51017000301,51,017,000301,60.42,209.54,3.9,0
51017000302,51,017,000302,18,49,0,0
51017000401,51,017,000401,110.33,256.6,5.76,0
51017000501,51,017,000501,124,238,7,4
51019000101,51,019,000101,332.25,1138.21,23.38,1.94
51019000102,51,019,000102,179.5,484.23,4.11,0.02
51019000103,51,019,000103,277.35,788.74,10.57,0
51019000104,51,019,000104,250,719,12,2
51019000201,51,019,000201,172.19,443.57,6.25,0.01
51019000202,51,019,000202,193.57,552.36,6.84,0
51019000203,51,019,000203,457.4,1122.52,10.99,0
51019000204,51,019,000204,149.82,367.91,6.71,0.95
51019000205,51,019,000205,369.4,937.19,12.52,0.05
51019000301,51,019,000301,349.13,1174.26,38.16,1.91
51019000302,51,019,000302,281.13,790.84,15.32,0.98
51019000303,51,019,000303,168,503,11,0
51019000304,51,019,000304,197,515,12,0
51019000305,51,019,000305,108.11,430.27,11,0
51019000306,51,019,000306,183.34,755.88,10.35,0
51019000401,51,019,000401,447,1275,33,0
51019000402,51,019,000402,303,661,28,0
51019000403,51,019,000403,629.14,1408.26,60.51,2.03
51019000404,51,019,000404,380,1148,20,1
51019000502,51,019,000502,127.04,331.23,4.95,0
51019000503,51,019,000503,141.86,399.79,7.94,0
51019000504,51,019,000504,197.83,633.83,16.02,0
51019000505,51,019,000505,571.53,985.85,33.97,1
51019000506,51,019,000506,615.82,1586.61,48.35,0.01
51019000601,51,019,000601,261.31,738.12,19.11,0
51019000602,51,019,000602,271,790,9,0
51019000603,51,019,000603,71.02,238.15,4.07,0
51019000604,51,019,000604,504.99,963.3,37.86,0.01
51019000701,51,019,000701,366.11,1334.11,27.46,0.09
51019000702,51,019,000702,234.51,600.45,9.8,0
51019000703,51,019,000703,157.31,484.78,10.88,0
51019000704,51,019,000704,685.65,970.68,41.03,0
51021000101,51,021,000101,64.98,255.99,2.95,1.97
51021000102,51,021,000102,67,253,5,0
51021000201,51,021,000201,25,70,2,0
51021000202,51,021,000202,128.02,461.01,9.05,1.03
51021000301,51,021,000301,52,241,6,0
51021000302,51,021,000302,26,136,0,0
51021000401,51,021,000401,141.96,502.25,5.03,0
51023000101,51,023,000101,496.33,917.44,20.75,0
51023000102,51,023,000102,492.48,1342.23,34.23,2.01
51023000201,51,023,000201,444,1153,29,0
51023000202,51,023,000202,471,1194,24,0
51023000301,51,023,000301,395.44,983.27,17.27,2.01
51023000302,51,023,000302,387.69,924.88,33.89,1
51023000403,51,023,000403,239.01,667.49,12.04,0.01
51023000406,51,023,000406,579.34,1293.74,24.47,0.98
51023000501,51,023,000501,335.67,806.56,18.25,1
51023000502,51,023,000502,701,1435,32,6
51025000101,51,025,000101,180,133,5,0
51025000102,51,025,000102,208,277,6,2
51025000103,51,025,000103,222,346,2,0
51025000201,51,025,000201,94,99,2,0
51025000202,51,025,000202,475.85,158.3,3.39,0
51025000203,51,025,000203,334,152,1,1
51025000301,51,025,000301,85.94,71.73,1,0.01
51025000302,51,025,000302,294.62,283.75,2.97,0
51025000303,51,025,000303,149,132,0,0
51025000304,51,025,000304,143,117,2,0
51025000401,51,025,000401,582,324,10,0
51025000402,51,025,000402,246.06,92.27,0,0.99
51025000501,51,025,000501,699.15,204.7,5.61,0
51027000102,51,027,000102,55.3,214.12,0.03,0
51027000103,51,027,000103,85.78,449,4,0
51027000201,51,027,000201,33.71,49.8,0.01,0
51027000202,51,027,000202,114.61,271.18,4.48,0.21
51027000203,51,027,000203,111,258,6,0
51027000301,51,027,000301,134.92,302.88,1.97,0
51027000302,51,027,000302,106.77,277.87,5.55,1.79
51027000403,51,027,000403,178.2,443.98,6.82,0
51027000404,51,027,000404,18.92,40.86,0.99,0
51027000501,51,027,000501,149.7,221.05,2.97,0
51027000502,51,027,000502,72.82,62.52,0.05,0.01
51027000503,51,027,000503,110.33,286.02,2.95,0.98
51027000601,51,027,000601,88,166,0,0
51027000602,51,027,000602,123.37,261.43,1.96,0
51027000603,51,027,000603,133.01,145.54,0.13,0.02
51027000701,51,027,000701,170.84,350.46,3.23,0
51027000702,51,027,000702,103.06,310.28,9.13,0.01
51029000101,51,029,000101,370.29,386.83,11.03,0
51029000102,51,029,000102,99.3,154.9,7.4,1
51029000201,51,029,000201,257.03,291.82,5.97,0.99
51029000301,51,029,000301,276.46,381.68,10.18,1
51029000302,51,029,000302,137.28,299.68,6.03,0
51029000401,51,029,000401,400.95,526.41,10.74,0.98
51029000501,51,029,000501,155.09,291.14,8.29,0.03
51029000502,51,029,000502,332.35,263.86,3.08,1.01
51029000601,51,029,000601,499.91,349.2,14.22,0
51029000701,51,029,000701,274.1,303.79,5.94,0
51031000101,51,031,000101,524.12,1300.27,36.01,4
51031000102,51,031,000102,445.03,1315.11,46,0
51031000201,51,031,000201,408,919,47,6
51031000202,51,031,000202,468,1409,44,2
51031000301,51,031,000301,185,473,6,0
51031000302,51,031,000302,185,468.29,11.77,1
51031000303,51,031,000303,681.89,1000,23.22,0.99
51031000401,51,031,000401,265,863,19,2
51031000402,51,031,000402,487,1525,36,2
51031000501,51,031,000501,477,1357,36,4
51031000502,51,031,000502,384,748,16,1
51031000601,51,031,000601,381.7,784.49,16.04,3
51031000602,51,031,000602,510.67,1264.3,34.04,1
51031000701,51,031,000701,378.39,679.48,13.12,0
51031000702,51,031,000702,429.04,856.59,16.1,0
51031000703,51,031,000703,177,397,10,0
51033000101,51,033,000101,409.69,654.62,14.01,4
51033000102,51,033,000102,324.98,482.59,11.82,1.86
51033000201,51,033,000201,521.78,390.1,10.89,0
51033000202,51,033,000202,547,586,31,0
51033000301,51,033,000301,227.38,259.54,5.48,0
51033000302,51,033,000302,567.2,630.23,18,3
51033000401,51,033,000401,961.76,533,12.39,1.95
51033000402,51,033,000402,296.78,171.97,7.44,0.01
51033000501,51,033,000501,678.22,373.9,14.11,1
51033000502,51,033,000502,371.23,464.82,8.82,1.14
51033000601,51,033,000601,569.41,468.37,27.91,0.02
51033000602,51,033,000602,357,351,18,0
51035000101,51,035,000101,97.54,328.03,1.08,1
51035000102,51,035,000102,114.83,500.25,3,0
51035000103,51,035,000103,64,276,3,1
51035000105,51,035,000105,152.26,427.76,2.07,0
51035000201,51,035,000201,341.65,861.28,15.98,1
51035000202,51,035,000202,106.97,311.18,4.03,0
51035000203,51,035,000203,145.35,456.41,7.8,0
51035000301,51,035,000301,300.56,981.37,17.06,0
51035000302,51,035,000302,108.8,373.68,8.9,0
51035000303,51,035,000303,61.17,232.33,5,0
51035000401,51,035,000401,225,737,12,1
51035000402,51,035,000402,265.81,727.43,14.03,1
51035000406,51,035,000406,43,127,3,0
51035000501,51,035,000501,58,252.34,1.8,0
51035000502,51,035,000502,162.57,684.27,9.27,0.86
51035000503,51,035,000503,106.32,319.35,1.95,0
51035000504,51,035,000504,108.16,447.12,4.05,0.14
51036000101,51,036,000101,565.83,407.43,14.08,0.88
51036000201,51,036,000201,765,293,9,0
51036000301,51,036,000301,698.59,399.84,10.64,0.96
51037000101,51,037,000101,312.3,424.34,5.95,0.99
51037000201,51,037,000201,290.95,416.78,2,0
51037000302,51,037,000302,224,339,11,0
51037000401,51,037,000401,276,437,8,0
51037000501,51,037,000501,248.06,385.74,6.18,2.02
51037000602,51,037,000602,243.61,467.49,8.86,0.98
51037000702,51,037,000702,273.03,318.23,9.88,0.01
51041000101,51,041,000101,643.41,478.95,20.58,0.01
51041000102,51,041,000102,1009.4,910.53,33.13,2.01
51041000103,51,041,000103,1171.45,1338.66,37.11,5.02
51041000104,51,041,000104,936,1321,43,4
51041000105,51,041,000105,904.91,508.95,20,1
51041000106,51,041,000106,1488.95,1076.48,21.92,3.59
51041000107,51,041,000107,1085,827,26,0
51041000108,51,041,000108,1191,1592,41,2
51041000109,51,041,000109,1665,1387,51,2
51041000110,51,041,000110,685.6,706.47,19.87,1.99
51041000111,51,041,000111,766.58,697.72,17.86,1.7
51041000112,51,041,000112,1029,774,22,3
51041000113,51,041,000113,1008.26,882.8,22.55,2.31
51041000201,51,041,000201,816.53,845.41,29.36,0.03
51041000202,51,041,000202,1671,708,38,4
51041000203,51,041,000203,281,318,14,2
51041000204,51,041,000204,832.38,528.16,27.75,1.98
51041000205,51,041,000205,1710.34,642.86,20.16,0.06
51041000206,51,041,000206,1162.1,169.71,10.08,0
51041000207,51,041,000207,630.95,182.83,6.92,0.05
51041000208,51,041,000208,1491,471,17,1
51041000209,51,041,000209,1260,1063,59,6
51041000210,51,041,000210,1951.62,878.38,37.97,2
51041000211,51,041,000211,1103.74,1665.5,45.17,0.94
51041000212,51,041,000212,646.62,603.84,16.25,2.02
51041000213,51,041,000213,1348.46,269.74,16.75,0
51041000214,51,041,000214,247,36,3,0
51041000215,51,041,000215,635,206,4,0
51041000216,51,041,000216,1390.92,277.88,17.27,0
51041000301,51,041,000301,2038.94,387.14,11.99,1.99
51041000302,51,041,000302,400,518,14,0
51041000303,51,041,000303,1323.86,1193.97,18.98,5.99
51041000304,51,041,000304,450.87,998.25,11.65,1.08
51041000305,51,041,000305,223.65,618.68,12.59,0
51041000306,51,041,000306,776.56,1796.65,39.02,6.96
51041000307,51,041,000307,1617,1503,55,5
51041000308,51,041,000308,492.35,319.39,9.92,1
51041000309,51,041,000309,772.09,997.74,33.98,1.36
51041000310,51,041,000310,1095,1189,63,1
51041000313,51,041,000313,1492,1623,69,5
51041000314,51,041,000314,382.01,830.79,9.7,0.92
51041000315,51,041,000315,807.06,1507.14,49.22,3.02
51041000316,51,041,000316,1030.59,1070.46,42.86,5.98
51041000317,51,041,000317,1335,1440,35,3
51041000318,51,041,000318,363,431,7,0
51041000319,51,041,000319,931.7,1206.66,40.95,1.67
51041000401,51,041,000401,777,714,50,1
