GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI
51013000002,51,013,000002,2010.4,380.09,66.71,53.36,17.09,35.98
51013000003,51,013,000003,1106,320,61,52,9,33
51013000004,51,013,000004,1785.73,414.47,128.84,50.94,17.98,44.94
51013000005,51,013,000005,1537.57,339.41,67.87,28.29,8.49,28.29
51013000006,51,013,000006,1433.15,429.22,46.83,39.33,10.2,29.23
51013000007,51,013,000007,1920.27,416.18,80.54,68.15,9.95,44.32
51013000008,51,013,000008,2471.47,571.54,116.95,53.45,15.17,54.29
51013000009,51,013,000009,2390.34,468.65,86.91,55.78,27.54,32.21
51013000010,51,013,000010,2354.31,466.43,101.02,60.32,30.39,47.73
51013000011,51,013,000011,1190.63,333.9,41.99,26.99,6,41.99
51013000012,51,013,000012,1794,429,82,81,10,62
51013000013,51,013,000013,1354.52,324.52,37.53,16.79,11.83,12.85
51013000014,51,013,000014,1471.62,284.34,102.65,33.57,9.88,28.64
51013000015,51,013,000015,1404.92,300.16,60.05,54.52,8.9,36.82
51013000016,51,013,000016,1807.92,387.07,88.8,57.92,11.58,39.58
51013000017,51,013,000017,1904.48,437,79.34,62.36,20.07,30.15
51013000018,51,013,000018,2506.45,502.85,155.62,81.7,19.45,56.41
51013000019,51,013,000019,2259.04,418.71,83.7,45,23.5,54.8
51013000020,51,013,000020,1325.22,435.86,64.64,45.06,19.59,48.97
51013000021,51,013,000021,2135.94,513.68,102.57,105.03,28.72,47.59
51013000022,51,013,000022,2016,352,85,84,13,56
51013000023,51,013,000023,1877,400,61,45,16,46
51013000024,51,013,000024,2260,456,103,72,13,33
51013000025,51,013,000025,1600.68,398.72,56.1,27.71,12.52,22.7
51013000026,51,013,000026,2242.09,401.12,97.77,44.29,25.91,35.1
51013000027,51,013,000027,1703.95,445.32,70.47,55.79,16.64,42.08
51013000028,51,013,000028,2467,417,82,39,26,34
51013000029,51,013,000029,1710.52,361,61.66,65.64,11.93,27.85
51013000030,51,013,000030,2237.38,304.13,68.02,55.93,17.29,26.26
51013000031,51,013,000031,1803,413,55,41,17,47
51013000032,51,013,000032,760.55,249.68,32.65,38.41,5.76,26.89
51013000033,51,013,000033,1453.81,469.2,56.67,42.79,9.53,49.14
51013000034,51,013,000034,1533,405,60,53,16,43
51013000035,51,013,000035,1371.78,638.14,53.36,35.94,18.41,47.03
51013000036,51,013,000036,1861,531,78,34,14,66
51013000037,51,013,000037,1519,467,57,41,17,42
51013000038,51,013,000038,2128.43,318.1,67.58,48.78,28.75,19.71
51013000039,51,013,000039,1074.92,296.4,26.87,22.41,13.33,29.28
51013000040,51,013,000040,2152.46,499.94,136.17,91.43,13.62,52.52
51013000041,51,013,000041,1860.38,352,113.36,54.15,17.71,40.17
51013000042,51,013,000042,1672,347,55,48,22,38
51013000043,51,013,000043,1914,220,21,20,14,6
51013000044,51,013,000044,1546,228,61,44,16,28
51013000045,51,013,000045,1818.86,318.42,71.97,39.43,22.67,11.83
51013000046,51,013,000046,2328,498,131,72,16,49
51013000047,51,013,000047,1313.35,195.15,33.84,36.2,10.23,13.38
51013000048,51,013,000048,1358.35,371.11,67.06,49.6,12.62,28.23
51013000049,51,013,000049,1280,224,78,24,6,30
51013000050,51,013,000050,1628.84,416.93,74.76,52.88,8.01,30.97
51013000051,51,013,000051,586,122,21,6,3,5
51013000052,51,013,000052,1578.68,302.47,47.81,61.47,17.56,25.37
51013000053,51,013,000053,467.06,112.32,22.43,22.97,6.28,10.41
51013000054,51,013,000054,638.62,136.41,27.3,24.75,4.07,16.72
51015000101,51,015,000101,293.12,627.9,23,14.88,2.98,5.05
51015000102,51,015,000102,339.1,805.77,37.32,18.67,3.93,10.8
51015000103,51,015,000103,486.22,1425.12,57.5,34.17,12.59,9.72
51015000201,51,015,000201,388.45,1610.73,60.91,30.96,13.98,7.99
51015000202,51,015,000202,210.08,778.95,38.04,9.51,6.05,6.92
51015000203,51,015,000203,494.51,1480.65,76.59,31.34,14.88,14.01
51015000301,51,015,000301,692.24,1985.96,101.74,41.89,14.96,20.95
51015000302,51,015,000302,127.15,575.3,26.17,13.07,3.02,2.03
51015000303,51,015,000303,132.31,824.11,30.81,7.96,1.99,1.99
51015000304,51,015,000304,174.94,723.22,22.37,9.37,5.37,0.2
51015000401,51,015,000401,199.76,753.56,18.59,8.33,4.66,2.79
51015000402,51,015,000402,179.69,801.71,32.17,9.32,9.95,5.02
51015000403,51,015,000403,126,560,12,6,7,9
51015000404,51,015,000404,36.31,287.39,6.06,1.02,4.02,0.01
51015000405,51,015,000405,389.29,942.74,50,15.56,7.62,10.39
51015000501,51,015,000501,293.32,1289.02,41.9,10.97,2.99,9.98
51015000502,51,015,000502,185,608,25,13,6,4
51015000503,51,015,000503,180.68,684.98,18.1,3.03,1.01,2.02
51015000504,51,015,000504,380,1412,54,18,7,10
51015000601,51,015,000601,258,913,34,18,6,10
51015000602,51,015,000602,587,1991,72,36,11,12
51015000603,51,015,000603,480.91,1253.66,60.65,41.32,13.11,12.16
51015000801,51,015,000801,302.09,1067.93,48.12,20.61,10.38,2.32
51015000802,51,015,000802,711.5,1629.01,85.17,50.65,12.32,14.37
51015000803,51,015,000803,588.8,1161.12,70.81,39.77,18.43,19.4
51017000101,51,017,000101,121.31,268.2,8.14,2.07,0.06,2.93
51017000102,51,017,000102,17.31,77.21,0.31,2.05,3.02,0.07
51017000201,51,017,000201,145,194,12,4,2,3
51017000301,51,017,000301,42.88,282.63,10.72,5.85,1.95,0
51017000302,51,017,000302,22,87,1,0,0,0
51017000401,51,017,000401,128.39,324.94,7.72,3.86,1.92,1.91
51017000501,51,017,000501,123,311,16,4,6,1
51019000101,51,019,000101,344.95,1441.63,45.02,18.52,2.96,12.67
51019000102,51,019,000102,184.54,597.52,15.09,9.98,1.02,6.96
51019000103,51,019,000103,286.67,976.02,46.82,8.63,5.74,5.74
51019000104,51,019,000104,252,933,28,8,5,3
51019000201,51,019,000201,182.4,511.65,21.61,10.26,4.08,6.1
51019000202,51,019,000202,198.46,677.49,19.55,7.82,1.96,2.93
51019000203,51,019,000203,461.39,1407.14,40.95,13.98,13.98,10.99
51019000204,51,019,000204,146.93,426.32,9.62,9.57,0.98,1.93
51019000205,51,019,000205,360.61,1021.96,30.78,11.66,8.13,7.23
51019000301,51,019,000301,112.12,494.97,17.13,11.57,0.44,1.56
51019000302,51,019,000302,303.34,1007.7,26.7,14.1,5.04,5.13
51019000303,51,019,000303,183,620,19,8,1,3
51019000304,51,019,000304,212,626,20,18,1,9
51019000305,51,019,000305,147.1,528.3,15.01,10,2,3
51019000306,51,019,000306,375.86,1661.9,56.81,38.84,1.83,5.35
51019000401,51,019,000401,475,1392,53,43,3,17
51019000402,51,019,000402,325,895,40,36,6,5
51019000403,51,019,000403,610.23,1777.67,71.71,63.66,12.06,10.22
51019000404,51,019,000404,367,1311,33,41,10,1
51019000502,51,019,000502,133.27,416.26,14.97,6.26,1.37,6.3
51019000503,51,019,000503,140.87,488.08,21.82,2.98,3.97,6.94
51019000504,51,019,000504,217.8,715.33,22.09,11.01,2.02,5.04
51019000505,51,019,000505,529.88,1230.23,75.61,16.04,5.97,22.84
51019000506,51,019,000506,573.32,1880.44,78.81,67.98,13.77,12.85
51019000601,51,019,000601,273.26,967.05,23.14,19.04,10.04,7.03
51019000602,51,019,000602,274,1073,33,12,10,6
51019000603,51,019,000603,75.06,284.78,5.17,5.03,3.03,1.02
51019000604,51,019,000604,566.64,1288.74,54.88,22.95,10.97,8.98
51019000701,51,019,000701,317.01,1494.26,31.71,35.7,10.76,8.06
51019000702,51,019,000702,250.17,693.29,13.72,10.76,2.93,4.89
51019000703,51,019,000703,163.25,581.74,25.72,4.95,4.95,2.97
51019000704,51,019,000704,728.7,1200.94,61.04,29.03,10.01,10.01
51021000101,51,021,000101,52.18,329.83,8.86,0.98,4.92,1.97
51021000102,51,021,000102,57,334,9,0,2,1
51021000201,51,021,000201,23,107,1,0,2,0
51021000202,51,021,000202,112.82,592.17,18.14,5.02,1.08,8.03
51021000301,51,021,000301,52,340,7,3,1,1
51021000302,51,021,000302,27,175,4,2,0,0
51021000401,51,021,000401,130.09,699.5,13.09,10.04,6.02,2.03
51023000101,51,023,000101,484.23,1107.67,48.42,17.29,8.65,12.11
51023000102,51,023,000102,451.23,1557.03,62.6,15.24,13.12,13.18
51023000201,51,023,000201,475,1464,60,19,8,8
51023000202,51,023,000202,451,1476,51,24,7,4
51023000301,51,023,000301,419.04,1279.34,45.71,18.27,10.14,3.24
51023000302,51,023,000302,374.74,1201.95,40.86,12.96,10.96,7.97
51023000403,51,023,000403,236.07,852.25,30.12,9.05,9.03,2.01
51023000406,51,023,000406,552.92,1590.27,63.61,25.44,12.72,18.59
51023000501,51,023,000501,362.77,1063.33,28.58,15.71,8.35,1.89
51023000502,51,023,000502,686,1780,66,28,13,16
51025000101,51,025,000101,208,180,4,3,4,1
51025000102,51,025,000102,266,351,9,4,3,0
51025000103,51,025,000103,251,469,14,1,4,0
51025000201,51,025,000201,130,106,2,0,0,0
51025000202,51,025,000202,591.42,217.57,7.72,1.59,3.46,0.52
51025000203,51,025,000203,386,194,5,4,0,0
51025000301,51,025,000301,84.34,84.83,1,1,2,0
51025000302,51,025,000302,359.88,349,5.93,2.97,0,2.97
51025000303,51,025,000303,183,164,2,1,1,0
51025000304,51,025,000304,194,148,4,2,1,0
51025000401,51,025,000401,719,422,7,1,0,3
51025000402,51,025,000402,296.66,105.17,0,0,0,0
51025000501,51,025,000501,807.58,251.43,10.28,8.41,6.54,7.48
51027000102,51,027,000102,60.34,367.88,1.99,1,0.03,0.03
51027000103,51,027,000103,123.94,835,6.06,5.03,3,4
51027000201,51,027,000201,31.63,81.65,2.04,0.01,0,0.01
51027000202,51,027,000202,107.23,514.86,9.74,4.46,1.91,3.94
51027000203,51,027,000203,104,547,8,4,0,2
51027000301,51,027,000301,154.72,589.13,5.95,2.97,1.97,1.97
51027000302,51,027,000302,118.02,482.31,9.35,5.55,8.1,1.07
51027000403,51,027,000403,158.7,710.73,21.42,15.57,1.95,1.95
51027000404,51,027,000404,14.95,62.8,1.99,0.01,0,0
51027000501,51,027,000501,134.83,450.04,9.91,0.99,0.99,0.99
51027000502,51,027,000502,65.61,117.42,1.15,1.04,0.01,0.04
51027000503,51,027,000503,110.23,449.37,10.8,4.91,3.93,3.93
51027000601,51,027,000601,87,305,4,0,0,0
51027000602,51,027,000602,99.87,435.71,6.85,2.94,0,0.98
51027000603,51,027,000603,105.39,287.28,2.27,1.09,1.07,2.21
51027000701,51,027,000701,165.16,590.47,6.63,7.34,1.07,2.02
51027000702,51,027,000702,83.37,497.25,14.25,2.12,0.03,0.04
51029000101,51,029,000101,432.77,482.38,13.78,5.51,0.92,1.84
51029000102,51,029,000102,103.55,188.33,2.5,2.2,1.03,2.07
51029000201,51,029,000201,309.05,315.02,3.01,5,0.01,1
51029000301,51,029,000301,276.79,462.9,11.15,10.71,1.18,11
51029000302,51,029,000302,132.43,392.79,8.93,2.98,1.02,1
51029000401,51,029,000401,428.84,671.06,19.41,11.7,5.81,0.98
51029000501,51,029,000501,168.96,361.38,6.62,4.36,3.17,2.04
51029000502,51,029,000502,326.29,331.32,9.14,8.04,11.05,2.04
51029000601,51,029,000601,599.89,390.94,23.31,1.12,2.04,7.04
51029000701,51,029,000701,349.31,355.25,4.95,6.93,0.99,0.99
51031000101,51,031,000101,487.12,1637.34,53.01,54.01,13,8
51031000102,51,031,000102,465.01,1746.05,77,44,13,9
51031000201,51,031,000201,466,1266,57,50,9,21
51031000202,51,031,000202,471,1769,65,37,5,15
51031000301,51,031,000301,194,615,18,6,0,2
51031000302,51,031,000302,199.13,628,12.77,12.57,2.32,3.2
51031000303,51,031,000303,728.49,1230.75,62.93,16.19,8.11,14.02
51031000401,51,031,000401,239,1072,21,14,5,3
51031000402,51,031,000402,495,1845,67,28,4,15
51031000501,51,031,000501,470,1846,79,60,12,15
51031000502,51,031,000502,411,987,31,19,4,3
51031000601,51,031,000601,448.45,1102.39,46.1,28.04,3.01,0.01
51031000602,51,031,000602,529.11,1527.03,42.12,24.05,11.99,10.06
51031000701,51,031,000701,446.99,834.12,12.87,3.75,6,5
51031000702,51,031,000702,515.04,1119.08,11.11,13.07,4.05,4.03
51031000703,51,031,000703,192,486,12,11,2,7
51033000101,51,033,000101,431.85,786.09,39.02,19.04,7.02,8.04
51033000102,51,033,000102,362.75,611.08,10.33,5.91,6.78,5.24
51033000201,51,033,000201,525.74,537.62,33.66,12.87,8.91,4.95
51033000202,51,033,000202,523,794,49,21,17,0
51033000301,51,033,000301,247.72,407.87,12.84,14.38,7.14,614.02
51033000302,51,033,000302,688.22,844.37,31.01,16.01,13.01,7.57
51033000401,51,033,000401,1099.09,726.34,57,9.1,6.95,0.44
51033000402,51,033,000402,362.69,219.52,13.02,3.71,1.85,5.53
51033000501,51,033,000501,747.26,500.38,21.34,14.13,10.09,4.05
51033000502,51,033,000502,474.67,587.59,17.67,13.4,5.48,3.34
51033000601,51,033,000601,582.44,661.87,54.79,15.92,9.93,4.03
51033000602,51,033,000602,376,521,29,9,5,6
51035000101,51,035,000101,105.83,470.49,7.12,0.07,6.04,1.04
51035000102,51,035,000102,116.83,674,10.98,6.99,2,5.99
51035000103,51,035,000103,79,361,5,6,1,1
51035000105,51,035,000105,135.47,491.82,13.09,5.05,3.04,10.02
51035000201,51,035,000201,348.66,1105.16,25.98,11.99,12.98,5.02
51035000202,51,035,000202,113.25,421.71,8.97,4,3,7.87
51035000203,51,035,000203,176.48,584.29,10.74,5.85,3.9,2.95
51035000301,51,035,000301,377.23,1329.57,25,11.02,8.02,9.04
51035000302,51,035,000302,109.3,514.88,13.65,3.95,2.01,2.04
51035000303,51,035,000303,47.99,277.3,2.29,2.02,1.96,2.91
51035000401,51,035,000401,229,1018,24,8,7,2
51035000402,51,035,000402,255.46,981.99,32.1,13.02,8.02,5
51035000406,51,035,000406,43,173,3,1,0,1
51035000501,51,035,000501,56.31,320.35,7.97,1.77,0.92,0.05
51035000502,51,035,000502,169.46,873.17,15.41,4.86,3.32,9.82
51035000503,51,035,000503,86.09,470.05,5.81,0.97,0.97,0.02
51035000504,51,035,000504,113.56,596.96,9.17,1.58,4.84,3.3
51036000101,51,036,000101,679.35,534.15,29.04,8.8,5.28,5.28
51036000201,51,036,000201,911,378,17,8,4,3
51036000301,51,036,000301,785.5,476.53,16.49,20.29,4.83,4.83
51037000101,51,037,000101,355.93,536.37,20.82,7.93,0.99,0.99
51037000201,51,037,000201,337.96,520.76,9,4,4,0
51037000302,51,037,000302,259,428,14,5,1,1
51037000401,51,037,000401,304,535,23,8,3,5
51037000501,51,037,000501,303.62,489.91,8.35,4.06,0.02,1.04
51037000602,51,037,000602,270.36,571.8,16.71,2.96,0.98,1.96
51037000702,51,037,000702,320.59,392.92,18.86,5.97,0.99,3.94
51041000101,51,041,000101,678.03,748.84,36.42,12.14,4.73,9.33
51041000102,51,041,000102,1105.55,1301.53,78.33,25.13,19.04,21.1
51041000103,51,041,000103,1191.22,1866.51,74.34,18.2,18.07,21
51041000104,51,041,000104,954,1698,93,35,15,7
51041000105,51,041,000105,1135.89,734.93,47,17,17,11
51041000106,51,041,000106,1597.67,1524.74,75.08,33.15,14.29,20.47
51041000107,51,041,000107,1190,1145,64,19,11,17
51041000108,51,041,000108,1191,1919,88,47,17,19
51041000109,51,041,000109,1674,1860,101,28,14,26
51041000110,51,041,000110,709.45,861.47,50.67,19.87,6.96,14.9
51041000111,51,041,000111,721.6,848.89,46.36,16.8,8.19,12.46
51041000112,51,041,000112,1019,985,61,26,6,14
51041000113,51,041,000113,949.29,1079.94,58.97,22.55,10.98,16.77
51041000201,51,041,000201,814.59,1135.33,67.23,15.51,9.23,8.34
51041000202,51,041,000202,1622,888,63,23,13,20
51041000203,51,041,000203,331,469,22,8,5,10
51041000204,51,041,000204,797.7,718.42,51.53,20.81,16.85,14.86
51041000205,51,041,000205,1917.45,826.37,48.1,12.55,22.8,11.61
51041000206,51,041,000206,1245.26,236.11,36.08,12.04,18.06,6.04
51041000207,51,041,000207,713.74,222.2,18.88,4.44,6.63,6.49
51041000208,51,041,000208,1617,648,49,7,13,6
51041000209,51,041,000209,1313,1565,119,27,16,14
51041000210,51,041,000210,1892.66,1133.2,108.92,33.98,20.99,20.99
51041000211,51,041,000211,1033.17,1903.57,107.27,15.06,7.53,10.35
51041000212,51,041,000212,645.3,727.58,33.47,16.19,5.15,5.14
51041000213,51,041,000213,1363.67,353.56,35.01,6.42,10.35,9.85
51041000214,51,041,000214,321,48,11,0,2,3
51041000215,51,041,000215,656,294,27,6,9,2
51041000216,51,041,000216,1406.67,364.24,36.07,6.6,10.67,10.16
51041000301,51,041,000301,2779.13,511.85,36.92,11.99,20.97,30.92
51041000302,51,041,000302,391,659,47,14,5,6
51041000303,51,041,000303,1451.75,1578.64,37.97,13.99,14.99,9.99
51041000304,51,041,000304,445.54,1234.26,34.75,7.82,2.75,5.02
51041000305,51,041,000305,226.56,776.49,30.01,10.65,1.94,6.78
51041000306,51,041,000306,737.47,2230.79,92.82,31.92,11.99,9.96
51041000307,51,041,000307,1337,1781,128,54,23,20
51041000308,51,041,000308,484.38,403.82,31.66,17.74,9.82,7.88
51041000309,51,041,000309,578.16,1147.27,79.29,20.39,5.44,10.87
51041000310,51,041,000310,1042,1442,124,41,16,20
51041000313,51,041,000313,1337,1838,140,48,14,31
51041000314,51,041,000314,376.95,1026.87,29.01,6.53,2.36,4.22
51041000315,51,041,000315,765.88,1841.02,94.71,27.4,13.22,9.18
51041000316,51,041,000316,987.74,1466.15,111.63,42.86,13.95,17.94
51041000317,51,041,000317,1155,1792,87,40,9,9
51041000318,51,041,000318,347,522,20,7,5,2
51041000319,51,041,000319,699.49,1388.25,95.34,24.6,6.54,13.15
51041000401,51,041,000401,646,838,74,18,5,17
51041000402,51,041,000402,711.07,769.35,55.65,16.55,10.53,10.9
51041000403,51,041,000403,1194,1350,127,35,23,31
51041000404,51,041,000404,1203,989,109,34,8,13
51041000405,51,041,000405,1103,1231,116,22,10,7
51041000406,51,041,000406,832,1138,123,30,14,15
51041000407,51,041,000407,606.2,787.51,59.77,24.33,8.16,18.11
51041000408,51,041,000408,1873,1202,113,44,25,17
51041000409,51,041,000409,703,581,41,22,2,6
51041000410,51,041,000410,695,710,57,24,12,8
51041000411,51,041,000411,1079.14,1257.15,125.01,31,15,16
51041000412,51,041,000412,1179.79,1276.49,92.34,27.45,17.47,18.09
51041000413,51,041,000413,1059,974,105,35,28,10
51041000414,51,041,000414,1584,1991,131,35,32,14
51041000415,51,041,000415,1168.38,1370.68,123.02,53.12,26.08,17.26
51041000416,51,041,000416,607.27,558.65,44.21,22.82,3.8,5.79
51041000417,51,041,000417,534.14,608.21,64.71,10.18,10.05,7.1
51041000501,51,041,000501,944.52,752.44,89.45,53.38,18.74,15.39
51041000502,51,041,000502,625.5,637.19,73.02,11.01,18.01,6
51041000503,51,041,000503,923,1333.93,102.98,28.18,4.86,15.54
51041000504,51,041,000504,1427.53,1869.43,169.05,62.28,15.82,25.7
51041000505,51,041,000505,1254.66,1127.9,121.8,40.6,19.81,24.76
51041000506,51,041,000506,1252,1055,141,41,15,16
51041000507,51,041,000507,1213,1855,172,39,6,24
51041000508,51,041,000508,1124,1195,119,25,13,16
51041000509,51,041,000509,877.48,644.56,66.55,26.62,14.26,7.61
51041000510,51,041,000510,1038,1400,152,57,16,26
51041000511,51,041,000511,679.48,939.34,102.48,16.54,6.14,28.22
51041000513,51,041,000513,874.06,333.79,42.25,13.1,13.08,13.05
51041000514,51,041,000514,1155,1578,159,66,24,20
51041000515,51,041,000515,1586.51,393.28,38.04,12.02,17.07,5.02
51041000516,51,041,000516,1020,304,30,17,6,7
51041000517,51,041,000517,307,478,43,11,2,8
51041000518,51,041,000518,993.15,1592.23,127.02,41.55,5.1,26.31
51043000101,51,043,000101,478.62,1075.22,41.13,21.83,9.48,14.21
51043000201,51,043,000201,681.88,709.3,61.08,30.03,15.01,9.03
51043000301,51,043,000301,476.76,704.07,45.74,15.46,6.43,13.87
51043000302,51,043,000302,166.2,270.57,16.43,8.69,2.61,5.22
51043000401,51,043,000401,633.4,972.72,50.46,10.64,8.86,19.5
51043000501,51,043,000501,451.87,678.31,34.91,11.97,10.97,3.99
51043000502,51,043,000502,169.26,256.37,11.88,12.87,1.98,7.92
51045000101,51,045,000101,94.51,460.95,9.82,4.41,4.51,2.1
51045000201,51,045,000201,104.14,520.56,13.21,9.02,2.72,2.52
51045000301,51,045,000301,90.67,225.17,6.97,3.99,1.99,0
51045000303,51,045,000303,70,180,6,4,2,1
51045000401,51,045,000401,37.68,141.52,5.02,5.02,3.35,2.51
51045000402,51,045,000402,16.21,31.71,1.02,0,0,0
51045000403,51,045,000403,54.78,184.27,4.98,0,1,0
51045000501,51,045,000501,73.78,398.08,7.12,3.57,4.43,0.89
51047000101,51,047,000101,1278.14,1399.87,85.43,38.19,29.27,14.12
51047000201,51,047,000201,1286.78,1082.83,60.93,16.96,20.97,13.99
51047000302,51,047,000302,417.41,1067.38,33.79,18.76,14.17,5.48
51047000303,51,047,000303,346.8,737.26,29.85,8.58,10.94,1.44
51047000304,51,047,000304,228.22,301.77,11.15,7.42,4.06,3.56
51047000401,51,047,000401,426.09,953.35,26.62,11.78,15.94,6.89
51047000402,51,047,000402,634.99,1358.11,48.27,27.33,12.63,9.52
51047000501,51,047,000501,623,1324.62,64.22,32.8,10.78,12.11
51047000502,51,047,000502,490.97,1218.74,56.18,25.13,15,10.06
51047000601,51,047,000601,123.76,212.84,7.12,2.49,5.18,0.24
51047000602,51,047,000602,731.75,1198.62,51.09,24,7.06,8.03
51047000603,51,047,000603,302.92,331.91,26.99,14,5,7
51047000702,51,047,000702,488.04,1190.36,49.96,7.65,13.44,13.33
