GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI
51001000101,51,001,000101,502,1285,31,12,8,6
51001000201,51,001,000201,197.65,596.95,14.97,7.99,1,1
51001000202,51,001,000202,342,753,19,5,8,3
51001000301,51,001,000301,808,640,24,5,3,6
51001000401,51,001,000401,155.24,359,9.7,3.88,0.97,0
51001000402,51,001,000402,251.86,535.09,18.16,8.13,6.08,1.04
51001000403,51,001,000403,51.76,176,1.3,3.12,1.03,0
51001000501,51,001,000501,449.35,264.05,12.03,1.01,8,5
51001000502,51,001,000502,436,129,10,5,2,2
51001000601,51,001,000601,541.65,678.54,17.73,14.77,8.86,3.94
51001000602,51,001,000602,31,239,1,1,1,2
51001000701,51,001,000701,915.56,1059.43,41.12,22.1,8.06,15.03
51001000801,51,001,000801,243.33,406.9,14.32,3.15,5.06,4
51001000802,51,001,000802,491.41,422.63,15.95,5.98,0,2.99
51001000803,51,001,000803,156.54,377.25,7.01,2,0,1.01
51001000901,51,001,000901,1167.19,661.41,26.73,11.87,4.94,0.01
51003000101,51,003,000101,1434.2,782.83,96.1,28.92,15.59,25.04
51003000103,51,003,000103,294.93,106.48,12.04,2.78,5.09,2.78
51003000104,51,003,000104,1655.22,586.03,68.51,40.65,32.16,17.62
51003000105,51,003,000105,2020.49,862.35,98.66,81.41,24.01,29.06
51003000106,51,003,000106,1355.74,997.98,114.07,68.06,10.02,18.03
51003000201,51,003,000201,1797.76,1035.57,99.29,61.93,19.89,32.58
51003000202,51,003,000202,2170.33,453.95,169.37,54.42,24.08,22.16
51003000203,51,003,000203,1354.82,382.03,64.31,39.04,19.96,22.68
51003000301,51,003,000301,1980.26,915.07,89.78,50.56,20.84,14.46
51003000302,51,003,000302,1350.9,851.73,66.66,21.54,20.47,22.53
51003000304,51,003,000304,372.03,217.75,22.5,16.07,2.41,3.21
51003000305,51,003,000305,1323.65,695.7,77.01,49.5,22.7,24.85
51003000306,51,003,000306,771.64,527.49,39.83,8.34,24.14,8.7
51003000307,51,003,000307,479.52,333.14,33.35,21.59,7.26,11.42
51003000401,51,003,000401,522.18,661.38,46.29,14.24,13.02,7.14
51003000402,51,003,000402,511.59,595.69,27.62,8.9,11.82,10.84
51003000405,51,003,000405,380.96,144.52,24.05,13.08,5.54,5.75
51003000406,51,003,000406,1048.74,1092.28,81.13,44.52,14.84,21.76
51003000407,51,003,000407,2060.68,711.7,128.93,70.63,29.55,30.48
51003000501,51,003,000501,685.93,524,29.37,11.62,8.87,14.97
51003000502,51,003,000502,620.64,584.25,42.77,20.88,6.98,10.97
51003000503,51,003,000503,1064.71,680.68,73.36,51.64,13.16,22.56
51003000504,51,003,000504,256.88,117.32,17,7.19,3.06,4.11
51003000506,51,003,000506,1303,1038,100,70,23,19
51003000507,51,003,000507,1189.96,570.15,81.36,34.56,13.8,19.42
51003000601,51,003,000601,1753.12,1137.89,131.98,39.16,22.85,26.57
51003000602,51,003,000602,591.79,508.26,29.81,12.69,7.35,10.43
51003000603,51,003,000603,1148.17,1060.93,85.13,44.4,14.86,24.03
51003000604,51,003,000604,1659.44,1041.34,135.79,62.37,11.85,22.89
51003000606,51,003,000606,349.48,221.2,28.09,11.88,2.98,4.94
51005005101,51,005,005101,148.44,545.91,12.7,6.84,1.95,0.98
51005005103,51,005,005103,59.53,219.21,2.09,4.25,0.99,0.14
51005005201,51,005,005201,111.4,307.68,3.06,7.66,0.03,3.82
51005005202,51,005,005202,75.68,205.73,10.1,1.61,0,1.07
51005005301,51,005,005301,77.03,327.85,6.58,0,0.94,0
51005005302,51,005,005302,194,483,21,2,1,1
51005005401,51,005,005401,220.97,551.76,21.23,7.69,2.09,1.96
51005005402,51,005,005402,156.12,497.18,14.97,12.88,3.96,1
51005005501,51,005,005501,115,166,10,3,1,1
51005005502,51,005,005502,207.06,592.26,17.01,7.01,7,0
51005005601,51,005,005601,439,565,29,6,7,1
51005005701,51,005,005701,358,398,16,10,9,5
51007000101,51,007,000101,383.37,812.87,29.37,9.83,2.97,1.98
51007000201,51,007,000201,494.99,1053.42,29.51,13.35,3,8.44
51007000301,51,007,000301,350.05,1000.53,25.01,1.17,1,5.03
51007000401,51,007,000401,344.15,926.27,25.57,10.82,0.98,6.88
51007000501,51,007,000501,579.32,1013.42,25.61,7.09,4.03,1.13
51009000101,51,009,000101,605.99,462.59,13.89,5.96,1,1.99
51009000102,51,009,000102,476.19,857.75,23.19,18.94,6.02,6.96
51009000103,51,009,000103,135,528,15,11,2,2
51009000201,51,009,000201,806.04,1200,60.28,29.14,16.03,12.04
51009000202,51,009,000202,239.14,629.88,15.02,8.58,4.28,6.99
51009000301,51,009,000301,238.96,629,21.72,10.86,1.97,2.96
51009000302,51,009,000302,513.77,1511.19,37.73,12.86,8.67,13.89
51009000303,51,009,000303,121.9,341.91,11.89,1.98,1.98,2.97
51009000401,51,009,000401,792,1594,57,28,16,14
51009000402,51,009,000402,216,414,9,10,0,5
51009000501,51,009,000501,916.54,1521.74,53.08,22.09,7.01,10.04
51011000101,51,011,000101,106.82,455.1,10.41,3.8,3.79,1.9
51011000102,51,011,000102,304.56,764.65,14.33,8.11,6.12,4.05
51011000201,51,011,000201,158,224,6,4,6,1
51011000202,51,011,000202,206.28,952.78,18.5,1.85,0.93,5.55
51011000301,51,011,000301,192.26,657.35,10.47,7.14,3.07,8.43
51011000302,51,011,000302,227.7,663.21,15.91,8.95,1,8.94
51011000401,51,011,000401,354.75,983.29,39.16,10.06,8.06,15.04
51011000501,51,011,000501,326.99,740.92,17.52,3.28,0.07,8.33
51011000502,51,011,000502,155.39,278.96,4.54,3.27,2.07,3.34
51013000001,51,013,000001,1965,315,33,25,21,22
