GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,G20USSDWAR,G20USSRGAD,G20USSOWRI
51001000101,51,001,000101,838,1614,17,0,913,1561,0
51001000201,51,001,000201,324,662,2,0,355,642,0
51001000202,51,001,000202,514,1090,9,0,543,1050,0
51001000301,51,001,000301,1014,670,7,0,1004,640,0
51001000401,51,001,000401,295,446,2,0,295,431,0
51001000402,51,001,000402,382,595,2,0,464,557,0
51001000403,51,001,000403,136,244,0,0,165,220,1
51001000501,51,001,000501,482,223,1,0,453,227,0
51001000502,51,001,000502,367,128,2,0,347,130,0
51001000601,51,001,000601,403,558,7,0,437,549,0
51001000602,51,001,000602,81,315,5,0,139,302,0
51001000701,51,001,000701,477,773,17,1,506,771,0
51001000801,51,001,000801,275,349,1,0,301,333,0
51001000802,51,001,000802,504,440,7,1,517,421,0
51001000803,51,001,000803,218,421,8,0,271,405,0
51001000901,51,001,000901,1237,669,7,0,1211,654,0
51003000101,51,003,000101,1903,727,45,23,1920,710,0
51003000103,51,003,000103,747,206,13,5,718,204,0
51003000104,51,003,000104,1798,503,53,1,1815,487,5
51003000105,51,003,000105,1864,646,69,16,1872,666,0
51003000106,51,003,000106,2224,1297,43,10,2323,1237,5
51003000201,51,003,000201,1824,863,46,12,1770,899,1
51003000202,51,003,000202,1759,205,18,29,1600,263,3
51003000203,51,003,000203,2052,366,30,13,1996,365,1
51003000301,51,003,000301,2365,928,41,22,2361,936,0
51003000302,51,003,000302,2084,1105,16,7,2116,1071,0
51003000304,51,003,000304,490,165,9,10,477,174,0
51003000305,51,003,000305,1252,569,27,20,1308,551,4
51003000306,51,003,000306,1735,851,23,5,1727,809,4
51003000307,51,003,000307,1188,625,33,8,1179,613,0
51003000401,51,003,000401,886,987,20,0,1005,939,2
51003000402,51,003,000402,641,664,19,6,784,627,1
51003000405,51,003,000405,1415,534,55,9,1457,538,1
51003000406,51,003,000406,1085,1049,33,14,1225,1013,0
51003000407,51,003,000407,1004,285,18,6,941,298,0
51003000501,51,003,000501,1259,734,19,3,1232,730,0
51003000502,51,003,000502,1018,709,17,9,1017,721,0
51003000503,51,003,000503,1949,665,33,11,1916,685,0
51003000504,51,003,000504,1138,398,27,1,1077,400,0
51003000506,51,003,000506,1624,1049,70,6,1693,1063,0
51003000507,51,003,000507,532,275,18,12,508,297,0
51003000601,51,003,000601,1512,1142,36,2,1620,1112,0
51003000602,51,003,000602,1112,758,10,1,1101,747,0
51003000603,51,003,000603,1644,1286,20,5,1595,1300,0
51003000604,51,003,000604,1366,824,33,16,1426,820,0
51003000606,51,003,000606,1186,603,40,9,1174,619,0
51005005101,51,005,005101,150,702,0,0,220,622,0
51005005103,51,005,005103,61,294,1,0,107,248,0
51005005201,51,005,005201,99,376,0,0,133,337,0
51005005202,51,005,005202,80,240,5,0,107,211,0
51005005301,51,005,005301,58,434,2,0,100,390,1
51005005302,51,005,005302,215,584,0,0,275,513,0
51005005401,51,005,005401,187,621,6,0,248,549,1
51005005402,51,005,005402,143,461,3,0,198,391,0
51005005501,51,005,005501,138,218,2,0,162,193,0
51005005502,51,005,005502,275,772,3,0,345,680,0
51005005601,51,005,005601,444,687,9,0,492,609,0
51005005701,51,005,005701,372,453,17,0,420,382,0
51007000101,51,007,000101,399,1074,12,0,459,1038,0
51007000201,51,007,000201,524,1226,20,0,570,1203,0
51007000301,51,007,000301,434,1087,8,0,451,1060,0
51007000401,51,007,000401,319,872,6,0,355,848,0
51007000501,51,007,000501,755,1257,11,1,749,1238,1
51009000101,51,009,000101,800,605,11,0,786,570,0
51009000102,51,009,000102,404,972,6,0,478,918,0
51009000103,51,009,000103,239,638,25,6,297,620,1
51009000201,51,009,000201,687,1101,28,1,744,1056,0
51009000202,51,009,000202,295,887,3,0,355,828,0
51009000301,51,009,000301,285,707,8,1,315,691,0
51009000302,51,009,000302,665,1764,18,0,744,1715,0
51009000303,51,009,000303,218,509,4,0,268,468,0
51009000401,51,009,000401,818,1677,43,6,931,1600,0
51009000402,51,009,000402,221,496,10,0,232,488,0
51009000501,51,009,000501,1038,1652,61,5,1110,1615,0
51011000101,51,011,000101,127,580,2,3,141,555,0
51011000102,51,011,000102,353,942,8,0,374,884,0
51011000201,51,011,000201,264,311,2,0,272,289,0
51011000202,51,011,000202,251,1121,12,0,310,1054,0
51011000301,51,011,000301,165,688,11,1,210,655,0
51011000302,51,011,000302,209,902,2,0,241,862,0
51011000401,51,011,000401,406,861,43,0,471,809,0
51011000501,51,011,000501,423,904,6,3,479,831,0
51011000502,51,011,000502,233,413,9,0,247,388,0
51013000001,51,013,000001,2996,484,24,0,3112,435,0
51013000002,51,013,000002,2240,434,47,14,2065,571,0
51013000003,51,013,000003,696,185,35,13,675,257,0
51013000004,51,013,000004,2590,523,38,27,2464,672,0
51013000005,51,013,000005,2264,417,23,35,2293,472,2
51013000006,51,013,000006,1381,363,19,17,1415,399,2
51013000007,51,013,000007,2323,584,33,12,2116,723,1
51013000008,51,013,000008,2815,559,41,33,2691,683,2
51013000009,51,013,000009,2333,442,31,18,2307,499,0
51013000010,51,013,000010,2202,515,16,22,2198,580,0
51013000011,51,013,000011,1254,427,14,18,1220,506,0
51013000012,51,013,000012,2213,522,66,23,2137,652,5
51013000013,51,013,000013,1964,474,20,6,2099,456,4
51013000014,51,013,000014,1511,329,35,21,1414,420,2
51013000015,51,013,000015,1705,299,26,2,1564,371,1
51013000016,51,013,000016,1937,382,24,48,1736,547,1
51013000017,51,013,000017,1725,518,17,53,1661,633,0
51013000018,51,013,000018,1800,494,48,33,1686,640,2
51013000019,51,013,000019,1911,472,46,20,1872,562,0
51013000020,51,013,000020,1170,376,38,20,1071,488,0
51013000021,51,013,000021,624,165,8,14,578,218,0
51013000022,51,013,000022,2329,516,54,38,2211,644,7
51013000023,51,013,000023,2440,517,24,14,2383,605,0
51013000024,51,013,000024,2045,462,33,16,1998,541,0
51013000025,51,013,000025,2410,431,30,19,2372,512,0
51013000026,51,013,000026,2636,489,51,14,2666,551,5
51013000027,51,013,000027,2143,414,34,13,2108,482,2
51013000028,51,013,000028,3245,520,61,28,3252,593,3
51013000029,51,013,000029,1864,399,49,11,1831,491,7
51013000030,51,013,000030,3403,396,25,8,3435,414,0
51013000031,51,013,000031,2066,412,22,14,1915,534,0
51013000032,51,013,000032,787,249,19,14,790,291,5
51013000033,51,013,000033,1400,525,32,19,1324,650,0
51013000034,51,013,000034,1221,462,21,17,1137,576,0
51013000035,51,013,000035,941,478,22,24,931,568,0
51013000036,51,013,000036,1939,450,59,26,1921,571,0
51013000037,51,013,000037,1440,477,37,15,1426,581,0
51013000038,51,013,000038,2542,332,29,22,2557,358,7
51013000039,51,013,000039,1338,366,21,11,1351,389,0
51013000040,51,013,000040,2358,572,57,29,2231,741,0
51013000041,51,013,000041,1153,321,31,31,1129,390,9
51013000042,51,013,000042,2102,340,34,17,2040,412,0
51013000043,51,013,000043,3648,390,2,5,3846,299,5
51013000044,51,013,000044,1665,340,30,28,1595,428,7
51013000045,51,013,000045,2295,376,25,15,2247,426,0
51013000046,51,013,000046,2399,521,56,24,2270,642,4
51013000047,51,013,000047,1723,236,13,13,1744,253,2
51013000048,51,013,000048,883,263,26,19,831,340,3
51013000049,51,013,000049,1843,295,40,18,1739,375,0
51013000050,51,013,000050,2103,490,27,14,2065,542,1
51013000051,51,013,000051,959,196,11,12,918,233,0
51013000052,51,013,000052,2122,344,39,16,2131,418,0
51013000053,51,013,000053,2963,549,36,48,2887,663,9
51013000054,51,013,000054,1134,188,24,5,1093,232,2
51015000101,51,015,000101,364,716,10,4,368,700,1
51015000102,51,015,000102,621,1068,21,6,638,1025,1
