GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMUR,G18USSRCOR,G18USSLLIO,G18USSGRUS,G18USSOWRI,G18GOVDLAM,G18GOVRSTE,G18GOVLHAN,G18GOVOGRI,G18GOVOGRE,G18GOVOWRI,G18ATGDTON,G18ATGRHAT,G18ATGGGOS,G18SOSDMER,G18SOSRCHA,G18SOSLGWY,G18SOSGDER,G18TREDWOO,G18TRERGRA,G18TRELBRO,G18TREOWRI,G18COMDLEM,G18COMRMIL,G18COMLPAS,G18COMGHEF
0900101-126,09,001,01-126,1668.79,1895.42,21.47,14,0,1312.27,2266.85,11.2,66.27,1.87,0,1414,2126.87,24.27,1491.46,2021.41,28,27.07,1456.94,2038.2,33.6,0,1483.03,2013.97,28.94,14.94
0900101-127,09,001,01-127,1692,2405,17,13,0,1305,2776,12,76,4,0,1346,2670,6,1472,2525,27,38,1417,2571,41,0,1375,2594,36,31
0900101-128,09,001,01-128,980.05,839.91,12.01,6.03,0,878.3,930.63,6.06,29.12,0.04,0,871.73,927.26,18.01,907.4,888.87,13.3,15.16,893.64,901.18,16.05,0,891.61,891.25,15.05,13.02
0900101-129,09,001,01-129,421.06,169.9,4.46,1.71,0,378.88,218.76,3.6,4.97,0.86,0,385.23,200.07,4.11,379.23,199.56,4.8,6.17,367.74,209.67,6.69,0,366.37,201.1,6.51,6.69
0900101-130,09,001,01-130,1126,333,13,7,0,1085,386,4,9,1,0,1043,350,19,1059,375,12,11,1028,360,17,0,1015,348,9,16
0900101-131,09,001,01-131,1228.09,489.43,11.74,9.93,0,1130.57,606.82,8.13,18.06,1.81,0,1151.34,536.39,11.74,1140.5,549.93,10.84,14.45,1117.93,564.38,11.74,0,1113.41,533.68,17.16,10.84
0900101-132,09,001,01-132,131.91,52.57,1.26,1.07,0,121.43,65.18,0.87,1.94,0.19,0,123.66,57.61,1.26,122.5,59.07,1.16,1.55,120.07,60.62,1.26,0,119.59,57.32,1.84,1.16
0900101-133,09,001,01-133,1019,269,7,6,0,950,337,5,13,2,0,959,300,10,955,293,12,10,947,299,11,0,934,286,16,9
0900101-134,09,001,01-134,651.01,228.58,4.84,7.91,0,606.61,280.45,3.96,10.11,1.76,0,610.13,255.83,7.91,607.49,255.39,3.52,11.87,596.5,271.66,7.03,0,592.54,254.51,7.47,10.55
0900101-135,09,001,01-135,829.99,291.42,6.16,10.09,0,773.39,357.55,5.04,12.89,2.24,0,777.87,326.17,10.09,774.51,325.61,4.48,15.13,760.5,346.34,8.97,0,755.46,324.49,9.53,13.45
0900101-136,09,001,01-136,912.62,293.39,11.89,5.93,0,867.5,352.02,6.23,9.76,0.79,0,867.74,333.11,4.95,863.82,321.63,9.94,12.68,844.24,339.82,9.49,0,841.45,332.34,11.46,9.06
0900101-137,09,001,01-137,296.15,95.45,3.88,1.94,0,281.7,114.41,2,3.17,0.25,0,281.74,108.38,1.55,280.49,104.47,3.21,4.14,274.23,110.36,3.02,0,273.4,107.92,3.7,2.94
0900101-138,09,001,01-138,2205.23,657.16,23.22,11.13,0,2056.8,813.58,20.77,22.06,2.96,0,2064.52,744.51,24.5,2050.69,756.9,27.85,26.18,1982.52,802.82,35.5,0,1960.15,786.74,31.84,22
0900101-140,09,001,01-140,209,62,0,2,0,198,81,0,3,0,0,206,71,1,196,69,1,5,195,75,0,0,197,68,4,2
0900101-141,09,001,01-141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900101-142,09,001,01-142,1276,304,12,5,0,1218,389,5,10,1,0,1184,358,9,1174,358,4,14,1174,367,5,0,1159,352,11,11
0900101-143,09,001,01-143,2563,373,27,13,0,2496,482,14,9,5,0,2471,430,21,2469,417,17,29,2464,443,15,0,2427,428,22,21
0900101-144,09,001,01-144,763,248,11,4,3,717,299,5,10,0,0,710,281,4,709,284,3,4,695,294,6,0,693,278,6,6
0900101-145,09,001,01-145,59.27,24.56,0.55,0.32,0,53.88,29.87,0.63,0.95,0.08,0,57.68,25.91,0.95,55.46,25.67,1.03,1.35,54.2,28.29,0.95,0,54.36,26.78,1.43,0.55
0900101-146,09,001,01-146,688.73,285.44,6.45,3.68,0,626.12,347.13,7.37,11.05,0.92,0,670.32,301.09,11.05,644.54,298.33,11.97,15.65,629.8,328.71,11.05,0,631.64,311.22,16.57,6.45
0900101-147,09,001,01-147,1364,785,14,10,0,1245,927,5,16,4,0,1291,831,27,1249,854,8,25,1226,888,21,0,1219,860,23,21
0900101-148,09,001,01-148,1879,856,15,7,0,1663,1083,14,42,0,0,1769,939,23,1690,967,16,27,1674,992,34,0,1657,966,38,18
0900101-149,09,001,01-149,1733.09,698.94,20.14,11.08,1,1596.04,855.98,11.08,27.25,2.02,0,1718.52,744.91,15.08,1617.87,770.79,19.14,21.12,2036.69,803.33,24.19,0,1614.01,781.82,17.17,16.1
0900101-150,09,001,01-150,1015,674,9,3,0,903,794,3,28,1,0,977,688,8,926,717,10,14,894,743,6,0,894,715,18,4
0900101-151,09,001,01-151,1623.38,1033.11,9.57,10.18,0,1427.6,1247.08,3.36,19.69,2,0,1554.58,1102.48,7.72,1465.14,1152.06,7.45,17.61,1435.05,1193.68,8.7,0,1443.09,1163.57,5.94,10.42
0900101-152,09,001,01-152,1153,694,11,12,0,1044,827,7,16,0,0,1127,724,8,1071,751,5,21,1050,781,7,0,1044,758,13,9
0900101-153,09,001,01-153,1320,993,10,4,0,1147,1184,4,22,1,0,1294,953,11,1168,1086,11,15,1107,1075,20,0,1132,1037,21,9
0900101-154,09,001,01-154,544.34,352.22,2.6,0.87,0,486.36,411.93,3.46,6.92,0.87,0,531.36,358.28,4.33,486.36,392.9,6.06,3.46,475.11,401.55,6.06,0,476.84,387.7,11.25,4.33
0900101-155,09,001,01-155,84.66,54.78,0.4,0.13,0,75.64,64.07,0.54,1.08,0.13,0,82.64,55.72,0.67,75.64,61.1,0.94,0.54,73.89,62.45,0.94,0,74.16,60.3,1.75,0.67
0900101-156,09,001,01-156,1470.51,782.48,13.8,5.09,0,1291.06,968.47,7.27,16.71,0,0,1434.18,810.81,21.07,1331.01,886.37,8.72,18.89,1285.97,924.15,15.98,0,1284.52,900.18,22.52,11.62
0900101-157,09,001,01-157,506.24,269.38,4.75,1.75,0,444.46,333.41,2.5,5.75,0,0,493.74,279.13,7.25,458.22,305.15,3,6.5,442.71,318.15,5.5,0,442.21,309.9,7.75,4
0900101-158,09,001,01-158,868,484,7,1,0,750,594,4,16,0,0,820,525,7,775,552,6,8,742,586,6,0,752,561,9,4
0900101-159,09,001,01-159,1234.24,901.87,11.4,6.13,0,1011.35,1108.67,11.33,45.98,0.03,0,991.11,1044.94,15.43,1101.63,997.18,18.49,10.35,1068.8,1015.92,24.59,0,1067.16,1022.99,16.57,7.48
0900101-160,09,001,01-160,805.16,471.46,10.63,5.27,1,702,568.13,5.63,32.52,1.18,0,706.38,519.36,14.72,746.6,507.13,11.45,11.89,737.29,517.9,17.81,0,727.48,519.17,18.99,11.54
0900101-161,09,001,01-161,1270.45,179.83,6.8,0.97,0,1210.18,249.81,7.78,10.69,0.97,0,1145.06,209.96,7.78,1191.72,212.88,11.66,6.8,1224.76,187.6,13.61,0,1204.35,197.32,12.64,5.83
0900101-162,09,001,01-162,493.4,241.39,6.51,2.79,0,443.71,292.63,6.52,15.92,1.85,0,454.36,252.73,7.43,460.9,255.51,4.71,9.24,462.24,258.7,8.4,0,454.74,260.73,10.16,5.6
0900101-163,09,001,01-163,921.31,326.48,5.81,6.78,0,816.68,430.14,8.72,24.22,0.97,0,817.65,389.45,10.66,851.55,368.13,7.75,7.75,850.58,358.45,13.56,0,833.15,371.04,10.66,10.66
0900101-164,09,001,01-164,945.9,634,9.26,3.7,0,789.49,778.38,11.11,35.17,0.93,0,810.77,729.33,11.11,877.41,683.05,9.26,12.03,873.71,685.83,14.81,0,853.35,712.67,12.03,7.4
0900101-165,09,001,01-165,1353,918,16,10,0,1113,1149,12,50,2,0,1117,1025,23,1208,1028,18,12,1184,1049,22,0,1145,1088,17,12
0900101-166,09,001,01-166,1382.96,1125.88,16.04,5.06,0,1160.4,1339.29,10.07,41.48,0,0,1195.23,1187.25,11.11,1253.97,1215.37,12.14,8.18,1258.56,1198.75,20.18,0,1208.53,1235.78,18.17,12.1
0900101-167,09,001,01-167,831.19,709.14,8,9,0,662.16,868.18,10,15,2,3,676.16,788.16,12,728.17,783.16,9,14,716.17,791.16,17,0,705.17,813.16,8,7
0900101-168,09,001,01-168,1190.81,898.86,3,8,0,990.84,1104.82,3,28,0,0,996.84,990.84,9,1076.83,981.84,5,19,1071.83,989.84,15,0,1046.83,999.84,15,15
0900101-171,09,001,01-171,2094.31,2059.13,19.02,9.01,0,1689.88,2441.56,17.01,68.07,3,0,1799.96,2319.43,14.02,1841.06,2257.32,23.02,19.02,1795.98,2286.37,29.04,0,1797.98,2266.37,29.03,21.02
0900101-172,09,001,01-172,474.79,433.98,4.98,2.99,0,371.27,528.54,6.97,12.94,1.99,0,399.14,504.65,7.96,403.12,487.73,8.96,9.95,409.1,491.71,7.96,0,397.15,486.73,9.95,7.96
0900101-173,09,001,01-173,1488.02,1091.14,11.01,18,0,1255.72,1326.4,7.03,51.02,3.01,0,1300.81,1247.35,22.02,1338.8,1195.31,13.03,29.02,1332.83,1200.33,18.02,0,1310.8,1191.31,26.03,23.02
0900101-174,09,001,01-174,2155.93,1987.21,23.02,10.02,0,1754.28,2383.9,12.02,62.09,1,0,1828.51,2267.58,20.03,1919.51,2161.52,21.03,22.04,1848.73,2209.53,38.05,0,1844.49,2209.46,32.08,17.02
0900101-175,09,001,01-175,2676.75,2290.65,18.96,11.97,0,2212.84,2768.54,11.97,66.84,2,0,2342.53,2574.99,19.95,2387.43,2504.16,22.95,25.94,2446.29,2530.09,39.91,0,2343.53,2497.17,47.89,14.97
0900101-176,09,001,01-176,1367,666,7,6,0,1149,882,7,13,1,0,1230,787,12,1243,770,10,5,1201,808,16,0,1209,792,13,9
0900101-177,09,001,01-177,2117,942,9,6,0,1777,1255,6,33,3,0,1885,1122,16,1895,1101,14,15,1824,1176,21,0,1838,1139,19,16
0900101-178,09,001,01-178,1126.31,510.31,7.89,1.58,0,944.9,690.14,2.37,13.41,0.79,0,1022.19,589.97,6.31,1000.11,600.22,8.68,6.31,966.19,634.14,13.41,0,977.24,607.32,13.41,4.73
0900101-179,09,001,01-179,301.03,136.39,2.11,0.42,0,252.54,184.45,0.63,3.58,0.21,0,273.2,157.68,1.69,267.3,160.42,2.32,1.69,258.24,169.49,3.58,0,261.19,162.32,3.58,1.26
0900101-180,09,001,01-180,1121.79,455.77,3.07,2.56,0,960.15,609.75,1.53,11.25,0.51,0,1012.83,534.04,6.65,1006.18,540.69,4.09,5.12,962.19,582.63,5.12,0,983.16,553.48,7.16,5.12
0900101-181,09,001,01-181,1406.2,563.96,11.7,4.31,0,1165.47,794.22,6.77,17.24,1.23,0,1267.06,683.4,7.39,1259.05,678.47,14.16,5.54,1206.72,727.73,16.62,0,1222.73,701.25,16.01,8
0900101-182,09,001,01-182,849,333,3,1,0,718,460,4,14,0,0,764,391,8,749,406,3,10,720,430,6,0,725,417,6,5
0900101-183,09,001,01-183,190.87,83.35,1.06,0.45,0,153.27,120.8,0.6,1.36,0.15,0,166.4,104.64,1.06,168.06,101.02,1.36,1.21,161.87,108.42,1.36,0,164.14,103.59,1.21,1.06
0900101-184,09,001,01-184,1119,437,4,4,0,988,569,4,10,0,0,1021,502,6,1009,507,5,9,982,539,7,0,982,525,9,5
0900101-185,09,001,01-185,286.95,134.99,1.58,0.39,0,234.45,184.32,1.97,5.13,0,0,246.29,163.01,1.97,248.66,161.43,2.76,0.79,238.79,168.14,4.34,0,240.77,164.59,2.76,1.97
0900101-186,09,001,01-186,1795,1240,16,3,0,1435,1587,15,38,0,0,1575,1428,16,1545,1431,28,20,1480,1494,33,0,1500,1471,27,13
0900101-187,09,001,01-187,2039.32,1347.59,14.02,14.01,0,1654.9,1723.99,8.01,39.03,1,0,1812.03,1543.85,20.02,1765.02,1580.83,18.03,16.02,1692.91,1649.91,23.04,0,1712.94,1597.87,23.04,21.02
0900101-188,09,001,01-188,1619.65,1110.31,11.82,6.9,0,1324.1,1393.06,8.87,24.63,2.96,0,1417.69,1288.63,15.76,1407.84,1277.79,19.7,14.78,1336.9,1336.9,27.59,0,1356.61,1302.42,24.63,14.78
0900101-189,09,001,01-189,549.69,136.2,1,5,0,526.67,162.27,1,10,0,0,520.73,149.24,4,526.67,143.26,7,8,529.65,135.27,8,0,518.69,137.24,7,9
0900101-190,09,001,01-190,510.21,177.98,5.93,2.97,0,482.52,228.41,4.94,10.88,2.97,0,474.61,196.77,4.94,470.65,207.64,6.92,3.96,475.6,204.68,6.92,0,468.68,201.71,5.93,6.92
0900101-191,09,001,01-191,1071.21,435.23,2.93,2.44,0,916.85,582.25,1.47,10.75,0.49,0,967.17,509.96,6.35,960.82,516.31,3.91,4.88,918.81,556.37,4.88,0,938.84,528.52,6.84,4.88
0900101-192,09,001,01-192,440.05,207.01,2.42,0.61,0,359.55,282.68,3.03,7.87,0,0,377.71,249.99,3.03,381.34,247.57,4.24,1.21,366.21,257.86,6.66,0,369.23,252.41,4.24,3.03
0900101-193,09,001,01-193,2034.94,821.1,21.54,8.29,0,1831.12,1057.24,17.4,24.03,4.14,0,1861.77,966.93,19.89,1832.77,964.44,23.2,29.83,1777.26,1013.33,32.31,0,1770.63,971.9,31.49,32.31
0900101-194,09,001,01-194,275.05,142.27,3.79,1.9,0,235.21,175.46,1.9,12.33,0,0,246.59,146.06,3.79,268.41,148.9,2.85,2.85,254.18,157.44,3.79,0,253.23,153.65,3.79,5.69
0900101-195,09,001,01-195,146,41,5,1,0,135,58,1,3,1,0,135,48,3,146,46,2,1,142,47,3,0,140,48,3,1
0900101-196,09,001,01-196,209.69,122.52,4.19,1.22,0,186.32,142.86,4.28,11.78,1.03,0,184.35,141.55,2.34,195.45,127.87,2.25,5.25,202.42,129.55,2.44,0,188.85,132.96,3.34,5.34
0900101-197,09,001,01-197,368.92,209.01,3.68,0.27,0,313.87,259.24,1.8,13.51,0.08,0,305.39,237.62,5.81,340.02,225.46,2.66,6.88,330.77,236.67,6.07,0,329.32,240.53,2.89,3.54
0900101-198,09,001,01-198,624,498,1,0,0,534,580,4,13,0,0,514,549,1,559,543,8,1,560,536,6,0,537,563,5,2
0900101-199,09,001,01-199,1073.8,468.95,5.95,2.55,0,862.29,679.61,3.4,7.65,0.85,0,936.2,588.7,5.95,945.53,568.33,7.65,6.8,910.7,609.96,7.65,0,923.44,582.77,6.8,5.95
0900101-200,09,001,01-200,877.8,352.04,7.3,2.69,0,727.53,495.78,4.23,10.76,0.77,0,790.95,426.6,4.61,785.95,423.53,8.84,3.46,753.28,454.27,10.38,0,763.27,437.75,9.99,5
0900303-001,09,003,03-001,2186,1744,19,23,0,1673,2046,14,290,2,0,1888,2014,31,1957,1910,27,28,1900,1952,47,0,1914,1929,28,25
0900303-002,09,003,03-002,1493.74,1072.41,8.01,8.01,0,1236.6,1197.48,6,162.09,0,0,1347.64,1194.49,17.02,1404.69,1124.44,10.01,17.01,1370.68,1151.44,20.01,0,1387.68,1135.44,16.01,13.01
0900303-003,09,003,03-003,1712,1389,11,9,0,1303,1615,9,201,5,0,1477,1585,22,1538,1502,20,18,1500,1539,24,0,1515,1521,21,13
0900303-004,09,003,03-004,562,558,5,3,0,425,643,5,76,2,0,460,635,12,540,563,9,4,523,577,12,0,527,570,9,5
0900303-005,09,003,03-005,1253.59,1145.06,11.04,11,0,1002.46,1288.6,12.02,158.76,3,0,1024.95,1232.82,37.99,1217.99,1125.28,14.11,29.97,1181.01,1152.1,24.15,0,1179.97,1140.3,21.99,22.94
0900303-006,09,003,03-006,994.79,1026.43,9.38,6.27,0,768.72,1149.34,8.25,145.92,2.03,0,815.79,1132.72,21.53,931.8,1030.72,16.34,15.48,910.28,1034.8,24.68,0,908,1041.15,12.69,9.43
0900303-007,09,003,03-007,712.82,908.64,7.83,5.87,0,537.55,1007.54,4.9,103.79,0.98,0,572.8,990.89,18.6,643.3,924.31,12.73,12.73,619.8,943.89,11.75,0,631.55,923.33,16.65,8.81
0900303-008,09,003,03-008,1333.22,1435.27,8.08,13.98,0,1044.51,1626.36,11.98,178.34,1.01,0,1076.93,1587.41,33.05,1281.28,1422.74,18.08,17.1,1219.44,1466.69,29.93,0,1238.48,1424.7,30.04,18.99
0900303-009,09,003,03-009,1397.1,527.66,18.99,7,1,1182.24,613.61,7,164.89,0,0,1280.18,636.59,21.99,1321.15,578.63,20.99,15.99,1301.17,599.62,25.98,0,1293.17,594.62,22.99,11.99
0900303-010,09,003,03-010,1860.22,306.83,4.27,8.15,0.01,1742.45,343.32,5.05,102.28,3.01,0,1764.13,370.49,16.35,1806.99,322.47,10.06,8.3,1806.2,328.68,9.1,0,1776.58,315.66,12.03,12.23
0900303-011,09,003,03-011,1571.38,86.09,3.95,3.95,0.01,1547.47,118.6,4.9,28.64,0.99,0,1484.2,115.68,14.72,1513.58,99.84,4.9,6.9,1545.77,86.26,8.81,0,1499.79,95.98,4.91,8.83
0900303-012,09,003,03-012,1764.38,340.54,13.91,9.01,0,1608.59,414.46,3.11,128.28,1.03,0,1611.85,461.77,18.21,1692.62,383.33,10.03,15,1689.57,399.72,7.18,0,1661.58,384.17,7.08,16.05
0900303-013,09,003,03-013,2095.02,281.54,11.86,10.89,0.98,1986.49,359.62,5.94,82.8,2.97,0,1980.81,360.05,24.73,2016.81,306.36,6.01,16.8,2033.46,313.35,9.91,0,1985.05,312.19,7.98,14.88
0900303-014,09,003,03-014,1348.1,1188.19,16.87,14.88,0.99,1056.14,1415.54,10.93,123.18,0.01,0,1112.71,1384.87,35.74,1255.76,1235.8,12.92,29.76,1221.11,1259.57,35.72,0,1224.98,1250.71,21.84,22.82
0900303-015,09,003,03-015,1490.9,1280.81,18.13,13.12,1.01,1128.86,1540.46,15.07,168.82,1.99,0,1185.29,1546.13,39.26,1382.24,1319.2,20.08,26.24,1379.89,1323.43,33.28,0,1345.02,1342.29,23.16,21.18
0900303-016,09,003,03-016,1407.06,1094.76,21.05,17.07,0.02,1122.63,1307.78,9.12,150.64,2.01,0,1184.82,1305.75,36.17,1325.75,1149.73,21.13,31.09,1315.28,1147.08,42.24,0,1307.3,1161.87,29.17,17.19
0900303-017,09,003,03-017,800.85,626.54,9.57,9.23,0.98,626.24,753.48,10.16,85.03,1.09,0.02,656.62,751.66,21.59,757.13,640.56,14.45,14.54,724.44,661.86,27.68,0,723.26,651.89,19.43,17.62
0900303-018,09,003,03-018,1122.06,1283.07,15,11,0,853.05,1495.08,7,121.01,2,0,920.05,1484.08,18,1044.06,1338.07,19,13,1026.06,1342.07,23,0,1013.06,1359.07,22,9
0900303-019,09,003,03-019,1052.94,1136.93,10,14,0,819.95,1335.92,11,83.99,0,0,884.95,1302.92,19,992.94,1175.93,17,14,985.94,1170.93,26,0,970.94,1177.93,22,13
0900303-020,09,003,03-020,1351.29,1045.83,13.1,14.1,1.02,1092.27,1243.63,6.06,123.5,6.05,0.01,1126.39,1249.66,29.17,1270.79,1085.15,12.14,32.15,1247.87,1093.02,27.22,0,1226.78,1111.05,19.14,25.14
0900303-021,09,003,03-021,1173.71,714.17,17.9,17.9,2.98,982.73,863.37,11.94,92.5,8.95,0.99,1005.61,868.34,31.83,1079.21,773.85,25.86,28.85,1094.13,748.98,41.78,0,1077.22,754.95,26.86,26.86
0900303-022,09,003,03-022,1604.09,1281.71,26.38,12.7,0,1306.13,1491.74,11.72,155.33,3.91,0.98,1372.56,1498.58,32.24,1518.12,1323.71,24.42,26.38,1511.28,1309.06,39.08,0,1504.44,1301.24,25.4,34.19
0900303-023,09,003,03-023,2345,2449,22,28,1,1861,2744,7,290,3,0,2023,2728,54,2188,2538,28,42,2101,2616,48,0,2130,2559,39,30
0900303-024,09,003,03-024,3019.61,2348.59,25.89,26.88,0,2380.45,2660.21,18.92,409.19,2.99,0,2586.53,2735.87,58.74,2748.81,2527.79,44.8,51.77,2709.98,2578.57,65.71,0,2705.01,2536.75,55.75,47.79
0900303-025,09,003,03-025,1308.43,1170.3,25.61,16.79,0,998.5,1367.48,10.85,169.92,0.98,0,1131.53,1335.26,32.6,1219.52,1234.45,29.59,24.69,1197.86,1245.32,38.46,0,1198.83,1229.54,29.57,21.72
0900303-026,09,003,03-026,1612.8,375.89,5.9,10.82,0,1544.9,461.5,7.87,61.99,0.98,0,1506.53,434.93,14.76,1587.22,387.7,5.9,14.76,1566.55,375.89,7.87,0,1541.95,373.93,6.89,10.82
0900303-027,09,003,03-027,1161.42,442.43,12.79,7.98,0,1032.45,556.07,4.03,82.02,1.97,0,1037.68,529.29,22.69,1105.37,472.88,4,19.76,1106.99,458.05,16.72,0,1083.16,455.09,12.8,16.77
0900303-028,09,003,03-028,1082.77,334.68,7.31,15.19,0,1006.65,403.42,1.1,71.98,1.05,0,991.79,386.78,23.55,1053.41,354.42,6.1,11.48,1042.46,339.06,17.41,0,1018.89,348.99,7.31,15.41
0900303-029,09,003,03-029,1991,395,22,12,0,1901,507,14,83,1,0,1807,499,31,1903,453,18,23,1886,427,25,0,1845,444,21,18
0900303-030,09,003,03-030,1377.67,517.87,15.9,16.9,0,1231.56,632.18,9.94,97.41,4.97,0,1243.49,629.2,25.84,1347.85,543.71,9.94,19.88,1333.94,521.85,26.84,0,1291.2,536.76,18.89,20.87
0900303-031,09,003,03-031,1571.4,844.7,21.1,21.11,0,1376.32,992.49,11.07,148.72,7.03,0,1424.44,961.52,38.17,1539.13,846.92,16.07,29.14,1515.02,847.81,26.18,0,1506.78,840.87,24.13,20.14
0900303-032,09,003,03-032,1681,956,16,15,0,1419,1123,12,170,4,0,1499,1083,31,1632,972,17,28,1591,965,32,0,1583,967,25,24
0900303-033,09,003,03-033,447.84,446.86,4.9,4.9,0,361.6,501.74,6.86,46.06,1.96,0,369.44,509.58,7.84,413.54,459.6,6.86,10.78,398.84,470.38,14.7,0,402.76,455.68,9.8,8.82
0900303-034,09,003,03-034,650.16,472.14,11.1,5.1,0,511.4,561.26,7.14,77.94,1.04,0,558.56,558.42,11.16,617.46,489.4,13.14,10.22,601.16,498.62,20.3,0,598.24,493.32,16.2,6.18
0900303-035,09,003,03-035,1179,1100,10,10,0,959,1237,7,136,2,0,989,1260,24,1104,1138,10,22,1094,1131,31,0,1088,1139,14,17
0900303-036,09,003,03-036,413.62,363.7,2.09,4.07,0,321.63,420.42,2.06,52.51,1.01,0,338.66,433.56,3.15,380.24,381.88,4.11,4.11,367.27,387.89,7.12,0,368.16,382.93,6.1,5.08
0900303-037,09,003,03-037,1840.01,1734.47,21.9,16.93,1,1396.93,2033.17,18.92,230,1.99,0,1469.62,2048.1,40.82,1674.72,1830.05,20.91,27.88,1651.82,1839.01,43.81,0,1630.92,1823.08,29.87,26.88
0900303-038,09,003,03-038,1553.09,1021.82,24.83,18.87,0,1279.02,1220.43,17.87,141.01,1.99,0,1287.95,1260.15,40.71,1448.82,1072.47,29.79,29.79,1456.77,1074.45,33.76,0,1424.99,1086.37,26.81,22.84
0900303-039,09,003,03-039,633,379,9,7,1,494,487,5,67,1,0,514,471,15,592,407,8,10,588,390,11,0,569,397,12,10
0900303-040,09,003,03-040,1722.99,1579.53,38.1,16.07,0,1311.07,1846.83,23.08,215,1.01,0,1375.38,1837.9,42.18,1576.28,1656.95,32.09,38.12,1460.18,1714.99,44.19,0,1484.08,1668.92,38.13,23.12
0900303-041,09,003,03-041,1935.27,1569.47,33.08,22.06,1,1527.34,1892.14,28.06,186.48,5.01,0,1588.37,1899.28,46.14,1813.92,1663.64,35.1,31.1,1809.95,1649.65,53.11,0,1798.84,1631.69,41.09,20.08
0900303-042,09,003,03-042,246.02,199.01,5,1,0,197.01,236.02,2,26,0,0,206.01,231.02,4,229.01,205.01,4,3,222.01,209.01,10,0,220.01,207.01,7,3
0900303-043,09,003,03-043,1700.38,954.01,12.73,11.75,0,1377.15,1135.22,8.82,171.41,2.94,0,1510.36,1103.87,26.45,1583.82,1032.37,12.73,23.51,1514.28,1078.41,29.38,0,1544.64,1041.19,27.43,20.57
0900303-044,09,003,03-044,85.82,51.02,1.01,0.01,0,67.48,64.22,0.01,6.18,1,0,72.62,64.18,1.03,77.7,57.11,1.01,0.03,78.62,57.16,0.03,0,75.66,57.12,1.03,2.02
0900303-045,09,003,03-045,413.86,306.45,2.96,2.96,0,343.89,339.95,2.96,46.31,0,0,370.5,339.95,4.93,385.28,257.18,7.88,1.97,373.46,323.2,7.88,0,384.29,309.41,9.85,1.97
0900303-046,09,003,03-046,483,413,4,2,0,383,462,3,70,2,0,427,459,12,452,432,5,7,438,448,11,0,450,435,8,3
0900303-047,09,003,03-047,808,530,6,6,0,614,654,5,104,0,0,662,634,19,720,581,15,9,692,596,18,0,719,565,18,8
0900303-048,09,003,03-048,2156.8,1656.95,21.8,14.23,0,1681.2,1963.04,9.57,254.04,3.11,0,1800.37,1872.96,32.03,1943.9,1725.05,20.73,22.69,1875.1,1764.43,35.19,0,1893.01,1738.32,27.8,13.57
0900303-049,09,003,03-049,1661,1248.02,20.45,6,0,1338.17,1404.53,14.6,205.36,2.94,0,1470.65,1401.98,26.49,1560.59,1327.47,18.53,17.78,1489,1363.01,30.4,0,1537.69,1309.38,20.74,14.83
0900303-050,09,003,03-050,2513.31,1340.76,19.56,22.49,0.98,2039.01,1559.82,15.65,306.1,4.89,0,2157.34,1664.46,39.12,2289.36,1481.58,32.27,44.01,2232.64,1538.3,41.07,0.98,2287.4,1460.07,31.29,35.21
0900303-051,09,003,03-051,132.88,129.77,5.13,4.09,1.04,104.81,148.99,1.13,18.17,3.04,0.04,116.85,142.68,4.09,115.98,146.46,4.13,3.13,109.11,154.33,1.13,1.04,122.93,136.42,1.22,3.04
0900303-052,09,003,03-052,395.12,282.23,2.87,1.91,0.96,327.19,309.01,2.87,47.83,0.96,0.96,350.15,324.32,1.91,353.02,319.54,2.87,2.87,355.89,316.67,2.87,0.96,374.07,296.58,4.78,0.96
0900303-053,09,003,03-053,1087.81,808.27,7.92,5.28,0.88,836.29,929.62,7.03,149.52,1.76,0.88,913.71,946.33,18.46,973.5,885.66,7.92,16.71,928.65,929.61,12.32,0.88,970.88,877.71,9.68,12.31
0900303-054,09,003,03-054,1681.56,1494.83,19.13,14.81,2.1,1267.52,1677.66,7.01,278.91,3.23,4.1,1455.4,1701.38,20.6,1522.74,1624.6,18.26,19.18,1457.29,1655.9,33.89,1.1,1576.8,1532.11,22.52,14.69
0900303-056,09,003,03-056,2362.13,1569.45,22.88,14.92,0,1895.67,1707.7,16.91,359.04,3.98,0,2046.85,1815.11,43.76,2192.06,1659.96,26.85,29.84,2146.31,1679.85,46.75,0,2239.8,1578.4,40.78,25.86
0900303-057,09,003,03-057,2744.56,2507.75,44.14,28.5,0.98,2103.82,2846.54,27.44,403.9,2.93,0,2323.49,2894.46,61.73,2526.16,2641.71,52.11,43.16,2436.93,2724.75,71.74,0,2434.24,2693.4,67.67,40.15
0900303-058,09,003,03-058,174.93,205.32,1.84,1.84,0,133.5,235.7,0.92,14.73,0,0,153.76,224.65,1.84,169.41,206.24,3.68,1.84,154.68,217.28,4.6,0,157.44,216.36,2.76,0.92
0900303-059,09,003,03-059,60,7,1,1,0,65,8,0,0,0,0,52,9,1,60,5,1,0,59,5,0,0,55,50,1,0
0900303-060,09,003,03-060,1249,38,4,5,0,1275,56,5,10,1,0,1170,54,8,1214,41,1,6,1223,38,5,0,1172,37,4,7
0900303-061,09,003,03-061,1163,87,5,7,0,1146,112,4,51,1,0,1086,121,22,1164,91,5,15,1129,103,10,0,1102,94,5,11
