GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMUR,G18USSRCOR,G18USSLLIO,G18USSGRUS,G18USSOWRI,G18GOVDLAM,G18GOVRSTE,G18GOVLHAN,G18GOVOGRI,G18GOVOGRE,G18GOVOWRI,G18ATGDTON,G18ATGRHAT,G18ATGGGOS,G18SOSDMER,G18SOSRCHA,G18SOSLGWY,G18SOSGDER,G18TREDWOO,G18TRERGRA,G18TRELBRO,G18TREOWRI,G18COMDLEM,G18COMRMIL,G18COMLPAS,G18COMGHEF
0900101-046,09,001,01-046,630.21,362.64,7.98,3.99,0,556.31,445.47,5.94,14.92,0,0.98,562.56,422.33,4.03,583.26,399.52,7.99,3.04,576.11,401.75,10.97,0,573.26,389.73,12.94,6.01
0900101-047,09,001,01-047,189,44,2,0,0,174,60,0,3,0,0,169,57,1,173,60,1,1,171,55,3,0,168,56,3,1
0900101-048,09,001,01-048,868.54,343.84,13.19,10.36,0,798.83,418.26,6.59,27.32,0,0.94,768.69,411.66,14.13,806.37,388.11,6.59,14.13,795.06,370.21,22.61,0,793.18,391.88,17.9,12.25
0900101-049,09,001,01-049,882.17,629.43,14.41,4.35,0,779.55,726.51,7.23,20.06,3.06,0,791.04,697.99,5.76,809.73,677.58,7.29,5.82,796.68,672.59,14.76,0,794.51,669.94,14.64,7.87
0900101-050,09,001,01-050,830.33,245.28,6.9,6.11,0,784.4,299.06,4.08,2.02,1.1,0.15,744.22,289.35,12.71,772.92,281.67,4.86,14.27,770.89,265.97,12.86,0,751.6,271.01,10.98,14.74
0900101-051,09,001,01-051,582.59,326.64,6.9,4.89,0.01,530.85,380.3,3.99,10.95,0.98,0.01,536.71,362.59,7.84,544.83,360.36,3.08,3.98,534.15,360.08,9.89,0,538.72,353.42,6.07,4.92
0900101-052,09,001,01-052,161,91,4,1,0,135,115,0,6,3,2,142,96,0,155,95,1,0,145,95,2,0,144,91,3,1
0900101-053,09,001,01-053,194.45,64.25,1.69,2.54,0,175.01,85.39,1.69,5.92,0.85,0.85,176.7,78.63,2.54,184.31,72.71,0.85,5.92,178.39,74.4,3.38,0,175.85,71.02,3.38,3.38
0900101-054,09,001,01-054,1584.49,878.42,15.94,6.99,1.99,1412.3,1054.6,13.93,36.83,1,1.99,1415.33,1018.71,12.97,1467.02,978.98,20.87,14.93,1465.94,941.25,24.9,0,1429.25,955.09,33.81,9.97
0900101-055,09,001,01-055,731.39,1019.23,5.29,0.48,0,492.36,1266.91,5.07,8.34,0.96,0,572.66,1148.58,0.73,539.31,1185.36,6.46,5.76,495,1214.04,4.89,0,511.63,1188,6.73,2.63
0900101-056,09,001,01-056,708.07,796.71,9.74,1.95,0,508.41,997.34,7.79,10.71,0,0,583.41,878.52,5.84,557.11,906.76,15.58,5.84,501.59,938.9,13.64,0,523.99,903.84,9.74,5.84
0900101-057,09,001,01-057,816.91,750.06,7.86,4.92,0,639.96,926.02,4.92,14.75,0.98,0,725.48,806.09,4.92,688.13,857.21,7.86,6.88,619.31,888.67,10.81,0,637.99,859.18,9.83,5.9
0900101-058,09,001,01-058,821.17,786.81,9.18,3.04,0,608.45,1004.54,7.14,14.2,1,0,688.85,895.34,3.11,649.36,918.86,9.29,5.11,591.33,975.46,10.25,0,608.74,936.81,12.18,4.11
0900101-059,09,001,01-059,903.64,715.62,6.99,6.99,0,703.04,924.4,5.97,18.02,0,0,761.65,806.85,11.96,729.39,853.75,8,12.98,694.96,863.43,12.01,0,677.34,852.14,13.97,8.99
0900101-060,09,001,01-060,751.97,767.16,3.73,3.53,0,580.61,954.69,1.96,12.64,0.04,0,657.69,843.56,5.3,620.3,867.89,5.53,7.26,571.04,916.53,8.11,0,584.03,890.86,7.3,5.38
0900101-061,09,001,01-061,2121.5,1792.04,18.97,11.98,0,1754.1,2177.41,17.97,47.92,1,1,1821.99,2009.68,23.96,1887.88,2002.69,32.95,20.97,1808.02,2070.58,41.93,0,1833.97,2021.66,41.93,27.95
0900101-062,09,001,01-062,1713.13,1463.76,14.01,3.01,0,1326.95,1840.95,7.01,43.03,1,0,1442.99,1717.88,12.01,1444.01,1694.85,16.01,11.02,1356.97,1770.89,25.02,0,1382.98,1738.86,21.02,7.01
0900101-063,09,001,01-063,1513.24,1014.09,15.92,10.95,0,1264.32,1266.01,13.94,37.82,0.99,0,1319.06,1175.35,15.93,1343.01,1140.58,15.95,24.87,1287.25,1181.41,26.89,0,1309.15,1143.59,27.88,10.97
0900101-064,09,001,01-064,1956.13,1249.11,11.1,14.07,0,1643.63,1539.63,12.08,58.23,2.01,0,1641.96,1516.09,26.1,1688.1,1453.88,25.1,21.15,1630.76,1499.12,32.16,0,1651.9,1466.89,27.17,21.07
