GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
0900303-062,09,003,03-062,830,150,26,23,0,819,169,4,16,0
0900303-063,09,003,03-063,1442,149,33,42,0,1370,138,19,40,0
0900303-064,09,003,03-064,12.28,1.08,0.1,0.17,0,10.9,0.89,0.1,0.12,0
0900303-065,09,003,03-065,1118,31,7,11,0,1061,16,5,7,0
0900303-066,09,003,03-066,0,0,0,0,0,0,0,0,0,0
0900303-067,09,003,03-067,1888,42,8,11,0,1779,20,9,14,0
0900303-068,09,003,03-068,1825,95,23,23,3,1699,87,18,18,0
0900303-069,09,003,03-069,608,55,7,12,0,553,42,5,14,0
0900303-070,09,003,03-070,948.58,29.77,8.93,8.93,0,861.27,29.77,8.93,6.95,0
0900303-071,09,003,03-071,331.6,33.61,13.44,3.73,0,319.65,39.58,4.48,6.72,0
0900303-072,09,003,03-072,112.4,11.39,4.56,1.27,0,108.35,13.42,1.52,2.28,0
0900303-073,09,003,03-073,1716.67,97.84,13.97,12.98,0,1536.06,82.85,6.99,11.98,0
0900303-074,09,003,03-074,1095.85,113.16,8.93,18.86,0,968.8,92.31,10.92,12.9,0
0900303-075,09,003,03-075,1687.2,151.93,11.99,18.99,0,1607.24,100.95,9,22.99,0
0900303-076,09,003,03-076,1509,243,24,25,0,1505,166,8,17,0
0900303-077,09,003,03-077,1575,199,24,25,1,1507,155,21,22,0
0900303-078,09,003,03-078,1290,107,8,19,0,1271,74,4,12,0
0900303-079,09,003,03-079,1319,239,16,12,0,1259,189,10,7,0
0900303-080,09,003,03-080,1409.41,130.36,10.05,15.08,0,1295.01,101.31,11.04,12.05,0
0900303-081,09,003,03-081,1232,129,24,14,0,1082,126,5,15,0
0900303-082,09,003,03-082,1287.59,105.64,15.95,23.92,0,1169.99,90.69,12.96,15.95,0
0900303-083,09,003,03-083,819.42,133.23,27.07,15.07,0,757.73,151.23,16.07,15.05,0
0900303-084,09,003,03-084,475,10,3,2,0,397,15,1,3,0
0900303-085,09,003,03-085,2039,63,14,9,0,1917,38,11,12,0
0900303-086,09,003,03-086,349,804,48,31,6,452,712,17,17,0
0900303-087,09,003,03-087,1160.92,592.96,79.99,29,0,1256.91,491.97,31,31,0
0900303-088,09,003,03-088,2537.52,1258.92,108.55,69.98,1.02,2759.12,1016.56,45.86,45.51,0
0900303-089,09,003,03-089,1715.22,1241.65,121.45,48.64,1.1,1980.2,1030.53,41.59,25.77,0
0900303-090,09,003,03-090,2429.08,1124.04,137.01,86,2,2623.09,880.03,68,60,0
