GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI
0900707-034,09,007,07-034,1319.58,1125.27,32.31,11.17,2
0900707-035,09,007,07-035,968.42,832.73,12.69,6.83,0
0900909-001,09,009,09-001,725.13,423.23,7.77,2.91,0
0900909-002,09,009,09-002,649,481,6,4,1
0900909-003,09,009,09-003,609.23,473.43,11.06,7.04,0
0900909-004,09,009,09-004,460.77,264.57,6.94,3.96,0
0900909-005,09,009,09-005,705.87,513.77,15.23,7.09,0
0900909-006,09,009,09-006,665,762,9,7,0
0900909-007,09,009,09-007,706,879,7,5,0
0900909-008,09,009,09-008,1543.49,2191.63,57.02,12.02,0
0900909-009,09,009,09-009,1912,1718,46,22,0
0900909-010,09,009,09-010,1910.12,1443.75,42.31,13.78,3.93
0900909-011,09,009,09-011,1045,642,6,3,0
0900909-012,09,009,09-012,1241.59,521.4,23.93,6.99,1
0900909-013,09,009,09-013,2000.67,1292.45,37.54,16.87,0.94
0900909-014,09,009,09-014,1764.96,1178.85,30.55,12.18,0.05
0900909-015,09,009,09-015,1494.23,1264.37,19.54,7.14,1.07
0900909-016,09,009,09-016,1096,747,18,8,0
0900909-017,09,009,09-017,2403,1696,46,18,0
0900909-018,09,009,09-018,1064,841,26,4,1
0900909-019,09,009,09-019,1385,1226,49,21,0
0900909-020,09,009,09-020,2103,1441,47,16,0
0900909-021,09,009,09-021,888,632,22,7,0
0900909-022,09,009,09-022,1288.24,994.44,29.84,12.31,0.09
0900909-023,09,009,09-023,648,546,18,8,0
0900909-024,09,009,09-024,1040.23,721.2,19.44,4.1,0
0900909-025,09,009,09-025,328.5,311.07,4.59,0,0
0900909-026,09,009,09-026,1578.98,1706.37,24.69,12.84,0
0900909-027,09,009,09-027,1487.21,1517.44,19.45,12.82,0.12
0900909-028,09,009,09-028,1553.86,1507.92,30.96,17.98,0
0900909-029,09,009,09-029,1091.14,1457.52,12,9,1
0900909-030,09,009,09-030,52.92,95.01,0.64,0,0
0900909-031,09,009,09-031,29.37,52.72,0.35,0,0
0900909-032,09,009,09-032,1261.14,1405.08,22.04,9.02,0
0900909-033,09,009,09-033,1314.56,1524.75,26.01,10,2
0900909-034,09,009,09-034,2043.26,778.95,17.6,18.28,1
0900909-035,09,009,09-035,1855.01,1085.62,28.45,9.21,0
0900909-036,09,009,09-036,2149.73,1111.43,26.94,12.51,0
0900909-037,09,009,09-037,1613,1240,38,8,1
0900909-038,09,009,09-038,1955,834,24,15,1
0900909-039,09,009,09-039,562.18,222,2.27,9.12,0
0900909-040,09,009,09-040,2080,562,22,10,0
0900909-041,09,009,09-041,2138,315,11,13,0
0900909-042,09,009,09-042,2808,789,20,25,0
0900909-043,09,009,09-043,2593.72,420.71,12,19.83,0
0900909-044,09,009,09-044,188.64,33.04,0.17,0.29,0
0900909-045,09,009,09-045,1933.65,597.24,11.83,7.88,0
0900909-046,09,009,09-046,2485,913,33,17,0
0900909-047,09,009,09-047,2759,1163,26,17,0
0900909-048,09,009,09-048,175,137,5,1,0
0900909-049,09,009,09-049,1685.82,1118,13.73,5.88,0
0900909-050,09,009,09-050,1714,669,15,4,0
0900909-051,09,009,09-051,529,200,2,9,0
0900909-052,09,009,09-052,4048.42,2328.15,56.25,22.04,3.99
0900909-053,09,009,09-053,3569.54,2308.29,61.77,27.89,1.99
0900909-054,09,009,09-054,1157.4,687.11,23.03,6.01,0
0900909-055,09,009,09-055,602,300,9,2,0
0900909-056,09,009,09-056,1399.92,659.24,23.27,6.79,0.97
0900909-057,09,009,09-057,704,293,13,6,1
0900909-058,09,009,09-058,618,235,9,5,0
0900909-059,09,009,09-059,1065,711,21,6,2
0900909-060,09,009,09-060,978.08,590.76,19.73,3.21,0.03
0900909-061,09,009,09-061,1260.87,939.91,21,10,0
0900909-062,09,009,09-062,1002,630,25,8,1
0900909-063,09,009,09-063,1226.48,933.99,27.86,10.17,0
0900909-064,09,009,09-064,2144,1675,30,14,1
0900909-065,09,009,09-065,1734.56,1384.86,42.11,15.65,3.91
0900909-066,09,009,09-066,1067.74,953.89,14.09,9.04,0
0900909-067,09,009,09-067,1493,1745,34,11,4
0900909-068,09,009,09-068,766,996,24,5,0
0900909-069,09,009,09-069,3255.89,2606.47,51.87,21.94,5.98
0900909-070,09,009,09-070,1309.08,1064.73,32.38,11.78,0
0900909-071,09,009,09-071,2084,1454,31,19,1
0900909-072,09,009,09-072,2002,1556,43,13,1
0900909-073,09,009,09-073,1353.48,1096.2,27.04,11.01,0
0900909-074,09,009,09-074,945.83,564.43,13.67,8.54,1
0900909-075,09,009,09-075,2111.04,2086.54,37.58,13.19,1
0900909-076,09,009,09-076,1196.46,1008.24,21.08,5.07,0
0900909-077,09,009,09-077,3351.38,2546.18,51.08,16.4,0.02
0900909-078,09,009,09-078,161.51,206.37,5.98,4.98,0
0900909-079,09,009,09-079,1136,1323,29,8,0
0900909-080,09,009,09-080,589,677,9,12,0
0900909-081,09,009,09-081,1151,1336,29,15,1
0900909-082,09,009,09-082,183,260,4,2,0
0900909-083,09,009,09-083,1018,1139,20,17,0
0900909-084,09,009,09-084,899,910,17,9,0
0900909-085,09,009,09-085,1458,1584,40,9,0
0900909-086,09,009,09-086,221.48,205.9,4.74,1.35,0
0900909-087,09,009,09-087,105.52,98.1,2.26,0.65,0
0900909-088,09,009,09-088,218.19,11.17,2.1,1.38,0
0900909-089,09,009,09-089,1062.17,95.13,10.16,12.93,0.92
0900909-090,09,009,09-090,573.15,124.6,1.92,1.92,0
0900909-091,09,009,09-091,213,45,1,1,1
0900909-092,09,009,09-092,728.62,147.6,8.03,5.01,0.01
0900909-093,09,009,09-093,216.59,35.83,0.03,0.03,0
0900909-094,09,009,09-094,685.14,171.53,1.95,1.95,0
0900909-095,09,009,09-095,579.38,164.4,2.97,0.99,0.99
0900909-096,09,009,09-096,171,25,0,2,0
0900909-097,09,009,09-097,2133,192,10,11,2
0900909-098,09,009,09-098,253.49,54.81,2.32,4.5,0.15
0900909-099,09,009,09-099,1092.51,122.19,6.68,10.5,2.85
0900909-100,09,009,09-100,1117.6,92.22,4.69,10.16,0
0900909-101,09,009,09-101,206.45,17.21,0.87,1.84,0.02
0900909-102,09,009,09-102,2253.95,235.56,11.44,10,4.98
0900909-103,09,009,09-103,294,105,2,1,0
0900909-104,09,009,09-104,981,323,4,2,0
0900909-105,09,009,09-105,207,89,0,2,0
0900909-106,09,009,09-106,996.74,243.98,3.97,4.96,0.99
0900909-107,09,009,09-107,1106.47,311.75,5.7,13.26,1.9
0900909-108,09,009,09-108,669,144,3,2,0
0900909-109,09,009,09-109,536,161,1,1,0
0900909-110,09,009,09-110,571,219,0,1,0
0900909-111,09,009,09-111,1186.2,467.72,5.63,2.81,0
0900909-112,09,009,09-112,57.64,22.67,0.27,0.14,0
0900909-113,09,009,09-113,1300.16,871.62,18.1,9.05,0
0900909-114,09,009,09-114,488,45,3,3,0
0900909-115,09,009,09-115,581,57,3,3,1
0900909-116,09,009,09-116,1702,104,11,5,0
0900909-117,09,009,09-117,625.91,33.29,1.66,3.33,0
0900909-118,09,009,09-118,126.09,6.71,0.34,0.67,0
0900909-119,09,009,09-119,576.83,45.87,2.84,1.07,1.08
0900909-120,09,009,09-120,546.81,29.83,0.9,3.62,0
0900909-121,09,009,09-121,1119,95,3,5,0
0900909-122,09,009,09-122,1316,101,8,9,0
0900909-123,09,009,09-123,2172,258,20,17,3
0900909-124,09,009,09-124,1969,233,15,15,4
0900909-125,09,009,09-125,1270,154,5,6,0
0900909-126,09,009,09-126,1223,180,7,4,1
0900909-127,09,009,09-127,1144,137,5,6,0
0900909-128,09,009,09-128,477,55,2,6,0
0900909-129,09,009,09-129,651,88,5,5,0
0900909-130,09,009,09-130,2059.78,2433.2,47.67,27.81,0
0900909-131,09,009,09-131,1658.22,2352.8,40.33,10.19,1
0900909-132,09,009,09-132,1344.84,1580.56,10.94,9.94,0
0900909-133,09,009,09-133,1490.11,1991.81,20.99,12.99,2
0900909-134,09,009,09-134,1043.05,535.63,16.07,8.07,1
0900909-135,09,009,09-135,1056,903,13,11,0
0900909-136,09,009,09-136,791.07,850.11,12.79,6.89,0
0900909-137,09,009,09-137,1663.93,2017.89,39.21,7.11,1
0900909-138,09,009,09-138,2706,2459,47,21,2
0900909-139,09,009,09-139,1025,893,11,10,2
0900909-140,09,009,09-140,1085.74,965.8,20.02,7,0
0900909-141,09,009,09-141,3291.79,5135.85,107.4,17.14,3.01
0900909-142,09,009,09-142,927.92,1961.55,31.09,6.07,1
0900909-143,09,009,09-143,1182.08,1973.45,15.91,11.93,0
0900909-144,09,009,09-144,1945.57,2353.26,49.83,14.07,0
0900909-145,09,009,09-145,720.12,1251.71,14.58,9.72,0
0900909-146,09,009,09-146,1340.17,1628.1,31.49,19.14,0
0900909-147,09,009,09-147,2753.84,2469.96,45.79,15.03,0.01
0900909-148,09,009,09-148,2799.4,2717.15,49.88,19.15,0
0900909-149,09,009,09-149,988.98,1045.83,22.9,6.69,0
0900909-150,09,009,09-150,428.64,503.84,9.11,1.02,1
0900909-151,09,009,09-151,1708.92,1192.11,43.45,9.5,3
0900909-152,09,009,09-152,954,746,27,9,0
0900909-153,09,009,09-153,1766.08,1568.89,36.55,12.5,0
0900909-154,09,009,09-154,2217,1840,38,12,1
0900909-155,09,009,09-155,1257,1031,19,15,0
0900909-156,09,009,09-156,1914.16,1755.28,59.08,14.01,1
0900909-157,09,009,09-157,1253.9,1044.42,19.86,2.98,0
0900909-158,09,009,09-158,2021.01,2109.26,49.03,9.81,0
0900909-159,09,009,09-159,943.21,1198.89,18.9,5.97,0
0900909-160,09,009,09-160,478.11,392.59,6.55,2.53,0
0900909-161,09,009,09-161,1651.63,1627.58,37.66,8.62,0
0900909-162,09,009,09-162,633.47,189.43,3.95,8.88,0
0900909-163,09,009,09-163,1208.94,283.84,6.17,6.23,0.12
0900909-164,09,009,09-164,483,267,3,4,0
0900909-165,09,009,09-165,1292.45,768.19,18.69,9.84,0.98
0900909-166,09,009,09-166,957.92,380.57,4.73,5.71,2.81
0900909-167,09,009,09-167,1840.69,1628.8,26.18,12.06,0.03
0900909-168,09,009,09-168,1550.7,1184.39,22.07,8.74,3.09
0900909-169,09,009,09-169,1195.49,737.02,9.48,6.01,0.85
0900909-170,09,009,09-170,769.73,491.71,4.41,3.25,0.03
0900909-171,09,009,09-171,1896.26,1146.83,21.1,9.13,1.06
0900909-172,09,009,09-172,1763.88,1144.22,24.9,7,0.01
0900909-173,09,009,09-173,1044.51,715.05,14.01,6.95,0
0900909-174,09,009,09-174,411.04,464.86,5.85,1.97,0
0900909-175,09,009,09-175,81.69,70.31,2.27,0.09,0
0900909-176,09,009,09-176,0,0,0,0,0
0900909-177,09,009,09-177,738.98,307.12,2.94,1.96,0
0900909-178,09,009,09-178,474.57,222.65,4.54,1.82,0
0900909-179,09,009,09-179,1057.67,376.74,5.22,1.16,1.01
0900909-180,09,009,09-180,1095.88,557.32,6.33,6.06,0
0900909-181,09,009,09-181,1437,818,17,5,0
0900909-182,09,009,09-182,1109,810,20,8,0
0900909-184,09,009,09-184,1806,740,16,18,0
0900909-185,09,009,09-185,1115.13,349.78,2.77,5.51,0
0900909-186,09,009,09-186,1622.97,578.18,11.13,9.89,0
0900909-190,09,009,09-190,2017.89,1924.96,33.04,11.03,0
0900909-191,09,009,09-191,1106.13,1890.73,42.18,11.88,0.05
0900909-192,09,009,09-192,1145.93,2514.4,33.12,11.31,0
0900909-193,09,009,09-193,1080.94,2113.86,29.7,17.81,3.95
0900909-194,09,009,09-194,3254,1474,32,27,1
0900909-195,09,009,09-195,602,343,5,4,0
0900909-196,09,009,09-196,1145.03,264.08,8.21,3.7,0
0900909-197,09,009,09-197,1518,438,7,10,0
0900909-198,09,009,09-198,1476,1214,18,9,0
0900909-199,09,009,09-199,1057.11,1001.04,11.96,8.97,0
0901111-001,09,011,11-001,703,817,23,5,0
0901111-002,09,011,11-002,2176.27,1776.64,81.67,25.26,0
0901111-003,09,011,11-003,1263.64,1073.5,40.27,15.67,0
0901111-004,09,011,11-004,1349.2,1052.94,42.74,11.66,0
0901111-005,09,011,11-005,382.64,303.78,11.65,0.9,0
0901111-006,09,011,11-006,2813,1658,64,14,0
0901111-007,09,011,11-007,2519,1489,41,13,0
0901111-008,09,011,11-008,1958,1138,40,9,0
0901111-009,09,011,11-009,547.95,668.12,27.76,4.96,0.98
0901111-010,09,011,11-010,1084.18,1219.83,46.88,20.95,1
0901111-011,09,011,11-011,1480.82,2037.17,69.12,21.05,0
0901111-012,09,011,11-012,1654,1018,46,16,2
0901111-013,09,011,11-013,1171,536,32,11,0
0901111-014,09,011,11-014,1416,912,55,18,1
0901111-015,09,011,11-015,1735,1203,73,19,1
0901111-016,09,011,11-016,1378.31,947.64,55.79,10.04,1
0901111-017,09,011,11-017,1850.14,913.7,26.7,11.87,0.99
0901111-018,09,011,11-018,1482,733,30,6,1
0901111-019,09,011,11-019,1392,1571,63,21,0
0901111-020,09,011,11-020,660,697,21,13,0
0901111-021,09,011,11-021,2430.51,2094.92,94.68,31.84,1
0901111-022,09,011,11-022,1259.25,983.76,50.44,9.93,0.99
0901111-023,09,011,11-023,833.95,576.45,31.48,8.09,0.01
0901111-024,09,011,11-024,532.38,523.85,10.39,10,0
0901111-025,09,011,11-025,666,866,37,7,0
0901111-026,09,011,11-026,1178.37,584.06,27.22,4.09,0
0901111-027,09,011,11-027,555,514,20,8,2
0901111-028,09,011,11-028,750,747,36,16,0
0901111-030,09,011,11-030,662,555,19,8,0
0901111-031,09,011,11-031,538,464,23,4,0
0901111-032,09,011,11-032,415,415,8,4,0
0901111-033,09,011,11-033,2853.45,755.53,40.32,24.01,0
0901111-034,09,011,11-034,2530.55,730.47,37.68,28.99,0
0901111-035,09,011,11-035,1528,559,21,14,0
0901111-036,09,011,11-036,1601,1710,49,15,0
0901111-037,09,011,11-037,969.76,760.15,20.84,6.94,0.98
0901111-038,09,011,11-038,2140.95,1306.15,71.58,22.31,0
0901111-039,09,011,11-039,800.9,565.98,24.16,8.05,0
0901111-040,09,011,11-040,2695.72,1704.79,55.56,25.8,0
0901111-041,09,011,11-041,1550.31,640.12,34.58,17.76,0
0901111-042,09,011,11-042,980.96,561.09,32.87,12.45,0
0901111-043,09,011,11-043,3226,2099,68,20,0
0901111-044,09,011,11-044,1333.39,1572.04,52.11,19.73,0
0901111-045,09,011,11-045,1285,1291,28,15,4
0901111-046,09,011,11-046,655.9,893.69,26.32,8.11,0.02
0901111-047,09,011,11-047,1424.69,530.24,23.75,5.93,0
0901111-048,09,011,11-048,2822.06,1989.98,64.13,19.03,0
0901111-049,09,011,11-049,791.91,488.1,16.4,3.24,0.04
0901111-050,09,011,11-050,1455.97,662.5,34.42,5.74,0.96
0901111-051,09,011,11-051,970.92,577.84,16.81,6.15,0.01
0901111-052,09,011,11-052,566,918,32,8,0
0901111-053,09,011,11-053,1572,1167,51,29,0
0901111-054,09,011,11-054,1667.84,1156.66,42.03,15.01,0
0901111-055,09,011,11-055,1876.32,1466.75,56.53,22.81,2.98
0901111-056,09,011,11-056,1800.84,1333.6,40.45,15.18,0.02
0901111-057,09,011,11-057,1486,1547,67,10,0
0901313-001,09,013,13-001,1044.93,985.67,26.67,7.9,0
0901313-002,09,013,13-002,1727,1482,54,23,2
0901313-003,09,013,13-003,1874.85,1588.88,60.58,17.88,0.99
0901313-004,09,013,13-004,2074.97,1773.85,77.11,30.38,4.97
0901313-005,09,013,13-005,1976.24,1780.42,77.93,18.98,7.99
0901313-006,09,013,13-006,3769,3457,103,29,11
0901313-007,09,013,13-007,1019.87,1059.62,39.07,7.02,0
0901313-008,09,013,13-008,3445.34,2779.47,123,26.61,0
0901313-009,09,013,13-009,1929.24,399.24,33.36,8.21,1.02
0901313-010,09,013,13-010,1144.73,356.77,26.36,9.18,0.02
0901313-011,09,013,13-011,1592.95,547.46,33.07,17.54,1.95
0901313-012,09,013,13-012,1098.8,444.87,31.92,11.62,0.03
0901313-013,09,013,13-013,2445,3204,54,17,11
0901313-014,09,013,13-014,760.16,919.35,29.56,8.74,0.96
0901313-015,09,013,13-015,1224.3,1312.34,61.46,13.27,1.04
0901313-016,09,013,13-016,824.54,1229.31,25.99,10.99,0
0901313-017,09,013,13-017,1879.65,1461.97,49.27,19.85,1.88
0901313-018,09,013,13-018,2698.09,2125.16,72.62,18.7,0.07
0901313-019,09,013,13-019,483,355,11,4,0
0901313-020,09,013,13-020,249,307,12,3,0
0901313-021,09,013,13-021,2778.71,1549.27,62.44,28.17,0
0901313-022,09,013,13-022,2717.13,1660.17,65.45,10.55,0
0901313-023,09,013,13-023,2068,1284.46,40.11,19.28,0
0901313-024,09,013,13-024,1695.16,1354.1,48,18,1
0901313-025,09,013,13-025,1714.38,1476.25,62.04,20.42,4.04
0901515-001,09,015,15-001,1330,1160,35,17,2
0901515-002,09,015,15-002,1875.94,2262.46,70.02,13.02,1
0901515-003,09,015,15-003,1163.22,1727.12,57.08,16.73,0
0901515-004,09,015,15-004,596.48,660.32,21.94,7.98,0
0901515-005,09,015,15-005,464,572,23,8,0
0901515-006,09,015,15-006,572,551,9,6,1
0901515-007,09,015,15-007,587.72,821.39,26.49,8.83,0
0901515-008,09,015,15-008,315.84,333.09,9.29,5.97,1.33
0901515-009,09,015,15-009,474.08,706.78,21.94,7.65,0
0901515-010,09,015,15-010,883.17,1234.32,39.8,13.27,0
0901515-011,09,015,15-011,160.16,168.91,4.71,3.03,0.67
0901515-012,09,015,15-012,454.92,678.22,21.06,7.35,0
0901515-013,09,015,15-013,526.17,734.83,23.69,7.88,0
0901515-014,09,015,15-014,738.68,1050.9,20.86,8.25,0
0901515-015,09,015,15-015,562.11,776.62,20.4,3.93,0
0901515-016,09,015,15-016,387.91,569.06,21.86,2.16,0
0901515-017,09,015,15-017,968.87,1298.8,44.85,16.95,0
0901515-018,09,015,15-018,215.22,412.5,16.94,1.99,0
0901515-019,09,015,15-019,1357,1113,39,13,2
0901515-020,09,015,15-020,1449.51,1375.71,55.11,10.82,0.98
0901515-021,09,015,15-021,613.49,817.29,21.89,5.18,0.02
0901515-022,09,015,15-022,401.84,531.5,22.76,3.96,0
0901515-023,09,015,15-023,639,1229,25,14,1
0901515-024,09,015,15-024,493.07,612.77,19.06,3.03,0
0901515-025,09,015,15-025,898.27,1313.57,43.05,10.01,0
0901515-026,09,015,15-026,310,416,6,3,0
0901515-027,09,015,15-027,348.67,662.66,11.89,3.96,0
0901515-028,09,015,15-028,569.62,326.64,18.75,9.78,0
0901515-029,09,015,15-029,1377.18,532.86,13.27,13.25,2.82
0901515-030,09,015,15-030,1776.59,778.42,25.92,19.85,0.18
0901515-031,09,015,15-031,1259.43,1037.67,31.8,12.29,0.02
0901515-032,09,015,15-032,353.14,141.98,4.46,5.13,0.01
0901515-033,09,015,15-033,2548,2520,87,23,1
