GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI
0900101-195,09,001,01-195,181,70,1,1,0
0900101-196,09,001,01-196,280.75,181.98,3.31,0.41,0
0900101-197,09,001,01-197,546.47,310.02,10.98,3.86,0
0900101-198,09,001,01-198,720,559,5,4,0
0900101-199,09,001,01-199,1398.37,448.55,17.85,2.55,0
0900101-200,09,001,01-200,1147.22,370.88,20.75,4.23,0
0900303-001,09,003,03-001,2866,1875,61,18,0
0900303-002,09,003,03-002,2105.97,1153.47,50.03,14.01,1
0900303-003,09,003,03-003,2328,1441,58,17,0
0900303-004,09,003,03-004,701,772,14,3,0
0900303-005,09,003,03-005,1522.37,1554.41,40.95,11.99,0
0900303-006,09,003,03-006,1283.27,1359.21,20.99,6.24,0
0900303-007,09,003,03-007,876.33,1183.78,22.52,9.79,0.98
0900303-008,09,003,03-008,1652.35,1829.04,38.08,10.1,0.02
0900303-009,09,003,03-009,1773.86,527.66,22.99,3,0
0900303-010,09,003,03-010,2274.78,333.49,21.1,7.14,0.03
0900303-011,09,003,03-011,2015.2,138.91,4.96,5.88,1.96
0900303-012,09,003,03-012,2250.21,362.8,11.06,9.06,0.05
0900303-013,09,003,03-013,2691.81,334.8,17.88,8.92,1.96
0900303-014,09,003,03-014,1920.28,1621.03,29.8,12.91,3.97
0900303-015,09,003,03-015,1881.72,1766.97,42.2,15.09,5.03
0900303-016,09,003,03-016,1811.18,1559.49,49.2,11.06,5.01
0900303-017,09,003,03-017,1056.62,938.41,27.14,7.38,2.06
0900303-018,09,003,03-018,1516.09,1652.1,30,12,3
0900303-019,09,003,03-019,1463.91,1700.9,48,14,2
0900303-020,09,003,03-020,1908.41,1575.24,48.14,14.09,0.01
0900303-021,09,003,03-021,1754.59,1162.76,25.86,15.91,0.99
0900303-022,09,003,03-022,2149.2,1857.11,56.66,18.56,2.93
0900303-023,09,003,03-023,3099,3034,76,22,2
0900303-024,09,003,03-024,3860.88,2651.25,96.57,22.9,1.99
0900303-025,09,003,03-025,1767.72,1385.13,54.32,14.8,0
0900303-026,09,003,03-026,2473.82,594.35,16.73,3.94,0
0900303-027,09,003,03-027,1678.11,675.37,11.99,5.92,0
0900303-028,09,003,03-028,1535.07,468.29,13.29,8.14,1
0900303-029,09,003,03-029,2781,724,12,20,0
0900303-030,09,003,03-030,1922.38,810.1,17.89,8.95,0
0900303-031,09,003,03-031,2176,1021.61,120.13,8.06,1
0900303-032,09,003,03-032,2222,1231,35,12,0
0900303-033,09,003,03-033,634.03,542.89,29.4,1.96,0
0900303-034,09,003,03-034,838.97,698.11,25.6,7.04,1
0900303-035,09,003,03-035,1535,1300,27,11,0
0900303-036,09,003,03-036,529.12,451.39,5.23,4.06,0.01
0900303-037,09,003,03-037,2406.55,2223.34,54.76,20.91,3.98
0900303-038,09,003,03-038,2245.23,1489.54,62.56,17.87,3.97
0900303-039,09,003,03-039,828,532,16,6,0
0900303-040,09,003,03-040,2253.45,2013.66,56.24,20.09,0.02
0900303-041,09,003,03-041,2642.63,2268.05,66.21,16.06,3.01
0900303-042,09,003,03-042,358.02,320.02,11,0,0
0900303-043,09,003,03-043,2280.23,1193.99,34.28,14.69,0
0900303-044,09,003,03-044,108.44,66.28,5.04,0.02,0
0900303-045,09,003,03-045,565.6,351.78,12.81,4.93,0
0900303-046,09,003,03-046,652,511,11,0,0
0900303-047,09,003,03-047,1057,704,31,8,0
0900303-048,09,003,03-048,2805.38,1965.31,64.69,10.69,2.04
0900303-049,09,003,03-049,2138.95,1362.42,43,17.6,0.96
0900303-050,09,003,03-050,3223.29,1662.5,51.83,17.6,0
0900303-051,09,003,03-051,192.55,149.12,3.48,1.13,0
0900303-052,09,003,03-052,542.45,311.88,10.52,2.87,0
0900303-053,09,003,03-053,1521.37,925.18,43.09,14.07,0
0900303-054,09,003,03-054,2386.25,1560.18,67.36,15.81,0.03
0900303-056,09,003,03-056,3213.5,1645.04,56.69,18.9,0
0900303-057,09,003,03-057,3712.9,2871.32,121.39,32.41,3.09
