GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
320019507001203,0,0,0,0,0
320019506003007,7.7,25,0.9,0,0.7
320019503012000,0,0,0,0,0
320019506003016,2.4,7.7,0.3,0,0.2
320019503023000,0,0,0,0,0
320019505002081,0,0,0,0,0
320019504001063,0,0,0,0,0
320019501001613,0,0,0,0,0
320019503021007,6.9,16.1,1.2,0,0.5
320019503021012,3.5,16.3,0.5,0,0.2
320019503021008,12.2,28.4,2.1,0.1,0.8
320019507004018,0,0,0,0,0
320019507004010,4.3,14.3,0.3,0,0.1
320019506001159,0,0,0,0,0
320019506001179,0,0,0,0,0
320019507003004,0,0,0,0,0
320019506001136,0,0,0,0,0
320019506001165,0.9,3.4,0.1,0,0
320019507003244,0.3,1.2,0,0,0
320019501001810,0,0,0,0,0
320019503012037,0,0,0,0,0
320019507003070,0,0,0,0,0
320019507003085,0,0,0,0,0
320019501001383,0,0,0,0,0
320019501001846,0,0,0,0,0
320019501001061,0,0,0,0,0
320019501001085,0,0,0,0,0
320019501001721,0,0,0,0,0
320019501001717,0,0,0,0,0
320019501001399,0,0,0,0,0
320019501001741,0,0,0,0,0
320019501001330,0,0,0,0,0
320019503021052,1.3,3.5,0.1,0,0
320019507004079,0,0,0,0,0
320019501002021,5.4,31.5,1,0.1,0.5
320019507001004,0.1,0.6,0,0,0
320019507001241,3.3,16.3,0.4,0,0.3
320019507001276,5.3,26.5,0.6,0.1,0.4
320019507004038,5.6,18.9,0.4,0.1,0.1
320019507001348,0,0,0,0,0
320019501002194,0,0,0,0,0
320019506001001,0,0,0,0,0
320019501001864,0,0,0,0,0
320019506001278,0,0,0,0,0
320019506001103,0,0,0,0,0
320019506001084,0,0,0,0,0
320019506001089,0,0,0,0,0
320019506001109,0,0,0,0,0
320019506001260,0,0,0,0,0
320019501001072,0,0,0,0,0
320019506001049,0,0,0,0,0
320019506001014,0,0,0,0,0
320019501002138,0,0,0,0,0
320019501002154,0,0,0,0,0
320019501002075,0,0,0,0,0
320019501002119,0.3,0.9,0,0,0
320019507004068,3.3,15.7,0.4,0,0.1
320019501002099,0,0,0,0,0
320019507001043,0,0,0,0,0
320019507001129,0,0,0,0,0
320019507001125,0,0,0,0,0
320019507001156,0,0,0,0,0
320019507001126,0,0,0,0,0
320019501002059,0.4,1.4,0,0,0
320019506001198,7,26.1,0.4,0.1,0.2
320019507001012,0,0,0,0,0
320019501002014,3.3,11.2,0.3,0.1,0.2
320019507001364,0,0,0,0,0
320019507003105,0,0,0,0,0
320019507001117,0,0,0,0,0
320019507001064,0.1,0.6,0,0,0
320019507001061,0,0,0,0,0
320019507001099,0,0,0,0,0
320019507001044,0,0,0,0,0
320019507001066,0,0,0,0,0
320019507001045,0.2,1.2,0,0,0
320019507001199,0,0,0,0,0
320019507001298,0,0,0,0,0
320019506002017,3.1,13.2,0.1,0,0.2
320019507001320,0,0,0,0,0
320019507001325,0,0,0,0,0
320019507001291,0,0,0,0,0
320019503012011,0,0,0,0,0
320019503023027,5.3,9.9,0.4,0,0.2
320019503021062,2.9,8.1,0.3,0,0.1
320019505001062,0.8,1.1,0,0,0
320019503024041,0,0,0,0,0
320019507004034,6.3,21.1,0.5,0.1,0.1
320019507004015,0,0,0,0,0
320019506002065,0,0,0,0,0
320019507001277,1.4,6.8,0.2,0,0.1
320019507004065,0.2,1.2,0,0,0
320019507003025,3.9,17,0.4,0,0.2
320019503023005,7.6,17.1,0.5,0.1,0.3
320019501001602,4.7,8.3,0.3,0.1,0.2
320019503013052,0.5,0.9,0,0,0
320019503013051,0,0,0,0,0
320019506001009,0,0,0,0,0
320019501001828,0,0,0,0,0
320019501001057,0,0,0,0,0
320019506001071,0,0,0,0,0
320019501001060,0,0,0,0,0
320019506001107,0,0,0,0,0
320019501001832,0,0,0,0,0
320019506001113,0,0,0,0,0
320019501001315,0,0,0,0,0
320019501001389,0,0,0,0,0
320019501001396,0,0,0,0,0
320019501001000,0,0,0,0,0
320019501001674,0,0,0,0,0
320019501001677,0,0,0,0,0
320019501001194,0,0,0,0,0
320019501001555,0,0,0,0,0
320019501001105,0,0,0,0,0
320019501001122,0,0,0,0,0
320019501001115,0,0,0,0,0
320019507004005,1.4,4.6,0.1,0,0
320019503025009,5.5,17.9,0.7,0,0.5
320019501001603,0,0,0,0,0
320019507004017,1.2,4,0.1,0,0
320019505002037,5.1,14.9,0.4,0.1,0.2
320019505001034,0.5,0.7,0,0,0
320019505002128,0.4,1.1,0,0,0
320019506003006,3.5,14.7,0.1,0,0.2
320019507001336,0,0,0,0,0
320019505001000,0,0,0,0,0
320019506001048,0,0,0,0,0
320019506001290,0,0,0,0,0
320019506001274,0,0,0,0,0
320019506001064,0,0,0,0,0
320019506001063,0,0,0,0,0
320019506001077,0,0,0,0,0
320019506001008,0,0,0,0,0
320019506001116,2.8,10.2,0.2,0,0.1
320019507003219,0,0,0,0,0
320019507001294,0,0,0,0,0
320019506003015,4.7,15.4,0.6,0,0.4
320019503023011,11.8,26.5,0.7,0.2,0.5
320019505002097,0,0,0,0,0
320019505002077,0,0,0,0,0
320019503023035,0,0,0,0,0
320019505002084,1.9,5.5,0.2,0,0.1
320019503025006,0.6,1.3,0,0,0
320019503025024,2.6,4.8,0.2,0,0.1
320019507001322,0,0,0,0,0
320019507001167,0,0,0,0,0
320019507001292,0,0,0,0,0
320019503013044,0.6,1.1,0,0,0
320019507001230,1.1,5.4,0.1,0,0.1
320019507001177,0,0,0,0,0
320019507001330,0,0,0,0,0
320019507001401,0,0,0,0,0
320019507001185,0,0,0,0,0
320019505001014,1.1,1.4,0,0,0.1
320019505002057,0,0,0,0,0
320019505001039,6.1,8.3,0.2,0.1,0.4
320019503021016,2.3,6.6,0.3,0,0.1
320019501002006,0,0,0,0,0
320019501002011,0,0,0,0,0
320019507004075,0,0,0,0,0
320019503013022,0.3,0.6,0,0,0
320019507001224,0,0,0,0,0
320019505001038,1.9,2.5,0.1,0,0.1
320019505001032,0.5,0.7,0,0,0
320019503021081,0,0,0,0,0
320019505002078,0,0,0,0,0
320019501001594,0,0,0,0,0
320019501001585,0.3,0.9,0,0,0
320019504001010,0,0,0,0,0
320019504001005,0,0,0,0,0
320019501001624,0.8,2.6,0.1,0,0
320019504001073,0,0,0,0,0
320019504001045,0,0,0,0,0
320019504001089,0,0,0,0,0
320019504001016,0,0,0,0,0
320019504001099,0,0,0,0,0
320019507003021,0.6,2.4,0.1,0,0
320019507003013,0,0,0,0,0
320019507003082,0,0,0,0,0
320019507003084,0,0,0,0,0
320019506001173,0,0,0,0,0
320019507003078,0,0,0,0,0
320019507003195,0,0,0,0,0
320019507003157,0.3,1.2,0,0,0
320019507003238,0,0,0,0,0
320019507003134,0,0,0,0,0
320019507003153,0,0,0,0,0
320019501002013,0.8,2.7,0.1,0,0
320019507001142,0,0,0,0,0
320019507001166,0,0,0,0,0
320019505002118,0,0,0,0,0
320019501002179,0,0,0,0,0
320019506002032,0.9,3.7,0,0,0.1
320019504001072,5.9,18.7,0.4,0.1,0.3
320019507001268,13.2,65.9,1.6,0.1,1.1
320019507001085,0,0,0,0,0
320019507004077,0,0,0,0,0
320019503021083,0,0,0,0,0
320019507001211,0.3,1.4,0,0,0
320019503021033,0,0,0,0,0
320019503013025,0.4,1.1,0,0,0
