GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWHI,G18USSRFLA,G18USSOWRI,G18GOVDRAI,G18GOVRFUN,G18GOVITRI,G18GOVIMUN,G18GOVOGIL,G18GOVOARM,G18GOVOWRI,G18LTGDMCK,G18LTGRPEN,G18LTGIRIC,G18LTGIMCC,G18LTGOHEL,G18LTGOWRI,G18ATGDNER,G18ATGOGOR,G18ATGOWRI,G18TREDMAG,G18TRERRIL,G18TREOWRI,G18SOSDGOR,G18SOSRCOR,G18SOSOWRI
44007442606,44,007,442606,338.9,38,2,318.9,38,9,15,3,6,0,315.9,29,5,6,9,5,326.9,31,2,308.9,41,2,331.9,29,1
44007442607,44,007,442607,1047.8,182.3,2,951.2,160.7,34.5,40.4,25.6,17.7,2,969.9,127.2,22.7,28.6,36.5,17.7,1043.8,133.1,3,1045.8,158.7,1,1049.8,155.7,1
44007442608,44,007,442608,944,184.8,0,875.1,155,25.2,37.1,19.2,15.1,3.1,849,149.3,15.1,27.5,42.4,22.9,948.5,122.3,9.1,937.9,159.7,2,957,150.6,1
44007442609,44,007,442609,86.6,12.2,1.8,77.9,12.2,7,0.9,0.9,2.6,0,77.9,11.4,0.9,2.6,7,0,84,12.2,0.9,79.6,17.5,0,87.5,12.2,0
44007442610,44,007,442610,84,11,0,77,9,1,4,1,0,0,75,7,1,0,2,1,77,7,0,79,6,0,80,8,0
44007442611,44,007,442611,401.7,47.8,1.2,364,46.7,10.1,12.6,10.3,6.3,1,367.9,41,9.3,4.4,9.8,2,380.5,45.2,1.2,376.6,47.2,1,387.9,43.5,0
44007442612,44,007,442612,452,223,3,401,189,38,21,15,7,3,449,164,13,15,14,4,490,129,7,453,197,2,467,183,4
44007442613,44,007,442613,665.3,168.9,4.4,596.9,159.7,22.1,25.4,21.5,10.4,2.3,637.2,126.1,20.9,17.4,17.6,4.2,661.8,116.4,11.2,652.4,162.3,1.2,669.1,147.2,1.1
44007442614,44,007,442614,570,144,2,517,126,24,17,14,14,3,555,114,10,9,15,5,572,99,6,555,130,3,570,127,3
44007442615,44,007,442615,247,52,0,213,55,14,9,7,2,0,228,40,9,6,7,6,244,41,4,241,55,0,247,50,0
44007442616,44,007,442616,102.8,36.8,0,82.4,30,6.8,4.8,7.8,4.8,1.9,101.8,23.3,7.8,2.9,3.9,0,116.3,16.5,1,101.8,34.9,0,109.5,29.1,0
44007442617,44,007,442617,165.2,37.2,0,142.6,39,8.2,4.2,5.2,3.1,1.1,159.2,28.7,2.2,4.1,4.1,0,166.7,28.5,0,156.2,41.1,1,166.5,34.9,1
44007442618,44,007,442618,825,433,3,675,388,82,39,51,17,5,844,291,32,27,42,3,944,229,9,883,342,2,882,344,0
44007442619,44,007,442619,443,230,3,365,224,37,15,19,9,5,444,168,23,13,14,3,498,124,3,442,212,1,468,190,1
44007442620,44,007,442620,812,337,6,665,322,57,47,34,15,6,783,239,23,34,30,14,873,199,9,808,313,2,840,280,4
44007442621,44,007,442621,232,139,0,187,122,31,6,16,5,2,230,99,10,9,14,1,270,66,4,237,123,0,248,108,0
44007442622,44,007,442622,140,69,1,110,78,12,2,5,5,1,135,57,10,3,3,0,161,38,1,136,66,0,148,59,0
44007442623,44,007,442623,203,84,0,172,77,13,13,13,1,0,213,52,10,4,5,0,237,39,0,208,67,1,216,66,0
44007442624,44,007,442624,234,143,4,199,141,15,7,12,3,4,243,90,7,10,22,1,297,58,4,249,122,1,259,116,1
44007442625,44,007,442625,213,63,0,181,64,10,12,9,3,0,194,45,7,9,8,2,216,41,2,208,60,0,214,57,1
44007442626,44,007,442626,70,6.8,0,66.2,8.8,1,1,0,1,0,66.2,5.8,2,1,1,0,65.2,6.8,0,62.3,7.8,0,69.1,6.8,0
44007442627,44,007,442627,482.7,131,3,408.6,124.8,26.4,21.4,13.3,18.2,1,458.8,98.4,14.2,17.3,12.4,4.2,473.6,100.5,5,466.7,129.8,0,495.7,106.7,1
44007442628,44,007,442628,679.9,394.5,1.1,578.8,350.3,67.5,26.6,33.7,16.2,2.1,697.9,260.2,26.3,31.3,37.6,6.2,817.7,191.4,4.4,702.1,338.7,1.1,736.7,310,2.1
44007442629,44,007,442629,850.9,417.2,2,703.8,386.2,64,39,53,13,4,844.8,297.2,40,21,35,7,963.8,223.2,9,868.7,356.2,3,898.9,332.2,2
44007442630,44,007,442630,73.8,37.8,0,67.3,31.4,9.3,1.1,1.3,1.1,0,78.8,21.1,1.2,4.1,3.3,1,85.7,19.1,0.1,75.1,30.4,0,83.2,26.3,0
44007442631,44,007,442631,323,74,0,300,68,10,8,6,9,0,306,58,9,7,8,1,314,51,2,311,76,0,316,70,0
44007442801,44,007,442801,98.1,18.9,0.9,101.7,15.3,2.7,1.8,2.7,0.9,0,84.6,14.4,0.9,3.6,1.8,0,88.2,13.5,1.8,84.6,20.7,0,89.1,18.9,0
44007442802,44,007,442802,177,36,0,188,21,5,0,1,0,0,170,22,2,3,6,3,187,17,0,180,32,0,190,20,0
44007442803,44,007,442803,1056,162,2,1054,118,6,10,17,4,6,977,84,7,27,49,35,1077,83,9,1048,148,1,1076,114,7
44007442804,44,007,442804,370,21,1,345,21,2,4,4,3,2,331,16,0,7,13,9,349,16,2,353,22,0,358,20,1
44007442805,44,007,442805,1476,216,5,1442,185,20,17,17,10,6,1340,143,13,25,65,39,1477,99,14,1473,180,3,1477,165,9
44007442806,44,007,442806,97,17,0,99,11,1,0,2,1,1,90,10,0,1,7,3,100,9,1,98,13,0,100,13,0
44007442807,44,007,442807,0.4,0,0,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0,0,0.4,0,0,0.4,0,0
44007442808,44,007,442808,934.2,134.8,1,897,109.4,19.5,9.8,14.7,12.7,5.9,872.6,86,12.7,21.5,39.1,17.6,948.8,79.2,0,942,114.3,1,943,106.5,0
44007442809,44,007,442809,1192.9,129.2,4,1125.6,115.7,23.3,11.1,19.2,17.1,6.1,1075.7,80.4,16.2,34.2,41.5,28.1,1162.6,105.9,6,1186.2,108.8,2,1193.1,107.7,2
44007442810,44,007,442810,65.6,6.7,0,66.5,2.9,0.9,0.9,0.9,0,0,56.1,2.9,0.9,0,3.8,2.9,64.6,3.8,0,65.6,4.8,0,67.5,1.9,0
44007442811,44,007,442811,597.1,68.9,1,546.2,71.9,10,25,8,7,3,561.2,51.9,13,10,10,5,576.2,62.9,3,567.2,69.9,4,583.1,64.9,4
44007442812,44,007,442812,624.2,113.9,2,563.4,113.9,22.6,23.6,8.8,7.8,2,588.9,91.3,21.6,12.8,10.8,3.9,604.6,94.2,3.9,607.6,105,2,630.1,92.3,1
44007442813,44,007,442813,447.9,48.1,0,412.8,51.1,15,11,8,10,0,419.8,37.1,5,6,11,4,425.8,48.1,2,435.8,46.1,1,447.9,35.1,0
44007442814,44,007,442814,305,52,0,256,61,12,11,10,8,0,278,43,9,10,8,4,296,48,2,291,54,0,301,51,0
44007442815,44,007,442815,743.6,215.6,2,742.2,173.6,14.1,5.1,16.1,3.1,3,690.3,157.4,15.1,18.1,30.1,19.1,795.5,70.4,13,763.5,175.5,2,782.6,152.5,0
44007442816,44,007,442816,1630.7,214.1,3.9,1536.1,213.9,23.7,23.8,25.6,15.8,8.9,1439.6,157.9,14.8,48.3,48.3,84.6,1594.4,152.9,12.8,1618.9,192.3,2,1632.7,180.5,3
44007442817,44,007,442817,1657.3,234.1,6,1592.8,205.1,17.1,20.1,30.1,15.1,11.1,1494.3,156.8,26.1,33.2,46.2,63.4,1675.1,127.8,16.1,1654.2,199,3,1668.3,188.9,6
44007442818,44,007,442818,868.4,73.3,7.9,814.1,71.3,12.3,23.2,12,17.9,9.3,778.4,52.1,24.1,27.9,26.9,28.7,822.2,87.8,7,841,80.1,6,857.3,69,6.9
44007442819,44,007,442819,895.5,294.2,5.1,776.2,319.2,34.6,24.5,16.5,20,5.2,904.4,203.7,26.3,12.2,17.7,8.5,973.2,147.2,15.4,894.9,258.5,5.1,921.4,250.4,6
44007442820,44,007,442820,112.3,49.2,0.2,88.5,59.7,8.6,1.3,1.5,4.3,0.1,114.7,34.3,5.1,1.4,4.7,0,117.7,35,0.1,113.4,43.5,0,115.8,42.4,0
44007442821,44,007,442821,575,124,1,504.9,128.9,21.4,23.3,12.7,7.8,3.9,545,82.1,19.5,12.7,12.6,5.8,580.2,65.3,4.9,564.4,107.4,2,581.9,107.3,1
44007442822,44,007,442822,157,13,1,147,15,3,3,1,2,0,145,11,5,3,3,1,152,17,0,151,16,0,156,13,0
44007442823,44,007,442823,823,77,0,746,94,27,25,11,11,1,771,50,16,13,12,3,762,76,2,767,82,1,786,71,4
44007442824,44,007,442824,1100.4,160.1,2,954.9,217.8,30.1,34.8,24.9,10,3,1037.6,115.9,17.1,15.1,27,8,1038,132.6,10,1040,156,6,1066,151.8,4
44007442825,44,007,442825,122,12,0,108,17,2,6,0,1,0,108,12,4,1,3,0,115,9,0,108,17,0,112,16,1
44007442826,44,007,442826,753,51,4,702,58,11,24,8,11,2,711,36,14,10,16,5,705,65,6,719,56,2,737,45,4
44007442827,44,007,442827,853,43,1,764,84,11,38,21,5,4,775,39,6,21,17,9,774,63,6,790,54,4,825,38,2
44007442828,44,007,442828,540,52,3,522,50,5,14,11,3,2,508,37,8,13,11,12,523,46,6,527,55,2,540,48,3
44007442829,44,007,442829,641,72,2,561,100,15,24,13,10,2,610,47,8,11,19,3,605,70,0,627,60,1,646,50,0
44007442830,44,007,442830,39,4,0,38,2,1,0,2,1,0,40,1,0,0,0,0,37,0,0,37,1,0,39,2,0
44007442831,44,007,442831,571.6,26,2,539.6,24,12,22,9,8,3,528.5,15,10,4,12,2,519.6,34,4,526.6,32,3,550.6,22,3
44007442832,44,007,442832,797,55,3,688,88,21,39,13,17,1,718,41,17,11,20,6,731,68,5,734,69,4,769,53,5
44007442833,44,007,442833,344.2,22.4,0,320.1,25.2,6.1,12.1,3,3,0,324.6,16.2,2.1,4,3.2,1.1,319,27.2,0,331.1,19.3,0,331.2,20.2,0
44007442834,44,007,442834,164.7,17.2,0,156.6,20.2,8,3,2,2,0,154.7,12.1,4,5,2,1,152.8,15.1,0,149.7,23.2,0,156.8,20.1,0
44007442835,44,007,442835,119.1,23.1,0.1,120.2,18.1,1,2.2,2.9,0.1,0,113.7,17.3,0.1,1,6.1,0.7,121.3,14,0.9,116.9,20.7,0,118.1,21.8,0
44007442836,44,007,442836,7.3,0,0,6.1,0,0,0,0,0,0.6,6.7,0,0,0,0,0,6.7,0,0,6.7,0,0,6.7,0,0
44007442837,44,007,442837,309.7,67.4,1.7,286.7,68.3,11.1,4.3,6.8,2.6,0,290.1,50.3,4.3,6,12.8,4.3,320.8,35,5.1,300.3,70,0.8,318.2,52.9,1.7
44007442838,44,007,442838,216,40,0,201,36,7,4,4,3,3,196,36,1,3,6,2,204,24,1,199,40,1,203,38,0
44007442839,44,007,442839,552.5,84.7,3.3,511.5,84.6,16.4,11.7,11,6.8,0,513,61.3,11.9,9.5,16.1,4,539.2,61,6.1,535.2,80.3,1.2,548.2,74.2,3.3
44007442840,44,007,442840,222.4,18.1,0.9,190.8,29.8,5.4,9.9,7.2,4.5,0,205.2,14.5,3.6,3.6,2.7,0.9,199.8,27.1,0.9,197.1,24.4,0.9,208.8,19,0.9
44007442841,44,007,442841,176,18,1,151,18,7,13,1,5,1,165,14,1,6,2,0,161,24,1,170,19,0,171,17,0
44007442842,44,007,442842,100,17,2,88,15,1,5,3,5,1,92,9,3,5,4,1,103,9,0,100,11,0,104,9,1
44007442843,44,007,442843,200,80,0,188,72,6,2,3,5,2,197,42,7,9,5,2,225,35,2,208,61,0,210,57,1
44007442844,44,007,442844,563,210,4,498,204,30,14,13,14,6,547,141,32,7,17,11,625,94,12,575,176,2,585,168,3
44007442845,44,007,442845,374.9,174.8,1.1,342,172,15.4,6.6,4.4,8,5.1,384,99.1,15.5,14.5,11.4,12.9,457.8,65.8,2.5,388.8,145.1,0,418.5,120.2,0.1
44007442846,44,007,442846,431,151,2,360,166,28,14,14,5,1,424,94,26,9,13,6,476,75,4,436,127,4,446,121,3
44007442847,44,007,442847,260.8,32.6,1,240.5,32.6,4.7,10.6,6.9,5.1,0.1,239.7,26.4,6,4.7,8,2,239.5,31.8,2.3,239.4,37.3,0.2,255.2,29.9,1
44007442848,44,007,442848,66.2,10.6,0.1,63,8.3,3,2.1,1.1,1.2,0.1,59,6.4,3,0.1,2.1,0.1,59,8.6,1.1,61.1,9.6,1.1,66.1,6.5,1.1
44007442849,44,007,442849,640.3,193.3,2,533.1,205.8,30.3,21.2,13.3,17,3,608.7,133.7,19.6,23.2,22.2,5.1,674.2,94.8,6.1,639.6,165.8,2,661.1,147.4,2
44007442850,44,007,442850,260.4,64.7,0,215.2,71.2,4,9.7,5.7,6.5,0,241.8,51,6.5,4,5.7,0,246.7,40.4,1.6,239.4,62.3,0.8,256.4,47.7,0
44007442851,44,007,442851,555,183,3,480,175,25,23,13,11,4,537,103,20,23,17,11,605,79,5,557,151,4,565,147,3
44007442852,44,007,442852,173,29,2,149,27,6,4,9,3,0,165,19,3,3,3,1,164,20,2,167,27,0,162,29,0
44007442853,44,007,442853,145,37,0,133,34,7,5,2,2,0,132,31,2,2,6,0,140,25,2,139,35,0,143,33,1
44007442854,44,007,442854,1147.7,274.7,1,991.9,301.7,46,33,31,17,8,1090.8,183.8,20,36,40,28,1209.6,156.8,9,1145.7,243.7,1,1182.7,215.8,2
44007442855,44,007,442855,859.5,166.4,1,777.3,169.4,28.1,28,21,8,2,850.4,106.2,19,12.1,18,7,868.6,103.2,7,840.5,152.3,4,878.6,132.3,2
44007442856,44,007,442856,30.3,7.1,0,27.6,9.8,0,0,0,0,0,29.4,4.4,0.9,0,0.9,0.9,29.4,6.2,0,29.4,7.1,0,32,4.4,0
44007442857,44,007,442857,65,9,0,55,15,1,1,0,3,0,61,6,1,2,2,0,58,7,0,60,11,0,59,9,0
44007442858,44,007,442858,219.8,31.7,1.1,188.5,43.1,6.5,12.2,2.3,2.1,1,206.9,26.7,2.3,3.2,9.7,1.3,216.2,23.2,1.2,207.3,34.8,1,216.4,27.8,1.1
44007442859,44,007,442859,170,21,0,154,17,1,4,7,3,0,152,16,3,3,8,3,164,13,1,159,19,1,167,16,1
44007442860,44,007,442860,86,16,0,83,13,2,5,1,1,0,83,12,1,2,3,0,85,10,2,87,14,0,86,14,0
44007442861,44,007,442861,840,131,3,745,136,16,26,21,21,4,772,85,15,29,19,16,801,112,4,824,116,4,837,112,2
44007442862,44,007,442862,906,120,8,821,124,25,16,19,15,6,809,88,23,15,33,15,861,96,9,860,121,2,894,102,6
44007442863,44,007,442863,417,46,2,366,54,14,13,14,4,1,382,31,12,7,12,3,384,51,1,391,49,2,400,43,1
44007442864,44,007,442864,228,13,0,204,17,2,11,7,3,0,193,13,2,5,8,6,206,17,0,213,16,0,212,13,0
44007442865,44,007,442865,121.6,5.4,0.7,113.7,4,3.9,0.1,4.5,0.8,0.8,110.4,3,0.1,3.7,6,0,107,10.2,0.1,111.2,11.2,0,115,6,0
44007442866,44,007,442866,701,56,4,641,51,15,21,16,16,3,623,40,4,20,23,25,665,52,7,684,54,2,698,50,2
44007442867,44,007,442867,80.3,7.9,1,76.7,5,0.9,0.8,2,2.7,1.9,75,5.6,0,2.6,3.2,0.8,74,10.1,0.8,76.8,9.4,0.8,77.8,7.2,0.8
44007442868,44,007,442868,581,37,1,573,37,6,10,9,3,2,556,26,7,5,8,6,555,35,3,555,35,1,572,30,0
44007442869,44,007,442869,80,4,0,74,4,2,2,1,1,0,71,3,2,3,3,0,75,6,0,77,4,0,76,5,0
44007442870,44,007,442870,507.8,71.4,3,471.1,76.8,11.1,16,8.1,5.2,2.1,486.6,59.1,12.1,5.2,3.2,3,485.1,51.8,6,479.9,68.3,3,501.9,61.3,1.1
44007442871,44,007,442871,343.6,69.2,3,285.6,86.4,15.9,8.9,5,8.9,3,315.8,43.4,10,5,13,4,320.2,52.8,3,324.8,53.4,3,340.7,47.4,3
44007442872,44,007,442872,60,12.4,0,54.7,12.6,1.1,2,2,0,0,55.1,7.4,0.1,1,3,3.9,59.2,9.1,1,59.1,10.4,0,62,9.4,0
44007442873,44,007,442873,68,9,0,60,12,3,2,0,0,0,62,5,3,2,2,1,65,9,1,67,8,0,67,5,1
44007442874,44,007,442874,589.2,199.6,1.1,485.9,224.2,33,25.1,17.5,10.9,2.1,560.2,155.4,23.6,9.8,18.9,3.8,610.6,114.8,11.3,578.4,180.5,2.8,594.4,171.8,0.1
44007442875,44,007,442875,669,117,1,581,141,23,24,22,9,1,638,84,17,19,19,3,653,93,2,661,101,0,664,108,1
44007442876,44,007,442876,412,57,4,378,73,0,19,7,7,2,391,46,7,7,8,5,390,47,4,386,70,3,400,58,2
44007442877,44,007,442877,210,49,1,186,54,5,11,6,3,2,204,26,11,3,8,1,213,33,4,206,40,1,209,45,1
44007442878,44,007,442878,23.6,5.9,0.7,19.9,7.4,0,0.7,0.7,0.7,0,23.6,5.2,0.7,0,0,0,24.3,2.2,0.7,22.1,6.6,0,22.1,6.6,0
44007442879,44,007,442879,468.3,23.9,0,434.4,32.9,9,15.9,4,7,0,426.5,27.9,9,8,11,2,439.4,24.9,0,438.4,38.9,0,452.4,31.9,0
44007442880,44,007,442880,551,48.8,1,501.6,49.9,14.1,11.5,16.8,11.9,1.1,500.9,41.4,6.3,12.1,19.9,11.8,523.9,50.5,4,541.5,48.8,1,552.5,43.8,0.1
44007443001,44,007,443001,693.5,1049.4,0,541.7,1021.8,94.2,14.9,57.5,12.9,7,721.2,821.3,52.6,55.6,33.7,2,1111.9,379.1,26.8,774.8,927.5,2,795.8,900.5,1
44007443002,44,007,443002,569.6,834.5,0.9,430,867,59.1,24.9,26.8,12.4,5.7,540.6,685.7,52.2,48,25,3.4,842.1,357.5,18.8,587.1,770.3,1.7,646.8,703.2,1.8
