GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWHI,G18USSRFLA,G18USSOWRI,G18GOVDRAI,G18GOVRFUN,G18GOVITRI,G18GOVIMUN,G18GOVOGIL,G18GOVOARM,G18GOVOWRI,G18LTGDMCK,G18LTGRPEN,G18LTGIRIC,G18LTGIMCC,G18LTGOHEL,G18LTGOWRI,G18ATGDNER,G18ATGOGOR,G18ATGOWRI,G18TREDMAG,G18TRERRIL,G18TREOWRI,G18SOSDGOR,G18SOSRCOR,G18SOSOWRI
44007443906,44,007,443906,411.5,280.1,1,334.8,294.5,25.3,10.7,21.4,8.7,2,420.1,204.5,13.6,16.4,16.5,1.9,466.6,156.2,6.8,409.3,244.4,1.9,420.1,246.1,1.9
44007443907,44,007,443907,601.1,457.6,2.2,500.7,465.5,40.5,18.7,25.8,11.7,3.2,654.3,316.4,19.2,18.5,25.1,4.3,692.8,269.9,7.2,597.8,415.6,0.1,634.5,390.5,1.1
44007443908,44,007,443908,455.5,462,2.8,378,447.1,49.5,10.3,25.2,10.3,2.8,500.3,317.3,31.7,21.5,29.9,3.7,564.6,267.9,2.8,492.8,391.1,0.9,504,389.2,0.9
44007443909,44,007,443909,654,588,1,572,551,55,18,35,16,3,739,404,29,21,30,4,835,276,10,707,481,0,724,481,1
44007443910,44,007,443910,649.6,549.7,2.9,551.6,521.3,58.8,15.7,33.3,21.6,3.9,702.5,383.1,32.3,24.5,32.3,1,807.4,284.1,5.9,708.4,448.8,2,694.7,466.4,2
44007443911,44,007,443911,559,326,1,520,298,32,13,10,17,1,560,244,26,17,17,3,628,184,9,548,292,3,565,296,1
44007443912,44,007,443912,479.8,340.2,0,402.5,319.4,41.7,15.9,25.8,14.9,0,490.6,236.1,21.9,16.9,29.8,0,561.9,173.7,3,504.4,284.7,1,506.4,290.7,0
44009440501,44,009,440501,580.3,411.3,2,501.6,366.9,63.7,20.2,32.7,12.3,3.1,530.4,333.2,35.3,27.4,27.8,11.1,658.8,221.7,9.2,563.4,400.7,2,593,365.2,1
44009440502,44,009,440502,606,440,4,530,390,56,12,39,15,6,581,341,31,26,23,6,708,229,3,598,419,3,646,367,1
44009440503,44,009,440503,562.6,396,1,526.9,340.8,38.5,8.2,30.8,8.3,0.1,534.3,330.6,17.9,17.6,30,5,661.1,183.3,8.4,550.6,378,0,577.7,356.9,0
44009440504,44,009,440504,472.8,339.2,2,465.8,281.9,32.7,2,16.8,10.9,0,471.7,255.2,15.8,19.8,23.7,1,550.9,151.4,4,484.6,306.6,0,520.2,271.1,0
44009441101,44,009,441101,476.2,400.4,4,407.3,369.6,50.5,7.3,31.7,13,1,455.3,307.3,41.5,24.3,24.5,4.2,596.9,179,4.2,499.4,362.7,2,532.3,330,1
44009441102,44,009,441102,425.1,475.2,1,323,457,61.1,10,31.1,13,4,380.1,397,33.1,28.1,27.1,2,542.5,243.6,10,426.2,457.1,1,447.3,422,2
44009441103,44,009,441103,566.8,663.4,2.1,498.5,602.5,56.4,16.2,40.3,9.3,1.1,547.7,514.6,62.3,21.5,41.3,3.3,775.5,263.5,15.2,596.8,600.6,1,655.5,530.3,2
44009441401,44,009,441401,743.1,764.8,5.9,658.9,666.8,97.1,21.8,41.7,21.8,4.9,719,626.1,42.7,41.6,42.7,0,893.5,438,11.9,742.8,734.2,2,790.6,684.6,1
44009441402,44,009,441402,743.2,612.8,4,638.9,556.5,88.3,15.1,43.2,16.1,3,665,508.5,55.2,39.1,47.1,3,857.6,323.9,11,712.2,594.7,3,779.4,529.6,2
44009441403,44,009,441403,290.9,247.3,0,251,205.5,34.9,7,30.9,8,2,267.1,199.4,27.9,11,18.9,3,352.8,123.7,3,301.9,223.4,1,315.9,213.3,0
44009442001,44,009,442001,148.4,100.6,0.1,133.9,90.7,10.4,0.9,10.5,0.7,1.2,159.1,55.6,7.9,3.1,9.3,2.2,188.3,31.2,0.6,152.8,85.5,0,169.3,71.9,0.1
44009442002,44,009,442002,1010.8,672.1,4.8,838,612.4,76.2,28.9,78.1,20.3,5.8,1000.2,454,58.8,34.7,71.4,7.7,1254.1,254.9,19.3,1053.3,576.5,1,1129.5,496.5,1.9
44009442003,44,009,442003,1019.8,734.3,4,872,716,73.3,17.1,42.4,27,6,1033.7,526.5,44.3,32.1,55.3,8,1283.6,279.9,13.1,1086.8,630,0,1128.2,586.6,3
44009442004,44,009,442004,996.6,728.6,3,920.6,641.5,68.1,30,49,8,4,1019.7,507.4,43,32,52,7,1240.9,278.2,16,1032.7,632.5,3,1110.7,555.4,0
44009442005,44,009,442005,870.4,784.4,3,795.4,663.5,90.9,20,55,17,4,976.3,498.6,40,35,43,4,1199.1,254.8,12,926.3,684.5,1,1012.3,586.6,0
44009442201,44,009,442201,604,167,1,569,140,20,11,18,12,2,569,150,11,13,13,0,616,84,5,571,178,0,614,143,0
44009442301,44,009,442301,585.8,632.2,1,527.7,578.5,44.8,15.2,35.5,5.2,1,624.6,471.3,32.8,21.3,29.5,1.1,884.3,195.4,12.2,643.2,540.5,1,664,515.5,2
44009442302,44,009,442302,835.5,630.2,1.9,691.2,573.1,77.4,27.1,54.2,21.3,14.5,843.2,450.2,48.4,36.8,43.6,17.4,1063,263.3,16.5,884.8,551.8,2.9,951.6,481.2,1.9
44009442303,44,009,442303,934.2,712.9,1.1,807.1,643.6,78.8,24,59.1,17.8,5.5,931.3,533.1,42.7,35.4,44.8,8.6,1206.8,265.8,26.6,955.9,639,0.1,1008.4,600.4,0.1
44009442304,44,009,442304,903.5,695.6,1,765.6,663.6,61,16,66,14,5,888.5,531.7,42,46,46,4,1147.4,279.8,17,923.5,626.7,1,977.5,572.7,1
44009442305,44,009,442305,521.1,458,1,463,408.8,34.5,21.7,45.3,3,2,518.1,330,29.6,20.7,34.5,9.8,743.7,128.1,11.8,528.9,416.6,1,586.1,370.4,1
44009442306,44,009,442306,533,397,2,451,353,63,19,31,4,5,526,299,20,29,26,5,703,136,10,553,349,3,600,303,2
44009442307,44,009,442307,1091.7,655.6,6.7,940.7,592.1,76,31.8,77,17.3,2.9,1040.8,471.8,32.7,46.2,74.1,19.2,1304.6,247.4,17.3,1112,583.4,0,1197.6,510.3,1.9
44009442308,44,009,442308,1137,747.5,2.3,991,689.9,55.1,25.3,65.1,31.7,10.1,1089,541,46.3,47.9,62,19.8,1409.6,266,17.7,1167.9,658.5,1,1241.3,585.6,3.1
44009442309,44,009,442309,1071.9,664.5,1,965.7,589.1,62.5,26.8,64.5,19.8,5,1058,486,29.8,33.7,66.4,8,1316.8,258.9,19.8,1108.6,588.1,1,1171.1,523.6,0
44009442901,44,009,442901,875.4,821.1,1,710.4,769.7,81,20.8,70.2,26.7,7.9,783.5,700.5,37.5,46.4,78.1,10.9,1106.6,380.4,19.8,880.4,765.7,1,941.6,713.4,1
44009442902,44,009,442902,770.8,804.7,5,652.1,707,92.7,28.9,69.8,21.9,3,746.9,664.1,60.8,38.9,46.9,3,1005.1,409.8,25.9,821.6,732.9,0,886.5,672.1,2
44009443201,44,009,443201,315,242,0,288,219,21,5,13,3,1,308,171,14,16,15,7,404,87,1,322,214,0,337,204,0
44009443202,44,009,443202,868,478,4,758,432,53,14,45,20,11,832,330,50,31,46,9,1015,175,6,890,427,1,937,376,1
44009443203,44,009,443203,931,498,3,842,441,59,16,46,22,7,883,354,36,38,50,12,1081,193,11,950,437,0,989,399,2
44009443204,44,009,443204,939.9,313,2.9,800.1,280.2,54.9,25,55,18.4,4.8,866.4,217.3,27.1,33.8,40.6,22.1,949.1,195.5,4.8,924.4,300.3,3.8,963.1,254.8,3.8
44009443205,44,009,443205,1156.9,434.9,1,1002,402.2,46.7,19.9,72.5,25.8,7.9,1044.7,287,41.7,47.7,56.6,11.9,1241.3,183.7,6,1132,393.2,1,1191.6,321.7,2
44009443206,44,009,443206,651.3,374.5,6.8,564.2,349.1,44,15.7,30.3,19.6,5.9,596.5,268.9,41.1,31.3,33.2,14.7,740.3,145.7,13.7,623.9,351.1,0,682.6,308,0
44009443207,44,009,443207,1202.7,537.4,8,1055.2,497.7,60.3,19.8,53.4,24.4,10,1132.7,373.4,44.3,40.7,59.6,18.6,1339.3,206.8,10,1191.2,493.7,2.1,1260.5,419.2,0.2
44009443208,44,009,443208,1143.1,734.3,4.2,1060.2,620.6,93.1,19.4,41,20.5,9.2,1136.7,516.2,49.9,38.8,54.1,9.4,1359.7,304.9,15.2,1166.8,652.5,0,1222.2,594,2
44009443209,44,009,443209,475.8,287.7,1.1,429.9,246,35.8,6.3,26.3,5.5,3.3,437.8,213.3,18,21.8,22.1,7.2,542.7,132.1,7.2,469.8,260.6,0.1,508.1,226.3,0.1
44009443210,44,009,443210,719.7,380.6,1.9,639.6,334.3,51.2,9.7,36.7,13.5,9.7,691.7,287.9,27,21.2,31.9,6.8,827.9,169.1,4.8,721.7,350.7,2.9,756.5,313,2.9
44009443601,44,009,443601,349.3,282,0,334.9,251.5,24.4,3.9,10.8,3.9,1.9,342.6,227.3,16.6,6.8,17.5,0,409.9,130.6,10.7,347.3,269.3,0,361.1,255.5,0
44009443602,44,009,443602,925.8,554.8,1.1,860.8,503.1,55.5,17.6,35.2,16.3,0.1,869.5,458.9,36.2,35.9,39.5,2.1,1018.3,291.4,20.6,903.8,523.7,1.1,959.4,479.7,2
44009443603,44,009,443603,1013.3,551.3,2,951.5,456.2,81.4,24.5,38.3,12.8,3.9,960.3,448.3,35.3,33.4,42.2,2,1095.7,288.4,17.7,982.9,522.9,1,1070.2,457.2,0
44009443604,44,009,443604,814.8,666.2,2,826.4,533.1,63.1,10.7,36,3,3.9,795.5,530.2,36.9,16.5,47.5,3.9,954.7,280.6,18.4,782.8,628.3,2.9,845.9,573.9,2.9
44009443605,44,009,443605,859.8,699.6,3,865,559.5,67.5,7.1,44.2,11.9,2.1,867.4,552.5,33.4,20.1,28.6,2.1,1031.7,282.5,14.2,839.4,657.3,0.1,905,595.9,1
44009443606,44,009,443606,750.9,503.2,1.1,693.1,439.2,65.9,13.2,33.3,14.2,1.1,697,409.9,37.3,29.4,41.3,2,820.5,296,4.1,707.2,496.8,2,767.4,449.4,0
44009443607,44,009,443607,602.9,494.5,2,563.8,411.4,63.1,17,21.1,13,4,583.9,395.2,25.1,27,32.1,3,732.2,237.7,15.1,586.9,463.4,0,642,421.4,1
