GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0201337-700,02,013,37-700,28,29,2,2,1,0,0,37,19,4,39,22
0201337-712,02,013,37-712,20,11,0,0,0,0,0,17,11,1,18,11
0201337-720,02,013,37-720,132,62,0,3,3,0,1,137,45,13,150,40
0201337-744,02,013,37-744,156,73,3,7,0,1,1,140,76,23,162,76
0201637-704,02,016,37-704,15,18,0,1,0,0,0,20,16,0,14,22
0201637-706,02,016,37-706,505,465,15,1,1,3,1,494,426,56,511,462
0201637-750,02,016,37-750,6,11,0,1,1,0,0,10,8,1,12,6
0201637-752,02,016,37-752,24,179,5,0,0,0,0,76,91,32,97,99
0202012-225,02,020,12-225,923.28,539.74,36.08,5.04,0.06,3.05,0,958.78,472.68,52.18,939.89,531.63
0202012-230,02,020,12-230,1442.52,624.14,67.05,4.93,1.97,1.97,0,1477.03,575.83,59.16,1426.75,690.2
0202012-233,02,020,12-233,821,365,39,7,6,0,1,829,336,59,827,383
0202013-235,02,020,13-235,729.85,325.79,21.52,9.78,5.87,1.96,0,729.85,274.92,49.9,734.74,309.16
0202013-240,02,020,13-240,1022,572,60,2,2,14,3,1094,443,57,1039,570
0202013-245,02,020,13-245,981.83,686.17,95.03,12.22,3.18,2.01,2,957.9,661.36,98.99,951.43,734.03
0202013-250,02,020,13-250,1123,659,87,9,2,7,1,1088,653,124,1091,745
0202013-255,02,020,13-255,778,384,46,7,3,0,0,801,351,40,776,416
0202013-260,02,020,13-260,35.95,64.12,0,0,0,0,0,34.98,38.86,3.89,34,52.46
0202014-940,02,020,14-940,872,590,68,5,5,0,3,899,552,84,880,660
0202014-945,02,020,14-945,705,471,35,13,20,4,0,751,447,48,723,510
0202014-950,02,020,14-950,1075,610,45,2,0,2,0,1116,575,63,1095,647
0202014-955,02,020,14-955,398.12,263.06,17.66,1.77,4.41,1.77,0,399,266.59,28.25,394.59,287.78
0202014-960,02,020,14-960,1022,701,60,12,3,0,0,1102,615,59,1066,712
0202014-965,02,020,14-965,1668.13,968.71,72.29,9.5,8.36,2,3,1786.77,873.35,78.86,1709.85,1022.71
0202014-970,02,020,14-970,919.92,629.84,54.7,6.35,4.92,0.24,0.01,1000.26,540.42,51.05,964.17,596.73
0202015-300,02,020,15-300,616.17,376.54,74.79,1.16,3.15,0.26,0.33,597.51,369.73,86.11,601.32,444.26
0202015-305,02,020,15-305,743,650,21,14,0,3,4,732,627,52,739,650
0202015-310,02,020,15-310,514,633,17,11,0,7,2,491,576,65,484,650
0202015-315,02,020,15-315,400.78,377.9,24.17,3.02,5.01,0,2,392.04,359.62,28.15,390.93,383.79
0202015-320,02,020,15-320,404.91,616.79,60.42,7.21,1.8,2.71,1.8,409.42,545.55,77.55,414.83,627.61
0202016-325,02,020,16-325,376,507,23,6,6,0,0,384,484,48,376,540
0202016-330,02,020,16-330,541,709,20,8,6,5,9,531,679,79,553,724
0202016-335,02,020,16-335,549.06,685.03,40.01,5,0,2,3,537.06,689.03,67.01,543.06,734.04
0202016-340,02,020,16-340,429,500,25,17,3,0,0,434,474,56,446,508
0202016-345,02,020,16-345,405,424,24,12,2,5,0,413,431,34,408,466
0202016-350,02,020,16-350,796,935,60,12,8,0,0,824,899,73,840,949
0202016-355,02,020,16-355,420,524,18,4,2,3,0,422,464,53,411,540
0202017-400,02,020,17-400,320,538,11,6,5,2,0,348,496,24,327,531
0202017-405,02,020,17-405,174,288,2,8,2,2,0,169,289,18,193,265
0202017-410,02,020,17-410,336,480,40,2,0,2,0,381,416,30,364,444
0202017-415,02,020,17-415,407,636,25,23,0,2,0,409,624,55,404,696
0202017-420,02,020,17-420,862,1158,57,5,9,8,9,912,1085,75,868,1229
