GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRDUN,G18GOVDBEG,G18GOVLTOI,G18GOVIWAL,G18GOVOWRI,G18HALRYOU,G18HALDGAL,G18HALOWRI
0224006-060,02,240,06-060,43.5,66.34,5.65,1.88,0,70.21,50.01,0
0224006-075,02,240,06-075,12,41,0,4,0,27,26,0
0224006-085,02,240,06-085,8.8,61.6,0,0,0,24.44,46.93,0
0224006-090,02,240,06-090,445,156,20,6,5,406,214,8
0224009-600,02,240,09-600,1176.53,242.27,29.89,13.95,1.99,1125.76,323.96,8.97
0224009-608,02,240,09-608,356.01,73,5,7,0,347.01,88,0
0227536-690,02,275,36-690,648,299,25,45,1,649,356,7
0228232-850,02,282,32-850,0.66,1.48,0.08,0.25,0.25,1.4,1.32,0.08
0228232-860,02,282,32-860,107,186,8,24,1,112,206,3
0229006-007,02,290,06-007,5.91,66.97,0.98,10.83,0,3.94,78.79,0
0229006-010,02,290,06-010,10,28,2,2,0,18,25,0
0229006-015,02,290,06-015,31.64,26.14,1.44,0.36,0,33.79,26.8,0
0229006-023,02,290,06-023,16,31,0,2,0,22,28,0
0229006-024,02,290,06-024,0.65,0.36,0,0,0,0.62,0.38,0
0229006-030,02,290,06-030,0.18,0.09,0,0.01,0,0.18,0.09,0
0229006-033,02,290,06-033,51,234,0,13,0,123,174,0
0229006-050,02,290,06-050,45.26,16.73,8.85,3.94,0,44.27,27.55,0
0229006-054,02,290,06-054,6.74,64.27,1.15,2.06,0,17.73,52.45,0
0229006-056,02,290,06-056,245.86,120.79,10.21,8,0,249.79,125.86,7
0229006-070,02,290,06-070,0,6,0,4,0,5,3,0
0229006-080,02,290,06-080,15,106,1,6,0,28,95,1
0229006-095,02,290,06-095,17.07,74.05,0,6,0,37.08,59.04,0
0229037-300,02,290,37-300,10.27,33.72,0.85,5.17,0,23.24,26.49,2.05
0229037-302,02,290,37-302,16.86,41.27,3.76,11.22,0,37.52,34.64,0
0229037-304,02,290,37-304,17.05,61.4,4,3,2,33.19,50.27,3
0229037-306,02,290,37-306,70.44,47.56,1.94,1,0,75.94,45.75,0
0229037-308,02,290,37-308,10.56,28.44,4.06,0,0,17.06,29.25,0
0229037-310,02,290,37-310,3.95,32.6,0,0,0,15.81,21.73,0
0229037-312,02,290,37-312,10,5,0,1,0,10,5,0
0229039-314,02,290,39-314,45.66,123.07,8.93,5.96,0,96.28,87.34,0.99
0229039-316,02,290,39-316,14.34,100.93,2.07,4.04,0,44.72,76.66,1.01
0229039-318,02,290,39-318,4.49,42.2,0,8.98,0,30.53,26.94,0
0229039-320,02,290,39-320,4,25,0,3,0,12,23,0
0229039-322,02,290,39-322,9.4,92.79,0,4.81,0,50.74,54.42,0
0229039-324,02,290,39-324,9,43,0,2,0,28,27,0
0229039-942,02,290,39-942,1.85,6.58,1.02,0.65,0,6.21,3.52,0.09
0229040-326,02,290,40-326,1,80,3,1,0,22,60,0
0229040-328,02,290,40-328,9.75,6.82,0,0,0,10.72,5.85,0
0229040-330,02,290,40-330,2,55,1,3,0,27,33,0
