GEOID,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
100010411001014,12.8,5.5,0.5,0.2,12.9,5.7,12.5,6.2,12.2,5.7,0.8,12.8,5.7
100010411001007,7.6,3.3,0.3,0.1,7.7,3.4,7.5,3.7,7.3,3.4,0.5,7.6,3.4
100010411001018,1.7,0.7,0.1,0,1.7,0.8,1.7,0.8,1.6,0.8,0.1,1.7,0.8
100010432021103,1.8,2.3,0.1,0.2,2.1,2,1.9,2.3,1.5,2.7,0.1,1.8,2.4
100010409001039,9.5,4.9,0.3,0.3,9.8,4.5,9.5,5.1,7.6,6.9,0.3,8.9,5.7
100010409001032,2.4,1.2,0.1,0.1,2.5,1.1,2.4,1.3,1.9,1.8,0.1,2.3,1.4
100010410002045,5.5,2.2,0.1,0.1,5.6,1.9,5.5,2.1,5.1,2.3,0.2,5.5,2.2
100010414002012,10.3,2.5,0.1,0.2,10.6,2.4,10.1,2.9,9.6,3,0.3,10.3,2.7
100010407003015,0,0,0,0,0,0,0,0,0,0,0,0,0
100010416001028,0,0,0,0,0,0,0,0,0,0,0,0,0
100010413001092,1.4,0.9,0,0.1,1.5,0.8,1.4,0.9,1.3,1,0.1,1.4,0.9
100010419001016,19,40.6,0.8,0.9,21.8,36.3,21.8,38.5,15.9,43.5,1.5,18.8,41.3
100010419001043,0.4,0.8,0,0,0.5,0.8,0.5,0.8,0.3,0.9,0,0.4,0.9
100010409001016,3,1.5,0.1,0.1,3.1,1.4,3,1.6,2.4,2.2,0.1,2.8,1.8
100010422012004,2.1,1.8,0,0,2.2,1.6,2.1,1.8,1.8,2,0,2,1.9
100010421002077,18.8,24.4,0.4,0.1,20.9,22,20.1,23,14.9,28.5,0.3,17.3,25.9
100010422013004,4.6,4.8,0.1,0.1,4.8,4.4,4.8,4.7,4.1,5.4,0.1,4.6,4.8
100010421002053,1,1.1,0,0,1.1,1,1.1,1,0.9,1.2,0,1,1.1
100010422013017,6.5,6.8,0.2,0.2,6.8,6.2,6.8,6.7,5.7,7.6,0.1,6.5,6.8
100010422012032,8.2,8.5,0.2,0.2,8.6,7.8,8.5,8.4,7.2,9.4,0.2,8.2,8.5
100010422012017,5.4,4.7,0.1,0.1,5.8,4.2,5.4,4.7,4.7,5.3,0.1,5.2,4.9
100010422021036,39.3,38.1,0.4,1,41.1,34.7,39.5,38.8,32.6,43.8,1.5,36.9,40.6
100010422013034,1.3,1.5,0,0,1.4,1.4,1.3,1.5,1.1,1.6,0.1,1.3,1.5
100010422022033,9.7,12.2,0.1,0.2,10.8,10.4,10.5,11.4,8.1,13.7,0.3,9.5,12.3
100010422022020,1.6,2,0,0,1.8,1.7,1.7,1.8,1.3,2.2,0,1.5,2
