GEOID,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
560019639002640,2.2,1,0.1,0,0,2.3,1,0,2.2,0.9,0.1,0.1,0
560019639002631,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002634,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002548,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002546,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002551,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002565,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002807,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002566,3.4,1.1,0.1,0,0,3.5,1.1,0,3.4,1,0.1,0.1,0
560019639002796,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002797,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002065,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002794,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002108,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002613,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002574,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002618,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002752,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002778,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002774,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002852,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002621,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002653,1.7,0.7,0.1,0,0,1.7,0.8,0,1.6,0.7,0.1,0.1,0
560019639002664,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002713,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002915,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002120,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002118,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002751,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002746,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002917,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002700,1.1,0.5,0,0,0,1.1,0.5,0,1.1,0.5,0.1,0,0
560019639002672,0.6,0.2,0,0,0,0.6,0.3,0,0.5,0.2,0,0,0
560019639002673,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002914,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002695,1.1,0.5,0,0,0,1.1,0.5,0,1.1,0.5,0.1,0,0
560019639002741,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002356,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002363,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002413,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002401,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002394,1.4,0.4,0,0,0,1.4,0.4,0,1.4,0.4,0,0,0
560019639002340,5.4,1.8,0.1,0,0,5.6,1.7,0,5.5,1.6,0.2,0.1,0
560019639002686,0,0,0,0,0,0,0,0,0,0,0,0,0
560019627001349,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002076,1.4,0.4,0,0,0,1.4,0.4,0,1.4,0.4,0,0,0
560019639002071,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002018,0,0,0,0,0,0,0,0,0,0,0,0,0
560019639002023,0,0,0,0,0,0,0,0,0,0,0,0,0
