GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35025000002,35,025,000002,23.8,1.9,0.1,0,0,0,0,0,22.9,2.9,22,3.8,22.9,2.8
35025000003,35,025,000003,411,58,22,1,0,0,0,1,365,97,357,107,377,82
35025000009,35,025,000009,72.9,11.5,5.4,0.3,0.8,0.1,0,0,69.3,18.8,66.3,19.4,70.6,15.7
35025000010,35,025,000010,470,106,40,0,2,0,0,0,444,145,438,134,453,118
35025000011,35,025,000011,131,116,16,1,0,1,0,0,142,103,126,119,124,123
35025000012,35,025,000012,149,68,10,1,0,1,0,0,148,68,139,72,139,70
35025000013,35,025,000013,455.9,144.1,69.9,4,2,2,0,0,446.9,195.1,452.8,188.2,467.9,173.1
35025000014,35,025,000014,279,108,34,0,1,0,1,2,278,123,240,153,258,128
35025000015,35,025,000015,618.1,97.5,45.6,2.7,7.2,0.9,0,0,587.7,159.2,561.7,164.6,598.4,133.3
35025000016,35,025,000016,111,60,21,0,1,0,0,2,109,69,101,73,107,69
35025000017,35,025,000017,159,81,17,1,0,2,0,0,159,87,135,103,145,93
35025000018,35,025,000018,209,29,19,0,1,0,0,0,194,46,195,41,200,35
35025000019,35,025,000019,195.4,30.4,12.3,1,1.8,0,0,0,191.6,39.9,187.3,42,199.3,31.7
35025000020,35,025,000020,112.7,15.3,5.2,0.6,0.9,0.1,0.1,0,109.1,20.8,107,21.7,109.2,19.1
35025000021,35,025,000021,185,21,11,1,0,0,0,0,170,33,166,32,171,27
35025000022,35,025,000022,568.6,88.6,35.7,3,5.2,0,0,0,557.4,116.1,544.7,122,579.7,92.3
35025000023,35,025,000023,541,135,43,3,6,1,0,0,550,164,541,164,557,155
35025000024,35,025,000024,337,59,29,0,6,0,1,0,340,76,349,68,347,69
35025000025,35,025,000025,288,58,12,3,2,0,1,0,288,68,304,58,303,55
35025000026,35,025,000026,556,94,37,0,2,5,0,0,520,146,529,132,538,120
35025000027,35,025,000027,433,69,20,1,1,0,0,0,418,89,420,79,429,74
35025000028,35,025,000028,244,56,18,0,0,2,0,0,237,68,243,59,243,58
35025000029,35,025,000029,354,88,32,2,2,0,1,1,349,103,335,109,341,104
35025000030,35,025,000030,245,70,22,0,3,1,0,0,244,83,246,76,251,76
35025000031,35,025,000031,239,154,34,0,0,1,2,1,268,145,233,172,225,177
35025000032,35,025,000032,321,87,20,0,4,2,0,1,320,102,316,94,320,96
35025000033,35,025,000033,281,102,41,3,5,0,0,0,306,111,289,119,283,126
35025000034,35,025,000034,84,57,9,0,1,0,1,1,88,58,79,65,79,65
35025000035,35,025,000035,90,74,14,0,2,1,1,0,98,58,83,73,76,79
35025000036,35,025,000036,174,99,20,1,0,0,0,0,176,90,160,109,151,121
35025000041,35,025,000041,499,171,46,3,9,0,0,0,515,197,493,207,494,207
35025000042,35,025,000042,290,84,34,2,2,0,1,0,291,102,262,126,278,112
35025000043,35,025,000043,270,89,28,1,1,0,0,0,273,100,241,125,255,112
35025000044,35,025,000044,229,74,21,0,0,0,0,1,230,87,215,94,223,89
35025000051,35,025,000051,84,87,16,1,0,0,1,0,86,88,73,97,77,93
35025000052,35,025,000052,76,105.8,14.7,0.4,0,0,1.2,0,85.9,95.5,76.8,101.9,77.2,100.7
35025000053,35,025,000053,145.5,222.6,31.2,1,2,0,0,0,188.4,192.4,141.6,233.4,141.6,228.5
35025000054,35,025,000054,79,91,11,1,2,0,0,0,99,67,72,85,77,83
35025000055,35,025,000055,53,81,5,0,1,0,1,0,68,53,54,66,47,70
35025000056,35,025,000056,661.6,89.9,30.5,3.7,5.2,0.7,0.7,0,640,121.9,628.1,127.1,640.8,112.2
35025000057,35,025,000057,115.7,15.7,5.3,0.7,0.9,0.1,0.1,0,111.9,21.3,109.8,22.2,112.1,19.6
35025000058,35,025,000058,99.2,138.1,19.2,0.5,0,0,1.6,0,112.1,124.6,100.2,132.9,100.7,131.3
35025000059,35,025,000059,19.4,27.4,3.8,0.1,0,0,0.2,0,22.5,24.6,19.4,26.9,19.5,26.5
35025000061,35,025,000061,132,124,34,2,0,1,0,0,151,121,120,138,122,142
35025000062,35,025,000062,171.7,35.1,12.7,0,0,1,0,0,167.8,39,155.1,45.9,160,40
35025000071,35,025,000071,341.5,76.7,20.6,1,0,0,0,0,306.1,91.2,308.6,82.5,301.6,89.4
35025000072,35,025,000072,437,77,17,2,0,1,0,0,384,104,368,108,374,105
35025000073,35,025,000073,297.1,72.2,20.1,7,0,2,1,0,292,90.3,274,102.3,281,96.3
35025000074,35,025,000074,160,33,13,0,0,0,1,0,157,39,151,44,152,43
35027000001,35,027,000001,159.1,44.6,13.8,0,2,0,0,0,164.9,51.5,178.8,40.7,167.9,47.6
35027000002,35,027,000002,113,80.3,27.8,0,1,0,0,1,119.9,91.2,126.9,79.3,119,85.2
35027000003,35,027,000003,94.9,25.3,5,1.2,0.9,0.2,0.3,0,90.8,32.3,95.1,28.8,94.4,29.5
35027000004,35,027,000004,225,77,20,2,1,0,1,0,225,101,232,92,238,86
35027000005,35,027,000005,186.5,57,12.7,0.9,1.8,0,0,0,189.5,63.9,201.9,52.6,196,55.6
35027000006,35,027,000006,476.6,145.3,31.8,1,3,0,0,0,455.7,183.1,485.6,149.3,486.6,140.3
35027000007,35,027,000007,409.8,184,48.7,5.4,0,0,0,0,400.5,221.9,434.6,180.9,419.9,191
35027000008,35,027,000008,459.4,156.7,43.2,6,4,0,0,0,444.3,187.9,475.4,151.7,458.4,170.7
35027000009,35,027,000009,258.8,147.6,33,1.2,1.7,1.2,0,0,263.4,167.9,273.3,154,272.7,149.4
35027000010,35,027,000010,104.2,56.1,7.1,1.8,0,0,0,0,99.7,59.7,93.5,64.1,89.9,65
35027000011,35,027,000011,210.7,114.2,23.3,3.7,1.7,1.2,2.3,0,210.8,132.5,206.1,137.6,206.3,134.2
35027000012,35,027,000012,204.1,70.7,18.2,3,0,0,1,0,201.2,90.9,184.1,99.9,198.1,80.9
35027000013,35,027,000013,177,100.2,35.3,1.1,0,0,1,0,172.9,132.5,182.2,115.2,177.9,110.4
35027000014,35,027,000014,322.2,111,26.8,6,3,0,0,0,302.4,147.7,327.1,123.9,310.3,133.8
35027000015,35,027,000015,144.1,48.4,12.8,2,0,1,0,0,149,59.2,147,60.2,148,59.2
35027000016,35,027,000016,74.7,37.9,4,0,1,0,0,0,71.7,44.8,78.7,37.9,78.7,38.9
35027000017,35,027,000017,212.3,74.6,21.7,0.2,1.9,0.1,0,0,210.4,94.8,234.8,68.7,229.7,73.3
35027000018,35,027,000018,67,48,11,1,2,1,0,1,80,48,74,52,78,48
35027000019,35,027,000019,124.6,28.2,10.1,3,0,0,0,0,116.6,42.2,121.7,30.2,123.7,28.2
35027000020,35,027,000020,147.5,53.4,10.7,1.8,0.1,0.9,0,0,138.4,68.5,149.2,58.4,146.1,57.8
35027000021,35,027,000021,263.1,106.3,18.6,4.2,0,0.8,0,0,260.6,120.6,266.5,113.8,263.1,113.8
35027000022,35,027,000022,69,50,13,0,0,0,0,0,77,49,72,54,71,53
35027000023,35,027,000023,145,78.6,16.4,2.5,1.3,0.8,1.7,0,145.4,91.6,142.5,95,142.9,92.5
35027000024,35,027,000024,188.2,107.4,24,0.8,1.3,0.8,0,0,191.6,122.1,198.7,112,198.3,108.6
35027000025,35,027,000025,119.4,53.6,14.2,1.6,0,0,0,0,116.7,64.6,126.6,52.7,122.3,55.6
35027000026,35,027,000026,495.5,156.8,33.9,2.9,4.2,0.2,0,0,502,175.8,532.5,147.8,517.7,154.9
35027000027,35,027,000027,50.1,13.6,2.7,0.7,0.5,0.1,0.2,0,47.9,17.4,50.2,15.4,49.7,15.9
35027000028,35,027,000028,394.2,105,20.6,5.1,3.7,0.7,1.5,0,377.3,134.3,395,119.7,392,122.6
35028000001,35,028,000001,260.2,371,109.7,6.4,12.7,1.3,1,0,341.8,388.9,445.5,280.1,400.3,301.7
35028000002,35,028,000002,183.8,207.4,78.6,6.3,23.2,1.4,0.5,0.5,257.1,226.7,309.7,161.6,285.6,178.5
35028000003,35,028,000003,197.2,222.6,84.4,6.7,24.8,1.6,0.5,0.5,275.9,243.3,332.3,173.4,306.4,191.5
35028000004,35,028,000004,172,171,57,3,13,1,0,0,202,201,234,156,222,163
35028000005,35,028,000005,239,311,115,6,29,2,0,0,321,356,406,263,377,281
35028000006,35,028,000006,215,205,83,3,24,2,1,1,295,230,351,169,315,186
35028000007,35,028,000007,138.6,215.6,44.9,1.1,10.1,2,0,0,186.2,211.7,231.8,162,210.2,179.3
35028000008,35,028,000008,101.2,140.7,35.2,3,3.6,0.6,0,0,123.8,146.8,148.8,117.5,127.6,129
35028000009,35,028,000009,100.9,246.3,53.8,1.4,10.5,1.1,0,0,149,250.1,181.4,215.1,162.5,225.7
35028000010,35,028,000010,111.4,162.8,44.4,2.9,5.1,0.7,0.2,0.2,147.9,169.2,168.4,137.7,157.2,146.7
35028000011,35,028,000011,344.4,503.5,137.2,9,15.8,2.3,0.8,0.8,457.5,523.1,520.8,425.9,486.1,453.7
35028000012,35,028,000012,51.6,116.3,27.7,2.1,4.4,0.6,0,0,75.5,113.2,98.4,88.2,89.3,90.7
35028000013,35,028,000013,188.7,423.6,101.1,7.7,16.1,2.1,0,0,276.2,412.7,359.5,321.6,326.4,330.6
35028000014,35,028,000014,227.1,369,106.4,11.3,29.6,3.3,1,0,337.9,371.9,383.7,306.9,360.9,315.4
35028000015,35,028,000015,157.6,349.1,67.8,11,13,0,0,0,227.4,344.2,274.3,283.3,245.4,292.3
35028000016,35,028,000016,137.2,321.7,93.5,12,12.1,1,0,2,186.5,364.8,246.8,297.4,217.6,309.5
35028000017,35,028,000017,139,335,70,7,21,0,0,0,218,325,268,274,246,283
35028000018,35,028,000018,70,206,42,6,4,0,0,0,99,215,128,173,114,183
35028000019,35,028,000019,70.3,143.2,31.7,3.6,4.6,1,0.7,0,95,151.1,123,120.1,109.5,125.7
35028000020,35,028,000020,143.8,292.3,64.7,7.4,9.4,2,1.3,0,194.3,308.4,251.5,245.1,223.8,256.6
35028000021,35,028,000021,110,249,64,3,5,3,0,0,188,232,220,190,201,205
35029000001,35,029,000001,85,116,15,3,3,1,0,2,86,134,88,125,88,119
35029000002,35,029,000002,308.4,179.2,28.4,3.2,3,2,0,1,301.5,201.4,302.4,195.4,319.2,178.6
35029000003,35,029,000003,439.5,229.3,32.1,9,3,1,1,0,398.5,285.3,451.5,231.3,446.5,229.3
35029000004,35,029,000004,101,342,18,8,1,1,1,0,134,273,114,285,101,299
35029000005,35,029,000005,85.8,83.1,14.1,1.7,2.2,1,0,0,85.6,90.5,89.8,85.1,94.2,79.1
35029000006,35,029,000006,216,251,38,4,4,1,0,0,213,271,220,258,210,264
35029000007,35,029,000007,261.2,252.9,42.9,5.3,6.8,3,0,0,260.4,275.5,273.2,258.9,286.8,240.9
35029000008,35,029,000008,140,328,36,3,1,0,1,1,170,318,129,354,136,344
35029000009,35,029,000009,277.1,217.6,45.4,4,5.3,0,0.7,0,283.1,245.7,291.1,243,285.7,234.3
35029000010,35,029,000010,137.9,108.4,22.6,2,2.7,0,0.3,0,140.9,122.3,144.9,121,142.3,116.7
35029000011,35,029,000011,100.3,164.5,18.3,0.6,1.7,0,0.6,0.6,110,151.9,102.6,161.6,91.1,166.8
35029000012,35,029,000012,152,255,40,5,4,1,0,1,177,260,169,266,161,271
35029000013,35,029,000013,590.7,245.9,46.6,7.3,6.4,0.9,0,0,533.1,334.6,608.9,260.6,581.5,274.2
35029000014,35,029,000014,425.1,261.3,61.3,8.3,3.7,0.9,0,0.9,420.6,307.6,444.6,278.9,438.1,277.1
35029000015,35,029,000015,74.7,122.5,13.7,0.4,1.3,0,0.4,0.4,82,113.1,76.4,120.4,67.9,124.2
35029000016,35,029,000016,55.6,23.2,4.4,0.7,0.6,0.1,0,0,50.2,31.5,57.3,24.5,54.8,25.8
