GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35049000119,35,049,000119,42.99,265.54,11.22,8.23,1.24,0.41,0.41,0,46.8,270.89,69.23,246.34,79.06,232.35
35049000120,35,049,000120,131.29,580.91,29.18,16.3,0,0.86,0,0.86,147.59,586.06,187.92,538.01,191.35,523.42
35049000121,35,049,000121,9.34,78.85,3.11,2.34,0.22,0.11,0.11,0,11.45,79.74,15.9,73.18,14.12,73.18
35049000122,35,049,000122,81,519.31,33.87,10.6,1.63,0,0.8,0.8,101.96,521.74,133.68,482.83,131.94,467.56
35049000123,35,049,000123,102.07,565.66,31.47,15.31,3.4,0,0.85,0,116.53,579.27,162.47,534.19,161.62,526.53
35049000124,35,049,000124,69.84,321.94,27.4,7.55,2.06,0,0,0,82.84,328.82,112.33,294.54,115.7,283.65
35049000125,35,049,000125,197.02,89.37,34.21,3.54,4.72,1.18,0.59,0,203.21,117.98,236.84,83.17,222.98,93.5
35049000126,35,049,000126,65.92,212.34,25.67,5.25,1.17,0,0.58,0.58,75.25,222.25,73.5,226.34,71.17,222.84
35049000127,35,049,000127,48.43,407.3,13.66,7.45,1.24,0.62,0.62,0,64.57,398.61,90.65,359.5,99.34,348.32
35049000128,35,049,000128,97.89,362.64,51.97,5.17,1.94,0,0,0,117.33,379.06,138.04,353.82,119.93,360.28
35049000129,35,049,000129,69.28,339.92,14.61,7.04,0,0,0.54,0,72.53,346.41,113.67,299.86,102.84,297.7
35049000130,35,049,000130,61.4,547.58,26.92,20.19,0.84,0,2.52,0,63.93,560.19,104.3,516.45,96.73,513.09
35049000131,35,049,000131,49.28,209.29,11.37,2.59,1.2,0.4,0.4,0.2,59.06,203.5,76.61,181.76,80.8,173.38
35049000132,35,049,000132,35.34,218.96,12.51,8.54,1.39,0,0.79,0.2,39.7,226.31,55.19,210.82,53.6,205.26
35049000133,35,049,000133,26.02,70.51,5.29,2.14,0,0,0.34,0,26.47,74.45,32.21,67.36,29.85,68.26
35049000134,35,049,000134,79.61,389.32,16.89,8.75,1.81,0.3,0.3,0,90.47,394.44,120.93,357.05,120.62,348
35049000135,35,049,000135,41.25,155.51,16.99,5.06,0.4,0.2,0.2,0.2,56.42,154.49,47.72,161.17,49.54,158.34
35049000136,35,049,000136,38.64,145.66,15.91,4.74,0.38,0.19,0.19,0.19,52.85,144.72,44.7,150.97,46.41,148.32
35049000137,35,049,000137,66.93,270.36,26.48,7.28,1.46,2.04,0.29,0.58,87.02,268.61,82.07,270.07,78.28,268.32
35049000138,35,049,000138,79.51,321.17,31.46,8.64,1.73,2.42,0.35,0.69,103.37,319.1,97.49,320.83,93,318.75
35049000139,35,049,000139,132.24,663.04,36.96,14.32,4.71,0.49,0.49,0,159.09,672.23,221.45,599.9,212.14,599.96
35049000140,35,049,000140,36.38,145.45,17.06,2.92,0.45,0.67,0.23,0.23,45.83,144.8,45.73,142.46,42.43,142.65
35049000141,35,049,000141,74.74,316.74,35.07,9.82,3.1,0.9,1.32,0.44,94.04,320.68,104.35,309.83,94.15,314.94
35049000142,35,049,000142,34.61,151.14,8.38,3.11,0.84,0.24,0.12,0.24,38.8,153.66,53.29,138.45,50.3,138.45
35049000143,35,049,000143,20.82,90.91,5.04,1.87,0.5,0.14,0.07,0.14,23.34,92.42,32.05,83.27,30.25,83.27
35049000144,35,049,000144,31.84,139.03,7.71,2.86,0.77,0.22,0.11,0.22,35.69,141.35,49.03,127.36,46.27,127.36
35049000145,35,049,000145,5.32,18.26,2.45,0.42,0.1,0.05,0.1,0.05,6.94,18.36,5.9,19.46,6.1,19.09
35049000146,35,049,000146,151.35,305.97,20.79,3.6,4.52,0,0.01,0,191.02,279.56,219.11,246.86,225.63,236.72
35049000147,35,049,000147,193.73,671.41,39.93,12.57,2.96,0,0.74,0,221.83,678.06,300.21,585.63,304.65,566.41
35049000148,35,049,000148,243.76,100.28,42.8,3.67,6.11,1.22,0,0,243.35,141.85,272.29,112.5,258.03,123.92
35049000149,35,049,000149,61.46,217.07,22.16,4.11,2.74,0.69,0,0.46,72.2,225.29,83.86,212.5,74.03,220.49
35049000150,35,049,000150,92.18,201.25,22.28,6.53,1.92,0.38,0.77,0,89.1,228.14,112.15,202.79,108.31,203.17
35049000151,35,049,000151,71.86,205.49,21.48,5.04,0.8,0.27,0,0.27,75.83,222.99,96.25,199.66,91.21,198.6
35049000152,35,049,000152,134.44,362.96,28.68,8.86,2.25,0,0,0,154.77,368.16,187.53,326.33,193.09,315.06
35049000153,35,049,000153,218.73,636.71,51.76,17.25,2.78,0,0,0,244.33,659.53,301.66,584.95,310.56,565.47
35049000154,35,049,000154,58.45,239.86,25.54,4.33,0.43,0.87,0,0,71.44,238.56,77.93,228.17,75.77,221.24
35051000001,35,051,000001,354.3,228.38,42.59,15.23,7.06,1.13,0.05,0,327.14,294.55,382.29,237.19,357.78,255.37
35051000002,35,051,000002,827.33,256,84.47,10.61,1.75,1.75,1.79,0,768.45,380.82,875.98,273.95,853.72,284.58
35051000003,35,051,000003,167.63,37.36,13.41,2.87,0,0,0.96,0,158.05,56.52,161.89,47.9,152.31,50.77
35051000004,35,051,000004,154.96,57.58,11.71,0.18,1.01,1.94,0.02,0,138.82,83.28,149.89,66.45,149.54,65.68
35051000005,35,051,000005,114.55,52.59,17.45,3.8,0.94,0.02,0.02,0.23,107.75,76.66,117.54,66.88,113.18,66.75
35051000006,35,051,000006,47.17,108.35,13.62,8.95,0.9,0.89,0.89,0,39.96,131.84,44.55,126.36,41.82,128.13
35051000007,35,051,000007,246.7,200.53,48.68,9.12,3.11,2.11,0.11,0,222.81,272.44,267.37,221.77,242.03,242.99
35051000008,35,051,000008,217,202,60,6,1,3,1,0,240,239,267,211,243,231
35051000009,35,051,000009,125.86,78.38,24.44,2.25,0.28,0.28,0.28,0,116.87,105.07,129.51,92.71,129.23,90.46
35051000010,35,051,000010,79.23,24.55,8.1,1.01,0.17,0.17,0.17,0,73.57,36.53,83.95,26.24,81.84,27.25
35051000011,35,051,000011,365.77,173.66,57.47,12.45,3.09,0.03,0.03,0.76,344.23,252,374.56,221.7,360.76,220.72
35051000012,35,051,000012,309.75,192.9,60.15,5.53,0.69,0.69,0.69,0,287.63,258.59,318.74,228.17,318.05,222.63
35053000001,35,053,000001,119,241,39,6,0,2,0,1,142,250,162,229,139,252
35053000002,35,053,000002,127.01,262,58,2,1,1,3,0,156.01,290.01,204.01,235,178.01,258.01
35053000003,35,053,000003,177,330,101,8,4,1,0,0,226,366,282,310,230,346
35053000004,35,053,000004,65,88,31,0,0,1,1,0,70,101,80,89,70,95
