GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
05045000302,3305,23,3258,23,2,16,5,2471,16,2420,16,1,15,3,78,118,48020,90240,10080,4,2
05045000303,7699,35,7525,35,59,60,20,5402,16,5280,16,45,38,7,849,977,71960,91002,13530,4,2
05045000304,7519,52,6801,52,608,31,22,5445,23,4954,23,412,19,14,962.49,885.15,15190,90600,04590,4,2
05045000305,2829,18,2596,18,176,12,22,2156,12,1981,12,125,11,15,381.11,350.48,15190,90600,04590,4,2
05045000306,4469,16,4320,16,103,12,18,3145,7,3051,7,61,7,12,555.93,511.26,15190,90600,04590,4,2
05045000307,6731,31,5623,31,1016,20,40,5598,25,4769,25,725,15,39,989.54,910.03,15190,90600,04590,4,2
05045000308,4169,20,3579,20,532,6,32,3656,18,3086,18,500,6,28,646.26,594.33,15190,90600,04590,4,2
05045000309,2977,27,2526,27,376,15,32,2322,16,2013,16,242,11,24,410.45,377.47,15190,90600,04590,4,2
05045000310,5399,32,4685,32,644,19,18,3842,21,3378,21,395,15,12,679.14,624.57,15190,90600,04590,4,2
05045000311,6749,47,5753,47,914,26,8,5024,26,4332,26,610,25,5,888.08,816.71,44750,91014,04590,4,2
05047009501,2982,47,2862,47,48,22,3,2154,29,2042,29,32,19,3,124,220,52970,91845,11010,3,3
05047009502,6351,69,6210,69,29,36,5,4796,46,4647,46,23,31,3,1225,1243,52970,94005,11010,3,3
05047009503,5564,63,5434,63,21,31,15,4148,39,4027,39,15,20,8,52,47,13300,92988,04200,3,3
05049009501,4873,7,4826,7,6,27,6,3789,7,3743,7,3,23,6,52,37,43670,92361,09270,2,1
05049009502,5164,21,5117,21,3,20,3,3903,14,3851,14,2,19,3,108,83,62150,90243,13560,2,1
05051000101,5191,10,5143,10,14,18,6,4778,9,4728,9,12,14,6,473,720,33482,91956,07920,1,4
05051000102,1152,0,1150,0,1,0,1,835,0,833,0,1,0,1,67,80,NA,90156,07920,1,4
05051000103,4101,41,3667,41,347,33,10,3080,26,2779,26,220,25,4,323,385,47450,90084,10170,1,4
05051000104,4497,50,4388,50,9,39,11,3330,22,3246,22,6,29,5,731.36,661.91,33482,93684,06420,1,4
05051000105,3966,33,3810,33,17,99,7,2912,17,2797,17,14,62,5,255,276,41450,93534,08670,1,4
05051000106,4321,66,2356,66,1860,31,8,3090,33,1786,33,1216,18,4,678.65,614.2,33460,91773,07890,1,4
05051000107,2545,46,2205,46,257,17,18,2198,36,1908,36,192,15,11,482.74,436.9,33460,91773,07890,1,4
05051000108,2616,45,1987,45,563,9,12,2225,32,1721,32,427,6,7,488.67,442.27,33460,91773,07890,1,4
05051000109,3139,43,2912,43,164,15,4,2651,29,2470,29,106,13,4,582.24,526.94,33460,91773,07890,1,4
05051000110,2702,39,2571,39,68,18,5,2104,24,1998,24,44,11,3,704,721,55610,90084,08610,1,4
05051000111,5484,48,5359,48,7,60,6,3950,27,3842,27,7,43,4,103,152,NA,92139,08610,1,4
05051000112,4995,31,4875,31,48,17,22,3894,19,3796,19,30,11,19,594,750,60110,92100,08610,1,4
05051000113,4378,14,4198,14,135,16,15,3743,12,3610,12,81,15,13,822.07,744,33460,91773,07890,1,4
05051000114,3354,72,2727,72,530,16,8,2603,42,2206,42,294,12,7,571.69,517.4,33460,91773,07890,1,4
05051000115,2646,46,1430,46,1152,7,10,2049,38,1150,38,812,4,7,450.02,407.28,33460,91773,07890,1,4
05051000116,8574,109,8129,109,232,44,57,6467,66,6117,66,150,32,36,1420.34,1285.45,33460,91773,08670,1,4
05051000117,3348,51,3141,51,136,15,5,2847,37,2672,37,85,12,4,625.28,565.9,33460,91773,07890,1,4
05051000118,3103,16,3016,16,44,9,16,2645,11,2567,11,33,8,15,580.92,525.75,33460,91773,07890,1,4
05051000119,3285,17,3245,17,10,8,5,2657,11,2615,11,8,8,4,573,739,37930,90036,08670,1,4
05053009701,3763,13,3577,13,164,7,2,2689,7,2548,7,120,5,2,96,66,NA,93384,00015,1,4
05053009702,2585,12,2568,12,0,1,4,1851,9,1829,9,0,1,3,471.85,468.17,63710,90624,00015,1,4
05053009703,3367,26,3119,26,211,8,3,2531,16,2343,16,149,6,1,249,239,39310,91050,11790,1,4
05053009704,4233,31,4168,31,2,21,11,3186,21,3118,21,2,14,10,812.15,805.83,63710,92451,00015,1,4
05055009801,3063,20,3033,20,0,7,3,2319,9,2292,9,0,7,2,217,178,44240,91806,00016,2,1
05055009802,3002,5,2987,5,1,8,1,2105,5,2085,5,1,8,1,286.09,239,51060,90456,00017,2,1
05055009803,2719,20,2684,20,2,12,0,2021,12,1986,12,1,10,0,110,109,18010,91992,13080,2,1
05055009804,5128,33,5074,33,7,7,7,3974,22,3911,22,7,6,6,540.11,451.21,53390,90804,00017,2,1
05055009805,5119,29,5065,29,2,13,8,3762,16,3717,16,0,9,4,511.3,427.14,53390,90804,00017,2,1
05055009806,4726,27,4677,27,3,16,3,3541,13,3496,13,2,14,3,116,90,53390,92940,13080,2,1
05055009807,1949,7,1933,7,1,6,1,1459,4,1444,4,1,5,1,198.3,165.66,53390,90804,00017,2,1
05055009808,6098,26,6045,26,4,10,13,4703,17,4651,17,3,8,7,639.19,533.98,53390,90804,13080,2,1
05057009801,4813,57,3953,57,781,16,2,3536,31,2895,31,563,14,2,769.78,698.71,7030,91077,03300,1,4
05057009802,3018,31,1600,31,1367,18,2,2163,20,1183,20,927,11,2,470.88,427.4,25360,90396,07840,1,4
05057009803,6257,67,3113,67,3057,9,11,4598,48,2479,48,2008,7,8,1000.98,908.56,33190,91077,07840,1,4
05057009804,3713,38,3222,38,438,11,4,2688,19,2333,19,304,10,3,585.18,531.14,33190,93474,07840,1,4
05057009805,3820,98,2891,98,807,20,1,2835,71,2213,71,466,13,1,617.18,560.19,33190,91077,07840,1,4
05059000201,5523,26,5323,26,135,32,7,3947,12,3805,12,89,24,5,926,556.25,43610,92352,09190,1,4
05059000202,3469,14,1895,14,1544,12,4,2476,4,1460,4,994,11,3,580.89,348.94,43610,91290,09240,1,4
05059000203,2138,7,1703,7,421,6,0,1686,5,1365,5,306,5,0,395.55,237.61,43610,91290,09240,1,4
05059000204,5236,20,4477,20,710,15,13,3975,9,3469,9,463,14,11,932.57,560.2,43610,91290,09240,1,4
05059000205,3314,14,3250,14,29,20,1,2472,6,2424,6,19,16,1,44,34,43610,92781,09240,1,4
05059000206,2911,12,2860,12,18,19,2,2191,9,2150,9,6,15,2,52,59,25180,91290,09240,1,4
05059000207,3524,22,3471,22,4,22,5,2663,9,2627,9,2,12,4,200,236,NA,90318,03240,1,4
05061009501,4028,39,3849,39,104,34,2,2937,24,2799,24,67,21,2,556.1,608.17,18970,92337,05340,3,4
05061009502,4752,20,3249,20,1454,4,23,3425,11,2442,11,943,4,14,648.5,709.22,46040,92505,09780,3,4
05061009503,4789,35,3362,35,1348,13,31,3509,18,2610,18,838,9,16,664.4,726.61,48560,92661,10380,3,4
05063009901,4777,31,4718,31,13,14,1,3481,21,3416,21,9,13,1,123.93,151.97,16930,90123,04050,2,1
05063009902,2493,4,2291,4,182,6,10,1856,3,1726,3,116,3,5,66.07,81.03,4030,93249,00019,2,1
05063009903,5408,45,5160,45,161,11,31,4303,30,4079,30,130,10,24,1368.85,1406.57,4030,93249,00019,2,1
05063009904,3615,17,3579,17,5,7,7,2587,8,2552,8,5,7,7,292,272,49010,90249,10500,2,1
05063009905,2023,14,1944,14,63,0,2,1417,7,1364,7,38,0,1,450.77,463.19,4030,92550,00019,2,1
05063009906,2569,26,2349,26,159,8,27,1925,14,1774,14,100,7,16,612.37,629.24,4030,93249,00019,2,1
05063009907,6093,26,6006,26,12,18,30,4431,16,4364,16,4,15,16,217,252,4030,92313,12540,2,1
05063009908,4214,9,4192,9,0,13,0,3104,7,3084,7,0,6,0,182,197,51410,92739,00020,2,1
05065009601,3022,19,2984,19,1,17,1,2652,13,2612,13,1,12,1,442.47,390.5,33370,91926,00021,2,1
05065009602,3979,29,3930,29,1,14,5,3012,15,2969,15,0,10,3,502.53,443.5,45080,92475,09720,2,1
05065009603,2287,8,2249,8,9,19,2,1748,8,1714,8,6,10,2,351,269,10570,93693,03840,2,1
05065009604,2076,15,2049,15,0,6,6,1548,8,1525,8,0,5,2,22,32,47900,90129,10056,2,1
05067009801,4002,17,3711,17,260,8,4,3008,9,2792,9,191,5,2,823.77,555.21,70100,90315,13230,2,1
05067009802,4802,14,3479,14,1292,9,5,3603,10,2754,10,819,6,4,986.72,665.04,49580,93696,00023,2,1
05067009803,4656,14,3753,14,870,9,8,3339,12,2827,12,475,5,8,914.42,616.31,49580,93696,00023,2,1
05067009804,3810,15,3448,15,322,23,2,2936,11,2664,11,233,15,2,804.05,541.93,29020,93165,00023,2,1
05067009805,1674,6,1651,6,4,9,4,1238,4,1215,4,4,8,3,339.04,228.51,49580,91467,00023,2,1
05069000002,2747,40,2543,40,138,20,6,1925,20,1767,20,99,15,4,235,243,58580,90120,14140,1,4
05069000006,825,0,324,0,499,1,1,637,0,281,0,354,1,1,200.14,95.49,55310,93783,00026,1,4
05069000007,799,10,510,10,266,2,8,580,8,391,8,165,2,6,14,15,1150,92925,02330,1,4
05069000008,1147,4,597,4,546,0,0,848,3,474,3,368,0,0,185,49,NA,93135,00026,1,4
05069000009,3359,13,2043,13,1280,4,19,2443,8,1677,8,731,3,16,767.56,366.22,55310,93783,00026,1,4
05069000010,2179,11,327,11,1838,2,1,1474,6,277,6,1182,2,1,463.11,220.96,55310,93783,00026,1,4
05069000011,609,7,144,7,457,0,1,401,7,121,7,265,0,1,125.99,60.11,55310,93783,00026,1,4
05069000012,4349,28,853,28,3454,4,9,2777,12,736,12,2006,4,7,872.49,416.29,55310,93783,00026,1,4
05069000013,3666,8,189,8,3456,3,6,2477,8,165,8,2287,3,6,778.24,371.32,55310,93783,13930,1,4
05069000016,4313,5,1928,5,2365,7,8,2952,4,1606,4,1328,5,5,927.48,442.52,55310,93783,00026,1,4
05069000017,3892,33,617,33,3219,5,17,2603,18,534,18,2013,5,15,817.83,390.21,55310,93783,00026,1,4
05069000018,3293,7,2808,7,449,4,25,2636,6,2343,6,259,4,18,828.19,395.15,55310,93783,00026,1,4
05069000020,5136,23,4692,23,324,21,76,3770,15,3448,15,223,16,53,314,242,55310,93783,00026,1,4
05069000102,1471,18,621,18,820,11,1,1344,13,565,13,741,11,1,66.52,14.16,NA,91155,13630,1,4
05069000185,3917,19,1427,19,2465,6,0,2737,11,1108,11,1602,5,0,135.48,28.84,1150,92925,13630,1,4
05069000301,3668,28,3319,28,305,13,3,2719,18,2464,18,207,9,3,854.27,407.6,75170,93918,05410,1,4
05069000302,5216,21,5048,21,112,13,22,3658,9,3538,9,76,12,14,1149.29,548.36,75170,93918,14140,1,4
05069000303,3535,19,3038,19,455,7,14,2530,12,2206,12,282,6,12,794.89,379.26,55310,93783,05410,1,4
05069000485,217,12,145,12,50,2,8,154,7,101,7,31,2,6,214,184,NA,91932,14140,1,4
05069000486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,91932,14140,1,4
05069000502,4900,5,111,5,4781,2,1,3708,4,84,4,3613,2,1,1165,555.85,55310,93783,05410,1,4
05069000699,7,0,7,0,0,0,0,7,0,7,0,0,0,0,2.2,1.05,55310,93783,00026,1,4
