GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
13001009501,2411,12,2264,12,133,2,0,1777,6,1675,6,88,2,0,332.46,243.65,NA,NA,90078,NA,00060,1,2
13001009502,4193,37,2060,37,2078,9,6,2754,21,1485,21,1219,4,4,515.24,377.62,NA,6016,90240,NA,00060,1,2
13001009503,4615,55,4020,55,512,2,26,3389,33,3001,33,304,1,17,634.04,464.68,NA,6016,90240,NA,00060,1,2
13001009504,1643,11,1314,11,316,2,0,1223,10,987,10,214,2,0,228.81,167.69,NA,74852,92904,NA,00060,1,2
13001009505,2882,23,2628,23,227,2,1,2103,18,1930,18,134,2,1,393.45,288.35,NA,6016,92706,NA,00060,1,2
13003009601,1704,49,1021,49,631,2,1,1255,30,772,30,420,2,1,231.26,177.11,NA,82972,93378,NA,00090,1,8
13003009602,3590,103,2551,103,934,0,2,2552,68,1849,68,565,0,2,470.26,360.15,NA,59808,92334,NA,00090,1,8
13003009603,919,2,828,2,89,0,0,643,1,580,1,61,0,0,118.49,90.74,NA,NA,90180,NA,00090,1,8
13005009701,2545,14,2327,14,203,0,1,1762,9,1626,9,117,0,1,267.05,250.11,NA,1612,92562,NA,00150,1,2
13005009702,7021,69,5665,69,1266,6,12,5001,47,4182,47,711,4,10,757.95,709.89,NA,1612,90072,NA,00150,1,2
13007009601,2160,6,1016,6,1138,0,0,1499,6,756,6,731,0,0,441.54,231.93,NA,55244,92160,NA,00180,9,3
13007960298,1436,15,729,15,689,1,2,1038,12,568,12,444,1,1,305.75,160.6,NA,NA,92010,NA,00180,9,3
13007960397,10,0,0,0,10,0,0,7,0,0,0,7,0,0,2.06,1.08,NA,NA,92010,NA,00180,9,3
13007960398,9,0,0,0,9,0,0,9,0,0,0,9,0,0,2.65,1.39,NA,NA,92010,NA,00180,9,3
13009009701,3075,9,2011,9,1052,0,3,2234,9,1504,9,710,0,2,300.73,264.16,NA,51492,93150,NA,00210,1,1
13009009702,5394,44,3623,44,1687,6,34,3886,34,2794,34,996,4,24,523.11,459.51,NA,51492,92016,NA,00210,1,4
13009009703,2861,41,2066,41,735,2,17,2155,33,1558,33,515,2,14,290.09,254.82,NA,51492,92016,NA,00210,1,4
13009009704,4465,66,2465,66,1842,6,85,3599,55,2095,55,1330,6,58,484.47,425.57,NA,51492,92016,NA,00210,1,1
13009009705,3758,12,1855,12,1872,2,17,2692,9,1514,9,1146,1,13,362.38,318.32,NA,51492,92016,NA,00210,1,4
13009009706,4980,14,1902,14,3046,2,15,3561,14,1534,14,1984,2,13,479.36,421.08,NA,51394,92016,NA,00210,1,1
13009009707,9430,132,4671,132,4542,13,71,8286,126,4125,126,3843,13,53,1115.41,979.8,NA,51492,92016,NA,00210,1,1
13009009708,5567,31,3616,31,1892,13,15,4260,24,2729,24,1461,11,11,573.45,503.73,NA,51492,90786,NA,00210,1,4
13011009801,3161,13,3124,13,4,1,19,2347,9,2313,9,4,1,11,379.81,330.55,NA,4980,90198,NA,00240,7,10
13011009802,2950,11,2789,11,134,13,3,2206,8,2081,8,98,9,2,356.99,310.69,NA,39720,91524,NA,00240,7,10
13011009803,2340,8,2300,8,22,1,9,1714,4,1683,4,17,1,5,277.37,241.4,NA,50484,91956,NA,00240,7,10
13011009804,1825,20,1599,20,204,2,0,1309,10,1148,10,139,2,0,211.83,184.36,NA,NA,90888,NA,00240,7,10
13011980596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,47896,91956,NA,00240,7,9
13011980597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,90198,NA,00240,7,10
13011980598,32,0,32,0,0,0,0,26,0,26,0,0,0,0,3.1,3.63,NA,NA,90198,NA,00240,7,10
13013001801,8562,130,8108,130,189,11,123,6113,88,5729,88,123,9,76,851.67,845.72,NA,4140,90162,NA,00290,6,10
13013001802,8016,50,6174,50,1711,26,52,5990,33,4751,33,1122,19,32,834.54,828.71,NA,83420,93390,NA,00290,6,10
13013001803,4909,15,4784,15,79,12,19,3508,11,3411,11,54,8,13,488.74,485.33,NA,83420,93390,NA,00290,6,10
13013001804,4072,26,3187,26,842,9,8,2930,16,2314,16,571,7,6,408.21,405.36,NA,73312,92850,NA,00290,6,10
13013001805,4162,32,3581,32,527,6,16,3035,22,2610,22,368,4,9,422.84,419.89,NA,7612,90264,NA,00290,6,10
13015009601,5575,24,5451,24,88,8,4,4067,16,3965,16,59,8,3,527.96,400.22,NA,82468,93360,NA,00330,10,7
13015009602,5866,25,5123,25,671,25,21,4193,18,3688,18,438,17,14,544.32,412.62,NA,436,90024,NA,00330,10,7
13015009604,7976,83,7261,83,586,9,37,5721,53,5165,53,414,7,29,742.68,562.99,NA,13688,90570,NA,00330,10,7
13015009605,5094,56,4605,56,423,8,2,3774,36,3402,36,293,5,2,489.92,371.39,NA,13688,90570,NA,00330,10,7
13015009606,5959,85,4664,85,1183,4,21,4502,63,3523,63,835,4,14,584.43,443.03,NA,13688,90570,NA,00900,10,7
13015009607,5244,79,4299,79,835,7,24,4175,63,3457,63,566,7,19,541.98,410.85,NA,13688,90570,NA,00900,10,7
13015009608,9365,102,8724,102,473,40,25,6792,64,6270,64,342,32,20,881.71,668.38,NA,27344,91080,NA,00330,10,7
13015009609,4521,36,4092,36,381,7,2,3203,20,2881,20,274,6,2,415.8,315.2,NA,13688,90570,NA,00330,10,7
13015009610,3105,19,3025,19,52,6,1,2154,12,2088,12,36,5,1,279.62,211.97,NA,27988,91104,NA,00330,10,7
13015960398,3206,12,2872,12,321,1,0,2300,4,2060,4,231,1,0,298.58,226.34,NA,43668,91656,NA,00330,10,7
13017009601,1692,6,1557,6,124,5,0,1199,3,1106,3,83,4,0,199.32,139.63,NA,NA,91176,00360,NA,9,8
13017009602,1251,7,1016,7,228,0,0,871,2,728,2,139,0,0,144.79,101.43,NA,NA,91776,00360,NA,9,8
13017009603,3588,5,2838,5,731,4,10,2511,4,2107,4,387,2,7,417.43,292.42,NA,29528,91176,00360,02160,9,8
13017009604,3625,33,2013,33,1574,1,2,2430,20,1445,20,942,1,2,403.96,282.99,NA,29528,91176,00360,02160,9,8
13017009605,6089,27,3623,27,2411,6,22,4298,18,2725,18,1520,3,14,714.5,500.53,NA,29528,91176,00360,02160,9,8
13019009701,1675,99,1038,99,535,3,0,1289,66,816,66,340,1,0,200.87,142.69,NA,1024,90054,NA,00390,9,8
13019009702,2219,20,2091,20,104,1,3,1610,10,1513,10,73,1,3,250.9,178.22,NA,27596,91092,NA,00390,9,8
13019009703,2201,8,2146,8,38,5,4,1666,8,1628,8,16,2,4,259.62,184.42,NA,54264,92130,NA,00390,9,8
13019009704,2914,68,2436,68,402,5,3,2121,48,1774,48,243,5,3,330.53,234.79,NA,54264,92130,NA,00390,9,8
13019009705,3285,49,2796,49,438,0,2,2383,38,2041,38,264,0,2,371.36,263.79,NA,54264,92130,NA,00390,9,8
13019009706,1859,33,1671,33,125,13,17,1365,20,1229,20,72,10,14,212.72,151.1,NA,63728,92442,NA,00390,9,8
