GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
23019000020,23,019,000020,5974,15,5904,15,10,10,34,4351,9,4301,9,6,8,18,831,1572,NA,30760,30795,NA,NA,10950,2,2
23019000030,23,019,000030,3309,12,3279,12,4,2,12,2472,8,2446,8,1,2,7,498,940,NA,NA,55680,NA,NA,09330,2,2
23019000041,23,019,000041,2060,8,2034,8,3,12,3,1568,4,1549,4,3,5,3,311.35,583.46,NA,6925,6925,NA,NA,03510,2,2
23019000042,23,019,000042,2642,13,2604,13,11,8,6,2035,8,2002,8,9,5,3,404.07,757.24,NA,6925,6925,NA,NA,03510,2,2
23019000043,23,019,000043,4319,28,4259,28,7,13,11,3352,16,3299,16,5,8,8,665.58,1247.3,NA,6925,6925,NA,NA,03510,2,2
23019000050,23,019,000050,1633,8,1606,8,2,10,7,1282,7,1255,7,1,6,6,292,469,NA,NA,78780,NA,NA,13140,2,2
23019000061,23,019,000061,2332,19,2236,19,7,9,61,1972,16,1875,16,6,5,54,355.13,377.94,NA,55575,55540,NA,NA,09300,2,2
23019000062,23,019,000062,2493,30,2396,30,10,14,42,1988,17,1910,17,8,12,24,358.02,381.01,NA,55575,55540,NA,NA,09300,2,2
23019000063,23,019,000063,5748,60,5500,60,47,57,82,5552,54,5270,54,45,52,77,999.85,1064.06,NA,55575,55540,NA,NA,09300,2,2
23019000071,23,019,000071,5470,30,5279,30,12,104,43,4283,24,4141,24,6,56,32,1268.91,1053.34,NA,55225,55225,NA,NA,09210,2,2
23019000072,23,019,000072,2847,26,2642,26,16,46,116,2174,19,2009,19,12,26,89,644.09,534.66,57955,55225,55225,NA,NA,09210,2,2
23019000090,23,019,000090,5506,26,5440,26,3,23,14,4165,18,4104,18,1,17,7,291,472,NA,NA,13365,NA,NA,14470,2,2
23019000100,23,019,000100,3755,10,3712,10,5,15,13,2769,8,2734,8,4,10,5,451,945,NA,NA,32510,NA,NA,06510,2,2
23019000110,23,019,000110,1906,6,1886,6,0,10,4,1416,2,1405,2,0,3,4,257,378,NA,NA,10670,NA,NA,10980,2,2
23019000120,23,019,000120,1317,6,1298,6,2,5,5,964,3,951,3,0,3,4,156,286,NA,NA,48505,NA,NA,10950,2,2
23019000125,23,019,000125,2159,20,2114,20,2,17,6,1492,10,1454,10,2,13,3,127,183,NA,NA,17950,NA,NA,11460,2,2
23019000130,23,019,000130,3036,10,3003,10,5,5,13,2236,5,2213,5,2,3,8,367,751,NA,49100,49065,NA,NA,14500,2,2
23019000135,23,019,000135,1824,6,1801,6,5,7,5,1254,4,1235,4,2,6,3,91,157,NA,NA,23865,NA,NA,11460,2,2
23019000140,23,019,000140,2196,8,2169,8,7,5,5,1612,8,1583,8,3,5,5,255,474,NA,NA,14310,NA,NA,14500,2,2
23019000150,23,019,000150,4419,27,4375,27,3,4,10,3240,12,3205,12,2,3,6,586,977,NA,17495,17530,NA,NA,14530,2,2
23019000155,23,019,000155,2001,1,1985,1,1,12,2,1446,0,1434,0,0,10,2,111,169,NA,NA,27190,NA,NA,14530,2,2
23019000160,23,019,000160,1187,5,1174,5,5,3,0,869,5,851,5,5,3,0,100,283,NA,NA,12105,NA,NA,14761,2,2
23019000170,23,019,000170,2177,4,2156,4,2,9,6,1553,3,1537,3,1,7,2,202,503,NA,NA,14380,NA,NA,14440,2,2
23019000180,23,019,000180,1627,2,1607,2,7,9,2,1124,2,1113,2,1,4,2,164,326,NA,NA,38705,NA,NA,10980,2,2
23019000190,23,019,000190,1234,1,1224,1,0,7,1,884,0,876,0,0,7,1,149,238,NA,NA,36325,NA,NA,14440,2,2
23019000200,23,019,000200,3198,7,3158,7,14,14,5,2278,6,2245,6,11,5,5,363,600,NA,NA,27645,NA,NA,06000,2,2
23019000205,23,019,000205,2151,6,2120,6,2,21,1,1521,3,1498,3,1,15,1,154,209,NA,NA,34365,NA,NA,14440,2,2
23019000215,23,019,000215,1637,7,1610,7,1,10,9,1169,4,1147,4,1,7,6,65,92,57955,55225,37760,NA,NA,11580,2,2
23019000225,23,019,000225,1737,4,1716,4,1,15,1,1173,4,1149,4,1,14,1,174,207,57955,NA,29185,NA,NA,06180,2,2
23019000235,23,019,000235,906,2,891,2,4,1,5,630,2,622,2,2,1,1,0,0,NA,NA,41435,NA,NA,11250,2,2
23019000245,23,019,000245,1311,1,1303,1,0,5,2,942,1,936,1,0,3,1,131,198,NA,NA,38530,NA,NA,11220,2,2
23019000255,23,019,000255,1265,3,1254,3,1,4,2,916,1,911,1,1,2,0,26,28,57075,NA,73250,NA,NA,11220,2,2
23019000260,23,019,000260,830,0,818,0,0,10,2,637,0,629,0,0,8,0,160,156,NA,NA,44270,NA,NA,14760,2,2
23019000265,23,019,000265,2579,6,2561,6,0,9,3,1740,2,1729,2,0,4,3,36,25,57955,NA,45005,NA,NA,08160,2,2
23019000270,23,019,000270,5420,10,5373,10,3,21,13,3961,7,3918,7,3,15,11,720,1199,NA,39440,39475,NA,NA,14760,2,2
23019000280,23,019,000280,1471,7,1458,7,1,5,0,1080,2,1074,2,1,1,0,276,284,NA,NA,23620,NA,NA,11250,2,2
23019000285,23,019,000285,1561,4,1551,4,0,5,1,1183,3,1174,3,0,2,1,10,25,NA,34225,34190,NA,NA,11250,2,2
23019000290,23,019,000290,403,1,401,1,0,0,1,309,0,309,0,0,0,0,41,58,57955,45845,52710,NA,NA,82010,2,2
23019000300,23,019,000300,6956,15,6880,15,8,30,19,5279,12,5215,12,5,21,14,1543,1450,NA,45845,45810,NA,NA,08280,2,2
23019000310,23,019,000310,2166,5,2145,5,0,8,8,1626,4,1608,4,0,5,5,493,495,NA,21065,21030,NA,NA,05280,2,2
23019000315,23,019,000315,1990,6,1977,6,4,1,2,1473,3,1463,3,1,1,2,125,252,NA,NA,73600,NA,NA,11040,2,2
23019008001,23,019,008001,4020,23,3956,23,7,22,12,3007,13,2955,13,3,14,9,276,217,NA,45635,45670,NA,NA,08250,2,2
23019008002,23,019,008002,648,2,227,2,0,417,2,450,1,189,1,0,258,1,72,72,57955,NA,57937,NA,NA,00001,2,2
23021009601,23,021,009601,194,0,193,0,0,1,0,149,0,148,0,0,1,0,40,118,57955,NA,51105,NA,NA,82009,2,2
23021009602,23,021,009602,146,0,146,0,0,0,0,123,0,123,0,0,0,0,4.75,8.37,NA,29500,53628,NA,NA,82009,2,2
23021009603,23,021,009603,1983,2,1972,2,1,4,4,1508,2,1498,2,0,4,2,58.25,102.63,NA,29500,29535,NA,NA,06250,2,2
23021009604,23,021,009604,1359,7,1338,7,0,14,0,996,4,978,4,0,10,0,145,222,NA,NA,46580,NA,NA,14761,2,2
23021009605,23,021,009605,1750,10,1737,10,0,2,1,1275,5,1263,5,0,2,0,5,4,NA,NA,56765,NA,NA,11730,2,2
23021009606,23,021,009606,3108,18,3069,18,9,3,9,2306,12,2272,12,1,3,6,197,321,NA,30060,30095,NA,NA,11730,2,2
23021009607,23,021,009607,4657,22,4571,22,2,39,21,3392,12,3324,12,1,29,14,608,1191,NA,18230,18195,NA,NA,14761,2,2
23021009608,23,021,009608,3927,5,3897,5,3,7,15,2911,3,2893,3,1,7,4,523,598,NA,45985,46020,NA,NA,11580,2,2
23021009609,23,021,009609,1529,5,1512,5,3,5,4,1151,2,1141,2,1,3,2,7,20,NA,NA,8325,NA,NA,11580,2,2
23023000000,23,023,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,82004,1,1
23023009801,23,023,009801,3072,19,3008,19,19,9,13,2225,12,2174,12,12,8,7,397,587,NA,62610,62645,NA,NA,10170,1,1
23023009802,23,023,009802,4405,33,4324,33,11,18,18,3124,22,3048,22,9,12,11,426,457,NA,NA,6365,NA,NA,14768,1,1
23023009803,23,023,009803,8746,110,8419,110,77,15,122,6316,72,6021,72,47,13,91,1357,1602,NA,76925,76960,NA,NA,14768,1,1
23023009804,23,023,009804,3982,18,3926,18,17,6,12,2956,12,2909,12,10,4,9,455.05,586.44,NA,3355,87460,NA,NA,14070,1,1
23023009805,23,023,009805,5966,56,5784,56,83,13,26,4536,36,4389,36,44,13,18,698.28,899.9,NA,3355,3355,NA,NA,02940,1,1
23023009806,23,023,009806,3582,61,3425,61,61,5,30,2691,42,2541,42,43,4,19,414.26,533.87,NA,3355,3355,NA,NA,02940,1,1
23023009807,23,023,009807,3531,34,3477,34,8,2,10,2714,20,2659,20,7,2,6,270,506,NA,NA,58515,NA,NA,09750,1,1
23023980699,23,023,980699,251,6,190,6,46,5,4,256,6,189,6,46,5,4,39.41,50.79,NA,3355,3355,NA,NA,02940,1,1
23025009851,23,025,009851,1,0,1,0,0,0,0,1,0,1,0,0,0,0,13.06,15.5,NA,NA,67238,NA,NA,82008,2,2
23025009852,23,025,009852,18,0,18,0,0,0,0,15,0,15,0,0,0,0,195.94,232.5,57075,NA,67238,NA,NA,82008,2,2
23025009853,23,025,009853,1250,8,1236,8,0,2,4,925,3,918,3,0,1,0,0,0,57075,NA,53636,NA,NA,10620,2,2
23025009854,23,025,009854,871,0,869,0,1,1,0,613,0,613,0,0,0,0,0,0,NA,NA,53636,NA,NA,82008,2,2
23025009855,23,025,009855,377,1,371,1,0,5,0,296,1,289,1,0,5,0,1042,1398,NA,NA,51114,NA,NA,82008,2,2
23025009856,23,025,009856,1829,1,1822,1,1,3,2,1309,0,1306,0,1,2,0,136,134,NA,NA,1885,NA,NA,14560,2,2
23025009857,23,025,009857,2659,5,2644,5,1,3,6,1885,2,1874,2,0,3,4,186,336,NA,NA,64850,NA,NA,14500,2,2
23025009858,23,025,009858,2618,2,2604,2,2,6,4,1889,1,1877,1,1,5,4,208,376,NA,NA,56520,NA,NA,14500,2,2
