GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
47001000201,47,001,000201,2767,24,1607,24,1015,16,101,2166,22,1314,22,720,14,74,390.6,438.19,55120,92520,NA,03240,5,3
47001000202,47,001,000202,6260,68,5752,68,230,22,188,4837,42,4464,42,146,17,126,872.27,978.55,55120,92520,NA,03240,5,3
47001000203,47,001,000203,4395,25,4076,25,232,20,41,3426,13,3196,13,153,15,36,617.82,693.1,55120,92520,NA,03240,5,3
47001000204,47,001,000204,4544,44,4190,44,248,19,31,3723,28,3477,28,154,12,24,671.38,753.18,55120,92520,NA,03240,5,3
47001000205,47,001,000205,3932,28,3608,28,253,14,29,2970,18,2750,18,150,12,22,535.59,600.84,55120,92520,NA,03240,5,3
47001000206,47,001,000206,2707,33,2443,33,157,1,73,2124,20,1920,20,111,1,52,383.03,429.69,55120,92520,NA,03240,5,3
47001000207,47,001,000207,2225,2,2218,2,0,4,1,1646,2,1637,2,0,4,1,296.83,332.99,NA,92432,NA,00090,5,3
47001000208,47,001,000208,4875,23,4819,23,3,13,17,3719,15,3668,15,3,9,9,670.66,752.37,40240,91832,NA,00090,5,3
47001000210,47,001,000210,5992,16,5843,16,91,28,11,4463,9,4359,9,57,21,8,804.83,902.88,55800,93496,NA,00090,5,3
47001000211,47,001,000211,2870,12,2828,12,16,5,9,2192,9,2155,9,9,5,5,395.29,443.45,15580,90728,00720,00090,5,3
47001020901,47,001,020901,4348,20,4313,20,1,8,6,3344,14,3311,14,1,3,1,603.03,676.51,53600,92464,NA,00090,5,3
47001020902,47,001,020902,4177,13,4129,13,13,11,8,3149,12,3099,12,12,8,6,567.87,637.06,53600,92464,NA,00090,5,3
47001021201,47,001,021201,4252,12,4020,12,196,23,1,3107,7,2949,7,125,19,0,560.3,628.56,15580,90728,00720,00090,5,3
47001021202,47,001,021202,5671,35,5438,35,163,29,6,4411,19,4253,19,98,20,2,795.45,892.37,15580,90728,00720,00090,5,3
47001021301,47,001,021301,2851,9,2831,9,1,6,4,2167,8,2141,8,0,6,4,390.78,438.39,15580,90736,00720,00090,5,3
47001021302,47,001,021302,6384,17,6205,17,134,17,11,4715,8,4582,8,94,14,9,850.27,953.87,NA,90736,NA,00090,5,3
47003009501,47,003,009501,2234,16,2096,16,121,1,0,1653,6,1552,6,88,1,0,267.21,191.91,4460,90192,NA,00180,4,4
47003009502,47,003,009502,3445,19,3320,19,97,2,7,2509,11,2404,11,77,2,4,405.59,291.29,NA,93464,NA,00180,4,4
47003009503,47,003,009503,2476,3,2402,3,64,1,6,1835,2,1775,2,52,1,3,296.63,213.04,NA,90160,NA,00180,4,4
47003009504,47,003,009504,8030,32,7047,32,882,12,57,6072,21,5380,21,603,9,38,981.56,704.96,67760,93008,NA,00180,4,4
47003009505,47,003,009505,4670,20,3705,20,898,5,42,3582,13,2864,13,660,4,28,579.04,415.87,67760,93008,NA,00180,4,4
47003009506,47,003,009506,5506,54,4630,54,792,2,25,4131,40,3509,40,518,2,22,667.79,479.61,67760,93008,NA,00180,4,4
47003009507,47,003,009507,1737,18,1573,18,136,7,3,1324,10,1184,10,114,4,2,214.03,153.72,78120,93520,NA,00180,4,4
47003009508,47,003,009508,2313,10,2232,10,66,4,1,1702,9,1625,9,54,4,1,275.13,197.6,53580,91272,NA,00180,4,4
47005009630,47,005,009630,2805,14,2780,14,0,7,4,2203,10,2174,10,0,7,2,494.31,290.46,5860,90264,NA,00240,3,8
47005009631,47,005,009631,2566,13,2494,13,43,3,13,1914,7,1860,7,31,3,6,429.46,252.36,10560,90488,NA,00240,3,8
47005009632,47,005,009632,1419,7,1382,7,27,3,0,1076,3,1045,3,22,3,0,108,83,NA,91584,NA,00240,3,8
47005009633,47,005,009633,3940,22,3711,22,192,2,10,3155,13,2994,13,127,1,7,707.92,415.98,10560,90488,NA,00240,3,8
47005009634,47,005,009634,3794,16,3683,16,83,8,4,2876,9,2788,9,61,6,3,645.31,379.2,10560,90488,NA,00240,3,8
47007009531,47,007,009531,4598,22,4467,22,89,18,2,3460,14,3340,14,79,11,2,578.4,669.05,58120,92944,NA,00270,4,3
47007009532,47,007,009532,3286,13,2971,13,284,17,1,2539,11,2286,11,218,13,0,424.44,490.96,NA,90904,NA,00270,4,3
47007953098,47,007,953098,1785,3,1775,3,0,7,0,1329,2,1320,2,0,5,0,222.16,256.99,NA,93504,NA,00270,4,3
47009000101,47,009,000101,2909,14,1671,14,1218,1,4,2222,10,1269,10,928,1,4,283.64,447.53,540,92136,NA,00060,8,2
47009000102,47,009,000102,4507,27,4257,27,198,8,17,3563,23,3370,23,129,7,11,454.82,717.62,540,92136,NA,00060,8,2
47009000103,47,009,000103,8267,41,7691,41,457,34,43,6465,27,6012,27,347,25,27,825.27,1302.11,540,92136,NA,00300,8,2
47009000104,47,009,000104,3033,20,2909,20,95,6,3,2337,12,2239,12,66,5,3,298.32,470.69,64160,92136,NA,00300,8,2
47009000105,47,009,000105,2536,8,2308,8,205,6,6,1946,7,1793,7,129,6,4,248.41,391.94,46380,92136,NA,02700,8,2
47009000106,47,009,000106,3631,35,3437,35,107,5,43,3066,24,2886,24,87,5,40,391.38,617.52,46380,92136,NA,02700,8,2
47009000107,47,009,000107,4163,2,4040,2,84,7,30,3220,1,3138,1,51,7,22,411.04,648.54,46380,92136,NA,02700,8,2
47009000108,47,009,000108,2949,16,2858,16,60,5,10,2313,13,2236,13,38,5,8,295.26,465.86,46380,92136,NA,02700,8,2
47009000109,47,009,000109,4517,18,4447,18,16,22,14,3571,9,3523,9,7,14,9,455.84,719.23,22340,92136,NA,00300,8,2
47009000110,47,009,000110,7056,36,6914,36,49,15,42,5530,24,5413,24,36,14,19,705.92,1113.79,46380,92136,NA,00300,8,2
47009000112,47,009,000112,3962,13,3823,13,108,8,10,2950,8,2863,8,59,6,6,376.57,594.16,46380,92136,NA,00300,8,2
47009000113,47,009,000113,6180,24,6113,24,23,8,8,4701,15,4644,15,16,5,6,600.09,946.83,67200,93656,NA,00300,8,2
47009000114,47,009,000114,4749,14,4715,14,0,13,7,3658,12,3617,12,0,11,6,466.95,736.76,74860,93384,NA,00300,8,2
47009000115,47,009,000115,7041,20,6963,20,11,21,26,5321,14,5261,14,5,14,13,679.24,1071.7,NA,91856,NA,00300,8,2
47009011101,47,009,011101,3402,19,3327,19,30,6,20,2635,13,2572,13,18,6,13,336.36,530.71,46380,92136,NA,00300,8,2
47009011102,47,009,011102,5148,21,4946,21,85,10,84,3966,16,3811,16,60,5,58,506.27,798.79,46380,92136,NA,02700,8,2
47009011601,47,009,011601,7193,25,7112,25,21,9,22,5465,16,5392,16,18,7,16,697.62,1100.7,28060,91336,NA,00300,8,2
47009011602,47,009,011602,4726,15,4676,15,13,6,16,3627,12,3579,12,9,5,10,462.99,730.51,NA,90296,NA,00300,8,2
47011000101,47,011,000101,4722,68,4196,68,413,18,27,3806,43,3387,43,301,11,21,384.83,664.92,15400,90704,NA,00690,5,3
47011000102,47,011,000102,3855,64,3642,64,122,4,22,3137,41,2960,41,79,3,13,317.18,548.05,15400,90704,NA,00690,5,3
47011000103,47,011,000103,2264,23,2072,23,153,11,5,1669,17,1512,17,107,11,5,168.75,291.58,22500,90704,NA,00330,5,2
