GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
55025000022,55,025,000022,4415,80,4037,80,228,16,47,3596,38,3370,38,114,11,25,1171.39,700.41,NA,48000,48000,NA,NA,08520,7,7
55025000027,55,025,000027,3595,42,3479,42,38,15,16,2860,24,2768,24,22,9,13,931.64,557.05,NA,48000,48000,NA,NA,08520,7,7
55025000028,55,025,000028,2767,27,2696,27,16,17,7,2186,19,2121,19,10,11,6,712.08,425.77,NA,48000,48000,NA,NA,08520,7,7
55025000029,55,025,000029,3478,51,3297,51,77,13,34,2687,28,2562,28,40,9,20,875.28,523.36,NA,48000,48000,NA,NA,08520,7,7
55025000031,55,025,000031,6480,58,6247,58,94,17,58,4651,40,4476,40,46,13,36,1515.05,905.89,NA,48000,48000,NA,NA,08520,7,7
55025000032,55,025,000032,3615,277,1539,277,213,18,1558,2558,173,1034,173,114,8,1056,833.26,498.23,NA,48000,48000,NA,NA,08520,7,7
55025000101,55,025,000101,1632,17,1513,17,13,5,77,1238,12,1162,12,7,3,42,605,443,NA,73750,73750,NA,NA,08520,7,7
55025000102,55,025,000102,1358,5,1344,5,3,0,5,1059,3,1049,3,2,0,2,250,646,NA,48750,48750,NA,NA,08520,7,7
55025000103,55,025,000103,3844,43,3751,43,32,5,13,3111,32,3017,32,19,3,8,1109.47,954.68,NA,53675,53675,NA,NA,09810,7,7
55025000104,55,025,000104,3768,38,3626,38,58,4,40,2999,19,2906,19,25,3,27,1069.53,920.32,NA,53675,53675,NA,NA,09810,7,7
55025000105,55,025,000105,6219,70,6093,70,9,22,24,4340,34,4235,34,6,17,14,955,918,NA,46850,46850,NA,NA,08910,7,7
55025000106,55,025,000106,5386,35,5308,35,14,8,19,4046,22,3972,22,10,8,12,1064,910,NA,25950,21125,NA,NA,11100,7,7
55025000107,55,025,000107,6200,27,6069,27,49,18,34,4336,15,4240,15,33,10,23,1542.17,1470.09,NA,25950,25950,NA,NA,15330,7,7
55025000108,55,025,000108,6244,48,6128,48,24,19,25,4389,23,4303,23,17,9,14,41,108,NA,82600,82600,NA,NA,15330,7,7
55025000109,55,025,000109,5613,28,5533,28,13,13,25,3825,18,3763,18,6,10,10,635,858,NA,51575,51600,NA,NA,09510,7,7
55025000110,55,025,000110,4315,21,4210,21,31,3,50,3265,17,3187,17,13,3,28,1338.59,1291.9,NA,51575,51575,NA,NA,09510,7,7
55025000113,55,025,000113,6163,49,6095,49,4,5,10,4304,28,4237,28,2,4,5,981,1091,NA,84350,84350,NA,NA,15810,7,7
55025000114,55,025,000114,3244,12,3195,12,8,11,18,2402,8,2361,8,4,10,11,512,555,88212,48000,11150,NA,NA,14640,7,7
55025000116,55,025,000116,4135,29,4077,29,5,9,15,3070,14,3023,14,5,6,8,203.97,232.93,NA,78600,78600,NA,NA,14640,7,7
55025000117,55,025,000117,2587,24,2548,24,6,7,2,1912,13,1880,13,0,5,1,127.03,145.07,NA,78600,9775,NA,NA,14640,7,7
55025000118,55,025,000118,4102,94,3987,94,4,11,5,3013,50,2904,50,1,6,2,100,150,NA,49575,50475,NA,NA,08790,7,7
55025000119,55,025,000119,5098,31,5010,31,21,19,13,3595,13,3525,13,20,14,10,252,199,NA,19250,14650,NA,NA,02100,7,7
55025000120,55,025,000120,7207,27,7122,27,25,10,22,5013,10,4957,10,15,9,12,629,544,NA,17175,63375,NA,NA,14550,7,7
55025000121,55,025,000121,2520,188,2321,188,0,2,9,1730,4,1718,4,0,2,2,336,253,NA,NA,875,NA,NA,04110,7,7
55025000122,55,025,000122,6245,57,6140,57,14,11,21,4587,30,4506,30,4,6,11,278.93,216.54,NA,77675,77675,NA,NA,14550,7,7
55025000123,55,025,000123,4225,64,4109,64,11,7,31,3060,31,2974,31,3,2,19,186.07,144.46,NA,77675,77675,NA,NA,14550,7,7
55025000124,55,025,000124,3210,20,3178,20,2,1,9,2257,12,2229,12,1,1,2,351,259,NA,10075,70400,NA,NA,11100,7,7
55025000125,55,025,000125,6515,59,6231,59,186,16,23,4782,39,4495,39,184,14,11,860,775,NA,60200,60200,NA,NA,11100,7,7
55025000126,55,025,000126,3769,10,3745,10,3,3,8,2732,8,2712,8,2,0,2,162,76,NA,6300,54100,NA,NA,00990,7,7
55025000127,55,025,000127,2625,3,2599,3,7,8,8,1934,2,1917,2,2,6,5,145,113,NA,8475,75850,NA,NA,09990,7,7
55025000128,55,025,000128,4606,23,4574,23,2,2,5,3392,10,3370,10,0,1,1,864,749,NA,54725,54725,NA,NA,09990,7,7
55025000129,55,025,000129,3408,13,3386,13,0,5,4,2444,10,2418,10,0,3,3,130.78,113.12,NA,NA,69850,NA,NA,13410,7,7
55025000130,55,025,000130,2794,6,2781,6,4,2,1,1985,4,1975,4,1,1,0,106.22,91.88,NA,17775,17775,NA,NA,09510,7,7
55025000131,55,025,000131,3972,19,3923,19,1,10,19,2886,12,2843,12,1,8,10,180,139,NA,50225,50250,NA,NA,01230,7,7
55025000132,55,025,000132,6418,51,6314,51,21,15,12,4503,23,4426,23,15,11,5,274,232,NA,87725,87750,NA,NA,03180,7,7
55025000133,55,025,000133,5883,50,5777,50,17,21,14,4036,27,3948,27,11,13,10,776,818,NA,19350,19350,NA,NA,03180,7,7
55025000199,55,025,000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,48000,48000,NA,NA,99998,7,7
55025000201,55,025,000201,2466,22,2344,22,34,6,58,1961,13,1869,13,24,5,37,638.79,381.95,NA,48000,48000,NA,NA,08520,7,7
55025000202,55,025,000202,3034,24,2823,24,76,5,106,2309,19,2140,19,50,5,76,752.15,449.73,NA,48000,48000,NA,NA,08520,7,7
55025000204,55,025,000204,4295,187,3643,187,251,6,201,3256,104,2798,104,125,4,121,1060.63,634.18,NA,48000,48000,NA,NA,08520,7,7
55025000205,55,025,000205,3611,61,3430,61,58,1,58,2511,32,2368,32,40,1,38,817.95,489.08,NA,48000,48000,NA,NA,08520,7,7
55025000401,55,025,000401,3315,30,3195,30,25,8,55,2691,22,2599,22,10,5,33,876.58,524.14,NA,48000,48000,NA,NA,08520,7,7
