GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
49017009833,49,017,009833,1797,13,1734,13,1,49,0,1139,7,1095,7,1,29,0,217.08,586.11,NA,57740,92537,00300,1,3
49019009691,49,019,009691,3001,129,2811,129,1,55,5,2074,71,1899,71,1,28,4,22,67,77920,50700,91935,00330,2,3
49019009692,49,019,009692,3619,162,3297,162,5,137,17,2599,94,2327,94,3,68,13,1210,1782,NA,50700,91935,00330,2,3
49021009821,49,021,009821,2618,48,2560,48,0,7,3,1768,27,1706,27,0,5,3,290.93,709.82,NA,58510,92623,00390,1,1
49021009822,49,021,009822,5223,81,5041,81,11,67,23,3078,48,2925,48,5,44,8,506.49,1235.76,57465,11320,90344,00390,1,1
49021009823,49,021,009823,862,33,719,33,2,105,3,513,11,439,11,2,47,3,84.42,205.96,NA,NA,90129,00390,1,1
49021009824,49,021,009824,6636,134,6161,134,8,308,25,4218,73,3879,73,6,166,21,694.08,1693.45,57465,11320,90344,00390,1,1
49021009825,49,021,009825,5450,86,5188,86,19,125,31,4060,65,3802,65,18,81,29,668.08,1630.01,NA,11320,90344,00390,1,1
49023009731,49,023,009731,5026,49,4915,49,2,44,10,3053,28,2974,28,2,17,4,834,1311,NA,54220,92193,00450,1,1
49023009732,49,023,009732,791,24,729,24,0,37,0,546,18,483,18,0,27,0,271,111,30350,24080,90946,01020,1,1
49025009841,49,025,009841,4174,84,3999,84,5,63,23,2706,42,2578,42,2,31,11,387,1190,NA,39920,91591,00480,1,3
49025009842,49,025,009842,995,17,963,17,0,14,1,618,8,592,8,0,10,0,50,387,NA,870,92494,00480,1,3
49027009741,49,027,009741,4447,108,4288,108,0,30,21,2470,42,2362,42,0,13,11,563.81,1181.4,NA,18910,90516,00540,1,1
49027009742,49,027,009742,2956,144,2777,144,0,32,3,1709,76,1535,76,0,20,2,390.1,817.41,NA,35740,90516,00540,1,1
49027009743,49,027,009743,3930,150,3582,150,2,116,80,2480,75,2229,75,1,57,43,566.09,1186.18,57465,25510,90989,00540,1,1
49029009701,49,029,009701,4362,62,4287,62,3,1,9,2591,30,2527,30,1,0,3,589.51,1219.16,NA,52020,92064,00570,1,3
49029009702,49,029,009702,1166,16,1134,16,4,6,6,701,7,684,7,0,2,1,159.49,329.84,NA,NA,92107,00570,1,3
49031009801,49,031,009801,1277,15,1252,15,0,9,1,869,7,850,7,0,5,0,241,456,NA,48610,90387,00780,1,3
49033009501,49,033,009501,635,3,631,3,0,1,0,373,1,370,1,0,1,0,95.6,225.83,NA,27930,91032,00840,1,1
49033950298,49,033,950298,1090,18,1065,18,1,0,6,618,9,599,9,0,0,1,158.4,374.17,NA,63020,92752,00840,1,1
49035001001,49,035,001001,1449,323,912,323,43,55,113,1131,190,622,190,34,29,66,248.31,324.34,NA,67000,93010,00870,3,2
49035001002,49,035,001002,943,19,890,19,4,1,29,742,15,685,15,2,1,24,162.9,212.78,NA,67000,93010,00870,3,2
49035001004,49,035,001004,3270,309,2758,309,86,20,93,2604,200,2082,200,50,9,63,571.69,746.75,NA,67000,93010,00870,3,3
49035001005,49,035,001005,5356,695,4310,695,104,55,185,4299,416,3213,416,74,40,140,943.82,1232.83,NA,67000,93010,00870,3,3
49035001006,49,035,001006,5007,1107,3396,1107,199,99,187,4185,677,2522,677,141,54,114,918.8,1200.14,NA,67000,93010,00870,3,3
49035001007,49,035,001007,2767,382,2029,382,32,77,244,2387,248,1663,248,27,53,148,524.05,684.52,NA,67000,93010,00870,3,2
49035001008,49,035,001008,2197,75,2045,75,14,26,34,2130,66,1930,66,12,22,34,467.63,610.82,NA,67000,93010,00870,3,2
49035001009,49,035,001009,2257,19,2150,19,7,3,78,1565,13,1477,13,5,3,54,343.59,448.8,NA,67000,93010,00870,3,2
49035001010,49,035,001010,3185,72,3002,72,30,1,79,2548,58,2359,58,18,1,54,559.4,730.69,NA,67000,93010,00870,3,2
49035001011,49,035,001011,5031,312,4533,312,43,44,98,4625,248,3976,248,40,34,79,1015.39,1326.31,NA,67000,93010,00870,3,2
49035001012,49,035,001012,4107,156,3756,156,31,25,134,3439,116,3052,116,21,18,116,755.01,986.2,NA,67000,93010,00870,3,2
49035001013,49,035,001013,1717,34,1616,34,5,2,60,1259,21,1168,21,3,2,44,276.41,361.04,NA,67000,93010,00870,3,2
49035001014,49,035,001014,3648,143,2555,143,68,55,820,2721,102,1815,102,48,31,623,597.38,780.3,NA,67000,93010,00870,3,2
