GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
37001000202,3837,25,3054,25,727,9,22,3099,14,2556,14,494,6,15,446.34,720.2,NA,9060,93712,00510,9,6
37001000203,6762,63,4783,63,1867,11,33,5199,42,3852,42,1235,9,19,748.8,1208.23,NA,9060,93520,00510,9,6
37001000204,5343,16,1047,16,4261,8,9,4047,8,838,8,3184,5,4,582.88,940.51,NA,9060,93712,00510,9,12
37001000205,5476,34,3991,34,1380,27,44,4205,23,3103,23,1005,22,29,605.64,977.23,NA,9060,93712,00510,9,12
37001000206,5813,28,5650,28,90,3,42,4678,17,4558,17,58,2,26,673.76,1087.15,NA,9060,93712,00510,9,6
37001000207,6786,46,6364,46,280,11,84,5607,35,5256,35,210,11,60,807.56,1303.05,NA,9060,93712,00510,9,6
37001000208,6905,35,5392,35,1392,24,60,5376,20,4353,20,929,14,40,774.29,1249.36,NA,9060,93712,00510,9,6
37001000209,4187,25,3966,25,174,13,7,3345,18,3150,18,143,10,6,481.77,777.37,NA,27280,93520,00030,9,6
37001000210,3337,28,2426,28,857,12,14,2624,18,1980,18,591,9,8,377.93,609.81,NA,27280,93520,00030,9,6
37001000211,5049,33,4298,33,686,12,15,4024,23,3458,23,501,8,11,579.57,935.16,NA,27280,93520,00030,9,6
37001000213,3615,24,1573,24,1963,55,0,2825,14,1229,14,1515,53,0,712,285,NA,NA,93704,00030,9,12
37001000214,2272,5,2133,5,133,1,0,1803,3,1691,3,105,1,0,284,757,NA,NA,93476,00030,9,12
37001000215,3528,11,3112,11,393,8,4,2685,7,2349,7,314,6,2,447,888,NA,1150,93444,00030,9,12
37001000216,4980,36,4433,36,495,6,9,4085,22,3667,22,361,4,9,650.79,1918.11,NA,25980,93368,00030,9,6
37001000217,6144,29,5706,29,354,7,48,4979,23,4606,23,291,4,32,793.21,2337.89,NA,21100,93368,00030,9,6
37001000218,6596,39,6097,39,436,15,8,5180,27,4772,27,336,12,6,225,623,NA,640,93292,00030,9,6
37001000219,5126,32,4661,32,422,7,4,3935,19,3557,19,332,6,2,376,734,NA,59580,93608,00030,9,6
37001000220,4157,29,3552,29,528,26,21,3141,21,2677,21,384,24,14,536,782,NA,66460,93656,00030,9,6
37001020101,414,8,333,8,72,1,0,362,6,292,6,57,1,0,52.14,84.13,NA,9060,93712,00510,9,6
37001020102,3514,19,2918,19,549,8,20,2781,12,2385,12,353,5,14,400.54,646.29,NA,9060,93712,00510,9,6
37001021201,4835,69,2811,69,1937,12,5,3720,38,2176,38,1456,8,4,535.78,864.52,NA,30260,93732,00030,9,12
37001021202,9537,102,7613,102,1767,20,33,7304,63,5836,63,1309,14,19,1209,1839,NA,42240,93684,00030,9,6
37003000401,2722,27,2622,27,68,5,0,2054,22,1960,22,45,5,0,404.63,732.79,NA,NA,91364,00090,4,10
37003000402,3186,22,3034,22,124,5,1,2430,21,2296,21,88,3,1,478.7,866.94,NA,NA,91020,00090,4,10
37003000403,2739,21,2625,21,88,5,0,2057,12,1969,12,61,3,0,405.22,733.86,NA,NA,91020,00090,4,10
37003000404,5753,60,4644,60,1034,7,7,4418,32,3613,32,733,5,3,870.32,1576.18,NA,66960,93228,00090,4,10
37003000405,5037,29,4667,29,316,22,3,3812,21,3526,21,229,12,3,750.95,1359.98,NA,65260,92908,00090,4,10
37003000406,3120,7,3069,7,19,1,24,2344,7,2313,7,8,1,8,461.76,836.25,NA,NA,93228,00090,4,10
37003000407,4987,18,4936,18,13,7,13,3784,13,3738,13,6,5,9,745.43,1349.99,NA,5530,94084,00090,4,10
37005009501,3259,30,3135,30,89,1,4,2533,16,2434,16,64,1,2,667.67,714.33,NA,NA,91232,00120,4,5
37005009502,3468,29,3360,29,71,7,1,2778,26,2657,26,62,7,0,732.25,783.43,NA,63680,91204,00120,4,5
37005009503,2863,26,2821,26,16,0,0,2288,22,2231,22,13,0,0,603.09,645.24,NA,NA,92564,00120,4,5
37007009801,3498,3,1514,3,1958,22,1,2486,3,1164,3,1303,12,1,737.74,401.72,NA,38200,91808,00180,1,8
37007009802,1587,2,824,2,753,5,3,1189,2,657,2,523,3,2,352.84,192.13,NA,1420,90064,00180,1,8
37007009803,4673,15,3444,15,1188,23,3,3479,11,2635,11,803,16,3,1032.42,562.18,NA,53140,91732,00180,1,8
37007009804,3662,11,1222,11,2419,6,4,2608,8,974,8,1609,5,4,773.94,421.43,NA,70380,93876,00180,1,8
37007009805,6311,20,3860,20,2403,13,15,4708,15,3085,15,1573,11,9,1397.14,760.78,NA,70380,93876,00180,1,8
37007009806,3743,16,1368,16,2357,0,1,2709,11,1080,11,1606,0,1,803.92,437.75,NA,44560,92140,00180,1,8
37009009701,2252,11,2198,11,37,1,5,1718,10,1669,10,24,1,4,404.78,559.81,NA,NA,91284,00210,4,5
37009009702,2903,4,2889,4,3,5,2,2275,4,2260,4,3,3,1,536.02,741.3,NA,36960,92512,00210,4,5
37009009703,2348,3,2342,3,0,0,3,1841,3,1832,3,0,0,3,433.76,599.88,NA,NA,92316,00210,4,5
37009009704,3737,9,3706,9,8,5,8,2984,8,2956,8,4,3,5,703.07,972.33,NA,72540,93956,00210,4,5
37009009705,5397,25,5276,25,76,9,11,4256,22,4132,22,64,7,9,1002.77,1386.81,NA,34440,91652,00210,4,5
37009009706,1957,22,1934,22,0,0,1,1598,21,1556,21,0,0,0,376.51,520.7,NA,NA,92456,00210,4,5
37009009707,3615,28,3565,28,20,1,1,2827,26,2755,26,18,1,1,666.08,921.17,NA,NA,92504,00210,4,5
37011009901,3003,11,2904,11,74,7,6,2416,8,2324,8,66,4,6,299.97,837.76,NA,3500,90148,00300,7,10
37011009902,2324,16,2291,16,14,2,1,1913,14,1868,14,14,2,1,237.52,663.34,NA,65530,91828,00300,7,10
37011009903,6138,60,6032,60,35,4,7,4703,52,4561,52,29,4,5,583.93,1630.79,NA,46740,90812,00300,7,10
37011009904,3402,31,3327,31,33,5,6,2590,20,2516,20,27,3,4,321.58,898.1,NA,15580,90052,00300,5,10
37013009901,5973,11,3398,11,2556,4,4,4396,6,2614,6,1762,4,4,859.66,1090.19,NA,4640,92436,00330,3,3
37013009902,4518,36,3348,36,1122,2,10,3304,21,2513,21,741,2,6,646.11,819.38,NA,71220,93904,04770,3,3
37013009903,4438,35,2340,35,2054,4,4,3230,19,1924,19,1260,4,4,631.64,801.03,NA,71220,93904,04770,3,1
37013009904,5204,48,2980,48,2150,1,17,3880,26,2328,26,1490,1,9,758.75,962.23,NA,71220,93904,04770,3,1
37013009905,7128,17,5962,17,1138,7,4,5344,10,4599,10,715,6,4,1045.04,1325.29,NA,56815,91896,04770,3,3
37013009906,2356,11,2266,11,72,5,2,1783,11,1700,11,54,5,2,348.67,442.18,NA,3840,90168,00330,3,3
37013009907,2634,0,2161,0,472,0,1,2026,0,1687,0,338,0,1,396.19,502.44,NA,3840,90168,00330,3,3
37013009908,3005,16,1515,16,1471,1,2,2228,11,1198,11,1005,1,2,435.69,552.54,NA,2620,92664,00330,3,1
37013009909,2414,4,1483,4,924,0,2,1859,3,1177,3,674,0,2,363.53,461.03,NA,NA,90664,00330,3,1
37013009910,4613,19,3392,19,1196,4,2,3394,16,2628,16,730,2,2,663.71,841.7,NA,12580,90664,00330,3,1
37015009601,5959,11,2845,11,3091,7,1,4389,10,2247,10,2117,4,1,1227.67,675.88,42274,13560,90712,00360,3,1
37015009602,3860,4,1478,4,2364,9,5,2626,2,1164,2,1450,4,4,734.53,404.39,42274,2580,92096,00360,3,1
37015009603,3963,11,815,11,3130,6,1,2750,7,648,7,2083,4,1,769.21,423.48,42274,38000,92768,00360,3,1
37015009604,6606,6,2644,6,3927,22,7,4807,6,2088,6,2686,16,5,1344.59,740.25,42274,74680,94064,00360,3,1
37017009501,3831,34,2391,34,1378,24,4,2904,19,1860,19,985,19,2,703.69,518.19,NA,73300,90724,00390,6,1
37017009502,2365,17,1335,17,984,27,0,1734,11,1027,11,666,19,0,420.18,309.41,NA,NA,93964,00390,6,1
37017009503,4387,4,3130,4,1221,32,0,3269,2,2367,2,877,21,0,792.13,583.32,NA,18040,91508,00390,6,7
37017009504,5802,42,2931,42,2797,16,15,4311,29,2321,29,1908,12,12,1044.63,769.25,NA,20600,91000,00390,6,1
37017009505,5983,20,4696,20,1259,5,2,4461,9,3607,9,829,5,2,1080.98,796.02,NA,6240,90296,00390,6,7
37017009506,6295,33,2377,33,3528,357,0,4471,27,1840,27,2342,235,0,1083.4,797.8,70307,12780,90528,00390,6,1
37019000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,48700,NA,00420,11,7
37019000202,5812,29,4784,29,962,21,15,4327,18,3592,18,669,16,14,849.68,1002.78,NA,6760,93252,00420,11,7
37019000206,6917,44,4839,44,1990,38,6,5016,27,3615,27,1310,32,5,984.98,1162.45,NA,60800,91884,00420,11,7
37019020198,8879,105,6226,105,2454,64,30,6285,66,4468,66,1623,41,21,1234.17,1456.54,NA,37680,92324,00420,11,7
37019020299,114,14,39,14,61,0,0,128,14,39,14,61,0,0,25.14,29.66,NA,NA,92992,00420,11,7
37019020301,4871,22,3790,22,1032,23,4,3807,14,2994,14,767,15,3,747.57,882.27,NA,63400,92992,00420,11,7
37019020302,4752,21,4699,21,6,21,5,3917,14,3863,14,5,17,4,769.17,907.76,NA,39040,92992,00420,11,7
37019020399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,92992,00420,11,7
37019020401,4616,36,3779,36,777,15,3,3509,22,2933,22,518,12,2,689.05,813.21,NA,69795,91884,00420,11,7
37019020402,2620,18,2571,18,10,21,0,2206,13,2160,13,7,13,0,433.19,511.24,NA,31960,91884,00420,11,7
37019020501,4815,36,3400,36,1353,21,4,3564,22,2624,22,880,12,4,699.85,825.95,NA,60800,92900,00420,11,7
37019020502,4313,29,3761,29,519,2,2,3715,19,3335,19,338,2,2,729.51,860.95,NA,9540,92900,00420,11,7
37019020503,3276,22,3232,22,8,8,6,2728,14,2680,14,8,8,4,535.69,632.21,NA,48700,92900,00420,11,7
37021000001,819,20,636,20,157,4,1,805,18,612,18,152,4,1,159.99,205.57,NA,2140,90088,00270,5,11
37021000002,1549,9,411,9,1120,7,2,1119,6,355,6,746,4,2,222.4,285.76,NA,2140,90088,00270,5,11
37021000003,1844,8,820,8,1006,5,4,1357,6,648,6,690,4,3,269.7,346.54,NA,2140,90088,00270,5,11
37021000004,3776,53,3028,53,646,3,44,3232,40,2656,40,462,3,31,642.35,825.36,NA,2140,90088,00270,5,11
37021000005,3594,18,3495,18,60,12,9,2978,13,2895,13,40,8,9,591.86,760.5,NA,2140,90088,00270,5,11
37021000006,2238,27,1507,27,684,14,6,1919,23,1334,23,521,12,6,381.39,490.06,NA,2140,90088,00270,5,11
37021000007,1408,21,343,21,1032,1,9,1044,9,296,9,721,1,8,207.49,266.61,NA,2140,90088,00270,5,11
37021000008,2924,24,2346,24,518,2,34,2419,17,1970,17,391,2,22,480.77,617.74,NA,2140,90088,00270,5,11
37021000009,3101,21,628,21,2437,9,4,2366,15,570,15,1756,7,3,470.23,604.21,NA,2140,90088,00270,5,11
37021000010,3224,24,2744,24,427,21,6,2487,15,2194,15,243,14,6,494.28,635.11,NA,2140,90088,00270,5,11
37021000011,4118,50,3570,50,462,23,13,3351,33,2940,33,318,17,10,666,855.75,NA,2140,90088,00270,5,11
