GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29139009703,3032,6,2991,6,31,3,0,2268,2,2242,2,22,0,0,168,398,51770,44228,NA,14280,5,9
29139009704,2321,24,2253,24,23,5,16,1714,11,1660,11,18,4,10,337,628,4330,3754,NA,21330,5,9
29141009701,4441,21,4392,21,6,18,4,3118,16,3067,16,4,13,2,220.23,580.27,3376,49880,21180,30840,4,4
29141009702,2738,11,2713,11,3,6,2,2078,6,2057,6,2,5,2,146.77,386.73,71044,30988,NA,29610,4,4
29141009703,2655,11,2565,11,74,2,2,2012,8,1930,8,62,2,2,588,1112,75922,49880,NA,30840,4,4
29141009704,1291,8,1278,8,0,5,0,1053,6,1038,6,0,3,0,196.61,347.08,28828,55190,NA,30840,4,4
29141009705,1494,8,1455,8,2,18,11,1224,3,1197,3,2,13,6,158,195,28828,9568,NA,29610,4,4
29141009706,1280,3,1270,3,2,3,2,1086,2,1077,2,1,3,1,202.77,357.96,40916,55190,NA,30840,4,4
29141009707,1000,6,980,6,0,14,0,856,4,839,4,0,9,0,159.83,282.15,NA,55190,NA,11340,4,4
29141009708,675,1,661,1,7,2,4,588,1,577,1,4,2,3,109.79,193.81,71728,55190,NA,30840,4,4
29143009601,4044,15,3941,15,62,19,7,3060,8,2984,8,39,16,5,366,473,49898,5518,NA,00004,3,8
29143009602,2986,27,2383,27,572,0,4,2128,11,1768,11,337,0,1,533.91,451.8,42536,41816,NA,00004,3,8
29143009603,3883,3,2541,3,1320,3,16,2615,2,1847,2,755,2,7,656.09,555.2,52076,52094,NA,00004,3,8
29143009604,3355,11,2752,11,587,0,4,2376,7,2009,7,351,0,2,200,201,46406,39710,NA,00004,3,8
29143009605,3078,16,3018,16,37,7,0,2187,7,2139,7,29,5,0,292,266,26974,1234,NA,12780,3,8
29143009606,3582,21,2862,21,689,5,5,2493,18,2061,18,388,4,4,710,789,59186,59132,NA,00003,3,8
29145000201,3691,50,3487,50,15,98,41,2844,28,2690,28,9,60,29,353.07,889.76,51572,51590,NA,21810,2,7
29145000202,3764,17,3638,17,13,45,51,2765,11,2682,11,7,23,31,343.26,865.05,51572,51590,NA,21810,2,7
29145000203,2531,27,2357,27,71,53,23,1864,14,1730,14,49,38,19,231.41,583.16,51572,51590,NA,21810,2,7
29145000204,5548,33,5414,33,12,85,4,4042,19,3934,19,10,56,4,501.79,1264.56,19432,46118,NA,10800,2,7
29145000205,7774,74,7494,74,27,129,49,5979,45,5753,45,20,85,31,742.26,1870.56,37592,67610,NA,16350,2,7
29145000206,7224,51,6965,51,20,167,21,5316,29,5109,29,15,122,12,659.95,1663.14,51572,24346,NA,21810,2,7
29145000207,3582,17,3359,17,3,195,8,2556,12,2411,12,2,111,8,317.31,799.66,66674,66692,31890,27900,2,7
29145000208,4173,43,4038,43,8,74,10,3039,28,2922,28,7,46,8,377.28,950.77,51572,78568,31890,21810,2,7
29145000209,3477,12,3395,12,4,52,14,2538,9,2473,9,2,36,9,315.08,794.03,28108,28126,NA,30420,2,7
29145000210,2681,29,2610,29,0,39,2,1938,15,1883,15,0,24,1,240.59,606.31,23518,25696,NA,30420,2,7
29147009701,2959,7,2940,7,0,7,5,2187,6,2168,6,0,4,3,89,132,33004,33022,NA,30900,6,6
29147009702,3016,18,2977,18,1,12,8,2202,7,2175,7,0,8,5,116,142,68132,33634,NA,22560,6,6
29147009703,7323,61,6984,61,141,9,124,6306,57,5939,57,130,8,115,1121.58,1802.78,46640,58808,NA,20490,6,6
29147009704,3866,21,3801,21,21,6,16,3016,13,2956,13,19,4,11,536.42,862.22,46640,58808,NA,20490,6,6
29147009705,4545,28,4501,28,1,4,11,3223,22,3169,22,1,3,6,181,258,60716,58808,NA,28500,6,6
29149009801,3242,11,3224,11,3,4,0,2420,7,2401,7,1,4,0,62,72,964,57854,NA,03060,3,8
29149009802,3806,6,3759,6,0,28,12,2949,5,2912,5,0,23,4,98,111,72826,72844,NA,30270,3,8
29149009803,2422,15,2400,15,0,6,1,1865,10,1838,10,0,6,1,88,83,72826,16768,NA,10200,3,8
29151009901,3226,1,3222,1,3,0,0,2295,1,2290,1,3,0,0,148,467,13060,4762,NA,08490,5,4
29151009902,3469,18,3442,18,7,2,0,2599,12,2569,12,4,2,0,352.76,936.09,43238,17128,NA,19080,5,4
29151009903,3087,29,3052,29,3,1,2,2174,18,2135,18,0,1,2,183,380,47594,35972,NA,31830,5,4
29151009904,2137,4,2117,4,0,16,0,1549,3,1536,3,0,7,0,210.24,557.91,25822,36926,NA,00001,5,4
29151990598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,861,NA,77632,NA,30870,5,4
29151990698,99,4,68,4,25,1,0,99,4,65,4,25,1,0,251,676,NA,43256,NA,16190,5,4
29153009701,4213,32,4159,32,1,16,5,3310,19,3257,19,0,13,2,127,277,26218,8380,23400,12600,2,7
29153009702,4385,24,4331,24,1,19,7,3339,19,3276,19,1,18,6,26,121,3052,3646,NA,12600,2,7
29155009701,2865,12,2461,12,388,4,0,2025,8,1769,8,236,4,0,143,163,7876,43400,NA,23760,3,8
29155009702,4528,16,2236,16,2265,0,11,3043,13,1722,13,1288,0,7,782,537,31132,31150,NA,13800,3,8
29155009703,3606,26,2485,26,1068,3,24,2412,16,1844,16,523,2,11,545.26,624.43,11692,43382,23790,07470,3,8
29155009704,3917,22,2827,22,1058,5,5,2737,15,2102,15,601,3,1,618.74,708.57,11692,43382,23790,07470,3,8
29155009705,3687,5,3308,5,358,9,5,2636,1,2411,1,214,7,2,79,95,32590,43382,23790,28530,3,8
29155009706,3318,8,2858,8,438,12,0,2361,2,2128,2,220,9,0,506,550,70558,16354,NA,28530,3,8
29157009701,2371,8,2349,8,2,7,5,1662,5,1642,5,2,6,2,74,144,43346,6886,NA,24530,3,8
29157009702,3835,11,3801,11,1,5,17,2649,4,2628,4,1,3,9,138,269,57116,65036,NA,24530,3,8
29157009703,3603,12,3570,12,0,8,13,2754,9,2723,9,0,7,6,541.51,1244,57116,12826,NA,24530,3,8
29157009704,3354,9,3305,9,0,8,32,2464,2,2432,2,0,5,23,484.49,1113,57116,12826,NA,24530,3,8
29157009705,3485,32,3442,32,8,1,1,2501,21,2454,21,4,0,1,113,309,928,8092,03040,24530,3,8
29159009801,3401,13,3363,13,14,8,3,2416,8,2381,8,11,5,3,60,114,33256,44012,24690,15270,4,4
29159009802,4167,26,4098,26,19,14,10,3038,13,2988,13,9,10,5,169,368,40520,40538,24690,16920,4,4
29159009803,3489,32,3411,32,21,16,9,2478,14,2419,14,16,12,3,59,214,29332,29350,NA,13290,4,4
29159009804,3813,14,3744,14,33,13,9,2673,6,2633,6,18,6,4,297,785,68384,68402,NA,28380,4,4
29159009805,2900,5,2846,5,31,5,13,2212,4,2171,4,20,5,8,488.14,852.6,66440,66458,NA,27830,4,4
29159009806,2192,9,1365,9,803,6,3,1591,8,1024,8,542,6,3,351.1,613.24,66440,66458,NA,27830,4,4
29159009807,2451,31,2350,31,56,2,12,1984,14,1913,14,34,2,7,437.83,764.72,66440,66458,24690,27830,4,4
29159009808,3292,36,3173,36,59,6,18,2565,27,2447,27,44,5,15,566.04,988.66,66440,66458,NA,27830,4,4
29159009809,2783,40,2641,40,75,12,11,2126,25,2014,25,47,10,5,469.16,819.45,66440,66458,NA,27830,4,4
29159009810,3544,23,3454,23,40,12,11,2681,13,2607,13,32,9,7,591.64,1033.38,66440,66458,NA,27830,4,4
29159009811,3405,39,3336,39,13,2,15,2615,27,2544,27,9,1,7,577.08,1007.94,66440,66458,NA,27830,4,4
29161009901,3310,17,3236,17,36,13,8,2370,11,2330,11,6,8,4,403.82,785.33,62912,19558,NA,29250,3,8
29161009902,4083,26,4020,26,16,7,14,3126,17,3063,17,14,5,10,532.63,1035.83,64424,64442,NA,29250,3,8
29161009903,4876,44,4604,44,72,13,141,3706,23,3496,23,53,11,100,631.46,1228.02,62912,62930,NA,26890,3,8
29161009904,4719,74,4059,74,145,14,423,4172,64,3529,64,128,13,374,710.86,1382.44,62912,62930,NA,26890,3,8
29161009905,3154,15,3097,15,9,23,10,2319,9,2275,9,4,15,7,395.13,768.43,19828,1918,NA,22140,3,8
29161009906,2560,15,2523,15,4,11,6,1893,10,1857,10,3,9,4,330,280,21214,69716,25080,22140,3,8
29161009907,2539,16,2486,16,4,19,13,1842,8,1805,8,1,11,9,313.85,610.37,62912,62930,NA,26890,3,8
29161009908,3135,30,2961,30,63,13,68,2510,16,2366,16,42,13,57,427.67,831.72,62912,62930,NA,26890,3,8
29161009909,3019,32,2884,32,34,13,55,2263,22,2150,22,18,10,41,385.59,749.87,62912,62930,NA,26890,3,8
29161009910,3853,34,3756,34,13,15,35,2817,18,2732,18,9,12,28,318,430,62912,15346,10710,26890,3,8
29163009601,3761,30,3503,30,204,10,12,2847,20,2660,20,134,6,7,639.1,691.99,44174,9604,NA,19260,5,9
29163009602,3135,24,2975,24,113,18,5,2267,12,2150,12,78,12,3,508.9,551.01,44174,9604,05400,05660,5,9
29163009603,3674,24,3590,24,58,0,2,2580,17,2496,17,48,0,2,423.47,519.92,17902,17704,NA,05660,5,9
29163009604,3321,31,2971,31,307,7,3,2422,14,2185,14,202,4,3,397.53,488.08,7660,17704,NA,05660,5,9
29163009605,2078,10,1900,10,150,14,0,1569,9,1412,9,133,6,0,320,337,14194,10594,05400,25140,5,9
29165000305,3410,36,3280,36,78,8,7,2575,22,2460,22,57,8,6,547.28,914.87,58178,11512,NA,25230,6,6
29165000306,5834,60,5706,60,7,43,18,4237,29,4132,29,6,28,13,417.86,371.84,38000,29026,NA,22830,6,6
29165000307,3513,27,3460,27,3,12,11,2577,17,2526,17,1,12,4,254.14,226.16,78856,78874,NA,31710,6,6
29165030001,5272,159,4773,159,182,33,124,3888,91,3502,91,99,21,84,826.34,1381.37,38000,56598,NA,23550,6,6
29165030002,3009,100,2697,100,129,28,52,2346,61,2080,61,84,25,35,391.28,460.89,62156,57242,NA,23550,6,6
29165030101,2469,48,2350,48,53,6,12,1833,32,1722,32,36,5,6,305.72,360.11,62156,57242,NA,23550,6,6
29165030102,1960,59,1840,59,25,11,25,1466,45,1334,45,19,8,15,311.58,520.86,38000,25432,NA,23550,6,6
29165030103,3412,64,3137,64,131,18,62,2741,53,2459,53,112,13,51,582.56,973.85,38000,68073,NA,23550,6,6
29165030201,284,0,283,0,0,1,0,211,0,210,0,0,1,0,44.85,74.97,38000,46874,NA,25230,6,6
29165030203,8303,196,7729,196,152,26,196,6063,126,5565,126,97,20,129,371,740,38000,25432,NA,23550,6,6
29165030205,2754,55,2620,55,32,20,26,2139,31,2023,31,23,11,20,454.61,759.97,38000,46874,NA,25230,6,6
29165030206,2227,45,1976,45,118,14,73,1844,33,1634,33,81,9,54,391.92,655.16,38000,46874,NA,23550,6,6
29165030207,3564,52,3424,52,19,22,46,2868,36,2733,36,15,20,28,609.55,1018.97,38000,46874,NA,23550,6,6
29165030303,8829,205,8273,205,232,44,74,6294,127,5807,127,152,25,56,1337.7,2236.2,56288,68073,NA,23550,6,6
29165030304,1307,38,1203,38,30,4,32,1038,25,943,25,23,3,19,220.61,368.79,38000,11512,NA,25230,6,6
29165030401,1720,17,1687,17,4,8,4,1275,6,1249,6,4,6,4,573,929,23698,41240,NA,31710,6,6
29167009601,5196,21,5121,21,7,28,17,4022,14,3946,14,5,26,17,59,82,33706,37430,NA,15300,2,7
29167009602,4571,39,4490,39,5,25,10,3480,22,3411,22,4,17,4,93,123,6976,53018,NA,05370,2,7
29167009603,6029,64,5859,64,35,43,27,4585,47,4409,47,34,29,19,306,421,6976,49736,NA,25350,2,7
29167009604,6030,49,5914,49,20,29,17,4496,35,4382,35,17,14,13,55,117,6976,69236,NA,20160,2,7
29169009701,7157,57,6997,57,21,48,34,5194,42,5039,42,11,35,25,418,721,19630,74878,29850,10830,4,4
29169009704,6738,224,5705,224,505,55,240,4907,137,4133,137,293,35,172,585.19,1026.49,77992,17740,NA,31440,4,4
29169009705,4860,58,4718,58,35,22,23,3538,31,3421,31,17,19,19,563,971,61562,42266,29850,26430,4,4
29169970285,6689,270,5140,270,898,41,327,4778,153,3635,153,560,29,248,569.81,999.51,65144,17740,25080,31440,4,4
29169970385,15863,1344,9817,1344,4034,85,520,12157,870,7116,870,2882,66,353,21,39,25264,17740,NA,31440,4,4
29171009601,2661,11,2646,11,0,0,4,2031,7,2015,7,0,0,2,48,83,81106,21952,NA,25640,6,6
29171009602,2418,13,2396,13,1,8,0,1914,10,1888,10,1,5,0,75,178,75166,74896,NA,25640,6,6
29173009701,2871,10,2755,10,100,5,1,2065,3,1974,3,82,2,1,324,295,52058,69410,NA,25710,5,9
29173009702,2948,3,2909,3,27,8,1,2179,3,2148,3,16,8,1,474,363,12592,14482,NA,25710,5,9
29173009703,2657,1,2636,1,11,5,4,1989,1,1971,1,8,5,3,332,318,57080,65612,NA,25710,5,9
29175009901,3239,7,3224,7,1,5,2,2325,4,2311,4,1,5,0,185,245,36224,10378,NA,22860,5,9
29175009902,3231,14,3027,14,162,20,5,2297,8,2154,8,115,9,3,489,545,33886,65684,NA,31860,5,9
29175009903,5679,54,4991,54,602,15,17,4260,34,3771,34,402,10,9,1334.21,1610.71,49034,53318,NA,21100,5,9
29175009904,3382,41,3123,41,173,19,24,2520,22,2325,22,121,13,17,789.25,952.81,49034,69122,NA,21100,5,9
29175009905,3929,20,3717,20,155,9,28,3019,12,2875,12,95,7,18,945.54,1141.48,49034,69122,26190,21100,5,9
29175009906,4910,43,4117,43,733,12,3,3974,35,3166,35,725,11,2,238,176,31924,59654,26190,14370,5,9
29177000800,6552,32,6450,32,25,32,13,4530,16,4452,16,17,23,6,294,347,40988,58844,NA,18220,6,6
29177000801,3355,13,3305,13,14,17,6,2428,12,2381,12,9,10,4,513.45,478.04,30322,17398,NA,26480,6,6
29177000802,6243,31,5937,31,242,26,5,4621,17,4408,17,162,13,4,977.21,909.82,61670,61688,NA,26480,6,6
29177000803,5821,43,5718,43,15,34,9,4196,25,4108,25,10,20,8,887.34,826.14,10738,24310,NA,11650,6,6
29179009801,3145,12,3125,12,3,4,1,2284,6,2266,6,2,3,1,380,245,9694,11530,08340,06170,3,8
29179009802,3516,16,3488,16,0,10,1,2641,13,2609,13,0,5,1,724,584,21844,43598,08340,28590,3,8
29181009701,3337,30,3290,30,1,13,3,2424,13,2383,13,1,13,1,104,152,NA,37664,NA,10920,3,8
29181009702,2666,16,2641,16,0,9,0,1913,13,1882,13,0,5,0,53,75,NA,78712,26580,10920,3,8
29181009703,3836,25,3782,25,5,14,10,2898,14,2854,14,2,9,5,392.27,538.83,19792,19810,NA,10920,3,8
29181009704,2464,7,2437,7,0,13,6,1808,6,1781,6,0,12,3,244.73,336.17,51302,72970,NA,21720,3,8
29183003101,4357,20,4324,20,5,5,3,3197,7,3172,7,4,5,2,486.83,1044.71,59150,62112,NA,23160,5,1
29183003102,5170,49,5030,49,62,21,4,3660,33,3542,33,34,15,3,557.34,1196.01,64082,62112,NA,23160,1,1
29183003103,8764,47,8390,47,280,12,34,6680,24,6435,24,160,11,26,1017.21,2182.88,64082,6253,NA,28920,1,1
29183003104,2543,18,2483,18,27,13,1,1953,13,1894,13,21,11,1,297.4,638.2,64082,26120,NA,28920,1,1
29183003105,7643,78,7213,78,283,26,41,5892,56,5547,56,186,18,29,897.22,1925.38,64082,26120,NA,28920,1,1
29183003106,8564,76,8249,76,156,13,68,6414,47,6126,47,133,9,52,976.71,2095.96,64082,43026,NA,28920,1,1
29183003107,5946,60,5669,60,151,18,46,4804,44,4558,44,108,14,36,731.54,1569.85,64082,81555,NA,28920,1,1
29183003108,5500,43,5270,43,141,5,37,3898,27,3727,27,86,5,26,593.58,1273.79,64082,81555,NA,28920,1,1
29183003116,4725,78,4572,78,36,27,9,3464,48,3315,48,27,17,9,527.49,1131.96,54074,54080,NA,08370,5,9
29183003118,6329,72,6174,72,55,12,14,4524,52,4369,52,35,9,7,688.9,1478.35,54074,54080,NA,08370,5,9
29183003120,5737,58,5172,58,478,16,13,3831,30,3574,30,180,10,7,583.37,1251.89,78442,78448,NA,31650,5,9
29183003121,5034,58,4596,58,336,15,22,3601,30,3291,30,224,12,14,548.35,1176.73,78442,78448,NA,31650,5,9
