GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
21059000015,21,059,000015,6348,28,6294,28,15,6,5,4397,16,4348,16,9,4,4,972.68,1271.42,NA,91008,01470,7,2
21059000016,21,059,000016,5841,12,5795,12,12,6,16,4056,6,4023,6,10,3,8,897.25,1172.81,82830,91008,01470,7,2
21059000018,21,059,000018,5556,17,5504,17,27,3,5,3796,7,3759,7,19,3,1,839.73,1097.63,NA,91016,01470,7,2
21059001499,21,059,001499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,91008,01470,7,2
21059001701,21,059,001701,4577,14,4407,14,145,1,10,3133,7,3026,7,84,1,8,693.07,905.92,58620,91016,01470,7,2
21059001702,21,059,001702,2829,6,2775,6,12,1,32,2029,5,1992,5,7,1,19,448.85,586.7,58620,91016,01470,7,2
21059001703,21,059,001703,4000,7,3953,7,34,4,2,2862,2,2824,2,31,2,1,633.12,827.56,50520,91016,01470,7,2
21061009801,21,061,009801,980,1,979,1,0,0,0,701,0,701,0,0,0,0,112.16,253.83,NA,93424,01620,7,2
21061009802,21,061,009802,3213,4,3205,4,3,1,0,2436,4,2424,4,3,1,0,389.76,882.05,NA,90376,01620,7,2
21061009803,21,061,009803,1354,3,1236,3,112,3,0,1014,2,933,2,75,2,0,162.24,367.16,10324,92048,01620,7,2
21061009804,21,061,009804,4810,17,4726,17,53,8,6,3499,10,3425,10,43,7,4,559.84,1266.96,10324,90368,01620,7,2
21063009801,21,063,009801,2024,4,2017,4,0,3,0,1422,1,1417,1,0,3,0,539.69,178.76,NA,91840,01680,1,4
21063009802,21,063,009802,4431,11,4419,11,1,0,0,3160,5,3149,5,1,0,0,1199.31,397.24,68556,93088,01680,1,4
21065009801,21,065,009801,1601,0,1597,0,0,4,0,1232,0,1228,0,0,4,0,188.93,377.17,64092,92888,01760,4,6
21065009802,21,065,009802,6017,21,5989,21,4,2,1,4496,14,4462,14,4,2,0,689.47,1376.43,39646,91816,01760,4,6
21065009803,21,065,009803,5198,21,5170,21,4,1,2,3715,11,3690,11,1,1,1,569.7,1137.33,NA,92904,01760,4,6
21065009804,21,065,009804,1798,4,1794,4,0,0,0,1297,2,1293,2,0,0,0,198.9,397.07,NA,93360,01760,4,6
21067000001,21,067,000001,5212,70,3718,70,1360,17,42,4742,64,3419,64,1137,17,41,824.69,1341.15,46000,91224,01860,6,6
21067000002,21,067,000002,3907,27,2041,27,1803,13,16,3059,21,1711,21,1283,8,15,532,865.16,46000,91224,01860,6,6
21067000003,21,067,000003,3438,18,1087,18,2316,10,7,2549,8,767,8,1754,9,3,443.3,720.92,46000,91224,01860,6,6
21067000004,21,067,000004,3281,0,1044,0,2217,6,6,1827,0,706,0,1117,2,2,317.74,516.72,46000,91224,01860,6,6
21067000005,21,067,000005,3723,28,3626,28,60,3,6,2991,16,2907,16,43,3,6,520.17,845.93,46000,91224,01860,6,6
21067000006,21,067,000006,4447,38,4364,38,17,0,28,3748,28,3653,28,16,0,23,651.82,1060.02,46000,91224,01860,6,6
21067000007,21,067,000007,2122,9,2042,9,30,4,37,1818,9,1743,9,23,4,30,316.17,514.17,46000,91224,01860,6,6
21067000008,21,067,000008,8051,136,6913,136,296,7,694,8008,130,6807,130,284,7,650,1392.69,2264.85,46000,91224,01860,6,6
21067000009,21,067,000009,2307,8,1686,8,581,5,24,1775,6,1352,6,387,4,20,308.69,502.01,46000,91224,01860,6,6
21067000010,21,067,000010,1186,11,891,11,277,4,2,808,6,592,6,198,4,2,140.52,228.52,46000,91224,01860,6,6
21067000011,21,067,000011,5054,15,1314,15,3717,5,2,3679,10,1074,10,2578,5,2,639.82,1040.51,46000,91224,01860,6,6
21067000012,21,067,000012,280,1,250,1,28,0,1,279,1,248,1,28,0,1,48.52,78.91,46000,91224,01860,6,6
