GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
28119009502,2576,4,866,4,1689,5,12,1784,3,686,3,1078,3,11,613.31,509.03,NA,45240,92016,03810,2,3
28119009503,5059,34,2497,34,2516,10,2,3336,17,1855,17,1439,6,2,1146.87,951.86,NA,39080,93492,03810,2,3
28121000201,8397,23,5798,23,2560,2,13,5908,15,4241,15,1628,2,7,611.36,2266.69,NA,56200,92763,03830,3,4
28121000205,2576,22,1158,22,1383,6,7,2500,22,1093,22,1353,6,4,258.7,959.16,NA,55760,92025,03830,3,4
28121000206,4616,12,2840,12,1750,4,10,3228,9,2079,9,1121,4,6,334.03,1238.47,NA,55760,92025,03520,3,4
28121000208,8260,57,6628,57,1553,5,17,5844,34,4729,34,1030,5,12,604.74,2242.13,NA,8300,93501,03830,3,4
28121000209,5463,27,4175,27,1258,0,2,3907,12,3067,12,814,0,2,404.3,1498.98,NA,60360,92025,03830,4,4
28121000210,12544,49,10020,49,2449,8,18,8980,32,7256,32,1646,6,8,929.25,3445.3,NA,24980,90549,03830,4,4
28121020201,7600,67,6890,67,560,11,72,5496,39,4986,39,378,6,48,568.73,2108.62,NA,25100,91287,03830,3,4
28121020202,5278,53,4433,53,755,6,31,3560,31,2997,31,476,5,20,368.39,1365.84,NA,25100,91287,03830,3,4
28121020203,6333,32,5953,32,309,2,36,4551,21,4294,21,196,0,19,470.94,1746.06,NA,8300,92763,03830,3,4
28121020204,4045,17,3635,17,378,4,5,3151,11,2860,11,261,4,4,326.06,1208.93,NA,55760,91287,03830,3,4
28121020301,2820,13,2625,13,173,2,7,1995,9,1909,9,61,2,5,206.44,765.41,NA,55760,91287,03520,3,4
28121020302,2636,17,2188,17,420,1,10,2048,12,1730,12,284,1,9,211.93,785.74,NA,25100,91287,03830,3,4
28121020401,3462,10,3374,10,51,5,21,2509,8,2438,8,37,4,14,259.63,962.61,NA,62400,90549,03830,3,4
28121020402,4056,21,3229,21,800,4,1,3009,15,2454,15,522,2,1,311.37,1154.45,NA,62400,90549,03830,3,4
28121020701,1464,15,1424,15,22,2,1,1069,10,1030,10,16,2,1,110.62,410.14,NA,55760,92025,03520,3,4
28121020702,7611,85,7313,85,152,8,53,5639,61,5363,61,109,6,39,583.52,2163.48,NA,55760,93501,03520,3,4
28123009501,5153,12,3243,12,1848,49,1,3570,10,2387,10,1133,29,1,653.98,1178.76,NA,66280,93510,03900,3,4
28123009502,4012,11,1998,11,2002,1,0,2819,8,1478,8,1324,1,0,516.4,930.79,NA,NA,92772,03900,3,4
28123009503,4099,39,3518,39,537,1,4,3012,29,2582,29,368,1,3,551.76,994.52,NA,49080,92034,03900,3,4
28123009504,3138,50,1927,50,1149,4,8,2224,27,1441,27,720,4,5,407.41,734.33,NA,49080,92772,03900,3,4
28123009505,4676,19,2334,19,2312,0,10,3178,11,1777,11,1374,0,5,582.17,1049.33,NA,25340,91296,01470,3,4
28123009506,3059,10,1747,10,1301,1,0,2136,3,1310,3,819,1,0,391.29,705.27,NA,38600,91296,03900,3,4
28125009501,4642,42,1442,42,3140,6,12,2921,23,1052,23,1808,3,12,941.17,796.22,NA,1500,92781,00480,2,3
28125009502,2424,6,895,6,1513,1,9,1573,3,664,3,895,0,8,506.83,428.78,NA,63560,92043,03960,2,3
28127009501,4552,15,2972,15,1550,13,2,3094,8,2143,8,925,8,2,555.66,1046.52,NA,46600,90576,03990,4,5
28127009502,3332,4,2361,4,959,3,5,2478,3,1838,3,628,3,3,445.03,838.17,NA,46600,92052,03990,4,5
28127009503,5036,11,3511,11,1504,9,1,3477,5,2552,5,911,4,0,624.44,1176.07,NA,8460,93528,03990,4,5
28127009504,6754,16,4164,16,2550,16,8,4826,9,3170,9,1618,14,6,866.71,1632.36,NA,44600,92790,03990,4,5
28127009505,4279,21,3078,21,1169,5,6,3030,12,2303,12,695,3,5,544.16,1024.88,NA,44600,92790,03990,4,5
28129009501,4572,17,3361,17,1183,6,5,3289,11,2523,11,737,4,3,500.65,1496.07,NA,60840,93537,04020,3,4
28129009502,5503,41,4686,41,770,4,2,4013,19,3500,19,470,3,2,610.85,1825.39,NA,48240,92061,04020,3,4
28129009503,4723,23,3409,23,1284,6,0,3334,11,2521,11,787,4,0,507.5,1516.54,NA,72400,91323,04020,3,4
28131000201,3407,13,2432,13,961,1,0,2427,9,1832,9,576,1,0,413.35,941.13,NA,80160,90594,04170,5,1
28131000202,7343,41,5894,41,1374,19,14,5294,25,4337,25,880,13,14,901.65,2052.87,NA,80160,92808,04170,5,1
28133009501,7597,37,3096,37,4448,4,10,5942,23,2525,23,3357,4,10,1381.62,1533.75,NA,20020,93555,01350,2,3
28133009502,5326,31,1940,31,3327,4,24,3607,18,1549,18,2000,2,20,838.69,931.04,NA,64200,92817,04200,2,3
28133009503,3056,10,1088,10,1953,1,4,1909,5,798,5,1096,1,4,443.87,492.75,NA,71600,92079,04200,2,3
28133009504,10167,53,3715,53,6365,9,22,6776,34,2843,34,3842,7,16,1575.53,1749.02,NA,34740,92079,02070,2,3
28133009505,3318,14,861,14,2425,3,13,2175,8,728,8,1416,3,12,505.72,561.41,NA,48760,90603,04200,2,3
28133009506,3403,39,856,39,2483,7,17,2127,30,657,30,1394,3,13,494.56,549.02,NA,35020,90603,04200,2,3
28135009501,4329,37,2548,37,1740,4,0,3011,24,1926,24,1033,4,0,825.04,814.13,NA,12900,90612,01410,1,2
28135009502,2984,5,1114,5,1846,7,12,2097,3,879,3,1196,6,10,574.6,567,NA,12900,91350,01410,1,2
28135009503,4025,9,1330,9,2654,1,31,2609,4,1029,4,1548,1,23,714.89,705.44,NA,75040,93564,04650,2,3
28135009504,3872,31,1243,31,2596,2,0,2498,17,959,17,1503,2,0,684.47,675.43,NA,27660,92826,04650,2,3
28137009501,4239,27,2756,27,1448,4,4,2939,16,2011,16,889,4,3,560.6,871.57,NA,NA,93573,04230,1,2
28137009502,5195,29,3477,29,1676,3,10,3617,23,2556,23,1007,3,5,689.92,1072.64,NA,NA,92835,04230,1,2
