GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
06037004315,06,037,004315,7534,1895,4544,1895,69,24,996,7085,1298,3686,1298,43,16,744,25646.73,27047.5,NA,51820,93510,12090,12120,NA,30,14
06037004316,06,037,004316,3706,341,2237,341,15,7,1104,3091,243,1870,243,12,5,718,11188.99,11800.12,NA,2462,93510,NA,NA,02970,21,14
06037004317,06,037,004317,6379,515,3810,515,23,22,1999,5291,375,3165,375,20,14,1342,19152.69,20198.77,NA,2462,93510,NA,NA,02970,21,14
06037004318,06,037,004318,4609,609,3030,609,40,10,916,4100,439,2534,439,30,7,651,14841.44,15652.05,NA,2462,93510,NA,NA,38980,21,14
06037004319,06,037,004319,2726,415,1903,415,10,11,384,2430,287,1567,287,7,11,271,8796.27,9276.7,NA,78148,93510,NA,NA,38980,21,14
06037004320,06,037,004320,6869,929,4684,929,33,13,1207,6025,655,3847,655,18,9,841,21809.67,23000.87,NA,78148,93510,NA,NA,38980,21,14
06037004322,06,037,004322,7696,3058,2165,3058,36,20,2407,7776,2023,1907,2023,25,17,1781,26035.65,27457.67,NA,62896,93200,33570,12120,NA,30,33
06037004323,06,037,004323,3650,1723,1117,1723,20,14,775,3700,1089,948,1089,15,14,545,13393.49,14125.02,NA,22230,93510,12090,12120,NA,30,33
06037004324,06,037,004324,8508,5299,1932,5299,55,32,1176,9226,3400,1534,3400,24,23,845,33396.85,35220.92,NA,22230,93510,12090,12120,NA,30,33
06037004325,06,037,004325,6970,3188,2784,3188,48,13,923,7052,2036,2233,2036,31,12,704,25527.27,26921.52,NA,22230,93510,12090,12120,NA,30,33
06037004326,06,037,004326,9917,6048,2200,6048,60,19,1578,10484,3772,1727,3772,42,17,1154,37950.64,40023.43,NA,22230,93510,12090,12120,NA,30,33
06037004327,06,037,004327,5136,4314,499,4314,6,4,300,6101,2722,418,2722,5,4,230,22084.78,23291.01,NA,22230,93510,12090,12120,NA,30,33
06037004328,06,037,004328,7598,6161,676,6161,108,17,619,8638,3751,599,3751,60,16,461,31268.37,32976.19,NA,22230,93510,12090,12120,NA,30,33
06037004329,06,037,004329,7019,3033,1741,3033,47,14,2167,7200,2073,1452,2073,33,12,1557,24107.08,25423.77,NA,62896,93200,33570,12120,NA,30,33
06037004331,06,037,004331,7288,5264,758,5264,39,8,1208,8009,3263,620,3263,34,7,822,28991.48,30574.94,NA,22230,93510,12090,12120,NA,30,33
06037004332,06,037,004332,5838,4297,843,4297,20,24,639,6644,2723,723,2723,14,20,441,24050.37,25363.95,NA,22230,93510,12090,12120,NA,30,33
06037004333,06,037,004333,17284,12715,1836,12715,344,32,2318,19203,7920,1436,7920,181,18,1728,69512.22,73308.84,NA,22230,93510,26190,12120,NA,30,33
06037004334,06,037,004334,13078,10709,1043,10709,43,29,1235,14730,6501,817,6501,25,18,868,53320.57,56232.84,NA,22230,93510,26190,12120,NA,30,33
06037004335,06,037,004335,10606,9195,766,9195,37,27,573,12240,5593,620,5593,16,22,396,44307.12,46727.08,NA,72996,93510,12090,12120,NA,2,33
06037004337,06,037,004337,3223,2542,450,2542,13,12,202,3851,1641,405,1641,6,8,150,13940.09,14701.47,NA,72996,93510,40650,12120,NA,2,33
06037004338,06,037,004338,8947,7673,750,7673,18,9,471,10521,4793,617,4793,12,9,297,38084.57,40164.68,NA,72996,93510,40650,12120,12180,2,33
06037004339,06,037,004339,8910,7613,801,7613,46,9,415,10401,4723,643,4723,28,5,279,37650.19,39706.57,NA,22230,93510,26190,12120,NA,30,33
06037004340,06,037,004340,10936,9040,1440,9040,30,22,392,12739,5573,1263,5573,24,16,290,46113.43,48632.05,NA,22230,93510,26190,12120,NA,30,33
06037004600,06,037,004600,4953,416,3732,416,230,15,556,4213,300,3024,300,163,12,414,20980.76,22126.68,NA,56000,92400,NA,NA,29940,21,14
06037004601,06,037,004601,6254,488,4289,488,1176,27,267,5296,364,3479,364,874,23,192,26374.1,27814.6,NA,1290,92400,NA,NA,29940,21,2
06037004602,06,037,004602,5706,531,2047,531,2917,8,187,4756,380,1689,380,2147,7,153,23684.9,24978.52,NA,1290,92400,NA,NA,29940,24,2
06037004604,06,037,004604,854,35,257,35,483,1,71,684,26,200,26,368,1,63,3406.32,3592.37,NA,56000,92400,NA,NA,29940,24,2
06037004606,06,037,004606,4220,171,3554,171,37,9,448,3334,128,2761,128,36,6,275,16603.33,17510.18,NA,39003,92400,NA,NA,15240,21,2
06037004607,06,037,004607,4781,241,4028,241,25,3,479,3747,173,3113,173,15,3,270,18660.08,19679.25,NA,39003,92400,NA,NA,20130,21,2
06037004608,06,037,004608,3165,167,2660,167,59,6,270,2733,129,2212,129,48,4,211,13610.35,14353.72,NA,56000,92400,NA,NA,29940,24,2
06037004609,06,037,004609,6909,2262,636,2262,3660,25,309,6157,1352,537,1352,2611,20,285,30661.89,32336.58,NA,56000,92400,NA,NA,29940,24,2
06037004610,06,037,004610,6006,1645,597,1645,3488,25,238,5034,976,447,976,2412,19,204,25069.34,26438.58,NA,1290,92400,NA,NA,29940,24,2
06037004611,06,037,004611,4847,899,1505,899,2257,20,150,4092,553,1309,553,1535,14,128,20378.18,21491.19,NA,1290,92400,NA,NA,29940,24,2
06037004612,06,037,004612,4536,310,3484,310,497,11,221,3695,224,2715,224,359,8,165,18401.12,19406.15,NA,1290,92400,NA,NA,29940,21,2
06037004613,06,037,004613,6240,747,4581,747,453,38,409,5366,543,3603,543,349,28,300,26722.7,28182.24,NA,1290,92400,NA,NA,29940,21,2
06037004614,06,037,004614,3323,522,2043,522,432,11,303,2958,373,1671,373,287,11,243,14730.85,15535.42,NA,56000,92400,NA,NA,29940,21,2
06037004615,06,037,004615,9962,4068,2140,4068,3347,36,334,9747,2601,1875,2601,2389,28,253,48540.1,51191.26,NA,56000,92400,NA,NA,29940,24,2
06037004616,06,037,004616,5279,1679,416,1679,2906,12,250,4409,985,334,985,1902,10,193,21956.84,23156.08,NA,56000,92400,NA,NA,29940,24,2
06037004617,06,037,004617,1496,99,908,99,443,2,38,1316,67,798,67,348,2,34,6553.69,6911.63,NA,56000,92400,NA,NA,29940,24,2
06037004619,06,037,004619,6002,4096,729,4096,967,17,158,6819,2656,669,2656,698,12,128,33958.65,35813.4,NA,56000,92400,NA,NA,29940,24,2
06037004620,06,037,004620,8101,4595,354,4595,2919,28,176,8126,2869,287,2869,1948,22,131,40467.51,42677.77,NA,56000,92400,NA,NA,29940,24,2
06037004621,06,037,004621,5891,3224,1050,3224,1355,33,221,6208,2082,886,2082,947,24,187,30915.87,32604.43,NA,56000,92400,NA,NA,29940,24,2
06037004622,06,037,004622,5191,1574,2098,1574,1024,11,461,5156,1068,1922,1068,735,11,352,25676.9,27079.32,NA,56000,92400,NA,NA,29940,24,2
06037004623,06,037,004623,7754,2632,2599,2632,1681,46,759,7734,1822,2256,1822,1179,38,617,38515.35,40618.98,NA,56000,92400,NA,NA,29940,24,2
06037004624,06,037,004624,4478,1342,2256,1342,483,22,363,4197,873,1811,873,356,17,267,20901.08,22042.65,NA,56000,92400,NA,NA,29940,24,2
06037004625,06,037,004625,5893,781,4317,781,251,14,519,5231,565,3509,565,190,9,393,26050.4,27473.22,NA,56000,92400,NA,NA,29940,21,2
