GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
25001000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,51405,29020,NA,NA,99998,1,1
25001000101,3561,46,3435,46,53,9,17,3141,41,2997,41,41,8,13,1183,540,NA,55535,55500,NA,NA,09840,1,1
25001000102,4066,32,3991,32,21,10,4,3315,21,3245,21,18,7,3,798,628,NA,NA,74385,12300,04560,99998,1,1
25001000103,4462,31,4383,31,19,11,17,3568,16,3510,16,11,4,11,1146,1253,NA,47590,19295,04530,04560,NA,1,1
25001000104,3079,13,3030,13,3,2,31,2584,12,2537,12,2,1,20,761.49,1039.29,NA,51405,51440,09210,04560,99998,1,1
25001000105,2781,4,2767,4,7,3,0,2411,4,2396,4,4,3,0,710.51,969.71,NA,51405,51440,09210,04560,NA,1,1
25001000106,3284,24,3224,24,23,4,8,2867,21,2803,21,13,3,6,606.96,698.77,NA,12960,12995,NA,NA,03480,1,1
25001000107,3295,13,3261,13,6,10,4,2754,8,2724,8,3,8,3,583.04,671.23,NA,75505,12995,NA,NA,03480,1,1
25001000108,3967,28,3921,28,4,1,13,3206,13,3172,13,2,1,5,886.24,951.77,NA,7945,7980,02970,04560,99998,1,1
25001000109,4451,37,4351,37,33,8,20,3349,22,3280,22,11,5,9,925.76,994.23,NA,7945,7980,02970,04560,99998,1,1
25001000110,3269,36,3050,36,32,7,6,2492,23,2413,23,24,4,5,769.5,847.88,NA,49700,29020,NA,NA,05910,1,1
25001000111,3664,28,3518,28,25,4,5,2886,17,2829,17,16,4,3,891.17,981.94,NA,19400,29020,NA,NA,05910,1,1
25001000112,3342,20,3255,20,20,11,15,2825,15,2772,15,10,6,7,872.33,961.18,NA,29090,29020,NA,NA,05910,1,1
25001000113,2796,21,2740,21,9,10,9,2233,11,2199,11,4,6,2,645.26,719.22,NA,16740,16775,NA,NA,04140,1,1
25001000114,2881,10,2822,10,19,10,5,2333,7,2301,7,9,5,4,674.16,751.43,NA,18840,16775,NA,NA,04140,1,1
25001000115,3735,34,3607,34,47,8,22,2985,18,2899,18,36,5,9,862.56,961.43,NA,63655,16775,NA,NA,04140,1,1
25001000116,2510,45,2375,45,46,11,4,2100,25,2014,25,25,8,3,606.83,676.38,NA,16810,16775,NA,NA,04140,1,1
25001000117,1942,9,1886,9,14,17,8,1641,7,1598,7,12,12,5,474.19,528.54,NA,75820,16775,NA,NA,04140,1,1
25001000118,5375,59,5262,59,33,5,15,4407,31,4316,31,17,3,9,1185.23,1352.43,NA,82595,82525,NA,NA,04140,1,1
25001000120,8106,126,7854,126,60,9,25,6923,76,6706,76,37,8,20,1861.89,2124.55,NA,66035,82525,NA,NA,04140,1,1
25001000121,7693,112,7337,112,131,35,41,6250,64,5996,64,71,25,30,1680.89,1918.02,NA,78795,82525,NA,NA,04140,1,1
25001000122,4347,16,4257,16,39,19,11,3467,15,3386,15,35,13,3,929.58,923.7,NA,3695,3635,NA,NA,02310,1,1
25001000123,490,23,402,23,36,14,1,413,17,343,17,25,10,1,110.73,110.03,NA,31820,3635,NA,NA,02310,1,1
25001000124,2342,143,1941,143,150,37,31,2124,128,1698,128,119,26,25,569.49,565.89,NA,31820,3635,NA,NA,02310,1,1
25001000125,3284,119,2943,119,110,24,27,2745,79,2487,79,68,17,15,735.99,731.34,NA,31820,3635,NA,NA,02310,1,1
25001000126,6805,146,5912,146,434,91,70,5317,98,4702,98,301,63,55,1425.6,1416.59,NA,31820,3635,NA,NA,02310,1,1
25001000127,4688,78,4463,78,87,6,36,3770,51,3582,51,59,4,23,1010.82,1004.43,NA,12085,3635,NA,NA,02310,1,1
25001000128,3438,41,3328,41,25,10,28,2774,24,2680,24,20,8,18,743.77,739.07,NA,12085,3635,NA,NA,02310,1,1
25001000129,3621,23,3547,23,26,8,12,2862,16,2794,16,23,5,8,767.36,762.51,NA,12085,3635,NA,NA,02310,1,1
25001000130,2963,29,2843,29,43,10,6,2438,17,2360,17,32,10,2,653.68,649.55,NA,51510,3635,NA,NA,02310,1,1
25001000131,5089,42,4839,42,82,29,39,3544,24,3406,24,55,17,18,950.22,944.21,NA,38995,3635,NA,NA,02310,1,1
