GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
10003013504,10,003,013504,5991,88,5402,88,109,1,387,4102,53,3690,53,68,1,237,842.14,1208.89,NA,92960,01300,1,1
10003013603,10,003,013603,8643,127,7999,127,246,16,255,6821,91,6256,91,188,11,184,1400.36,2010.2,56490,91184,00200,1,1
10003013604,10,003,013604,4143,70,3853,70,116,9,95,3269,48,3010,48,85,7,71,671.13,963.4,NA,93108,01300,1,1
10003013606,10,003,013606,9090,157,8354,157,236,14,328,6615,106,6006,106,173,6,218,1358.06,1949.49,NA,93108,01300,1,1
10003013607,10,003,013607,4725,70,4282,70,192,3,175,3936,56,3541,56,153,3,127,808.06,1159.97,56490,93108,01300,1,1
10003013608,10,003,013608,1855,82,1627,82,127,2,17,1476,55,1261,55,90,2,13,303.02,434.99,NA,93108,01300,1,1
10003013609,10,003,013609,6664,105,6080,105,310,12,151,5556,72,5073,72,226,8,105,1140.65,1637.4,68220,93108,01300,1,1
10003013901,10,003,013901,3466,72,2923,72,376,17,73,2593,48,2161,48,274,13,49,532.34,764.18,NA,93848,00200,1,1
10003013902,10,003,013902,6441,169,5410,169,649,4,207,4527,107,3726,107,440,3,144,929.4,1334.14,NA,93848,00200,1,1
10003014402,10,003,014402,3807,74,3333,74,195,2,199,3331,60,2901,60,143,2,165,683.86,981.67,50670,91184,00200,1,1
10003014403,10,003,014403,6060,136,5388,136,274,6,250,5586,108,4925,108,226,6,213,1146.81,1646.24,50670,91184,00200,1,1
10003014404,10,003,014404,2796,32,2602,32,77,3,78,2097,24,1935,24,50,2,62,430.52,618,50670,91184,00200,1,1
10003014501,10,003,014501,1841,23,1581,23,186,14,33,1696,22,1480,22,129,12,31,348.19,499.82,50670,91184,00200,1,1
10003014502,10,003,014502,5124,45,4709,45,206,2,160,4896,45,4491,45,176,2,137,1005.15,1442.89,50670,91184,00200,1,1
10003014702,10,003,014702,1810,19,1584,19,168,8,31,1369,16,1195,16,122,5,15,281.06,403.46,50670,91184,00200,1,1
10003014703,10,003,014703,4881,81,4157,81,520,7,112,3746,58,3189,58,353,5,83,769.06,1103.98,9850,91184,00200,1,1
10003014704,10,003,014704,6978,121,6209,121,563,17,63,4995,95,4368,95,381,13,43,1025.48,1472.07,9850,91184,00200,1,1
10003014802,10,003,014802,9173,136,8192,136,658,17,158,6321,82,5609,82,436,14,98,1297.71,1862.85,NA,90592,00200,1,1
10003014803,10,003,014803,2627,44,2459,44,68,6,49,2181,40,2002,40,56,4,39,447.76,642.76,50670,91184,00200,1,1
10003014804,10,003,014804,8546,144,7475,144,757,28,131,6150,94,5331,94,521,14,96,1262.6,1812.45,50670,90592,00200,1,1
10003014901,10,003,014901,12968,235,10759,235,1733,26,211,9736,165,8052,165,1184,19,151,1998.81,2869.28,NA,92812,00230,1,1
