GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
17145000301,3361,10,3334,10,6,1,10,2355,8,2336,8,1,0,2,0,0,74444,93348,00009,31620,10980,13,18
17145000302,5829,37,5757,37,10,7,17,4415,20,4358,20,7,5,5,0,0,59884,90864,00009,31620,12760,13,18
17145000303,2351,24,2320,24,4,2,1,1683,15,1647,15,4,2,0,0,0,81867,93762,00009,31620,08250,13,18
17145000304,2926,29,2557,29,328,4,6,2133,13,1895,13,205,3,4,0,0,21267,92466,31560,31620,12760,13,18
17145000305,2495,8,2472,8,0,3,12,1812,5,1793,5,0,3,6,0,0,21267,93762,38550,31620,12760,13,18
17145000306,4450,12,4372,12,39,6,17,3435,8,3372,8,34,3,10,0,0,21267,93330,NA,NA,12760,13,18
17147009545,3890,11,3866,11,1,5,7,2825,9,2799,9,0,4,4,187,402,46487,6808,NA,NA,00003,16,3
17147009546,5064,16,5038,16,1,6,3,3893,10,3864,10,1,5,3,578,1499,50244,50257,NA,NA,26550,16,3
17147009547,3675,7,3661,7,4,2,1,2737,4,2724,4,3,2,0,274,395,5144,5157,NA,NA,05820,16,3
17147009548,2919,1,2913,1,2,3,0,2128,1,2125,1,0,1,0,107,214,12268,12275,NA,NA,09330,16,3
17149009524,3700,3,3683,3,5,1,8,2712,1,2701,1,3,1,5,232,352,31771,31784,31320,31350,17790,18,11
17149009525,3119,20,3095,20,2,1,1,2354,9,2332,9,2,1,1,174,235,3948,3974,NA,NA,21090,18,11
17149009526,3654,9,3635,9,0,10,0,2706,5,2690,5,0,6,0,113,144,60534,2791,NA,NA,31890,18,11
17149009527,4373,31,4319,31,0,3,20,3405,19,3350,19,0,3,14,671,1241,60222,60235,NA,NA,31710,18,11
17149009528,2731,6,2712,6,1,9,3,2072,3,2059,3,1,5,1,36,81,51882,71617,NA,NA,31710,18,11
17151009712,2283,30,1999,30,243,7,4,1804,25,1547,25,199,5,3,105,242,22398,91404,NA,NA,32280,13,10
17151009713,2090,27,2037,27,17,7,2,1601,15,1547,15,15,7,2,85,87,30133,91746,NA,NA,32280,13,10
17153009710,3448,8,2727,8,707,4,2,2540,4,2067,4,459,4,2,143,188,50751,91476,NA,NA,39630,13,10
17153009711,4075,21,2293,21,1752,4,4,2825,10,1723,10,1074,4,4,114,137,50777,92196,NA,NA,26970,13,10
17155009545,2859,94,2755,94,5,1,4,2177,56,2063,56,1,1,0,591,738,31017,31030,NA,NA,32960,4,9
17155009546,2871,44,2814,44,4,5,3,2132,22,2079,22,2,4,3,226,323,34098,34124,NA,NA,32960,4,9
17157009505,2582,5,2454,5,115,4,4,1884,5,1797,5,70,4,3,340.38,414.97,16613,90864,NA,NA,10980,13,18
17157009506,4843,22,4084,22,696,9,19,3496,14,3034,14,414,7,13,631.62,770.03,71448,93222,NA,NA,36900,13,18
17157009507,3282,32,3225,32,14,3,8,2322,15,2279,15,6,3,4,153,231,71448,90306,NA,NA,36900,13,18
17157009508,4090,18,4045,18,1,6,20,3023,11,2985,11,1,5,10,542,1164,63043,92970,NA,NA,33300,13,18
17157009509,3915,12,3887,12,2,7,6,2827,9,2798,9,2,4,5,79,61,24608,91206,32490,09780,36900,13,18
17157009510,2993,7,2967,7,9,4,6,2143,2,2126,2,5,4,4,91,120,23503,91170,NA,NA,09810,13,18
17157009511,3658,20,3634,20,0,2,2,2752,15,2720,15,0,2,0,497,739,72468,93240,NA,NA,37650,13,18
17157009512,6198,213,3982,213,1978,14,10,5723,211,3308,211,1970,13,10,714.75,1053.24,13139,90738,NA,NA,09810,13,18
17157009513,3022,16,2965,16,29,4,8,2308,9,2262,9,21,2,5,288.25,424.76,13139,90738,NA,NA,09810,13,18
17159009779,4788,19,4741,19,1,8,19,3446,11,3408,11,1,4,11,162,309,53143,53156,NA,NA,13290,5,10
17159009780,2384,11,2357,11,4,5,6,1779,2,1763,2,3,5,4,340.05,751.67,55912,55925,NA,NA,13290,5,10
17159009781,3047,18,3018,18,5,3,3,2325,6,2304,6,5,3,1,444.41,982.37,55912,55925,NA,NA,13290,5,10
17159009782,2725,9,2702,9,7,3,4,2085,5,2066,5,2,3,4,398.54,880.96,55912,55925,NA,NA,13290,5,10
17159009783,3601,17,3574,17,0,4,6,2642,10,2615,10,0,4,3,116,238,57693,46006,NA,NA,13290,5,10
17161000201,6730,67,6615,67,15,6,26,4895,38,4795,38,5,6,13,173,262,16366,16379,36360,39870,33930,4,8
17161000202,3370,159,3131,159,52,11,16,2475,80,2267,80,31,8,9,672.31,457.86,11150,32577,08310,39870,NA,4,8
17161000203,6326,874,5253,874,146,15,35,5150,558,3921,558,83,7,23,1398.96,952.71,69979,32577,36360,39870,NA,4,8
17161000204,5823,530,4250,530,999,10,28,4689,344,3169,344,811,7,14,1273.73,867.43,22073,32577,18090,39870,33930,4,8
17161000206,2438,503,1356,503,552,14,12,2019,300,1021,300,380,9,9,323.47,449.18,22073,32577,13170,39870,NA,4,8
17161000207,1737,212,1398,212,86,6,35,1460,139,1099,139,58,4,21,233.91,324.81,22073,70993,13170,39870,NA,4,8
17161000208,5193,339,4748,339,71,4,29,4149,210,3655,210,53,4,17,664.72,923.05,22073,70993,13170,39870,NA,4,8
17161000209,5790,325,5190,325,175,11,88,4559,193,4000,193,116,8,49,730.4,1014.27,22073,70993,13170,39870,NA,4,8
17161000210,3178,164,2833,164,142,5,27,2553,90,2260,90,89,3,21,409.02,567.98,22073,70993,13170,39870,NA,4,8
17161000211,3494,92,3268,92,62,6,66,2565,60,2356,60,38,4,47,410.94,570.65,49867,70993,NA,NA,26400,4,8
17161000212,4489,112,4240,112,80,7,45,3720,67,3493,67,59,5,29,595.98,827.61,49867,70993,13170,39870,26400,4,8
17161000213,4598,189,4248,189,112,6,42,3532,107,3237,107,51,4,26,565.87,785.78,49867,70993,13170,39870,26400,4,8
17161000214,1243,117,1081,117,35,5,4,999,68,833,68,21,5,4,203.71,241.52,49867,49880,NA,NA,26400,4,8
17161000215,4439,164,4165,164,71,9,27,3584,113,3291,113,43,4,20,574.2,797.35,49867,70993,NA,NA,26400,4,8
17161000216,2941,128,2749,128,42,5,14,2150,70,1965,70,32,3,10,438.41,519.78,49867,49880,NA,NA,26400,4,8
17161000217,4131,342,3627,342,120,15,19,3182,206,2683,206,66,9,12,648.85,769.27,49867,49880,NA,NA,26400,4,8
17161000218,5157,178,4869,178,64,10,36,4116,105,3828,105,49,7,22,659.43,915.71,49867,70993,NA,NA,26400,4,8
17161000219,1887,64,1756,64,56,5,4,1486,37,1369,37,36,3,4,238.07,330.6,49867,70993,NA,NA,26400,4,8
17161000220,3923,159,3654,159,68,10,29,3002,98,2722,98,58,6,20,612.15,725.76,49867,49880,NA,NA,26400,4,8
17161000221,2646,106,2478,106,27,4,31,2113,66,1938,66,24,1,18,430.87,510.83,49867,49880,NA,NA,26400,4,8
17161000222,3999,532,3376,532,68,4,18,3204,301,2545,301,39,4,14,653.34,774.59,49867,49880,NA,NA,26400,4,8
17161000223,188,29,147,29,8,2,2,171,20,121,20,6,2,2,34.87,41.34,49867,49880,NA,NA,26400,4,8
17161000224,1678,782,834,782,38,6,15,1588,469,604,469,27,6,13,323.81,383.91,49867,49880,NA,NA,26400,4,8
17161000225,212,21,88,21,92,0,11,130,10,55,10,50,0,5,24.36,15.36,49867,49880,NA,NA,26400,4,8
17161000226,361,37,286,37,32,0,6,366,26,276,26,32,0,6,68.58,43.24,65078,65091,NA,NA,34410,4,8
17161000227,2188,266,1660,266,215,8,33,1776,137,1339,137,138,3,22,332.78,209.83,65078,65091,NA,NA,34410,4,8
17161000228,5671,171,5273,171,169,13,42,4763,115,4362,115,122,10,39,892.46,562.74,65078,65091,NA,NA,34410,4,8
17161000229,2966,102,2784,102,68,1,7,2411,64,2238,64,40,1,4,465.82,683.6,65078,71201,NA,NA,34410,4,8
17161000230,4185,60,4048,60,45,0,32,3404,36,3287,36,27,0,18,657.68,965.15,65078,71201,NA,NA,34410,4,8
17161000231,2755,50,2631,50,42,2,30,2163,29,2060,29,29,1,15,417.91,613.29,65078,71201,NA,NA,34410,4,8
17161000232,5303,93,4959,93,219,7,25,4468,61,4179,61,148,5,14,863.25,1266.84,65078,71201,NA,NA,34410,4,8
17161000233,3815,250,2899,250,644,6,11,2759,133,2160,133,319,5,9,516.97,325.97,65078,65091,NA,NA,34410,4,8
17161000234,1539,87,388,87,1045,9,7,1156,60,316,60,705,9,6,216.6,136.58,65078,65091,NA,NA,34410,4,8
17161000235,2393,135,1129,135,1107,12,10,1635,73,858,73,618,6,7,306.36,193.17,65078,65091,NA,NA,34410,4,8
17161000236,2117,53,409,53,1639,10,1,1355,33,338,33,949,2,0,253.89,160.09,65078,65091,NA,NA,34410,4,8
