GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
46003009736,1917,7,1870,7,0,39,1,1363,3,1354,3,0,3,0,66,60,NA,50020,50020,55710,1,1
46003009737,1218,0,1215,0,0,1,2,854,0,853,0,0,0,1,24,28,NA,61700,17180,69540,1,1
46005009566,2145,1,2140,1,0,4,0,1443,1,1439,1,0,2,0,48,54,NA,10620,3500,36150,1,1
46005009567,2362,0,2343,0,2,13,4,1681,0,1673,0,1,5,2,31,29,NA,72540,860,80100,1,1
46005009568,1871,14,1838,14,2,14,3,1389,8,1364,8,2,6,1,59,58,NA,31060,31060,35480,1,1
46005009569,3300,26,3170,26,22,65,17,2463,12,2366,12,19,38,16,2738,3532,NA,31060,31060,35480,1,1
46005009570,5501,23,5395,23,24,43,16,4173,10,4100,10,15,27,11,52,69,NA,31060,31060,35480,1,1
46005009571,3074,12,3012,12,16,20,11,2254,10,2214,10,8,5,7,152,148,NA,31060,31060,35480,1,1
46007009931,3206,35,1698,35,8,1462,2,2070,12,1276,12,4,765,1,507,773,49700,41100,17710,06240,1,1
46009009676,3794,11,3777,11,0,4,1,2835,4,2822,4,0,4,1,331.43,426.66,NA,64860,45550,07400,1,1
46009009677,3295,23,3097,23,22,150,3,2494,12,2330,12,17,123,0,291.57,375.34,NA,60660,45790,07400,1,1
46011009586,3702,17,3653,17,1,22,6,2558,8,2524,8,1,14,3,38,55,NA,18700,2820,21390,1,1
46011009587,4193,2,4168,2,3,13,7,2961,1,2949,1,0,7,3,25,50,NA,67700,67740,66300,1,1
46011009588,7591,28,7362,28,25,85,90,6033,24,5840,24,16,55,74,989.41,1617.97,NA,7580,7580,08520,1,1
46011009589,9721,29,9417,29,44,34,193,7961,24,7708,24,29,24,152,1305.59,2135.03,NA,7580,7580,08520,1,1
46013009511,1644,5,1633,5,0,4,2,1199,1,1193,1,0,4,0,95,33,NA,27980,12140,30300,1,1
46013009512,2869,4,2825,4,0,35,5,2062,3,2033,3,0,20,3,94,56,NA,22860,47420,21400,1,1
46013009513,5725,23,5501,23,9,146,46,4275,13,4141,13,5,77,26,68.29,77.16,NA,100,100,02070,1,1
46013009514,5892,14,5704,14,4,144,26,4273,10,4147,10,3,82,21,68.26,77.12,NA,100,100,02070,1,1
46013009515,3046,18,2871,18,4,139,14,2412,8,2305,8,2,79,10,1819.76,2287.69,NA,100,100,02070,1,1
46013009516,5142,14,4899,14,13,184,30,4088,8,3941,8,8,105,18,3084.24,3877.31,NA,100,100,02070,1,1
46013009517,3984,5,3780,5,10,181,8,2806,3,2695,3,4,94,7,44.82,50.64,NA,100,100,02070,1,1
