GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
48135000012,3077,1677,1197,1677,151,17,27,2963,927,994,927,86,13,16,254.1,622.81,NA,53388,92875,NA,18000,10,23
48135000013,4419,1079,3156,1079,137,24,11,3796,607,2462,607,93,20,7,325.53,797.9,NA,53388,92875,NA,18000,10,19
48135000014,605,234,322,234,36,5,8,637,163,268,163,33,5,5,54.63,133.89,NA,53388,92875,NA,18000,10,23
48135000015,4926,3007,1710,3007,165,21,8,4725,1623,1368,1623,89,17,5,405.2,993.17,NA,53388,92875,NA,18000,10,23
48135000016,5513,932,4345,932,189,20,18,4539,543,3311,543,115,17,10,389.25,954.08,NA,53388,92875,NA,18000,10,19
48135000017,5869,606,5045,606,173,26,15,4695,360,3833,360,114,19,9,402.63,986.87,NA,53388,92875,NA,18000,10,19
48135000018,2395,1042,36,1042,1297,3,1,2393,686,27,686,990,3,1,205.22,503,NA,53388,92875,NA,18000,10,23
48135000019,6096,5037,248,5037,787,4,4,6788,3011,208,3011,550,4,4,582.12,1426.8,NA,53388,92875,NA,18000,10,23
48135000020,3335,2661,171,2661,472,4,0,3559,1539,145,1539,332,4,0,305.21,748.08,NA,53388,92875,NA,18000,10,23
48135000022,2361,1359,979,1359,1,8,5,2122,705,704,705,1,5,2,181.98,446.03,NA,30044,91545,NA,18000,10,19
48135000023,3152,511,2472,511,113,14,39,2756,354,1935,354,75,12,26,236.35,579.3,NA,53388,92875,NA,18000,10,23
48135000024,4724,325,4189,325,134,8,66,3776,203,3245,203,72,8,45,323.82,793.7,NA,53388,92875,NA,18000,10,19
48135000027,7391,2257,4988,2257,54,72,5,6034,1225,3501,1225,30,49,4,517.46,1268.32,NA,77728,91545,NA,18000,10,19
48135000028,9166,3074,5962,3074,47,42,16,7417,1606,4139,1606,27,27,12,636.06,1559.02,NA,77728,91545,NA,18000,10,19
48135000029,2937,223,2603,223,31,4,76,2269,156,1882,156,22,4,49,194.58,476.93,NA,53388,92875,NA,18000,10,19
48135000030,4260,1215,2935,1215,61,21,13,3647,718,2148,718,36,14,13,312.76,766.58,NA,53388,92875,NA,18000,10,23
48135002501,2219,717,1466,717,22,7,2,1852,425,984,425,12,5,1,158.82,389.28,NA,53388,92875,NA,18000,10,19
48135002502,5959,568,5166,568,120,47,53,4524,341,3699,341,68,38,37,387.96,950.92,NA,53388,92875,NA,18000,10,19
48135002503,3501,542,2758,542,139,20,35,3059,394,2125,394,104,13,29,262.33,642.99,NA,53388,92875,NA,18000,10,19
48137009501,1551,1023,523,1023,0,1,4,1592,587,415,587,0,1,2,151.69,379.94,NA,62816,93300,NA,00003,13,23
48137009502,715,159,553,159,0,3,0,612,97,416,97,0,2,0,58.31,146.06,NA,62816,93305,NA,00003,13,23
48139000601,9498,1738,6882,1738,819,26,20,7329,966,4844,966,517,21,15,1006.6,1500.18,NA,25752,91310,NA,19170,24,24
48139000603,2976,521,2266,521,163,18,7,2399,301,1669,301,110,16,2,329.49,491.05,NA,76816,94090,NA,44730,24,24
48139000604,3473,358,797,358,2311,3,1,2548,197,613,197,1537,3,1,349.95,521.55,NA,76816,94090,NA,44730,24,24
48139000605,2552,673,1696,673,172,4,7,2252,407,1338,407,93,3,4,309.3,460.96,NA,76816,94090,NA,44730,24,24
48139000606,6125,748,4969,748,340,34,20,4936,460,3796,460,180,25,15,677.93,1010.36,NA,76816,94090,NA,44730,24,11
48139000607,4747,451,4081,451,164,36,12,3534,271,2843,271,115,25,9,485.38,723.38,NA,48096,92570,NA,30600,24,11
48139000608,5434,360,4979,360,47,11,26,3913,208,3450,208,26,7,14,537.43,800.96,NA,48096,92570,NA,30600,24,11
48139000609,2842,358,2367,358,94,8,6,2170,220,1649,220,69,7,5,298.04,444.18,NA,47268,92490,NA,29580,24,24
48139000610,3580,312,2511,312,739,11,7,2674,185,1841,185,449,9,5,367.26,547.34,NA,37072,91895,NA,24450,24,24
48139000611,2782,410,2235,410,117,10,4,2161,238,1595,238,81,5,4,296.8,442.34,NA,76816,94090,NA,44730,24,24
48139000612,1554,420,969,420,154,11,0,1275,233,702,233,100,7,0,175.11,260.98,NA,5612,94090,NA,18540,24,24
48139000613,1336,177,1101,177,52,6,0,1044,115,777,115,33,4,0,143.39,213.7,NA,24348,91250,NA,18540,24,11
48139000614,5855,660,5064,660,106,10,12,4436,371,3615,371,64,8,7,609.26,908.01,NA,24348,91250,NA,18540,24,24
48139000615,4169,1346,1955,1346,849,6,3,3732,824,1538,824,538,5,3,512.57,763.91,NA,24348,91250,NA,18540,24,24
