GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
54001009655,3606,11,3545,11,37,11,2,2654,8,2603,8,28,6,1,1071.5,1382.15,63292,93588,00030,4,1
54001009656,3842,41,3637,41,78,58,21,3059,30,2879,30,62,41,17,1235.02,1593.07,63292,92328,00030,4,1
54001009657,4608,21,4467,21,30,80,7,3399,14,3292,14,22,55,2,1372.28,1770.13,63292,92328,00030,4,1
54001009658,3643,16,3608,16,2,11,5,2678,12,2643,12,1,8,2,1081.19,1394.65,5788,92892,00030,4,1
54003009711,6044,25,5938,25,60,6,14,4387,13,4304,13,42,6,9,251.23,285.19,NA,91092,00060,4,2
54003009712,7524,49,7359,49,76,14,25,5390,23,5268,23,50,13,13,308.66,350.4,36220,91596,00060,4,2
54003009713,5206,30,4946,30,180,13,35,3907,20,3712,20,122,10,23,223.74,253.99,52060,92388,00060,4,2
54003009714,3744,12,3632,12,85,1,14,2828,10,2730,10,67,1,10,161.95,183.85,52060,92388,00060,4,2
54003009715,3825,30,3336,30,426,10,18,2897,18,2541,18,305,4,11,165.9,188.33,52060,92100,00060,4,2
54003009716,4631,81,4002,81,499,6,34,3582,59,3094,59,342,4,24,205.13,232.86,52060,92100,00060,4,2
54003009717,5435,45,5100,45,246,7,33,4259,24,4028,24,155,7,21,243.9,276.87,52060,92100,00060,4,2
54003009718,4717,18,4650,18,27,9,12,3325,12,3262,12,22,7,10,190.41,216.16,NA,91200,00060,4,2
54003009719,4989,44,4836,44,92,7,9,3681,30,3538,30,68,6,9,210.8,239.3,NA,90060,00060,4,2
54003009720,5578,26,5078,26,406,4,60,4273,20,3893,20,301,3,36,244.7,277.78,52060,90060,00060,4,2
54003009721,7560,39,7397,39,94,8,22,5511,23,5377,23,70,4,14,315.59,358.27,40204,92172,00060,4,2
54005009582,4050,9,4039,9,0,1,1,2974,9,2954,9,0,1,1,698.91,463.74,20212,90832,00090,3,3
54005009583,4128,5,4120,5,2,1,0,2980,4,2970,4,2,0,0,700.32,464.67,20212,90832,00090,3,3
54005009584,2218,1,2194,1,9,2,12,1657,1,1641,1,3,1,10,389.41,258.38,50524,90832,00090,3,3
54005009585,7300,9,7195,9,77,9,6,5333,5,5262,5,50,7,4,1253.3,831.58,50524,90762,00090,3,3
