GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
15001000201,5102,485,1086,485,5,10,3467,4010,299,807,299,5,9,2591,977.54,776.16,61550,92880,00171,00162,NA,2,2
15001000202,1871,180,493,180,16,3,1178,1502,113,382,113,16,3,875,366.15,290.72,78950,90630,00161,00162,99999,2,2
15001000203,3723,345,1416,345,48,19,1887,3025,208,1111,208,33,12,1453,737.42,585.51,14650,90630,00164,00162,NA,2,2
15001000204,3612,501,892,501,10,14,2180,2827,266,705,266,8,10,1572,689.15,547.18,14650,90630,00172,00162,NA,2,2
15001000205,5576,500,1315,500,50,36,3654,4485,299,1029,299,32,22,2804,1093.33,868.1,14650,90630,00172,00162,NA,2,2
15001000206,3902,238,874,238,30,19,2730,2995,155,730,155,19,12,1924,730.1,579.7,14650,90630,00177,00162,NA,2,2
15001000209,3618,364,896,364,19,15,2291,2742,209,635,209,8,8,1673,668.43,530.73,14650,90630,00189,00187,NA,2,2
15001000211,6702,849,2808,849,38,75,2926,4852,395,2118,395,26,49,1869,1182.79,939.13,12500,92790,00182,00187,00185,2,2
15001000212,4438,227,1535,227,18,36,2613,3213,128,1188,128,11,22,1736,783.25,621.9,12530,91170,00183,00187,00169,2,2
15001000213,4998,407,2122,407,20,28,2416,3626,225,1601,225,10,23,1542,883.93,701.83,16160,93240,00168,00180,99999,2,2
15001000214,2660,170,674,170,12,7,1792,2022,95,494,95,9,4,1325,492.91,391.37,3850,93240,00179,00180,NA,2,2
15001000216,9661,807,5657,807,32,69,3079,7850,505,4567,505,30,57,2186,1913.63,1519.42,23000,92610,00170,00180,NA,2,2
15001000217,9140,918,4481,918,40,46,3640,6923,511,3405,511,27,25,2444,1687.65,1339.99,78500,93150,00190,00180,99999,2,2
15001000218,4291,753,1280,753,12,11,2222,3457,434,936,434,9,8,1636,842.73,669.12,13600,92520,NA,NA,00178,2,2
15001000219,3681,337,1194,337,4,18,2122,2823,195,925,195,2,13,1493,688.18,546.41,16450,90720,00190,NA,00167,2,2
15001000220,1864,156,770,156,4,16,917,1378,87,525,87,2,6,671,335.92,266.72,59300,92700,00184,00162,99999,2,2
15001000221,1541,156,392,156,6,3,983,1170,73,296,73,3,3,722,285.22,226.46,44150,92430,00173,00162,00181,2,2
15001020699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14650,90630,00177,00162,NA,2,2
