GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
42111000212,2735,6,2725,6,2,0,2,2027,3,2019,3,0,0,2,274,441,36888,74440,21270,18,12
42111000213,3382,2,3378,2,0,2,0,2422,1,2419,1,0,1,0,68,79,10808,876,03420,18,12
42111000214,4459,8,4443,8,1,1,6,3262,4,3250,4,0,1,3,378,477,5776,9256,03420,18,12
42111000215,2989,1,2985,1,2,0,1,2144,0,2144,0,0,0,0,366,344,28520,75232,15150,18,12
42111000216,2544,8,2523,8,2,0,11,1942,6,1923,6,2,0,5,409,352,48912,48912,15150,18,12
42111000217,3029,12,3017,12,0,0,0,2215,9,2197,9,0,0,0,189,325,67584,23168,20760,18,12
42111000218,3794,15,3760,15,3,13,3,2835,13,2802,13,0,5,2,248,349,65736,6640,20520,18,12
42111000219,4952,11,4934,11,1,5,1,3743,9,3718,9,1,5,1,160,271,15680,404,23880,18,12
42111008087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,37920,21840,18,12
42111008088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,37920,21840,18,12
42111008089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,37920,21840,18,12
42111020101,2488,11,2468,11,1,0,7,1845,9,1825,9,0,0,2,594.55,412.34,NA,15568,06420,18,12
42111020102,5526,18,5499,18,2,1,6,4200,12,4170,12,2,1,3,1353.45,938.66,38104,15568,06420,18,12
42111020798,3117,6,3108,6,1,0,2,2288,6,2273,6,1,0,2,210,279,NA,37920,21840,18,12
42113009801,3360,19,3274,19,47,17,3,2608,16,2533,16,28,12,3,376,297,20528,13000,22920,7,10
42113009802,2744,6,2711,6,9,12,6,2106,4,2085,4,2,9,2,41,62,20648,27096,22920,7,10
42115000320,3288,7,3271,7,1,3,3,2322,5,2307,5,1,2,2,17,17,43928,26648,15810,19,10
42115000321,3808,24,3768,24,1,9,6,2738,11,2704,11,0,8,4,94,195,NA,70776,15810,19,10
42115000322,3795,8,3768,8,2,15,2,2834,4,2810,4,2,13,1,177,241,32080,30736,03900,19,10
42115000323,4148,32,4073,32,2,8,33,2993,21,2916,21,2,8,25,59,74,41336,32720,22980,19,10
42115000325,3699,12,3667,12,7,4,7,2748,8,2720,8,4,4,4,158,260,53880,53888,03900,19,10
42115000326,4353,12,4320,12,13,7,1,3310,8,3281,8,9,4,0,305,466,50736,8648,15810,19,10
