GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
45001009501,3165,14,2627,14,516,6,2,2345,4,1978,4,352,6,1,378.03,425.43,NA,19870,90897,NA,00690,4,3
45001009502,3499,30,2509,30,948,3,8,2764,19,1994,19,722,3,7,445.57,501.44,NA,21040,90910,NA,00690,4,3
45001009503,2565,2,2122,2,435,1,5,1988,2,1666,2,312,1,5,320.48,360.66,NA,42820,90091,NA,00690,4,3
45001009504,5811,12,4135,12,1644,1,18,4214,11,3071,11,1108,1,12,679.32,764.5,NA,100,90013,NA,00690,4,3
45001009505,5533,17,2973,17,2534,0,8,4057,11,2364,11,1665,0,6,654.01,736.02,NA,100,90013,NA,00690,4,3
45001009506,3289,23,1829,23,1422,6,9,2392,16,1429,16,922,4,5,385.6,433.95,NA,10720,90455,NA,00690,4,3
45003000201,3097,10,2122,10,956,8,1,2253,7,1594,7,637,7,1,247.6,538.08,NA,47320,92223,NA,00720,4,3
45003000202,3902,17,2992,17,873,17,2,2813,10,2166,10,614,11,2,309.15,671.83,NA,NA,91001,NA,00720,4,2
45003000203,6414,44,4166,44,2181,3,16,4735,29,3221,29,1440,3,13,520.37,1130.86,NA,550,90026,NA,00720,4,3
45003000204,3867,11,2748,11,1096,4,8,2702,9,2001,9,674,4,5,296.95,645.32,NA,550,90026,NA,00720,4,3
45003000205,2910,18,2372,18,495,4,21,2003,10,1636,10,331,3,13,166.38,477.08,NA,50695,92418,NA,00720,4,3
45003000206,7166,40,5647,40,1410,17,51,5135,29,4125,29,900,14,38,426.54,1223.06,NA,5410,92418,NA,00720,4,3
45003000208,6970,32,5838,32,1023,10,66,5369,25,4584,25,674,9,52,445.98,1278.8,NA,50695,92418,NA,00720,4,3
45003000209,6146,20,4205,20,1900,8,13,4256,9,2994,9,1229,4,11,353.53,1013.7,NA,50695,90208,NA,00720,4,3
