GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
09001000612,2020,40,1918,40,13,1,44,1656,29,1557,29,12,1,28,305.74,552.05,NA,NA,26620,NA,NA,01530,1,4
09001000613,2674,78,2470,78,57,1,66,2273,59,2069,59,43,1,42,419.65,757.74,NA,NA,26620,NA,NA,01530,1,4
09001000614,2502,123,2246,123,73,4,55,2080,84,1822,84,54,3,33,384.02,693.4,NA,NA,26620,NA,NA,01530,1,4
09001000615,4529,111,4347,111,30,8,32,3700,79,3496,79,21,4,21,683.11,1233.45,NA,NA,26620,NA,NA,01530,1,4
09001000616,4852,68,4709,68,30,2,43,4094,49,3945,49,21,2,28,755.85,1364.79,NA,NA,26620,NA,NA,01530,1,4
09001000701,5071,409,4393,409,201,7,50,4565,287,3781,287,158,6,46,649.48,496.62,NA,8000,8070,NA,NA,00450,1,4
09001000702,3974,1087,1751,1087,1045,10,74,3735,701,1530,701,742,8,53,531.4,406.33,NA,8000,8070,NA,NA,00450,1,4
09001000703,2137,1026,40,1026,1062,2,1,1328,407,27,407,484,2,1,188.94,144.47,NA,8000,8070,NA,NA,00450,1,4
09001000704,2092,297,1368,297,299,4,110,2087,213,1306,213,245,3,107,296.93,227.04,NA,8000,8070,NA,NA,00450,1,4
09001000705,2736,1411,406,1411,858,10,46,2482,758,364,758,549,8,45,353.13,270.01,NA,8000,8070,NA,NA,00450,1,4
09001000706,1437,548,116,548,730,0,42,1225,328,100,328,433,0,36,174.29,133.27,NA,8000,8070,NA,NA,00450,1,4
09001000707,83,19,35,19,26,2,1,94,15,35,15,26,2,1,13.37,10.23,NA,8000,8070,NA,NA,00450,1,4
09001000708,772,230,300,230,235,0,5,900,191,286,191,227,0,5,128.05,97.91,NA,8000,8070,NA,NA,00450,1,4
09001000709,3110,1787,464,1787,785,3,64,3206,1121,419,1121,503,2,40,456.13,348.78,NA,8000,8070,NA,NA,00450,1,4
09001000710,3874,1525,840,1525,1259,6,218,3435,903,705,903,781,4,139,488.71,373.69,NA,8000,8070,NA,NA,00450,1,4
09001000711,4104,1289,1245,1289,1336,11,191,3720,825,1050,825,885,6,129,529.26,404.7,NA,8000,8070,NA,NA,00450,1,4
09001000712,4661,1621,1446,1621,1168,21,383,4261,998,1222,998,782,13,248,606.23,463.55,NA,8000,8070,NA,NA,00450,1,4
09001000713,3370,1360,956,1360,946,4,73,3430,930,815,930,704,3,48,488,373.15,NA,8000,8070,NA,NA,00450,1,4
09001000714,4119,1429,1620,1429,973,5,67,3636,895,1178,895,618,3,47,517.31,395.56,NA,8000,8070,NA,NA,00450,1,4
09001000715,335,135,96,135,101,3,0,344,88,87,88,79,2,0,48.94,37.42,NA,8000,8070,NA,NA,00450,1,4
09001000716,1687,877,216,877,563,4,22,1509,496,162,496,338,1,16,214.69,164.16,NA,8000,8070,NA,NA,00450,1,4
09001000717,842,338,313,338,172,1,18,784,206,244,206,117,1,10,111.54,85.29,NA,8000,8070,NA,NA,00450,1,4
09001000718,2809,640,1685,640,379,7,79,2483,407,1338,407,268,5,58,353.27,270.12,NA,8000,8070,NA,NA,00450,1,4
09001000719,4089,967,2145,967,844,70,52,4107,761,1752,761,728,65,40,584.32,446.8,NA,8000,8070,NA,NA,00450,1,4
09001000720,3087,495,2103,495,375,0,100,2716,357,1680,357,253,0,69,386.42,295.47,NA,8000,8070,NA,NA,00450,1,4
09001000721,4868,436,4060,436,257,6,102,4412,301,3508,301,208,6,88,627.72,479.98,NA,8000,8070,NA,NA,00450,1,4
09001000722,3535,200,3125,200,167,4,37,3163,142,2722,142,130,2,25,450.02,344.1,NA,8000,8070,NA,NA,00450,1,4
09001000723,4498,478,3737,478,217,3,41,3899,337,3026,337,165,3,31,554.73,424.17,NA,8000,8070,NA,NA,00450,1,4
09001000724,2223,262,1453,262,450,2,44,1934,172,1224,172,329,2,35,275.16,210.4,NA,8000,8070,NA,NA,00450,1,4
09001000725,4864,338,4330,338,120,2,68,4342,263,3679,263,82,2,53,617.76,472.36,NA,8000,8070,NA,NA,00450,1,4
09001000726,6177,293,5593,293,167,3,108,5572,229,4911,229,123,3,77,792.76,606.17,NA,8000,8070,NA,NA,00450,1,4
09001000727,3415,385,2310,385,654,4,61,3024,275,1936,275,485,3,50,430.24,328.98,NA,8000,8070,NA,NA,00450,1,4
09001000728,5629,808,1073,808,3648,36,50,4280,491,863,491,2377,22,36,608.94,465.62,NA,8000,8070,NA,NA,00450,1,4
09001000729,4171,629,1780,629,1673,1,69,3427,400,1456,400,1118,1,52,487.58,372.82,NA,8000,8070,NA,NA,00450,1,4
09001000730,1570,175,1242,175,138,1,10,1375,116,1035,116,99,1,8,195.63,149.59,NA,8000,8070,NA,NA,00450,1,4
09001000731,5630,648,4274,648,647,6,48,5070,460,3603,460,507,6,34,721.33,551.56,NA,8000,8070,NA,NA,00450,1,4
09001000732,2263,265,1314,265,632,6,40,2025,180,1170,180,465,6,24,288.11,220.3,NA,8000,8070,NA,NA,00450,1,4
09001000733,3088,719,1635,719,677,4,48,2838,452,1415,452,485,2,32,403.78,308.74,NA,8000,8070,NA,NA,00450,1,4
09001000734,3100,534,2150,534,351,6,53,2769,360,1788,360,217,6,38,393.96,301.24,NA,8000,8070,NA,NA,00450,1,4
09001000735,3636,1917,790,1917,854,2,57,3638,1203,662,1203,527,1,42,517.6,395.78,NA,8000,8070,NA,NA,00450,1,4
09001000736,3074,1935,395,1935,523,2,212,3034,1120,332,1120,317,2,143,431.66,330.07,NA,8000,8070,NA,NA,00450,1,4
09001000737,4982,1531,2230,1531,1134,6,49,4766,1009,1906,1009,795,5,42,678.08,518.49,NA,8000,8070,NA,NA,00450,1,4
09001000738,2703,1727,211,1727,540,1,222,2605,961,180,961,360,1,142,370.63,283.4,NA,8000,8070,NA,NA,00450,1,4
09001000739,3903,2418,435,2418,903,1,125,3927,1454,362,1454,574,1,82,558.71,427.22,NA,8000,8070,NA,NA,00450,1,4
09001000740,1033,761,58,761,212,1,0,1041,435,49,435,121,1,0,148.11,113.25,NA,8000,8070,NA,NA,00450,1,4
09001000741,1866,1256,59,1256,536,4,11,2026,814,42,814,344,4,8,288.25,220.41,NA,8000,8070,NA,NA,00450,1,4
09001000742,1259,479,25,479,748,3,0,901,244,18,244,394,1,0,128.19,98.02,NA,8000,8070,NA,NA,00450,1,4
09001000743,4946,1168,599,1168,3147,3,20,4076,705,534,705,2113,3,16,579.91,443.42,NA,8000,8070,NA,NA,00450,1,4
09001000744,4848,695,227,695,3881,18,12,3625,403,195,403,2600,13,11,515.75,394.36,NA,8000,8070,NA,NA,00450,1,4
09001000801,4068,208,3574,208,233,2,44,3382,133,2938,133,151,0,27,702.18,977.36,NA,74260,74190,NA,NA,04440,4,3
09001000802,3576,202,3097,202,241,7,29,2957,147,2467,147,178,2,16,613.94,854.54,NA,74260,74190,NA,NA,04440,4,3
09001000803,642,66,341,66,212,3,12,513,46,270,46,140,3,8,106.51,148.25,NA,74260,74190,NA,NA,04440,4,3
09001000804,5394,389,2386,389,2520,21,50,4072,242,1848,242,1695,15,30,845.44,1176.76,NA,74260,74190,NA,NA,04440,4,3
09001000805,3286,52,3173,52,28,14,18,2705,34,2593,34,23,10,11,561.62,781.71,NA,74260,74190,NA,NA,04440,4,3
09001000806,2325,80,2090,80,130,3,21,1924,50,1712,50,94,3,15,399.47,556.01,NA,74260,74190,NA,NA,04440,4,3
09001000807,2052,112,1848,112,80,1,7,1767,80,1537,80,63,1,6,366.87,510.64,NA,74260,74190,NA,NA,04440,4,3
09001000808,4639,73,4504,73,33,2,27,3652,47,3516,47,25,2,15,758.24,1055.38,NA,74260,74190,NA,NA,04440,4,3
09001000809,4799,185,4462,185,84,4,55,3913,127,3564,127,50,3,42,812.43,1130.81,NA,74260,74190,NA,NA,04440,4,3
09001000810,4307,124,4019,124,114,10,36,3702,98,3387,98,93,6,20,768.62,1069.83,NA,74260,74190,NA,NA,04440,4,3
09001000811,4846,127,4628,127,71,1,17,4094,104,3830,104,43,1,12,850.01,1183.12,NA,74260,74190,NA,NA,04440,4,3
09001000812,4897,95,4732,95,31,4,31,3938,63,3765,63,25,3,19,817.62,1138.03,NA,74260,74190,NA,NA,04440,4,3
09001000813,4558,58,4414,58,37,0,49,3964,44,3813,44,32,0,31,823.02,1145.55,NA,74260,74190,NA,NA,04440,4,3
09001000901,2920,53,2762,53,51,1,53,2231,32,2088,32,36,1,42,416.16,842.22,NA,77270,77200,NA,NA,04620,3,4
09001000902,7258,120,6999,120,36,2,101,5865,84,5594,84,33,1,69,1094.02,2214.08,NA,77270,77200,NA,NA,04620,3,4
09001000903,4584,90,4411,90,15,0,66,3737,66,3549,66,12,0,44,697.08,1410.74,NA,77270,77200,NA,NA,04620,1,4
09001000904,4967,101,4572,101,205,6,82,3939,64,3624,64,137,2,48,734.76,1487,NA,77270,77200,NA,NA,04620,3,4
09001000905,4190,68,4025,68,37,3,54,3332,42,3183,42,28,3,34,621.53,1257.85,NA,77270,77200,NA,NA,04620,1,4
09001000906,3230,29,3134,29,21,5,41,2551,20,2468,20,16,2,25,475.85,963.02,31700,77270,77200,NA,NA,04620,1,4
09001000907,4883,103,4608,103,38,7,127,3579,60,3352,60,28,4,75,667.61,1351.1,NA,77270,77200,NA,NA,04620,1,4
09001001001,4411,88,4218,88,63,3,38,3349,59,3159,59,44,2,26,491.32,1050.65,NA,NA,48620,NA,NA,02550,3,4
09001001002,6808,137,6451,137,105,9,106,5120,87,4802,87,73,7,64,751.14,1606.24,NA,NA,48620,NA,NA,02550,3,4
09001001003,5677,132,5358,132,104,8,75,4039,80,3750,80,76,7,46,592.55,1267.11,NA,NA,48620,NA,NA,02550,3,4
09001001051,3594,46,3486,46,14,1,41,2801,26,2712,26,11,1,25,453.82,1191.36,NA,NA,23890,01410,03780,04620,3,5
09001001052,2709,35,2605,35,5,1,62,2007,26,1904,26,4,1,46,325.18,853.64,NA,NA,23890,01410,03780,NA,3,5
09001001101,2228,141,2023,141,31,10,21,1864,89,1647,89,19,5,15,266.85,575.72,NA,68100,68170,NA,NA,04050,3,5
09001001102,8365,243,7923,243,98,25,75,6751,170,6277,170,69,17,48,966.47,2085.13,NA,68100,68170,NA,NA,04050,3,5
09001001104,5093,73,4933,73,37,0,50,3873,51,3713,51,27,0,31,554.46,1196.23,NA,68100,68170,NA,NA,04050,3,5
09001001105,5729,112,5514,112,34,14,53,4439,80,4221,80,19,9,30,635.49,1371.04,NA,68100,68170,NA,NA,04050,3,5
09001001106,6385,133,6073,133,74,6,97,4641,89,4340,89,53,3,67,664.4,1433.43,NA,68100,68170,NA,NA,04050,3,5
09001002001,3323,68,3104,68,51,2,93,2544,49,2344,49,40,2,60,424.03,764.81,NA,4790,4720,NA,NA,00270,3,5
09001002002,4402,105,4073,105,88,10,125,3452,68,3158,68,70,6,82,575.38,1037.79,NA,4790,4720,NA,NA,00270,3,5
09001002051,3361,39,3273,39,9,1,39,2593,25,2513,25,6,1,23,400.3,873.45,NA,NA,8980,NA,NA,00540,3,5
09001002052,5833,89,5598,89,46,1,98,4340,61,4121,61,37,1,59,670,1461.92,NA,NA,8980,NA,NA,00540,3,5
09001002053,4919,92,4679,92,45,3,100,3781,73,3527,73,36,3,69,583.7,1273.63,NA,NA,8980,NA,NA,00540,3,5
09001002101,4886,1063,2794,1063,527,16,411,4512,768,2355,768,339,16,266,624.27,876.37,NA,18430,18500,NA,NA,01020,3,5
09001002102,5535,940,3724,940,480,21,310,5026,670,3091,670,373,18,204,695.39,976.21,NA,18430,18500,NA,NA,01020,3,5
09001002103,3949,275,3308,275,214,11,135,3392,214,2717,214,148,8,91,469.31,658.83,NA,18430,18500,NA,NA,01020,3,5
09001002104,5623,375,4585,375,349,10,264,4619,263,3664,263,240,6,183,639.08,897.16,NA,18430,18500,NA,NA,01020,3,5
09001002105,5294,164,4932,164,84,5,109,4232,99,3894,99,61,4,75,585.53,821.99,NA,18430,18500,NA,NA,01020,3,5
09001002106,5359,410,4338,410,378,14,197,4541,274,3559,274,289,12,133,628.29,882.01,NA,18430,18500,NA,NA,01020,3,5
09001002107,6889,604,5594,604,390,13,272,5821,419,4499,419,291,7,186,805.39,1130.62,NA,18430,18500,NA,NA,01020,3,5
09001002108,5007,329,3777,329,652,9,231,3832,196,2930,196,367,6,137,530.19,744.3,NA,18430,18500,NA,NA,01020,3,5
09001002109,5659,108,5252,108,133,2,158,4253,76,3899,76,91,2,109,588.44,826.07,NA,18430,18500,NA,NA,01020,3,5
09001002110,3606,99,3298,99,99,1,107,2828,61,2556,61,78,1,71,391.28,549.29,NA,18430,18500,NA,NA,01020,3,5
