GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
38001009655,1460,1,1449,1,3,7,0,1052,1,1044,1,3,3,0,43,48,NA,65900,21495,NA,09410,1,1
38001009656,1714,0,1711,0,0,3,0,1296,0,1295,0,0,1,0,94,132,NA,37700,37700,NA,09410,1,1
38003009679,2082,6,2067,6,2,6,1,1479,2,1468,2,2,4,1,32,40,NA,26380,17300,19950,12020,1,1
38003009680,1460,2,1450,2,1,7,0,1051,1,1045,1,0,4,0,68,69,NA,86620,80980,19950,14160,1,1
38003009681,1785,0,1782,0,1,2,0,1259,0,1256,0,1,2,0,16,27,NA,47140,38300,NA,00022,1,1
38003009682,3635,19,3555,19,17,28,16,2832,11,2766,11,11,20,13,1865,1857,NA,81180,81180,NA,18850,1,1
38003009683,3583,7,3535,7,6,14,21,2848,2,2818,2,5,9,12,135,149,NA,81180,81180,NA,18850,1,1
38005009565,1613,1,1585,1,0,27,0,1180,0,1170,0,0,10,0,94,50,19445,45580,45620,NA,10980,1,1
38005009566,2104,8,2025,8,0,71,0,1580,2,1549,2,0,27,0,126,122,NA,49620,59060,14520,11700,1,1
38005009567,3481,15,798,15,0,2662,3,1944,7,586,7,0,1343,1,321,108,19445,27700,27750,14520,19260,1,1
38007009631,1108,0,1105,0,0,3,0,744,0,741,0,0,3,0,237,415,NA,51900,57710,02840,NA,1,1
38009009522,1842,0,1826,0,0,15,1,1331,0,1319,0,0,11,1,424.59,573.49,NA,86380,67740,NA,03060,1,1
38009009523,2746,6,2689,6,5,35,11,2147,3,2101,3,5,27,8,684.89,925.09,NA,8460,8460,NA,03060,1,1
38009009524,2029,3,2019,3,0,5,2,1480,0,1474,0,0,4,2,472.12,637.7,NA,85020,22620,10440,17010,1,1
38009009525,1394,7,1382,7,1,3,1,995,2,990,2,0,1,0,317.4,428.72,NA,44900,2700,00013,19470,1,1
38011009652,1977,6,1964,6,0,1,4,1466,0,1461,0,0,1,4,461.84,669.82,NA,8700,8700,NA,03200,1,1
38011009653,1619,0,1616,0,0,3,0,1121,0,1118,0,0,3,0,353.16,512.18,NA,71500,84650,12120,03200,1,1
38013009531,1446,7,1429,7,0,9,1,1099,2,1091,2,0,4,0,361.16,500.47,NA,8500,73900,NA,03090,1,1
38013009532,1556,7,1541,7,1,2,5,1165,2,1157,2,1,1,2,382.84,530.53,80020,64140,63780,NA,04500,1,1
38015000101,2930,14,2806,14,7,79,22,2339,7,2262,7,5,45,13,829.32,991.18,NA,7200,7200,NA,00014,1,1
38015000102,5206,50,5020,50,8,123,4,3986,21,3869,21,5,67,3,1413.28,1689.12,NA,7200,7200,NA,00014,1,1
38015000103,6496,44,6335,44,0,98,19,4871,22,4768,22,0,46,13,1727.07,2064.14,NA,7200,7200,NA,00014,1,1
38015000104,4049,15,4005,15,1,19,6,3174,12,3134,12,1,11,4,1125.38,1345.02,NA,7200,7200,NA,00014,1,1
38015000105,5138,45,4948,45,6,104,34,3728,24,3594,24,5,62,19,1321.8,1579.78,NA,7200,7200,NA,00014,1,1
38015000106,4464,30,4236,30,9,169,20,3068,14,2939,14,5,82,14,1087.79,1300.1,NA,7200,7200,NA,00014,1,1
38015000107,5515,31,5277,31,5,181,19,3846,16,3701,16,4,94,15,1363.64,1629.79,NA,7200,7200,NA,00014,1,1
38015000108,4451,9,4237,9,3,187,14,3124,5,3010,5,1,95,8,1107.65,1323.83,NA,7200,7200,NA,00014,1,1
38015000109,3047,31,2890,31,10,109,4,2356,24,2195,24,9,100,4,835.35,998.38,NA,7200,7200,NA,00014,1,1
38015000110,2539,7,2507,7,1,18,1,1707,4,1689,4,1,8,1,605.24,723.36,NA,7200,36460,12720,00014,1,1
38015000111,7326,49,7166,49,6,51,53,5231,27,5119,27,3,27,28,155,215,NA,7200,7200,NA,00014,1,1
38015000112,3215,25,3018,25,9,149,14,2330,16,2190,16,9,87,12,38,55,NA,7200,7203,11970,00014,1,1
38015000113,3333,9,3063,9,1,258,2,2049,3,1907,3,0,134,2,726.5,868.29,NA,7200,2780,12720,00014,1,1
38015000114,837,1,829,1,0,6,1,624,1,619,1,0,2,1,58,80,NA,NA,20540,17760,05400,1,1
38015000115,1585,1,1582,1,0,1,1,1144,1,1140,1,0,1,1,77,78,NA,86780,21860,15670,20130,1,1
38017000001,6112,29,5969,29,5,17,92,4318,15,4218,15,3,10,57,1394.24,1362.41,NA,25700,25700,NA,06780,1,1
38017000002,6795,28,6627,28,17,53,70,5337,19,5217,19,10,28,44,1723.26,1683.93,NA,25700,25700,NA,06780,1,1
38017000003,3118,49,2835,49,18,26,188,2892,30,2641,30,16,24,151,933.8,912.48,NA,25700,25700,NA,06780,1,1
38017000004,4295,28,4138,28,13,23,91,3481,12,3357,12,9,18,73,1123.98,1098.32,NA,25700,25700,NA,06780,1,1
38017000005,7246,64,6896,64,36,123,123,6045,36,5773,36,25,68,107,1951.87,1907.31,NA,25700,25700,NA,06780,1,1
38017000006,4966,63,4694,63,15,152,40,3782,47,3585,47,10,65,28,1221.17,1193.29,NA,25700,25700,NA,06780,1,1
38017000007,1487,9,1431,9,6,28,12,1453,9,1394,9,6,25,10,469.16,458.45,NA,25700,25700,NA,06780,1,1
38017000010,8630,42,8465,42,24,48,51,6597,26,6459,26,17,36,33,2130.1,2081.48,NA,25700,25700,NA,06780,1,1
38017000401,2277,1,2272,1,1,2,1,1670,0,1666,0,1,2,1,92,104,NA,60500,38060,NA,12020,1,1
38017000402,2365,14,2345,14,1,2,3,1774,7,1754,7,1,2,3,145,108,NA,39460,29260,NA,03820,1,1
38017000403,2617,16,2586,16,0,3,12,1849,4,1833,4,0,2,6,600,407,NA,12700,12700,12030,04090,1,1
38017000404,3210,16,3165,16,0,21,5,2039,7,2008,7,0,14,3,530.91,491.83,NA,84780,65860,12030,19410,1,1
38017000405,3599,7,3569,7,2,13,8,2386,5,2365,5,0,9,2,645,574,NA,38900,75340,12030,19410,1,1
38017000406,2496,13,2474,13,0,7,2,1792,4,1778,4,0,6,0,172,147,NA,45980,63100,12030,00025,1,1
38017000801,3791,29,3686,29,14,39,23,3060,24,2956,24,10,25,21,988.04,965.49,NA,25700,25700,NA,06780,1,1
38017000802,5981,56,5648,56,36,124,115,4531,27,4330,27,13,66,68,1463.01,1429.62,NA,25700,25700,NA,06780,1,1
