GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
56039009978,4267,59,4149,59,2,38,18,3305,42,3180,42,1,27,13,855.77,1157.1,NA,40120,91815,05830,1,1
56041009751,463,11,450,11,1,1,0,270,6,257,6,0,1,0,49.71,73.07,NA,NA,90440,04500,1,1
56041009752,5665,145,5485,145,5,24,3,3332,54,3208,54,0,13,3,613.49,901.79,NA,48675,90440,04500,1,1
56041009753,6604,316,6197,316,13,39,37,3985,162,3601,162,7,34,19,733.72,1078.52,NA,25620,91155,02760,1,1
56041009754,5973,301,5593,301,6,50,21,4063,169,3688,169,0,27,10,748.08,1099.63,NA,25620,91155,02760,1,1
56043009901,695,15,674,15,2,2,2,535,7,516,7,2,2,1,138.61,181.8,NA,75790,93300,05820,1,1
56043009902,1280,104,1156,104,0,10,9,878,53,758,53,0,7,7,227.48,298.35,NA,84925,93795,06240,1,1
56043009903,6413,682,5660,682,5,36,23,4917,403,4068,403,5,20,18,1273.91,1670.85,NA,84925,93795,06240,1,1
56045009511,1552,18,1517,18,1,13,3,1108,12,1067,12,1,13,3,219.35,444.45,NA,NA,92255,04830,1,1
56045009512,1355,18,1318,18,0,14,5,903,9,869,9,0,11,5,178.77,362.21,NA,79125,93520,06090,1,1
56045009513,3611,47,3507,47,2,52,3,2616,23,2533,23,1,33,3,517.89,1049.34,NA,56215,92255,04830,1,1
