GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
12005000022,4235,44,2805,44,1291,37,58,3156,26,2257,26,790,25,32,388.98,715.17,NA,54700,92626,00090,15,3
12005000023,4142,52,3832,52,159,36,63,3286,35,3050,35,103,20,43,405,744.63,NA,54700,92626,00090,15,3
12005000024,4259,80,3725,80,313,44,92,3278,59,2906,59,156,26,72,404.02,742.81,NA,54700,92626,00090,15,2
12005000025,3195,48,3054,48,30,9,54,2462,30,2335,30,16,6,45,303.44,557.9,NA,58962,92626,00090,15,2
12005000026,11149,248,10554,248,147,86,114,9154,175,8570,175,94,51,89,715.05,1632.36,NA,73312,92639,00090,15,3
12005000027,6568,75,6419,75,10,14,48,5472,59,5298,59,7,13,36,427.44,975.78,NA,54725,92639,00090,15,2
12005002699,82,4,74,4,3,1,0,86,4,74,4,3,1,0,6.72,15.34,NA,73312,92639,00090,15,2
12007000001,4937,54,3322,54,1513,15,33,3511,41,2487,41,914,7,21,492.98,654.23,NA,68525,93237,00120,7,7
12007000002,7091,179,5537,179,1313,24,37,5707,163,4226,163,1101,24,30,801.33,1063.42,NA,68525,93237,00120,7,7
12007000003,5537,65,5199,65,239,13,19,4184,39,3925,39,161,8,12,587.48,779.63,NA,28575,91430,00120,7,7
12007000004,4950,128,3348,128,1440,22,9,4061,114,2567,114,1238,20,8,570.21,756.71,NA,39700,91898,00120,7,7
12009000601,6879,76,5780,76,966,36,20,5273,56,4512,56,602,30,17,759.39,1283.02,NA,45775,93419,00150,9,15
12009000602,5287,130,5008,130,74,11,58,4055,89,3778,89,57,9,33,583.98,986.66,NA,71900,93419,00150,9,15
12009000603,4637,122,4123,122,326,28,32,3464,71,3079,71,202,17,24,498.87,842.86,NA,45775,93419,00150,9,15
12009000604,4796,110,4220,110,422,18,26,3744,74,3335,74,232,14,15,539.19,910.98,NA,71900,93419,00150,9,15
12009000605,4546,96,4007,96,370,29,43,3536,70,3084,70,255,21,36,509.24,860.37,NA,71900,93419,00150,9,15
12009000606,5146,164,4103,164,835,21,23,3962,106,3178,106,536,17,19,570.59,964.03,NA,71900,93419,00150,9,15
12009000607,3110,45,1051,45,1991,14,9,2128,30,796,30,1256,12,4,306.46,517.78,NA,71900,93419,00150,9,15
12009000608,455,19,422,19,4,1,9,437,18,391,18,4,1,5,62.93,106.33,NA,71900,93419,00150,9,15
12009000609,3166,67,2939,67,138,8,14,2675,54,2449,54,98,8,12,385.24,650.88,NA,71900,93419,00150,9,15
12009000610,6741,228,6199,228,210,20,81,5524,164,5002,164,136,10,48,795.54,1344.09,NA,71900,93419,00150,9,15
12009000611,5072,131,4754,131,102,25,57,4139,102,3797,102,80,17,41,596.08,1007.1,NA,71900,93419,00150,9,15
12009000612,6677,182,6284,182,109,22,77,5336,135,4941,135,64,15,46,768.46,1298.35,NA,71900,93419,00150,9,15
12009000622,1675,33,1610,33,9,5,14,1390,25,1321,25,5,5,9,200.18,338.21,NA,13150,90624,00150,9,15
12009000623,7229,181,5784,181,1169,30,58,5547,139,4543,139,655,24,47,798.85,1349.69,NA,13150,90624,00150,9,15
12009000624,6583,140,5962,140,385,29,66,5053,102,4532,102,246,22,49,727.71,1229.49,NA,13150,90624,00150,9,15
12009000625,4493,44,2250,44,2170,22,6,3363,25,1881,25,1411,17,4,484.32,818.28,NA,13225,90624,00150,9,15
12009000626,4266,64,905,64,3275,6,13,2789,41,691,41,2002,6,8,401.66,678.62,NA,13150,90624,00150,9,15
12009000627,1181,36,699,36,428,5,13,969,27,592,27,310,5,8,139.55,235.78,NA,13150,90624,00150,9,15
12009000628,3367,62,3176,62,68,16,44,2869,49,2679,49,50,14,28,413.18,698.08,NA,61500,90624,00150,9,15
12009000629,4753,114,3234,114,1331,11,61,3674,77,2587,77,884,10,39,529.11,893.95,NA,61500,90624,00150,9,15
12009000630,2726,48,2464,48,178,13,23,2035,30,1847,30,105,10,13,293.07,495.15,NA,61500,90624,00150,9,15
12009000631,9306,228,8133,228,787,20,133,7417,158,6456,158,531,18,96,1068.16,1804.69,NA,61500,90624,00150,9,15
12009000642,5635,154,5213,154,188,31,47,4863,114,4446,114,122,26,41,603.69,1022.78,NA,43975,92106,00150,9,15
12009000644,5388,167,5047,167,91,13,69,4388,131,4008,131,50,13,55,544.72,922.88,NA,43975,92106,00150,9,15
12009000645,4801,160,4513,160,54,22,50,3901,118,3575,118,39,17,34,484.27,820.45,NA,43975,92106,00150,9,15
12009000646,7104,125,6836,125,53,24,65,6071,90,5786,90,37,19,49,753.65,1276.84,NA,76500,92106,00150,9,15
12009000647,4480,134,4202,134,62,11,67,4004,99,3710,99,39,8,49,497.05,842.11,NA,43975,92106,00150,9,15
12009000648,2655,65,2442,65,96,13,39,2203,42,2028,42,53,9,29,273.48,463.33,NA,43975,92106,00150,9,15
12009000662,2681,69,2575,69,11,8,18,2311,54,2171,54,7,8,17,332.82,562.31,NA,33375,91573,00150,9,15
12009000664,4869,112,4624,112,50,17,65,4203,86,3931,86,36,15,49,605.29,1022.67,NA,33450,91573,00150,9,15
12009000665,2178,55,2071,55,12,14,25,1790,42,1668,42,10,8,20,257.79,435.54,NA,33450,91573,00150,9,15
12009000666,5020,113,4763,113,48,8,87,3998,83,3737,83,32,5,58,575.77,972.79,NA,64400,91573,00150,9,15
12009000667,4803,157,4500,157,52,11,82,3931,123,3577,123,32,10,66,566.12,956.49,NA,64400,91573,00150,9,15
12009000668,3965,293,2948,293,556,11,152,2425,154,1706,154,316,7,88,349.24,590.05,NA,67725,91573,00150,9,15
12009000669,6350,163,5945,163,97,17,128,5392,118,4981,118,63,13,99,776.53,1311.97,NA,67725,91573,00150,9,15
12009000671,2296,225,1673,225,325,6,64,1824,139,1251,139,239,6,50,262.68,443.81,NA,NA,91573,00150,9,15
12009000681,5378,149,5166,149,23,10,30,4783,114,4503,114,20,8,24,688.82,1163.79,NA,13175,90611,00150,9,15
12009000682,3202,86,3067,86,9,8,32,2875,68,2702,68,9,7,21,769.22,1260.34,NA,13175,90611,00150,9,15
12009000683,2888,57,2798,57,11,6,16,2785,52,2648,52,11,6,16,745.14,1220.88,NA,13175,90611,00150,9,15
