GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
26081000041,5373,224,4320,224,671,48,97,3779,139,2997,139,433,27,44,782.56,901.01,NA,34000,34000,NA,16440,8,4
26081000042,4017,89,3564,89,293,10,58,2956,50,2629,50,180,5,42,612.13,704.79,NA,34000,34000,NA,16440,8,4
26081000043,3845,55,3512,55,250,6,22,3039,33,2778,33,175,6,14,629.32,724.58,NA,34000,34000,NA,16440,8,4
26081000044,7175,49,6750,49,263,11,101,5971,38,5622,38,193,7,73,1236.48,1423.64,NA,34000,34000,NA,16440,8,4
26081000045,6333,137,5373,137,656,22,132,4927,92,4259,92,395,13,76,1020.29,1174.73,NA,34000,34000,NA,16440,8,4
26081000046,4773,107,3850,107,663,19,122,3620,67,2948,67,450,12,76,749.63,863.1,NA,34000,34000,NA,16440,8,4
26081000101,6434,41,6321,41,30,29,13,4464,22,4374,22,17,23,6,284,372,NA,71360,75560,NA,08520,16,4
26081000102,2983,45,2896,45,6,23,10,2095,21,2030,21,1,17,5,230,357,NA,14200,14200,NA,08520,8,4
26081000104,8447,134,8242,134,17,24,26,5895,66,5726,66,11,13,13,782,1227,NA,75420,75440,NA,32370,8,4
26081000106,5496,62,5390,62,2,16,25,3846,37,3750,37,1,10,11,565,966,NA,NA,1160,NA,32370,8,4
26081000107,3750,52,3659,52,6,11,21,2556,26,2488,26,1,5,10,448.39,719,NA,69080,69080,NA,30030,8,4
26081000110,5722,52,5610,52,10,16,34,4015,32,3915,32,6,13,17,704.33,1129.41,NA,NA,64660,NA,30030,8,4
26081000111,5618,60,5498,60,13,13,31,3956,39,3844,39,9,12,13,693.98,1112.82,NA,17700,64660,NA,10620,8,4
26081000112,3990,61,3814,61,81,4,29,2972,38,2817,38,53,4,22,521.36,836.02,NA,58950,64660,NA,25950,8,4
26081000115,6010,124,5734,124,78,24,46,4749,85,4471,85,58,20,30,675.08,1354.97,NA,82960,82960,NA,20280,8,4
26081000116,4447,38,4360,38,18,19,11,3169,22,3094,22,12,15,4,450.48,904.17,NA,82960,82960,NA,20280,8,4
26081000117,7302,105,7043,105,77,30,45,5476,74,5221,74,56,21,30,778.43,1562.39,NA,82960,82960,NA,16470,8,4
26081000123,3255,21,3174,21,15,1,41,2419,14,2358,14,11,1,21,547.01,977.8,NA,23980,34020,NA,12480,8,4
26081000124,3759,35,3657,35,21,8,38,2574,17,2511,17,11,4,14,582.06,1040.45,NA,23980,23980,NA,12480,8,4
26081000125,4632,20,4479,20,63,7,58,3166,11,3073,11,44,3,24,715.93,1279.75,NA,23980,23980,NA,12480,8,4
26081000128,4320,54,4013,54,121,16,111,3117,28,2910,28,84,14,53,393.03,758.73,NA,42820,42820,NA,20340,8,4
26081000130,3995,94,3802,94,34,17,47,2926,57,2753,57,20,9,30,415.94,834.83,NA,34160,34160,NA,16470,8,4
26081000131,5547,57,5364,57,55,6,65,4028,39,3869,39,32,5,44,572.59,1149.25,NA,34160,34160,NA,16470,8,4
26081000132,6082,64,5937,64,23,11,47,4393,38,4274,38,16,3,24,624.48,1253.39,NA,34160,34160,NA,16470,8,4
26081000133,4710,204,4350,204,47,36,67,3287,108,2976,108,26,25,44,593.67,830.56,NA,88940,88940,NA,16080,8,4
26081000134,5517,118,5289,118,44,22,44,3889,52,3726,52,29,8,22,702.4,982.67,NA,88940,88940,NA,36570,8,4
26081000135,4702,243,4226,243,140,27,62,3627,164,3145,164,90,17,47,655.08,916.47,NA,88940,88940,NA,36570,8,4
26081000136,1954,62,1820,62,42,13,16,1478,40,1355,40,26,8,9,266.94,373.46,NA,88940,88940,NA,16110,8,4
26081000137,6748,268,6127,268,195,38,114,5091,164,4559,164,118,27,59,919.49,1286.39,NA,88940,88940,NA,36570,8,4
26081000138,7434,327,6663,327,301,30,107,5729,213,4990,213,215,20,78,1034.72,1447.6,NA,88940,88940,NA,36570,8,4
26081000139,6774,205,6202,205,224,23,114,5175,127,4676,127,165,17,63,934.67,1307.61,NA,88940,88940,NA,36570,8,4
26081000140,7317,306,6659,306,185,33,121,5484,194,4864,194,136,20,76,990.47,1385.69,NA,88940,88940,NA,36570,8,4
26081000141,2030,60,1898,60,23,14,34,1509,36,1397,36,12,13,15,272.54,381.29,NA,88940,88940,NA,16110,8,4
26081000142,4139,193,3642,193,196,29,77,3044,118,2600,118,141,19,48,549.78,769.15,NA,88940,88940,NA,16110,8,4
26081000143,1945,45,1803,45,35,26,36,1379,23,1275,23,18,16,24,249.06,348.44,NA,88940,88940,NA,20160,8,4
26081000144,1045,26,980,26,16,9,14,761,16,702,16,11,7,9,137.45,192.29,NA,88940,88940,NA,20160,8,4
26081001101,5256,126,3777,126,1233,30,83,4225,102,2985,102,963,23,50,874.92,1007.35,NA,34000,34000,NA,16440,8,4
26081001102,3335,25,3074,25,192,0,40,2533,17,2357,17,121,0,21,524.54,603.93,NA,34000,34000,NA,16440,8,4
26081010301,3990,71,3904,71,3,7,4,2678,42,2588,42,1,5,0,387,581,NA,42780,81140,NA,20310,8,4
26081010302,3188,41,3117,41,2,18,10,2255,23,2195,23,0,11,3,342,543,NA,NA,74460,NA,08520,8,4
26081010801,3932,16,3878,16,6,20,10,2723,8,2680,8,4,19,4,436,716,NA,NA,18500,NA,08520,8,4
26081010802,3860,55,3744,55,15,22,21,2732,30,2647,30,8,12,5,479.26,768.51,NA,NA,59580,NA,17160,8,4
26081010901,7875,49,7708,49,55,14,48,5316,21,5213,21,33,6,22,932.56,1495.38,NA,69080,13080,NA,30030,8,4
26081010902,2929,22,2873,22,9,9,13,2086,14,2039,14,8,9,2,353,499,NA,NA,34560,NA,04530,8,4
26081011301,4704,46,4542,46,44,7,62,3298,26,3181,26,28,2,35,578.55,927.72,NA,58950,64660,NA,25950,8,4
26081011302,5018,82,4773,82,78,6,71,3623,44,3446,44,45,4,40,635.56,1019.14,NA,58950,64660,NA,25950,8,4
26081011401,2524,26,2456,26,9,17,16,1793,15,1741,15,7,10,5,311.09,421.16,NA,NA,1840,NA,32370,8,4
26081011402,7384,103,7150,103,54,28,47,5619,69,5402,69,32,18,29,974.91,1319.84,NA,17700,1840,NA,10620,8,4
26081011801,4823,35,4724,35,22,7,35,3329,18,3254,18,15,6,18,689.37,793.72,NA,34000,34020,NA,14610,8,4
26081011802,6071,68,5899,68,47,7,50,4792,41,4646,41,36,4,24,992.33,1142.54,NA,34000,34020,NA,14610,8,4
26081011901,3707,34,3603,34,22,6,42,2622,14,2553,14,17,4,20,435.82,1093.18,NA,29580,240,NA,14610,8,4
26081011902,3871,19,3808,19,17,5,22,2534,12,2483,12,12,5,10,421.19,1056.49,NA,29580,240,NA,14610,8,4
26081012001,8810,118,8567,118,36,33,53,6135,66,5934,66,19,25,25,257,496,NA,49540,49540,NA,22050,8,4
26081012002,4346,38,4259,38,22,14,12,3025,23,2950,23,15,11,3,168,435,NA,49540,9780,NA,22050,8,4
26081012201,4115,14,4007,14,28,8,58,3070,10,3000,10,14,6,30,510.29,1279.96,NA,29580,13660,NA,14610,8,4
26081012202,5135,30,4957,30,41,14,91,3555,16,3445,16,25,11,42,590.9,1482.17,NA,29580,13660,NA,14610,8,4
26081012203,3619,39,3470,39,42,7,57,2682,25,2568,25,29,4,31,445.79,1118.2,NA,NA,13660,NA,14610,8,4
26081012601,6526,157,5335,157,774,29,214,5278,87,4474,87,460,20,150,665.51,1284.76,NA,42820,42820,NA,16440,8,4
26081012602,6609,140,5712,140,600,32,116,5682,103,4917,103,454,28,77,716.45,1383.1,NA,42820,42820,NA,20340,8,4
26081012701,5155,116,4378,116,508,16,133,3921,69,3351,69,337,13,82,494.41,954.44,NA,42820,42820,NA,20340,8,4
