GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
41001009501,2495,31,2428,31,0,33,2,1819,21,1754,21,0,22,1,427.52,570.24,NA,31600,91326,NA,NA,01710,5,3
41001009502,2936,73,2818,73,6,30,9,2117,31,2031,31,5,15,4,497.56,663.66,NA,3650,90204,NA,NA,01710,5,3
41001009503,2641,50,2562,50,3,12,14,1956,28,1880,28,2,12,6,459.72,613.19,NA,3650,90204,NA,NA,01710,5,3
41001009504,2573,54,2498,54,2,12,7,1996,33,1914,33,2,9,5,469.12,625.73,NA,3650,90204,NA,NA,01710,5,3
41001009505,2568,47,2466,47,17,28,10,2004,34,1893,34,17,19,7,471,628.24,NA,3650,90204,NA,NA,01710,5,3
41001009506,2104,21,2057,21,1,22,3,1566,8,1530,8,1,16,3,368.06,490.93,NA,31650,91258,NA,NA,09720,5,3
41003000001,4703,150,4362,150,42,55,93,3453,86,3156,86,21,29,75,938.47,853.7,NA,15800,90680,NA,NA,03480,3,1
41003000002,2082,47,1983,47,8,7,37,1564,26,1476,26,5,4,27,425.07,386.67,NA,15800,90680,NA,NA,03480,4,1
41003000003,2289,21,2202,21,16,10,39,1716,12,1652,12,7,5,28,466.38,424.25,NA,15800,90680,NA,NA,03480,3,5
41003000004,6164,115,5723,115,23,12,285,4584,80,4199,80,12,11,202,1245.86,1133.32,NA,15800,90680,NA,NA,03480,4,1
41003000005,3103,27,2977,27,13,15,67,2253,13,2166,13,7,9,45,612.33,557.02,NA,15800,90680,NA,NA,03480,4,1
41003000006,3588,77,3350,77,30,35,94,2682,48,2486,48,17,24,59,728.93,663.08,NA,15800,90680,NA,NA,03480,4,1
41003000007,1268,50,1093,50,12,10,102,1162,41,969,41,11,8,92,315.81,287.29,NA,15800,90680,NA,NA,03480,4,1
41003000008,7536,240,5976,240,134,58,1124,7202,215,5552,215,119,51,1050,1957.39,1780.58,NA,15800,90680,NA,NA,03480,4,1
41003000009,5057,133,4553,133,50,18,302,3956,90,3489,90,37,15,235,1075.18,978.06,NA,15800,90680,NA,NA,03480,4,1
41003000010,6975,203,6178,203,101,39,450,5521,126,4836,126,67,29,337,1500.52,1364.98,NA,15800,90680,NA,NA,03480,4,1
41003000011,8825,251,7290,251,112,67,1093,8214,204,6677,204,89,52,988,2232.44,2030.78,NA,15800,90680,NA,NA,03480,4,1
41003000101,5767,96,5563,96,13,30,64,4247,58,4065,58,6,24,36,1154.27,1050,NA,52900,92142,NA,NA,01120,4,1
41003000102,3466,77,3308,77,13,30,35,2400,42,2276,42,5,18,17,652.28,593.36,NA,275,92176,NA,NA,09600,3,5
41003000103,3303,39,3205,39,2,32,23,2382,21,2306,21,0,19,15,647.39,588.91,NA,NA,93077,01950,08430,01200,3,5
41003000104,3509,125,3323,125,6,38,16,2613,90,2399,90,4,19,11,710.17,646.02,NA,49600,93009,08400,08430,03480,3,5
41003000105,3176,84,3017,84,5,45,21,2261,42,2135,42,3,28,11,614.5,559,NA,57450,90680,NA,NA,09600,3,5
41005000201,3830,51,3694,51,14,13,57,3004,35,2869,35,11,11,43,774.39,831.08,NA,40550,92261,NA,NA,07230,2,2
41005000202,5654,92,5450,92,12,15,83,4600,73,4371,73,9,13,61,1185.82,1272.63,NA,40550,92261,NA,NA,07230,2,2
41005000206,5430,102,5198,102,24,24,76,3894,56,3702,56,13,17,50,1003.82,1077.31,NA,80150,92261,NA,NA,13170,4,1
41005000207,2784,56,2682,56,8,13,25,1988,31,1893,31,4,13,16,512.48,550,NA,80150,92261,NA,NA,13170,4,1
41005000208,3732,71,3581,71,13,31,36,3192,54,3018,54,9,23,34,822.86,883.09,NA,48650,92261,NA,NA,08830,2,4
41005000209,3709,108,3458,108,43,31,69,2842,57,2635,57,19,19,55,732.63,786.26,NA,48650,92261,NA,NA,08830,2,4
41005000210,4342,57,4137,57,18,13,116,3351,41,3162,41,10,10,87,863.85,927.08,NA,48650,92261,NA,NA,08830,2,4
41005000211,5302,106,4974,106,25,26,166,4006,68,3717,68,19,15,119,1032.7,1108.29,NA,48650,92261,NA,NA,08830,2,4
41005000212,3812,91,3637,91,13,19,51,3219,54,3058,54,6,13,34,829.82,890.56,NA,53900,92261,NA,NA,08830,2,4
41005000213,5546,204,5142,204,19,34,143,4286,128,3902,128,7,22,99,1104.88,1185.76,NA,53900,92261,NA,NA,08830,4,1
41005000214,4305,118,4023,118,27,26,111,3342,66,3093,66,20,20,77,861.52,924.59,NA,54325,92261,NA,NA,08830,4,1
41005000215,4175,115,3931,115,3,14,112,3264,79,3016,79,2,11,77,841.42,903.01,NA,54325,92261,NA,NA,08830,4,4
41005000217,4893,130,4610,130,27,26,100,3903,87,3623,87,13,20,73,1006.14,1079.8,NA,37400,92261,NA,NA,09330,4,1
41005000218,8691,159,8278,159,47,56,143,6661,102,6294,102,24,36,103,1717.12,1842.82,NA,54325,92261,NA,NA,08830,4,1
41005000219,2761,78,2619,78,5,15,43,2062,48,1923,48,4,11,28,531.56,570.47,NA,29000,92261,NA,NA,05610,4,1
41005000220,6203,147,5846,147,31,37,142,4552,77,4264,77,19,19,96,1173.45,1259.35,NA,29000,92261,NA,NA,05610,4,1
41005000223,6802,112,6486,112,30,78,96,4831,66,4588,66,11,45,55,1245.37,1336.54,NA,55200,92261,NA,NA,09330,4,1
41005000224,3898,108,3689,108,14,48,38,2990,64,2794,64,10,29,29,770.78,827.21,NA,55200,92261,NA,NA,09330,4,1
41005000225,6856,151,6555,151,19,42,89,4974,86,4709,86,7,33,53,1282.23,1376.1,NA,55200,92261,NA,NA,09330,4,1
41005000226,8658,139,8361,139,16,53,89,6207,76,5958,76,9,41,47,1600.09,1717.22,NA,55200,92261,02640,02670,09330,4,1
41005000228,3443,78,3318,78,2,22,19,2975,60,2825,60,2,13,15,766.92,823.06,NA,82800,93536,02640,02670,NA,4,1
41005000229,11034,869,9944,869,8,51,155,8469,534,7268,534,4,36,93,2183.2,2343.02,NA,10750,90442,02640,02670,NA,4,1
41005000230,7031,167,6752,167,17,38,57,5061,129,4727,129,13,30,33,1304.66,1400.17,NA,NA,90272,02760,02670,09330,4,1
41005000231,5507,59,5339,59,18,41,50,3982,36,3845,36,13,24,28,1026.51,1101.65,NA,NA,92618,NA,NA,10320,4,1
41005000232,8328,102,8050,102,21,65,89,6014,62,5783,62,13,43,51,1550.33,1663.82,NA,NA,92261,03900,06000,08830,4,4
41005000233,4734,76,4549,76,9,34,66,3513,48,3342,48,3,29,43,905.61,971.9,NA,NA,92788,02250,06000,04700,4,4
