GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRROU,G20USSDAHL,G20HALRJOH,G20HALDLUA,G20PUCRHAN,G20PUCDEAG,G20PUCLSAX
46127VTD-A2,46,127,VTD-A2,117,64,0,118,64,138,28,124,46,6
46127VTD-A3,46,127,VTD-A3,17,10,0,17,10,19,4,17,5,0
46127VTD-B1,46,127,VTD-B1,109,46,3,112,48,128,25,111,32,9
46127VTD-B2,46,127,VTD-B2,253,133,8,272,120,323,52,279,77,18
46127VTD-B3,46,127,VTD-B3,175,91,5,191,82,224,38,194,56,14
46129VTD-01,46,129,VTD-01,136,11,0,138,11,148,2,136,6,0
46129VTD-02,46,129,VTD-02,130,18,0,139,13,145,4,128,15,1
46129VTD-03,46,129,VTD-03,371,39,2,364,56,389,18,364,23,6
46129VTD-04,46,129,VTD-04,101,53,0,105,53,121,23,107,38,0
46129VTD-05,46,129,VTD-05,235,95,10,261,76,266,54,223,88,12
46129VTD-06,46,129,VTD-06,350,149,4,373,132,421,75,351,125,14
46129VTD-07,46,129,VTD-07,343,135,6,375,113,425,40,374,88,9
46129VTD-08,46,129,VTD-08,89,0,0,85,3,85,1,82,0,0
46129VTD-09,46,129,VTD-09,72,15,0,70,15,76,5,73,6,0
46129VTD-10,46,129,VTD-10,133,26,1,138,21,144,10,143,11,2
461350VTD-1,46,135,0VTD-1,6553,4006,247,6965,3802,8397,1809,6713,2690,499
46137VTD-BR,46,137,VTD-BR,13,26,0,16,22,26,11,14,26,0
46137VTD-CC,46,137,VTD-CC,6,61,2,22,49,19,34,3,63,1
46137VTD-DV,46,137,VTD-DV,92,173,5,100,164,131,104,71,173,10
46137VTD-GV,46,137,VTD-GV,53,5,0,52,8,56,4,52,1,0
46137VTD-ND,46,137,VTD-ND,30,20,0,31,20,36,13,28,18,3
46137VTD-RD,46,137,VTD-RD,117,78,1,121,77,140,51,111,73,9
46137VTD-RS,46,137,VTD-RS,18,57,2,31,52,34,33,15,61,6
46137VTD-SD,46,137,VTD-SD,81,59,0,85,59,97,39,76,54,6
