GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46065VTD-30,46,065,VTD-30,479,277,51,8,587,214,518,301,625,160
46065VTD-31,46,065,VTD-31,573,231,35,5,702,178,620,251,748,133
46065VTD-32,46,065,VTD-32,320,130,28,4,392,100,346,141,417,75
46065VTD-33,46,065,VTD-33,296,135,32,5,363,104,320,147,386,78
46065VTD-34,46,065,VTD-34,546,199,41,6,668,154,590,217,712,115
460670VTD-1,46,067,0VTD-1,535.83,126.96,18.99,12,586.81,115.96,536.83,165.95,610.8,78.97
460670VTD-2,46,067,0VTD-2,547,175,38,7,643,133,600,177,634,110
460670VTD-3,46,067,0VTD-3,120,21,0,2,121,21,115,25,121,17
460670VTD-4,46,067,0VTD-4,332,104,12,6,354,100,311,144,389,60
460670VTD-5,46,067,0VTD-5,466,176,30,8,549,139,481,201,580,84
460670VTD-6,46,067,0VTD-6,350,68,10,5,360,71,346,82,383,47
460670VTD-7,46,067,0VTD-7,166,21,3,4,165,29,161,34,167,23
460690VTD-1,46,069,0VTD-1,59.68,15.66,2.11,0.62,62.41,15.49,56.95,22.09,63.73,11.88
460690VTD-2,46,069,0VTD-2,171.43,41.4,5.88,1.77,179.28,40.84,163.47,58.27,183.03,31.52
460690VTD-3,46,069,0VTD-3,142.64,20.89,3.18,1.01,148.53,20.89,135.88,29.16,152.41,16.09
460690VTD-4,46,069,0VTD-4,74.86,18.91,2.66,0.8,78.32,18.65,71.39,26.64,79.92,14.39
460690VTD-5,46,069,0VTD-5,94.65,28.16,3.18,0.81,98.73,28.17,90.55,39.89,101.19,21.14
460710VTD-1,46,071,0VTD-1,39,2,0,0,39,3,39,4,38,5
460710VTD-2,46,071,0VTD-2,86.96,15.67,0.99,1.84,85.15,18.48,79.68,22.14,80.58,17.53
460710VTD-3,46,071,0VTD-3,206,26.34,6.58,1.88,205.06,31.98,204.12,33.86,200.36,25.4
460710VTD-5,46,071,0VTD-5,88.99,8.02,3.27,0.1,74.14,17.51,83.38,14.13,87.45,11.9
460710VTD-6,46,071,0VTD-6,71,31,8,4,91,26,84,32,85,30
460710VTD-7,46,071,0VTD-7,50,187,8,4,82,162,66,178,46,197
460710VTD-8,46,071,0VTD-8,36,23,4,0,43,22,40,25,40,24
46071VTD3W3,46,071,VTD3W3,13,1.66,0.42,0.12,12.94,2.02,12.88,2.14,12.64,1.6
