GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,G20GOVRCOX,G20GOVDPET,G20GOVLCOT,G20GOVADUE,G20GOVOWRI,G20ATGRREY,G20ATGDSKO,G20ATGLBAU,G20AUDRDOU,G20AUDCOST,G20AUDUFAB,G20TRERDAM,G20TRELSPE,G20TRECPRO
4901500715S,49,015,00715S,134.2,18.3,1.5,0,0.4,0.4,1.5,0,0.4,3.7,129.8,13.5,3.3,4.8,5.1,126.2,21.6,6.6,135.7,10.2,1.5,132,6.2,8.8
4901500817C,49,015,00817C,186.8,29.2,2,0,0,1.2,0,0,0,1.2,174.2,22.1,7.1,3.1,10.2,181.3,31.1,7.1,186.5,10.6,10.6,185.7,14.2,13.8
4901500818N,49,015,00818N,113.2,17.7,1.2,0,0,0.7,0,0,0,0.7,105.6,13.4,4.3,1.9,6.2,109.9,18.9,4.3,113,6.4,6.4,112.5,8.6,8.4
4901500818S,49,015,00818S,148,23.1,1.6,0,0,0.9,0,0,0,0.9,138,17.5,5.6,2.5,8.1,143.7,24.7,5.6,147.7,8.4,8.4,147.1,11.2,10.9
4901500920C,49,015,00920C,44.2,6.6,0.4,0.1,0,0,0.1,0.1,0,0.2,38.6,5.9,1.4,1.1,2.9,40.5,7.8,1.1,42.7,3.3,1.4,42,2.3,3.8
4901501022T,49,015,01022T,240,19.1,3.9,0,0,0,0.6,0,0,0.6,219.8,15.7,5.6,2.8,12.9,226.5,25.3,5.1,219.8,15.7,5.6,215.3,11.8,15.2
4901501023N,49,015,01023N,49.4,3.9,0.8,0,0,0,0.1,0,0,0.1,45.2,3.2,1.2,0.6,2.7,46.6,5.2,1,45.2,3.2,1.2,44.3,2.4,3.1
4901501023S,49,015,01023S,119.8,9.5,2,0,0,0,0.3,0,0,0.3,109.7,7.8,2.8,1.4,6.4,113,12.6,2.5,109.7,7.8,2.8,107.4,5.9,7.6
4901501124T,49,015,01124T,125.7,14.7,1.8,0.5,0,0,0,0,0,0.9,107.3,13.8,3.7,4.1,6.9,114.7,17.4,4.1,113.7,12.4,2.8,113.7,8.2,7.8
4901501125N,49,015,01125N,117.9,13.1,1.8,0.4,0,0,0,0,0,0.8,101.7,12.2,3.3,3.5,6.4,108.1,15.8,3.7,106.9,11,2.6,106.6,7.5,7.3
4901501125S,49,015,01125S,48.4,5.6,0.7,0.2,0,0,0,0,0,0.3,41.3,5.3,1.4,1.6,2.6,44.1,6.7,1.6,43.8,4.8,1.1,43.8,3.2,3
4901501226C,49,015,01226C,91.4,20.7,0.9,0,0,0,0.3,0,0,0.3,85.1,18.4,4.1,0.6,2.1,87,19.8,2.5,89.9,9.2,5.9,89.8,8,6.8
49015012270,49,015,012270,200.9,45.8,2,0,0,0,0.7,0,0,0.7,187.2,40.3,8.9,1.4,4.8,191.3,43.7,5.5,197.5,20.5,13,197.5,17.8,15
4901501228C,49,015,01228C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49015013290,49,015,013290,4.4,0.9,0.1,0,0,0,0,0,0,0,4.1,0.8,0.2,0,0.1,4.2,0.9,0.1,4.3,0.4,0.2,4.3,0.4,0.3
49017AN001I,49,017,AN001I,10.1,1.4,0.1,0,0,0,0,0,0,0,9.6,1,0.6,0.1,0,9.5,1.6,0.4,9.6,1.2,0.3,9.8,1.5,0
49017AN001U,49,017,AN001U,63,8.4,1,0,0,0,0,0,0,0,60.5,6.4,3.5,0.9,0,59.4,10,2.8,60.2,7.1,2,61,8.8,0.3
49017BO002I,49,017,BO002I,20.3,29.6,1.3,1.3,0.2,0,0.2,0,0,0,20.1,28.5,0.7,0.7,0,18.1,29.2,3.2,23.3,6.7,9.5,23.3,8.9,5.6
49017BO02UE,49,017,BO02UE,46.2,67.4,3,3,0.5,0,0.5,0,0,0,45.8,64.9,1.5,1.5,0,41.3,66.4,7.4,53.1,15.2,21.6,53.1,20.2,12.8
49017BO02UW,49,017,BO02UW,27.4,40,1.8,1.8,0.3,0,0.3,0,0,0,27.1,38.5,0.9,0.9,0,24.5,39.4,4.4,31.5,9.1,12.8,31.5,12,7.6
49017BR0011,49,017,BR0011,23.7,0.7,0,0,0,0,0,0,0,0,21.6,0.7,0,1.4,0,23,0.7,0.7,23.7,0.7,0,23,0,0.7
49017CA03I0,49,017,CA03I0,20.2,1,0.3,0.3,0,0.5,0,0,0.3,0,20.7,1,0,0.3,0,20.2,1.3,1,20.4,0.8,0.5,20.2,0.3,1.3
49017CA03UE,49,017,CA03UE,1.6,0.1,0,0,0,0,0,0,0,0,1.7,0.1,0,0,0,1.6,0.1,0.1,1.7,0.1,0,1.6,0,0.1
49017CA03UW,49,017,CA03UW,59.3,4.9,0.6,0.5,0,0.9,0,0,0.5,0,59.3,4.6,0.4,0.8,0,58.5,5.5,2.5,59.1,2.8,1.9,58.8,1.4,3.3
49017ES04I0,49,017,ES04I0,135.9,53.3,2.2,1.1,0,0,0.4,0,0,0,126.3,47,11.5,1.9,0,121.4,53,9.6,134,8.5,17.4,131.4,17,9.6
49017ES04UN,49,017,ES04UN,98.6,38.7,1.6,0.8,0,0,0.3,0,0,0,91.6,34.1,8.3,1.3,0,88.2,38.4,7,97.3,6.2,12.6,95.4,12.4,7
49017ES04US,49,017,ES04US,133.4,52.1,2.2,1.1,0,0,0.4,0,0,0,124,45.9,11.2,1.8,0,119.3,51.7,9.5,131.6,8.4,17,129.1,16.6,9.5
49017HA005I,49,017,HA005I,12.9,2.6,0.2,0,0,0,0,0,0,0,12.7,1.9,0.4,0.1,0,12.7,2.6,0.2,13.5,0.9,0.4,13,0.8,1
49017HA05UE,49,017,HA05UE,68.2,12.8,1.1,0,0,0,0,0,0,0,66.7,9.6,1.9,0.5,0,66.7,12.9,1.3,70.2,4.8,2.2,68.3,3.9,4.9
49017HA05UW,49,017,HA05UW,96.1,19.2,1.8,0,0,0,0,0,0,0,94.4,14,2.9,0.6,0,94.4,19.2,1.8,100.2,7,2.9,96.7,5.8,7.6
49017HE006I,49,017,HE006I,35.7,6,1.7,0,0,0,0,0,0,0,36.9,3.4,1.4,0,0,36,3.7,3.1,35.7,3.1,0.6,35.1,1.7,3.4
49017HE06UN,49,017,HE06UN,35.7,6,1.7,0,0,0,0,0,0,0,36.9,3.4,1.4,0,0,36,3.7,3.1,35.7,3.1,0.6,35.1,1.7,3.4
49017HE06US,49,017,HE06US,52.6,8.8,2.5,0,0,0,0,0,0,0,54.3,5,2.1,0,0,53.1,5.5,4.6,52.6,4.6,0.8,51.8,2.5,5
49017PA0007,49,017,PA0007,520,62.3,9.9,0,2,1,0,3,0,0,527.9,42.5,11.9,1,0,505.2,55.4,19.8,503.2,22.7,21.8,502.2,28.7,29.7
49017PA0008,49,017,PA0008,414,59,3,1,0,0,0,0,0,0,412,39,8,3,0,408,43,6,405,19,4,406,7,25
49017TI0009,49,017,TI0009,14.8,6.5,0,0,0,0,0,0,0,0,14.8,6.4,0,0,0,12.9,6.4,1,9.1,6.1,4,12.9,3.1,4.1
49017TR010I,49,017,TR010I,51.8,7,0.2,0,0,0,0,0,0,0,49.7,6.3,0.9,0.8,0,49.9,7.2,1.3,50.3,3.2,2.3,50.6,2.1,2.1
49017TR10UN,49,017,TR10UN,118.6,15.8,0.4,0,0,0,0,0,0,0,113.7,14.1,2.1,1.9,0,114.3,16.2,3,115.2,7.3,5.1,116,4.7,4.8
49017TR10US,49,017,TR10US,78.2,9.8,0.3,0,0,0,0,0,0,0,74.7,8.8,1.3,1.5,0,75.4,10.1,2,76.1,4.6,3.1,76.4,2.9,3.1
49019GD1047,49,019,GD1047,194,215,4.9,0.8,0,0,0.8,0.8,0,0,200.4,180.3,16.1,2.5,0,193.1,181.9,27.4,224.1,49.2,69,228.9,82.6,31.4
49019GD1057,49,019,GD1057,48.5,53.3,1.2,0.2,0,0,0.2,0.2,0,0,50.1,44.6,4,0.6,0,48.3,45,6.8,55.9,12.3,17.1,57.1,20.5,7.8
49019GD1157,49,019,GD1157,403.2,292.8,4.8,1,2,0,2,0,0.8,0,399.4,260.1,17.8,8.6,0,387.6,273.1,22.5,444.7,52.7,95.5,429,96.7,51.3
49019GD1470,49,019,GD1470,98.9,226.9,5.9,2,0,0,2,0,0,0,104,206,10.8,3.9,0,97,208,16.8,140.3,31.6,77,143.2,80,18.7
49019GD1570,49,019,GD1570,1.7,0.8,0,0,0,0,0,0,0,0,2.6,0,0,0,0,2.6,0,0,1.7,0,0.8,1.7,0.8,0
49019GD2470,49,019,GD2470,0,11.4,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,10.7,0,3.2,1.3,3.8,5.1,1.3,1.3
49019GD2569,49,019,GD2569,213,256.9,5.6,3.5,0,3,1,1.5,0,0,216.5,232.2,10.6,2,0,212.5,243.3,14.1,260.4,43.4,72.7,259.4,70.7,36.8
49019GD3470,49,019,GD3470,125,105,1,1,0,1,0,0,0,0,123,98,2,4,0,118,99,10,129,24,37,129,44,17
49019GD3570,49,019,GD3570,3,5,0,0,0,1,0,0,0,0,3,5,1,0,0,3,6,0,3,1,4,3,4,1
49019GD4470,49,019,GD4470,251,408.8,14,4.1,2,3,3,1,0,0,270.9,357.8,27.1,10,0,260,378.6,36.2,366.5,68.7,130.2,367.5,129.8,61.1
49019GD4570,49,019,GD4570,9.8,17,0,0.9,0,0,0,0,0,0,8.9,17,0.9,0,0,9.8,15.2,1.8,14.3,6.2,1.8,14.3,8,0.9
49019GD5470,49,019,GD5470,209,363.6,5,1,0,0,3,0,0,0,231,327.6,10,3,0,218,335.3,19,286.8,41.7,107.2,298.9,93.7,29.7
49019GD5569,49,019,GD5569,1.6,2.6,0,0,0,0,0,0,0,0,1.6,2.4,0.1,0,0,1.6,2.5,0.1,1.9,0.3,1.2,2.6,0.5,0.3
49019GD6569,49,019,GD6569,15.1,18.3,1,0.1,0,0,1,0,0,0,18.2,12.2,2.1,2,0,15.9,14.1,2.3,23.3,3.2,4.4,20.4,9.6,2
49019GD7569,49,019,GD7569,18.8,3.9,0,0,0,0,0,0,0,0,16.8,4.9,1,0,0,16.8,3.9,1,18.7,2,1,17.8,2.1,0.9
49019GD8469,49,019,GD8469,75.6,167.1,3,1.1,0,0,0,0,0,0,83.4,155,7.2,1,0,74.1,165.9,6.5,100.5,31.1,58.3,115.3,36.7,26
49019GD856N,49,019,GD856N,46.9,52.1,1,1.3,0,0.5,0.2,0.3,0,0,46.5,47.3,2.9,0.4,0,44.1,48.6,5.2,55.1,8.4,14.7,53.5,16.7,6.6
49019GD856S,49,019,GD856S,183.5,213.8,4.4,3.9,0,2.4,0.8,1.2,0,0,184.6,193.6,10.1,1.6,0,178.6,201.3,15.7,220.5,35.5,60.4,217.5,62.8,29.2
49019GD9470,49,019,GD9470,348.1,391.6,10.2,2,1,4,5,1,0.2,0,341,343.3,34.3,16.4,0,347.8,351.3,44.5,435.8,83.3,131.6,427.4,144.4,64.8
49021BERYLN,49,021,BERYLN,152.9,15.3,10.8,0.8,0.8,2.5,1.7,0,0,1.7,115.9,20.2,15.9,9.3,43.7,142.8,16.1,20.1,147.6,13.6,11.7,143.5,20.1,8.6
49021BERYLS,49,021,BERYLS,30.4,3,2.2,0.2,0.2,0.5,0.3,0,0,0.3,23,4,3.2,1.8,8.7,28.4,3.2,4,29.4,2.7,2.3,28.5,4,1.7
49021BHEAD0,49,021,BHEAD0,15.8,5.3,0.3,0,0,0,0.1,0,0,0.2,15.2,4.2,0.9,0.1,1.1,14.8,4.8,0.8,14.8,1.9,0.8,14.7,2.6,1.1
49021BHEADE,49,021,BHEADE,52.1,14.7,0.7,0,0,0,0,0,0,0.6,47.5,12.7,2.6,1.2,3.1,47.1,14.1,3.3,47.3,6.7,1.8,47.5,8.5,2.7
49021BHEADI,49,021,BHEADI,12.7,5.8,0.2,0,0,0,0,0,0,0,11.8,5.1,0.7,0,0.7,11.3,5.6,0.6,11.1,2,0.7,11.3,3.5,0.6
49021BHEADS,49,021,BHEADS,23.4,10.7,0.3,0,0,0,0,0,0,0,21.7,9.3,1.3,0,1.3,20.7,10.3,1,20.4,3.7,1.3,20.7,6.3,1
49021CC0001,49,021,CC0001,454.1,146,19.7,0.7,3.6,1.5,3.6,0.7,1.5,8.8,425.6,111.7,33.6,19.7,51.1,442.4,129.9,35,458.5,62.1,38.7,453.4,68.6,41.6
49021CC0002,49,021,CC0002,628.4,175.8,25,3,5,0,2,1,0,8,607.4,142.9,42,19,18,596.4,150.9,55,614.4,59.9,68.9,608.4,82.9,54
49021CC0003,49,021,CC0003,446.8,182.2,14,1,0,0,2,1,0,8,407.8,141.2,46,11,36,411.8,154.2,50.1,448.8,64.1,57.1,438.8,76.1,58.1
49021CC0004,49,021,CC0004,328,136,25,6,2,1,3,0,0,10,316,109,44,15,24,319,118,52,354,47,52,340,83,36
49021CC0006,49,021,CC0006,664,296,47,12,2,2,6,0,3,24,643,240,69,30,58,645,255,82,719,104,98,697,134,94
49021CC0007,49,021,CC0007,246,108,13,3,0,0,0,0,2,6,204,103,38,11,24,229,97,35,232,57,38,230,57,39
49021CC0008,49,021,CC0008,174,96,21,4,1,0,1,0,0,2,177,78,20,8,10,158,90,31,192,27,41,176,57,27
49021CC0009,49,021,CC0009,232,120,15,2,0,1,2,0,2,6,240,83,12,10,30,217,95,30,236,39,42,237,57,26
49021CC0010,49,021,CC0010,168.1,76.9,8.7,4.2,0,1.5,3,0.2,1,9,180.8,55.5,14.2,7.7,15,164.6,67.7,23,195.6,20,32,190.6,37.7,16.7
49021CC0011,49,021,CC0011,102.9,39.1,8.3,0.8,0,1.5,0,0.8,0,3,108.2,22.5,9.8,5.3,9,101.4,26.3,15,113.4,9,15,104.4,20.3,14.3
49021CC0012,49,021,CC0012,148,80,9,2,2,2,1,0,0,10,163,64,9,6,4,155,72,13,172,25,27,164,32,25
49021CC0013,49,021,CC0013,248,82,13,0,1,1,0,0,1,6,229,68,29,10,8,243,72,23,256,39,26,252,47,29
49021CC0014,49,021,CC0014,320,84,10,1,0,0,1,2,1,12,316,56,18,12,22,307,71,28,323,42,19,320,38,33
49021CC0015,49,021,CC0015,408.6,137.6,15.3,0,1.7,0,2,0,0,25.7,413.9,99.7,31.5,12.7,17,380.9,124.4,40.5,428.1,42.2,37.5,425.1,58.7,31.8
49021CC0017,49,021,CC0017,291.6,126.8,19,2,3,1,3,2,1,12,288.6,91.9,22,11,20,275.6,105.9,34,312.6,30,48.9,311.6,50.9,33
49021CC0018,49,021,CC0018,712.4,185.1,14.4,0.8,1.6,2.4,4,0.8,0.8,28.9,681.9,131.4,38.5,24.8,65.7,693.1,169.1,40.9,718,63.3,63.3,719.6,64.9,57.7
49021CC0019,49,021,CC0019,785.4,230.2,32,3,7,2,8,1,0,24,809.4,168.1,51,14,26,803.4,195.1,48,838.4,68,60.1,825.4,85.1,57
49021CC0021,49,021,CC0021,304.8,110.1,30.6,0.2,3.4,1,2.3,0.1,0.1,0.7,283.7,80.1,42.9,10.4,30.2,299.8,89.9,34.6,318.1,36.2,50.3,318.1,56,32.2
49021CC0022,49,021,CC0022,393,109.5,18.3,0.3,1.4,0.5,1.4,0.3,0.5,10.6,381.2,81,28.9,9.1,37.2,399.6,90.1,23.9,414.7,43.1,24.7,407.9,45.5,29.4
49021CC0023,49,021,CC0023,301.6,99.8,10,2.5,0.6,0,4.4,1.2,0.6,12.5,291.6,79.2,18.5,11.5,29.5,300,81.6,29.4,304,42.8,32.6,302.8,45.2,37.2
49021CC0024,49,021,CC0024,384.1,80.7,10.8,0,3.1,0,0,0,0,16.9,399.4,49.2,20.7,3.1,13.8,381,70.7,20.7,400.2,19.2,20.7,400.2,30.7,13.1
49021CC005I,49,021,CC005I,445.6,152.2,18.5,1.2,0.9,0,1.9,0.6,0.6,6.4,426.9,113.8,29.4,13.5,34,440,121.2,36,453,56.8,45.5,446.9,76.2,42.9
49021CC005U,49,021,CC005U,215.4,75.7,9.2,0.7,0.3,0,1,0.3,0.3,2.7,204.8,57.2,14.5,7,17,212.5,60.2,17.8,218.4,28.8,22.8,215.4,38.2,21.8
49021CC020I,49,021,CC020I,75.1,13.8,0.7,0.2,0.2,0.1,0.4,0,0,1.2,64.2,11.8,4.7,3.1,8.9,72.4,11.6,3.7,70,7.2,4.6,70.2,6.2,6.4
49021CC020U,49,021,CC020U,1514.4,306.2,19,4.3,3.1,1.8,10,1.7,0.4,29.7,1314.3,257.7,93.8,62,175.6,1465,255.6,83.2,1425.4,154.7,101.7,1427.4,136.9,136.5
49021CC025I,49,021,CC025I,297.8,68.7,7.8,0.4,1,0.9,1.7,0.3,0.2,8.1,274.3,51.8,18.6,11.5,29.4,286.9,63,18.7,294,28.4,25,293,27.7,26.4
49021CC025U,49,021,CC025U,1113.9,209.3,39.3,1.8,5.4,2.7,6.2,0.9,0,9,967,176.2,83.5,49.3,120.9,1058.2,193.2,78.9,1066.7,116.7,85,1053.2,106.8,111.2
49021CC16I0,49,021,CC16I0,464.3,118,15.7,2.4,3.5,0.4,2.8,0.8,0.8,7.1,424.6,98.3,38.1,13.4,40.9,455.3,95.9,35,457.6,50.3,41.7,458,58.2,40.9
49021CC16UN,49,021,CC16UN,644,163.6,21.8,3.3,4.9,0.6,3.8,1.1,1.1,9.8,588.9,136.3,52.9,18.5,56.7,631.5,133.1,48.5,634.7,69.8,57.8,635.3,80.7,56.7
49021CC16US,49,021,CC16US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49021CHIGH0,49,021,CHIGH0,64.8,8.2,0.7,0,0,0,0,0,0,0,61.8,7.4,0.7,0.7,6.7,63.3,7.4,2.2,64,3.7,3,61.8,5.2,5.2
49021ENO002,49,021,ENO002,581.3,101.5,21.7,2.6,2.6,2.6,0.9,1.7,0,15.6,540.5,75.5,39,23.4,69.4,560.4,84.2,55.5,570,57.3,43.4,562.2,53.8,59.9
49021ENO003,49,021,ENO003,1086.3,179.1,26.4,4,5.1,0,3,1,1,10.1,923.7,173.3,89.8,54.4,63.3,1005.1,172.5,82.9,1027,104.4,68,984,106.6,117.3
49021ENO01I,49,021,ENO01I,121.8,26.5,4.9,0.4,0.6,0.4,0.1,0.2,0,2.1,115.4,18.4,7.6,4.9,15.7,118.7,21.3,11,118.9,14,9.3,117.5,14.1,14.6
49021ENO01U,49,021,ENO01U,122.3,35.6,5.4,0.1,0.8,0,0.1,0,0,0.3,118.7,23.9,7,4.7,16.7,121.3,27.9,9.6,118.7,17.1,9.9,118,18.8,17.4
49021ENO04C,49,021,ENO04C,84.6,10.4,2,0.2,0.2,0.3,0.1,0.1,0,2,72.3,7.8,8.2,2.5,8.8,81.6,9.2,4.4,81.4,6.7,3.5,78.7,6.6,6.4
49021ENO04E,49,021,ENO04E,597.3,73.2,14.3,1.2,1.3,2.5,0.6,0.6,0,13.8,510.7,55,57.3,17.4,62.3,576,65.1,31.2,574.8,47.5,24.4,555.6,46.8,44.9
49021ENO04W,49,021,ENO04W,232.4,28.5,5.6,0.5,0.5,1,0.2,0.2,0,5.3,198.6,21.4,22.4,6.8,24.3,224.1,25.3,12.2,223.6,18.5,9.5,216.1,18.2,17.5
49021KANARE,49,021,KANARE,199.4,39,4.3,0.6,0,0,0.2,0,0.5,4.2,180.9,34,12.7,5.3,13,188.7,38.8,9.4,192,18.2,11.2,193.4,14.6,15.2
49021KANARI,49,021,KANARI,89,14.4,1.5,0.2,0,0,0,0,0.2,2,79.9,13.4,5.5,2.3,5.5,83.4,15.6,3.5,84.7,7.3,4,85.7,4.5,6.3
49021KANARU,49,021,KANARU,127.7,21.4,1.9,0.3,0.1,0,0.2,0,0.3,2.7,113.2,19.4,8,3.8,9.8,120.6,21.7,5.4,120.9,11,6.3,122,7.5,9.5
49021MIDV00,49,021,MIDV00,506.4,95.6,5.4,1.9,2.9,1.1,1,1,0,0.7,420.4,87.2,48.8,20.6,38.7,465.9,93.3,34.4,465.8,51.2,41.5,461.1,55.8,46.3
49021MODE0N,49,021,MODE0N,11.2,2.9,0,0,0,0,0,0,0,0,7.8,2.4,0.5,1,3.9,10.7,2.4,0.5,7.8,3.4,0.5,9.2,1,3.4
49021MODE0S,49,021,MODE0S,10.9,2.8,0,0,0,0,0,0,0,0,7.6,2.4,0.5,0.9,3.8,10.4,2.4,0.5,7.6,3.3,0.5,9,0.9,3.3
49021NEWCSN,49,021,NEWCSN,134.1,11.8,1.6,0,0.6,0,0.1,0,0,1.3,105.4,9.6,10.8,4.6,25.6,126,10.4,8.4,118.6,14.6,6.2,116.8,11.6,12.3
49021NEWCSS,49,021,NEWCSS,84.4,6.6,0.9,0,0.4,0,0,0,0,0.8,65.6,5.4,6.9,2.8,16.8,79.1,5.8,5.3,74,9.2,3.7,72.8,7.3,7.6
49021PARAGI,49,021,PARAGI,267.7,33.8,10.3,0,1.9,0,0.9,0.9,0,11.3,263,34.8,11.3,0.9,15,270.6,36.6,6.6,264.9,24.4,7.5,247.1,22.6,26.3
49021PARAUE,49,021,PARAUE,5.5,0.7,0.2,0,0,0,0,0,0,0.2,5.4,0.7,0.2,0,0.3,5.6,0.8,0.1,5.5,0.5,0.1,5.1,0.5,0.5
49021PARAUW,49,021,PARAUW,11.8,1.5,0.4,0,0.1,0,0,0,0,0.5,11.5,1.5,0.5,0,0.7,11.9,1.6,0.3,11.6,1.1,0.3,10.8,1,1.1
49021PARN0I,49,021,PARN0I,487.9,71.7,4.5,0.7,4.5,2.6,1.9,0,0,3.9,461.4,58.2,20,9.7,23.3,467.9,67.8,22,463.3,40.7,22,456.9,36.2,40.7
49021PARN0U,49,021,PARN0U,238.9,35.1,2.2,0.3,2.2,1.3,0.9,0,0,1.9,226,28.5,9.8,4.8,11.4,229.1,33.2,10.8,226.9,19.9,10.8,223.8,17.7,19.9
49021PARS0I,49,021,PARS0I,449.2,102.1,10.9,0.7,2.3,0,2.9,0,0,11.7,445.1,70,23.6,6,35.1,441.5,84.8,26.5,444.3,40.7,19.3,434.2,34,42.7
49021PARSUE,49,021,PARSUE,18.5,4.2,0.5,0,0.1,0,0.1,0,0,0.5,18.3,2.9,1,0.2,1.5,18.2,3.5,1.1,18.3,1.7,0.8,17.9,1.4,1.8
49021PARSUW,49,021,PARSUW,134.6,30.8,3.3,0.2,0.7,0,0.9,0,0,3.5,133.4,21.1,7.1,1.8,10.6,132.3,25.5,8,133.2,12.2,5.8,130.1,10.2,12.8
49021PARV0E,49,021,PARV0E,69.9,6.8,0.8,0,0,0,0,0,0,1.7,62.3,5.5,3,3.4,4.2,64.4,6.4,5.9,66.1,6.8,0.8,65.7,3.4,4.2
49021PARV0W,49,021,PARV0W,124.6,16.4,1.4,0.1,0.4,0.2,0.1,0.1,0,2,110.7,13.8,6.8,5.1,7.5,115.5,15.8,9.1,117.1,11.9,4.5,116.4,8.5,8.8
49021SUM000,49,021,SUM000,328.6,67.7,8.9,0.1,2,0.1,0.1,0,0,9.2,324,46.8,17.7,4,18.8,326.3,59.3,16.6,336,27.8,14.8,337.7,23.9,18.3
49023CA0011,49,023,CA0011,31,10,1,0,0,0,0,0,0,0,26,6,1,5,3,28,6,6,30,9,0,28,4,7
49023EUREKI,49,023,EUREKI,260.6,103.5,10.7,0,5,0,0,1,0,0,238,83.6,15.7,20.6,17.8,249,106.1,20.7,254.8,62.6,43.8,261.3,43.1,59.7
49023EUREKU,49,023,EUREKU,29.1,7.5,0.3,0,0,0,0,0,0,1,27.7,7.4,2.3,0.3,0.2,24.8,9.8,2.3,24.9,7.3,4.1,23.5,2.9,10.2
49023LEV06E,49,023,LEV06E,192.4,19.7,2,0,0.8,0,0,0.4,0,0.8,173.5,17.3,6.4,7.2,7.7,177.6,23,10.1,177.1,18.1,10.1,179.2,8.4,17.3
49023LEV06I,49,023,LEV06I,66.6,6.8,0.7,0,0.3,0,0,0.1,0,0.3,60,6,2.2,2.5,2.6,61.4,7.9,3.5,61.3,6.3,3.5,62,2.9,6
49023LEV06W,49,023,LEV06W,324.5,34.1,4.1,0,1.7,0,0,0.5,0.3,0.9,295.5,25.9,9.3,10.4,15.8,302.7,36.9,15.9,298.8,29.4,15.2,302.9,12.8,27
49023MONA5E,49,023,MONA5E,166.1,19.3,2.4,0.2,0.3,0.2,0.3,0.2,0,1,154.8,12.7,4.8,5.6,7.6,159.5,16.1,6.9,156.5,13.7,4.5,149.5,8.5,15.5
49023MONA5I,49,023,MONA5I,501.2,58.3,7.3,0.5,1,0.5,1,0.5,0,2.9,467.2,38.4,14.6,17,22.9,481.3,48.6,20.9,472,41.3,13.6,451.1,25.8,46.7
49023MONA5W,49,023,MONA5W,376.1,42.2,5.6,0.3,0.9,0.3,0.7,0.3,0,2.3,342.9,28,13.5,14.6,19.5,360.4,35.3,16.3,351,33.5,10.2,335.2,19.3,37.7
49023NEP1IA,49,023,NEP1IA,471.2,46.2,2.2,0.3,0,0.3,2.5,0,0,1.6,417.2,43.5,8.5,18.4,31.1,442.4,58.3,11.4,439.2,43.7,8.8,437,18.3,39.2
49023NEP1UA,49,023,NEP1UA,186.8,18.7,0.7,0.6,0,0.6,1.3,0,0,1.2,177,9.6,5.7,6.5,9.2,180,18.4,5.7,175.7,17.4,6.3,175.1,8.3,16.1
49023NEP2IA,49,023,NEP2IA,261.7,25.3,4.7,0.9,0.8,0,0.5,0,0.3,0.9,247.8,17.2,7.4,4.8,11.6,249.1,31.1,7.3,245.6,24.2,9.8,244.7,10.2,23.5
49023NEP2UA,49,023,NEP2UA,66.6,6.6,0.8,0,0.1,0,0.3,0,0,0.6,64.1,5.3,1.1,1.1,2.7,65.2,7.8,0.7,62.6,6.4,2.7,64.5,2.1,5.1
49023NEP2UB,49,023,NEP2UB,232.8,24.8,3.3,0.1,1.2,0.1,0.4,0,0.4,0.6,218.4,14.8,4.6,5.1,13.3,223.3,24.6,8.1,215.9,20.4,8.7,220,7.6,17
49023NEP3IA,49,023,NEP3IA,200.6,26,4.8,0.2,0,0,2.3,0.1,0,2.9,189.9,20.9,4.6,2.4,11.6,190.1,27.4,8.8,180.8,25.5,8.8,184,11,16.4
49023NEP3UE,49,023,NEP3UE,368.6,37.1,10.4,0.8,0.2,0,1.7,0.8,0.1,5,357.4,29.1,8.9,8.1,10.9,359.7,43.6,11.2,344.8,33.1,16.8,347.5,17.6,31.1
49023NEP3UW,49,023,NEP3UW,0.6,0.1,0,0,0,0,0,0,0,0,0.6,0.1,0,0,0.1,0.5,0.1,0,0.5,0.1,0.1,0.5,0,0.2
49023NEP4IA,49,023,NEP4IA,164.7,23,3.8,0,0,0.3,0.6,0,0,2.4,167.9,12.1,5.6,5,3,154.4,23,9.7,150.5,18.9,8.5,150.8,12.4,14.1
49023NEP4UA,49,023,NEP4UA,361.1,50,8.5,0,0,0.6,1.3,0,0,5.2,367.7,26.6,12.2,10.9,6.6,338.9,50.2,21,330.3,41.1,18.7,331,26.9,31
49023NEP5IA,49,023,NEP5IA,449.4,75.2,10,1,0,0,0,0,0,4,430.5,55.4,14,19.2,11.5,422.1,84.4,13.1,413.1,52.3,22.9,426,25.1,39.3
49023NEP5UA,49,023,NEP5UA,46.7,6.6,1.1,0,0,0.1,0.2,0,0,0.7,47.4,3.6,1.6,1.5,0.9,43.8,6.7,2.7,42.7,5.4,2.4,42.9,3.5,4
49023RR13II,49,023,RR13II,270.1,3.1,5.5,0,3.1,0,0,0,0,3.1,110.7,5.5,55,43.2,55.7,246.5,4.7,22.8,194.7,68.3,7.1,182.2,12.6,75.4
