GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,G20GOVRCOX,G20GOVDPET,G20GOVLCOT,G20GOVADUE,G20GOVOWRI,G20ATGRREY,G20ATGDSKO,G20ATGLBAU,G20AUDRDOU,G20AUDCOST,G20AUDUFAB,G20TRERDAM,G20TRELSPE,G20TRECPRO
49003BC0013,49,003,BC0013,362,129,14,0,1,0,3,1,0,7,362,103,26,9,8,363,104,35,376,59,40,376,52,50
49003BC0014,49,003,BC0014,510.6,197.7,20.9,4,6,2,3,0,0,11.9,516.6,157,22.9,21.9,16.9,513.6,167.9,48.7,542.4,91.4,44.7,545.4,74.5,73.5
49003BC0015,49,003,BC0015,511,146,11,3,2,1,3,0,0,10,509,115,14,10,21,513,130,25,530,70,40,547,43,55
49003BC00UN,49,003,BC00UN,193.3,47.1,6,0,4.7,0,1.2,0,0,1.3,196.3,35.9,5.4,2.2,8.8,180,50.3,16,186.3,35.1,7.1,198.7,19.7,15.9
49003BDC000,49,003,BDC000,305.7,25,3.5,0,0.3,0,1.2,0,0.1,1.9,279.9,15.3,7,10.8,16.1,289.5,25.3,11.6,277,21.5,9.8,280.6,12.5,22.3
49003BEAR0E,49,003,BEAR0E,255.5,29.1,5.5,0.9,0,0,0.9,0,0,4.5,232.8,23.7,9.1,3.6,22.7,243.7,35.5,9.1,247.3,21.9,7.3,236.4,13.7,24.6
49003BEAR0I,49,003,BEAR0I,153.7,18.7,3.2,0,0.6,0.6,0.3,0.6,0.6,2.9,147.1,15.8,5.4,6,6.3,146.4,20.3,11.4,148.7,15.8,8.6,145.5,11.1,15.8
49003BEARUN,49,003,BEARUN,286.5,35,6,0,1.3,1.1,0.7,1.1,1.1,5.2,273.5,29.6,10.3,10.7,12.4,273.1,38,20.7,277.4,29.7,15.2,271.7,20.3,29.4
49003BEARUS,49,003,BEARUS,14.6,1.8,0.3,0,0.1,0.1,0,0.1,0.1,0.3,14,1.5,0.5,0.6,0.6,13.9,1.9,1.1,14.2,1.5,0.8,13.9,1.1,1.5
49003CC0000,49,003,CC0000,10,0,0,0,0,0,0,0,0,2,11,0,1,0,0,11,0,0,8,2,0,7,0,4
49003COR002,49,003,COR002,127,18,0,0,0,0,0,0,0,1,120,15,1,3,4,125,18,1,118,15,1,121,5,13
49003COR01I,49,003,COR01I,186.4,39.6,4.3,0.4,2.1,0.8,0,0,0.4,1.7,175.3,29.4,11.5,7.7,9.8,180.8,36.2,16.2,183.4,32.3,8.5,184.2,19.1,20
49003COR1UN,49,003,COR1UN,49,10.4,1.1,0.1,0.6,0.2,0,0,0.1,0.4,46.1,7.7,3,2,2.6,47.5,9.5,4.2,48.2,8.5,2.2,48.4,5,5.3
49003COR1US,49,003,COR1US,202.6,43,4.6,0.5,2.3,0.9,0,0,0.5,1.9,190.6,31.9,12.5,8.3,10.6,196.6,39.3,17.6,199.4,35.2,9.2,200.3,20.8,21.7
49003DEWY0I,49,003,DEWY0I,106,21,3.3,0.4,0.7,0,0.4,0,0.7,1.1,109.3,13.7,3.3,1.5,4.8,104.1,19.9,6.7,112.6,9.6,4.4,110.4,7.4,8.9
49003DEWY0U,49,003,DEWY0U,129,25.6,4,0.4,0.9,0,0.4,0,0.9,1.4,133,16.6,4,1.8,5.8,126.7,24.3,8.1,137.1,11.7,5.4,134.3,9,10.8
49003ELWD0I,49,003,ELWD0I,631.7,71.6,14.4,0.2,8.7,0,1.9,0,1.2,7.3,606.6,52.1,27,10.2,34.7,620.9,76.3,28.9,647.5,47.7,14.2,617.6,27.7,66
49003ELWD0U,49,003,ELWD0U,54.3,6.3,1.2,0,0.7,0,0.2,0,0.1,0.6,51.8,4.6,2.4,0.9,3.1,53.4,6.5,2.6,55.4,4.2,1.4,52.8,2.6,5.7
49003FLD01I,49,003,FLD01I,233.1,28,4,1,3,0,0,0,0,0,213.1,22,7,7,15,229.1,26,12,229.1,20,7,225.1,8,23
49003FLD2UE,49,003,FLD2UE,176.9,23.9,2.5,0.6,1.9,0,0,0,0,1.9,155.5,15.1,8.8,8.2,12.6,164.9,24.6,10.7,164.9,23.3,7.6,171.2,8.2,15.7
