GEOID,area_land,area_water,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PRECCas,G16USSDSch,G16USSRCar,G16USSAGiu,G16USSLKok,G16USSCAll
150010201002037,118850,0,2.9,1,0.2,0.1,0.1,3.3,0.7,0,0.1,0.1
150010201002038,1011873,0,0,0,0,0,0,0,0,0,0,0
150010201002039,708432,0,0,0,0,0,0,0,0,0,0,0
150010201002040,379711,0,5.8,1.9,0.3,0.3,0.1,6.4,1.4,0,0.1,0.2
150010201002041,0,74805,0,0,0,0,0,0,0,0,0,0
150010201002042,128286,0,0,0,0,0,0,0,0,0,0,0
150010201002043,753499,0,6.3,2.1,0.4,0.3,0.1,7,1.5,0,0.1,0.2
150010201002044,31022,0,0,0,0,0,0,0,0,0,0,0
150010201002045,81400,0,1.4,0.5,0.1,0.1,0,1.6,0.3,0,0,0
150010201002046,66011,0,1.7,0.6,0.1,0.1,0,1.9,0.4,0,0,0
150010201002047,99299,0,2.8,0.9,0.2,0.1,0.1,3.1,0.7,0,0.1,0.1
150010201002048,8979,0,1.8,0.6,0.1,0.1,0,2,0.4,0,0,0
150010201002049,192201,0,0,0,0,0,0,0,0,0,0,0
150010201002050,15579,0,7.1,2.4,0.4,0.3,0.1,7.9,1.7,0,0.2,0.2
150010201002051,155515,0,1.7,0.6,0.1,0.1,0,1.9,0.4,0,0,0
150010201002052,6009,0,0.4,0.1,0,0,0,0.4,0.1,0,0,0
150010201002053,19413,0,0,0,0,0,0,0,0,0,0,0
150010201002054,845480,0,2.9,1,0.2,0.1,0.1,3.3,0.7,0,0.1,0.1
150010201002055,62084,0,0,0,0,0,0,0,0,0,0,0
150010201002056,261399,0,8.5,2.8,0.5,0.4,0.2,9.4,2,0.1,0.2,0.2
150010201003000,445636,0,0,0,0,0,0,0,0,0,0,0
150010201003001,0,4731634,0,0,0,0,0,0,0,0,0,0
150010201003002,289736,0,14.2,4.7,0.8,0.7,0.3,15.7,3.3,0.1,0.3,0.4
150010201003003,771825,0,3.2,1.1,0.2,0.2,0.1,3.6,0.8,0,0.1,0.1
150010201003004,475687,0,0.9,0.3,0,0.1,0,1,0.2,0,0,0
150010201003005,531944,0,12,4,0.7,0.6,0.2,13.4,2.8,0.1,0.3,0.3
150010201003006,60525,0,0,0,0,0,0,0,0,0,0,0
150010201003007,162965,0,0,0,0,0,0,0,0,0,0,0
150010201003008,0,6441,0,0,0,0,0,0,0,0,0,0
150010201003009,276660,0,4.9,1.6,0.3,0.2,0.1,5.4,1.1,0,0.1,0.1
150010201003010,744320,0,1.9,0.6,0.1,0.1,0,2.1,0.5,0,0,0.1
150010201003011,79211,0,0,0,0,0,0,0,0,0,0,0
150010201003012,90432,0,1.4,0.5,0.1,0.1,0,1.6,0.3,0,0,0
150010201003013,193586,0,0.7,0.2,0,0,0,0.7,0.2,0,0,0
150010201003014,3052432,0,91.3,30.5,5.2,4.4,1.7,101.4,21.4,0.6,2.1,2.5
150010201003015,130398,0,1.6,0.5,0.1,0.1,0,1.8,0.4,0,0,0
150010201003016,41311,0,0,0,0,0,0,0,0,0,0,0
150010201003017,661291,0,4.2,1.4,0.2,0.2,0.1,4.6,1,0,0.1,0.1
150010201003018,868800,0,25.3,8.5,1.4,1.2,0.5,28.1,5.9,0.2,0.6,0.7
150010201003019,1813848,0,21,7,1.2,1,0.4,23.3,4.9,0.1,0.5,0.6
150010201003020,61537659,0,348.5,121.9,19,21.3,5.4,393.2,80.5,2.3,9.5,10.8
150010201003021,49638,0,0,0,0,0,0,0,0,0,0,0
150010201003022,368361,0,0.9,0.3,0.1,0,0,1,0.2,0,0,0
150010201003023,220861,0,0,0,0,0,0,0,0,0,0,0
150010201003024,108468,0,1,0.4,0.1,0.1,0,1.2,0.2,0,0,0
150010201003025,40348,0,2.2,0.7,0.1,0.1,0,2.5,0.5,0,0.1,0.1
150010201003026,216090,0,3.6,1.2,0.2,0.2,0.1,4,0.9,0,0.1,0.1
150010201003027,865308,4144,18.1,6.1,1,0.9,0.3,20.1,4.3,0.1,0.4,0.5
150010201003028,46716,0,2.3,0.8,0.1,0.1,0,2.5,0.5,0,0.1,0.1
150010201003029,43327,0,0,0,0,0,0,0,0,0,0,0
150010201003030,267703,0,3.9,1.3,0.2,0.2,0.1,4.3,0.9,0,0.1,0.1
150010201003031,101583,0,1.3,0.4,0.1,0.1,0,1.5,0.3,0,0,0
150010201003032,119673,0,1,0.3,0.1,0,0,1.1,0.2,0,0,0
150010201003033,16531,0,2.6,0.9,0.1,0.1,0,2.9,0.6,0,0.1,0.1
150010201003034,431174,0,2.4,0.8,0.1,0.1,0,2.7,0.6,0,0.1,0.1
150010201003035,571535,0,12.9,4.3,0.7,0.6,0.2,14.3,3,0.1,0.3,0.3
150010201003036,517550,0,13.6,4.5,0.8,0.7,0.3,15.1,3.2,0.1,0.3,0.4
150010201003037,468894,0,1.8,0.6,0.1,0.1,0,2,0.4,0,0,0
150010201003038,1142691,0,16.1,5.4,0.9,0.8,0.3,17.9,3.8,0.1,0.4,0.4
150010201003039,1019484,0,18.9,6.3,1.1,0.9,0.4,21,4.4,0.1,0.4,0.5
150010201003040,614601,0,9.9,3.3,0.6,0.5,0.2,10.9,2.3,0.1,0.2,0.3
150010201003041,546473,0,5,1.7,0.3,0.2,0.1,5.5,1.2,0,0.1,0.1
150010201003042,322394,0,2.8,0.9,0.2,0.1,0.1,3.1,0.7,0,0.1,0.1
150010201003043,51421341,0,50,18,2.7,3.4,0.7,57,11.4,0.3,1.5,1.7
150010201003044,1806039,0,27,9.7,1.4,1.8,0.4,30.8,6.2,0.2,0.8,0.9
150010201003045,2238544,0,1,0.4,0.1,0.1,0,1.2,0.2,0,0,0
150010201003046,17338,0,0,0,0,0,0,0,0,0,0,0
150010201003047,2054,0,0.8,0.3,0,0.1,0,0.9,0.2,0,0,0
150010201003048,347416,0,18.1,6.5,1,1.2,0.2,20.6,4.1,0.1,0.5,0.6
150010201003049,0,47235,0,0,0,0,0,0,0,0,0,0
150010201003050,0,886799,0,0,0,0,0,0,0,0,0,0
150010201003051,0,14250,0,0,0,0,0,0,0,0,0,0
150010201003052,218552,0,8.1,2.9,0.4,0.6,0.1,9.2,1.8,0.1,0.2,0.3
150010201003053,1904871,0,31.5,11.3,1.7,2.2,0.4,35.8,7.2,0.2,0.9,1.1
150010201003054,1625231,0,9.1,3.3,0.5,0.6,0.1,10.4,2.1,0.1,0.3,0.3
150010201003055,260526,0,0,0,0,0,0,0,0,0,0,0
150010201003056,362975,0,0.3,0.1,0,0,0,0.3,0.1,0,0,0
150010201003057,93596,0,6.4,2.3,0.3,0.4,0.1,7.2,1.5,0,0.2,0.2
150010201003058,124001,0,0.4,0.1,0,0,0,0.4,0.1,0,0,0
150010201003059,82800,0,0,0,0,0,0,0,0,0,0,0
150010201003060,564742,0,6.4,2.3,0.3,0.4,0.1,7.3,1.5,0,0.2,0.2
150010201003061,0,251314,0,0,0,0,0,0,0,0,0,0
150010201003062,211979,3464,2.4,0.9,0.1,0.2,0,2.7,0.6,0,0.1,0.1
150010201003063,59531,3984,0.8,0.3,0.1,0,0,0.8,0.2,0,0,0
150010201003064,223420,0,3,1.1,0.2,0.2,0,3.5,0.7,0,0.1,0.1
150010201003065,734719,0,20.3,7.3,1.1,1.4,0.3,23.1,4.6,0.1,0.6,0.7
150010201003066,2306193,0,22.9,8.2,1.2,1.6,0.3,26,5.2,0.2,0.7,0.8
150010201003067,2297793,0,13.6,4.9,0.7,0.9,0.2,15.5,3.1,0.1,0.4,0.5
150010201003068,194289,0,5.7,2,0.3,0.4,0.1,6.5,1.3,0,0.2,0.2
150010201003069,107721,0,0,0,0,0,0,0,0,0,0,0
150010201003070,43219,0,6.2,2.2,0.3,0.4,0.1,7.1,1.4,0,0.2,0.2
150010201003071,83989,0,0,0,0,0,0,0,0,0,0,0
150010201003072,224302,0,2.6,0.9,0.1,0.2,0,2.9,0.6,0,0.1,0.1
150010201003073,10172,0,2.1,0.7,0.1,0.1,0,2.4,0.5,0,0.1,0.1
150010201003074,0,15986,0,0,0,0,0,0,0,0,0,0
150010201003075,351431,0,0,0,0,0,0,0,0,0,0,0
150010201003076,269669,0,4.3,1.5,0.2,0.3,0.1,4.9,1,0,0.1,0.1
150010201003077,133547,0,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010201003078,178918,0,0,0,0,0,0,0,0,0,0,0
150010201003079,179903,0,0,0,0,0,0,0,0,0,0,0
150010201003080,87513,0,0.2,0.1,0,0,0,0.2,0,0,0,0
150010201003081,51263,0,8.6,3.1,0.5,0.6,0.1,9.8,2,0.1,0.3,0.3
150010201003082,0,187550,0,0,0,0,0,0,0,0,0,0
150010201003083,0,23105,0,0,0,0,0,0,0,0,0,0
150010201003084,156995,0,0.2,0.1,0,0,0,0.2,0,0,0,0
150010201003085,1169278,0,12.6,4.5,0.7,0.9,0.2,14.3,2.9,0.1,0.4,0.4
150010201003086,60075,0,0,0,0,0,0,0,0,0,0,0
150010201003087,35237,0,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010201003088,177790,0,0.3,0.1,0,0,0,0.4,0.1,0,0,0
150010201003089,161188,0,0.9,0.3,0,0.1,0,1,0.2,0,0,0
150010201004000,41817,0,2.6,0.9,0.1,0.2,0,2.9,0.6,0,0.1,0.1
150010201004001,190525,0,0,0,0,0,0,0,0,0,0,0
150010201004002,605629,0,1.4,0.5,0.1,0.1,0,1.6,0.3,0,0,0
150010201004003,0,50063,0,0,0,0,0,0,0,0,0,0
150010201004004,0,39264,0,0,0,0,0,0,0,0,0,0
150010201004005,0,768125,0,0,0,0,0,0,0,0,0,0
150010201004006,0,983294,0,0,0,0,0,0,0,0,0,0
150010201004007,123828,0,3.4,1.2,0.2,0.2,0,3.9,0.8,0,0.1,0.1
150010201004008,40012,0,1.7,0.6,0.1,0.1,0,2,0.4,0,0.1,0.1
150010201004009,42923,0,1,0.4,0.1,0.1,0,1.2,0.2,0,0,0
150010201004010,69824,0,0,0,0,0,0,0,0,0,0,0
150010201004011,134090,0,0,0,0,0,0,0,0,0,0,0
150010201004012,46900,0,0,0,0,0,0,0,0,0,0,0
150010201004013,274171,0,0,0,0,0,0,0,0,0,0,0
150010201004014,20334,0,0,0,0,0,0,0,0,0,0,0
150010201004015,135845,0,11.9,4.3,0.6,0.8,0.2,13.5,2.7,0.1,0.4,0.4
150010201004016,45121,0,0,0,0,0,0,0,0,0,0,0
150010201004017,596724,0,6,2.2,0.3,0.4,0.1,6.9,1.4,0,0.2,0.2
150010201004018,87911,0,0.7,0.2,0,0,0,0.8,0.2,0,0,0
150010201004019,322399,0,0,0,0,0,0,0,0,0,0,0
150010201004020,305444,0,44.9,16.1,2.4,3.1,0.6,51.1,10.3,0.3,1.3,1.5
150010201004021,117105,0,0,0,0,0,0,0,0,0,0,0
150010201004022,5653,0,0,0,0,0,0,0,0,0,0,0
150010201004023,33123,0,0,0,0,0,0,0,0,0,0,0
150010201004024,56682,0,3.4,1.2,0.2,0.2,0,3.9,0.8,0,0.1,0.1
150010201004025,11768,0,0,0,0,0,0,0,0,0,0,0
150010201004026,4620,0,1.4,0.5,0.1,0.1,0,1.6,0.3,0,0,0
150010201004027,101717,0,0,0,0,0,0,0,0,0,0,0
150010201004028,146565,0,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010201004029,314671,11656,6.5,2.3,0.3,0.4,0.1,7.4,1.5,0,0.2,0.2
150010201004030,19811,0,0,0,0,0,0,0,0,0,0,0
150010201004031,220950,0,5.3,1.9,0.3,0.4,0.1,6.1,1.2,0,0.2,0.2
150010201004032,555836,0,0.3,0.1,0,0,0,0.4,0.1,0,0,0
150010201004033,205619,0,0.3,0.1,0,0,0,0.4,0.1,0,0,0
150010201004034,311093,0,0,0,0,0,0,0,0,0,0,0
150010201004035,314974,0,6.9,2.5,0.4,0.5,0.1,7.8,1.6,0,0.2,0.2
150010201004036,276322,0,15,5.4,0.8,1,0.2,17,3.4,0.1,0.4,0.5
150010201004037,69298,0,0,0,0,0,0,0,0,0,0,0
150010202021000,17204,2300,325.4,107.7,17.4,18.7,5.5,373.6,70.6,2.7,8.9,7.9
150010202021001,1210928,4864,16.8,5.3,1.3,0.7,0.3,18.1,3.6,0.2,0.3,0.9
150010202021002,34863304,0,41.6,13.3,3.1,1.6,0.7,45,9,0.6,0.8,2.3
150010202021003,336671,0,0,0,0,0,0,0,0,0,0,0
150010202021004,99620,0,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010202021005,799794,0,58.1,18.5,4.4,2.3,1,62.8,12.5,0.8,1.2,3.3
150010202021006,901929,0,22.2,7.1,1.7,0.9,0.4,24.1,4.8,0.3,0.5,1.3
150010202021007,365296,0,1.8,0.6,0.1,0.1,0,2,0.4,0,0,0.1
150010202021008,147540,0,0,0,0,0,0,0,0,0,0,0
150010202021009,46814,0,0,0,0,0,0,0,0,0,0,0
150010202021010,2159225,0,25.4,8.1,1.9,1,0.4,27.5,5.5,0.4,0.5,1.4
150010202021011,1456829,0,46.3,14.8,3.5,1.8,0.8,50.1,10,0.7,0.9,2.6
150010202021012,324274,0,0,0,0,0,0,0,0,0,0,0
150010202021013,1322236,0,0,0,0,0,0,0,0,0,0,0
150010202021014,104628664,2190,30.5,10.1,1.6,1.8,0.5,35.1,6.6,0.3,0.8,0.7
150010202021015,0,9220,0,0,0,0,0,0,0,0,0,0
150010202021016,30325051,0,25.2,8.4,1.4,1.5,0.4,29,5.5,0.2,0.7,0.6
150010202021017,7374170,0,1,0.3,0.1,0.1,0,1.1,0.2,0,0,0
150010202021018,1731832,0,28.6,9.5,1.5,1.6,0.5,32.8,6.2,0.2,0.8,0.7
150010202021019,158074,0,10.6,3.5,0.6,0.6,0.2,12.2,2.3,0.1,0.3,0.3
150010202021020,2274367,3553,229.1,75.8,12.3,13.2,3.9,263,49.7,1.9,6.2,5.6
150010202021021,24458,0,12.6,4.2,0.7,0.7,0.2,14.5,2.7,0.1,0.3,0.3
150010202021022,29076,0,0,0,0,0,0,0,0,0,0,0
150010202021023,1386064,0,1.3,0.4,0.1,0.1,0,1.5,0.3,0,0,0
150010202021024,352,0,459.5,152.1,24.6,26.4,7.7,527.6,99.7,3.9,12.5,11.2
150010202021025,52237,0,0,0,0,0,0,0,0,0,0,0
150010202021026,102687,2925,0,0,0,0,0,0,0,0,0,0
150010202021027,2424797,0,170,56.3,9.1,9.8,2.9,195.2,36.9,1.4,4.6,4.1
150010202021028,10750577,0,32.5,10.8,1.7,1.9,0.5,37.4,7.1,0.3,0.9,0.8
150010202021029,1188921,0,0,0,0,0,0,0,0,0,0,0
150010202021030,1865313,0,1.3,0.4,0.1,0.1,0,1.5,0.3,0,0,0
150010202021031,60591995,75915,240.7,94.7,12.2,15.6,6.2,290,56.9,2.2,5.3,6.9
150010202021032,6544,0,0,0,0,0,0,0,0,0,0,0
150010202021033,7526554,0,19.7,7.7,1,1.3,0.5,23.7,4.7,0.2,0.4,0.6
150010202021034,82731356,0,1.2,0.5,0.1,0.1,0,1.5,0.3,0,0,0
150010202021035,59446498,0,12.3,4.8,0.6,0.8,0.3,14.8,2.9,0.1,0.3,0.4
150010202021036,20137,1047,0,0,0,0,0,0,0,0,0,0
150010202021037,3364357,0,49.5,15.8,3.7,1.9,0.9,53.5,10.7,0.7,1,2.8
150010202021038,218790,0,10.5,3.3,0.8,0.4,0.2,11.3,2.3,0.1,0.2,0.6
150010202021039,356760,0,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010202021040,62904081,0,20.7,7.3,0.8,1.2,0.4,24.6,4.3,0,0.4,0.6
150010202021041,48390652,0,74.2,26.3,2.8,4.1,1.5,88.1,15.4,0.2,1.4,2
150010202021042,29241242,0,46.4,16.5,1.8,2.6,0.9,55.2,9.6,0.1,0.9,1.2
150010202021043,1055899,0,0,0,0,0,0,0,0,0,0,0
150010202021044,3789108,0,0,0,0,0,0,0,0,0,0,0
150010202021045,375523,0,0.8,0.3,0.1,0,0,0.8,0.2,0,0,0
150010202021046,300725,0,9.2,2.9,0.7,0.4,0.2,9.9,2,0.1,0.2,0.5
150010202021047,428774,0,11.3,3.6,0.8,0.4,0.2,12.2,2.4,0.2,0.2,0.6
150010202021048,42049,0,0,0,0,0,0,0,0,0,0,0
150010202021049,153143,0,1.3,0.4,0.1,0.1,0,1.4,0.3,0,0,0.1
150010202021050,595486,0,11.8,3.8,0.9,0.5,0.2,12.7,2.5,0.2,0.2,0.7
150010202021051,1005876,0,14.7,4.7,1.1,0.6,0.3,15.8,3.2,0.2,0.3,0.8
150010202021052,1074069,0,44,14,3.3,1.7,0.8,47.5,9.5,0.6,0.9,2.5
150010202021053,201083,0,1.8,0.6,0.1,0.1,0,2,0.4,0,0,0.1
150010202021054,11726793,0,59.1,20.9,2.2,3.3,1.2,70.1,12.2,0.1,1.1,1.6
150010202021055,21261225,0,166.6,59,6.3,9.3,3.4,197.8,34.5,0.4,3.1,4.4
150010202021056,1270834,0,3.5,1.3,0.1,0.2,0.1,4.2,0.7,0,0.1,0.1
150010202021057,6600079,0,0,0,0,0,0,0,0,0,0,0
150010202021058,6736745,0,0,0,0,0,0,0,0,0,0,0
150010202021059,2743596,0,0,0,0,0,0,0,0,0,0,0
150010202021060,111336,0,0,0,0,0,0,0,0,0,0,0
150010202021061,499789,0,0,0,0,0,0,0,0,0,0,0
150010202021062,94669,0,19.7,7,0.7,1.1,0.4,23.4,4.1,0,0.4,0.5
150010202021063,36404,0,5.5,2.1,0.4,0.4,0.1,6.2,1.5,0,0.2,0.2
150010202021064,3484720,0,0,0,0,0,0,0,0,0,0,0
150010202021065,422,1148,1.6,0.5,0.1,0.1,0,1.7,0.3,0,0,0.1
150010202021066,4008936,0,1.5,0.5,0.1,0.1,0,1.8,0.3,0,0,0
150010202021067,77046,0,0,0,0,0,0,0,0,0,0,0
150010202021068,190238,0,6.8,2.2,0.5,0.3,0.1,7.4,1.5,0.1,0.1,0.4
150010202021069,66748,0,0,0,0,0,0,0,0,0,0,0
150010202022000,0,213226,0,0,0,0,0,0,0,0,0,0
150010202022001,0,233028,0,0,0,0,0,0,0,0,0,0
150010202022002,0,345996,0,0,0,0,0,0,0,0,0,0
150010202022003,0,142538,0,0,0,0,0,0,0,0,0,0
150010202022004,142944,2878,13.6,4.3,1,0.5,0.2,14.7,2.9,0.2,0.3,0.8
150010202022005,0,149240,0,0,0,0,0,0,0,0,0,0
150010202022006,0,84960,0,0,0,0,0,0,0,0,0,0
150010202022007,114837,0,73,23.3,5.5,2.9,1.3,79,15.7,1,1.5,4.1
150010202022008,1139614,0,6,1.9,0.5,0.2,0.1,6.5,1.3,0.1,0.1,0.3
150010202022009,135997,0,0,0,0,0,0,0,0,0,0,0
150010202022010,49654,0,0,0,0,0,0,0,0,0,0,0
150010202022011,39321,0,0,0,0,0,0,0,0,0,0,0
150010202022012,133694,0,0,0,0,0,0,0,0,0,0,0
150010202022013,150195,0,7.9,2.5,0.6,0.3,0.1,8.5,1.7,0.1,0.2,0.4
150010202022014,275538,0,35.1,11.2,2.6,1.4,0.6,37.9,7.6,0.5,0.7,2
150010202022015,8386,0,6,1.9,0.5,0.2,0.1,6.5,1.3,0.1,0.1,0.3
150010202022016,273962,0,0,0,0,0,0,0,0,0,0,0
150010202022017,188520,0,7.3,2.3,0.5,0.3,0.1,7.9,1.6,0.1,0.1,0.4
150010202022018,55840,0,0,0,0,0,0,0,0,0,0,0
150010202022019,559370,0,0,0,0,0,0,0,0,0,0,0
150010202022020,6008,0,1.8,0.6,0.1,0.1,0,2,0.4,0,0,0.1
150010202022021,38638,0,0,0,0,0,0,0,0,0,0,0
150010202022022,41057,0,0,0,0,0,0,0,0,0,0,0
150010202022023,5702,0,51.3,16.4,3.8,2,0.9,55.5,11.1,0.7,1,2.9
150010202022024,61396,0,0,0,0,0,0,0,0,0,0,0
150010202022025,148717,0,0,0,0,0,0,0,0,0,0,0
150010203001000,232852,0,15.3,5.1,0.8,0.9,0.3,17.5,3.3,0.1,0.4,0.4
150010203001001,238776,0,13.3,4.4,0.7,0.8,0.2,15.2,2.9,0.1,0.4,0.3
150010203001002,36600,0,0,0,0,0,0,0,0,0,0,0
150010203001003,33061,0,0.7,0.2,0,0,0,0.8,0.1,0,0,0
150010203001004,13224,0,0,0,0,0,0,0,0,0,0,0
150010203001005,905207,0,64.9,21.2,4,3.3,1.1,72.9,14,0.7,1.6,2.3
150010203001006,45782,0,0,0,0,0,0,0,0,0,0,0
150010203001007,31665,0,0,0,0,0,0,0,0,0,0,0
150010203001008,49423,0,6.6,2.2,0.4,0.4,0.1,7.6,1.4,0.1,0.2,0.2
150010203001009,103192,0,0,0,0,0,0,0,0,0,0,0
150010203001010,54682,0,9.3,3.1,0.5,0.5,0.2,10.7,2,0.1,0.3,0.2
150010203002000,49811,0,28.8,9.2,2.2,1.1,0.5,31.1,6.2,0.4,0.6,1.6
150010203002001,28545,0,3.7,1.2,0.3,0.1,0.1,4,0.8,0.1,0.1,0.2
150010203002002,31334,0,2.6,0.8,0.2,0.1,0,2.8,0.6,0,0.1,0.1
150010203002003,58906,0,0,0,0,0,0,0,0,0,0,0
150010203002004,0,261942,0,0,0,0,0,0,0,0,0,0
150010203002005,26190,0,0,0,0,0,0,0,0,0,0,0
150010203002006,22691,0,0,0,0,0,0,0,0,0,0,0
150010203002007,40162,12476,2.6,0.8,0.2,0.1,0,2.8,0.6,0,0.1,0.1
150010203002008,37649,0,0,0,0,0,0,0,0,0,0,0
150010203002009,21199,6506,0,0,0,0,0,0,0,0,0,0
150010203002010,0,207972,0,0,0,0,0,0,0,0,0,0
150010203003000,21230,0,0,0,0,0,0,0,0,0,0,0
150010203003001,452720,0,6.5,1.9,0.4,0.3,0.1,7.1,1.3,0.1,0.2,0.3
150010203003002,23522,0,0,0,0,0,0,0,0,0,0,0
150010203003003,8713,0,2.3,0.7,0.2,0.1,0,2.5,0.5,0,0.1,0.1
150010203003004,66560,0,37.3,11,2.5,1.6,0.7,41.2,7.4,0.3,1,1.6
150010203003005,67037,0,11.8,3.5,0.8,0.5,0.2,13,2.3,0.1,0.3,0.5
150010203003006,7994,0,0,0,0,0,0,0,0,0,0,0
150010203003007,38200,0,1.5,0.4,0.1,0.1,0,1.7,0.3,0,0,0.1
150010203003008,25448,0,5,1.5,0.3,0.2,0.1,5.5,1,0,0.1,0.2
150010203003009,10707,0,1.1,0.3,0.1,0,0,1.3,0.2,0,0,0
150010203003010,4799,0,0,0,0,0,0,0,0,0,0,0
150010203003011,2935,0,0.7,0.2,0,0,0,0.8,0.1,0,0,0
