GEOID,area_land,area_water,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PRECCas,G16USSDSch,G16USSRCar,G16USSAGiu,G16USSLKok,G16USSCAll
150010201001000,173731,0,58.9,19.7,3.3,2.9,1.1,65.4,13.8,0.4,1.4,1.6
150010201001001,25850,0,0,0,0,0,0,0,0,0,0,0
150010201001002,47602,0,0.6,0.2,0,0,0,0.7,0.1,0,0,0
150010201001003,102521,0,0,0,0,0,0,0,0,0,0,0
150010201001004,76497,0,2.6,0.9,0.1,0.1,0,2.9,0.6,0,0.1,0.1
150010201001005,297738,0,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010201001006,95488,0,0.1,0,0,0,0,0.1,0,0,0,0
150010201001007,196734,0,1,0.3,0.1,0,0,1.1,0.2,0,0,0
150010201001008,162578,0,5.4,1.8,0.3,0.3,0.1,5.9,1.3,0,0.1,0.1
150010201001009,20227,0,0,0,0,0,0,0,0,0,0,0
150010201001010,34431,0,0,0,0,0,0,0,0,0,0,0
150010201001011,29015,0,4.6,1.5,0.3,0.2,0.1,5.1,1.1,0,0.1,0.1
150010201001012,27157,0,10.4,3.5,0.6,0.5,0.2,11.6,2.4,0.1,0.2,0.3
150010201001013,26079,0,0,0,0,0,0,0,0,0,0,0
150010201001014,24353,0,0,0,0,0,0,0,0,0,0,0
150010201001015,39237,0,0.8,0.3,0,0,0,0.9,0.2,0,0,0
150010201001016,108765,0,1.6,0.5,0.1,0.1,0,1.8,0.4,0,0,0
150010201001017,115401,0,9.4,3.2,0.5,0.5,0.2,10.5,2.2,0.1,0.2,0.3
150010201001018,185723,0,4.8,1.6,0.3,0.2,0.1,5.3,1.1,0,0.1,0.1
150010201001019,24623,0,18.6,6.2,1.1,0.9,0.4,20.7,4.4,0.1,0.4,0.5
150010201001020,1211607,0,3.3,1.1,0.2,0.2,0.1,3.7,0.8,0,0.1,0.1
150010201001021,32294,0,0.4,0.1,0,0,0,0.4,0.1,0,0,0
150010201001022,102810,0,0.2,0.1,0,0,0,0.2,0,0,0,0
150010201001023,16032,0,4.2,1.4,0.2,0.2,0.1,4.6,1,0,0.1,0.1
150010201001024,26586,0,0,0,0,0,0,0,0,0,0,0
150010201001025,36306,0,0,0,0,0,0,0,0,0,0,0
150010201002000,18786,0,3.7,1.3,0.2,0.2,0.1,4.2,0.9,0,0.1,0.1
150010201002001,987187,48050,19.9,6.7,1.1,1,0.4,22.2,4.7,0.1,0.5,0.5
150010201002002,724378,0,20.6,6.9,1.2,1,0.4,22.8,4.8,0.1,0.5,0.6
150010201002003,180677,0,5.9,2,0.3,0.3,0.1,6.5,1.4,0,0.1,0.2
150010201002004,476197,0,1.6,0.5,0.1,0.1,0,1.8,0.4,0,0,0
150010201002005,81378,0,0,0,0,0,0,0,0,0,0,0
150010201002006,109890,0,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010201002007,291041,0,0,0,0,0,0,0,0,0,0,0
150010201002008,0,2469152,0,0,0,0,0,0,0,0,0,0
150010201002009,105057,0,0,0,0,0,0,0,0,0,0,0
150010201002010,0,14633,0,0,0,0,0,0,0,0,0,0
150010201002011,74948,0,0.9,0.3,0.1,0,0,1,0.2,0,0,0
150010201002012,94934,0,1.8,0.6,0.1,0.1,0,2,0.4,0,0,0
150010201002013,165230,0,0,0,0,0,0,0,0,0,0,0
150010201002014,3191055,0,14,4.7,0.8,0.7,0.3,15.5,3.3,0.1,0.3,0.4
150010201002015,66670,0,0,0,0,0,0,0,0,0,0,0
150010201002016,489041,0,0,0,0,0,0,0,0,0,0,0
150010201002017,1709642,0,35.7,12,2,1.7,0.7,39.7,8.4,0.2,0.8,1
150010201002018,247263,0,1.4,0.5,0.1,0.1,0,1.6,0.3,0,0,0
150010201002019,60336915,0,5.5,1.8,0.3,0.3,0.1,6.1,1.3,0,0.1,0.1
150010201002020,757172,0,1.1,0.4,0.1,0.1,0,1.2,0.3,0,0,0
150010201002021,8470980,0,0,0,0,0,0,0,0,0,0,0
150010201002022,289129,0,0,0,0,0,0,0,0,0,0,0
150010201002023,450014,0,0,0,0,0,0,0,0,0,0,0
150010201002024,747997,0,0,0,0,0,0,0,0,0,0,0
150010201002025,694885,0,0,0,0,0,0,0,0,0,0,0
150010201002026,562552,0,5.6,1.9,0.3,0.3,0.1,6.2,1.3,0,0.1,0.2
150010201002027,2129284,0,0,0,0,0,0,0,0,0,0,0
150010201002028,947804,0,2.2,0.7,0.1,0.1,0,2.5,0.5,0,0.1,0.1
150010201002029,132606,0,0,0,0,0,0,0,0,0,0,0
150010201002030,774925,0,2.8,0.9,0.2,0.1,0.1,3.1,0.7,0,0.1,0.1
150010201002031,430497,0,1.7,0.6,0.1,0.1,0,1.9,0.4,0,0,0
150010201002032,57535,0,0,0,0,0,0,0,0,0,0,0
150010201002033,0,21288,0,0,0,0,0,0,0,0,0,0
150010201002034,256611,0,5,1.7,0.3,0.2,0.1,5.5,1.2,0,0.1,0.1
150010201002035,138348,0,0,0,0,0,0,0,0,0,0,0
150010201002036,263678,0,8.2,2.7,0.5,0.4,0.2,9.1,1.9,0.1,0.2,0.2
