GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWAR,G18USSRDIE,G18USSUAYY,G18USSOWRI,G18GOVRBAK,G18GOVDGON,G18GOVOWRI,G18ATGDHEA,G18ATGRMCM,G18ATGOWRI,G18SOCDGAL,G18SOCRAMO,G18SOCGSAN,G18SOCOWRI,G18TREDGOL,G18TRERORR,G18TREGGUE,G18TREOWRI,G18AUDDBUM,G18AUDRBRA,G18AUDLFIS,G18AUDGSTA,G18AUDOWRI
25001000107,25,001,000107,1138.26,952.63,72.39,0.01,1606.59,516.32,0.03,1341.64,820.63,0.01,1427.09,653.59,49.4,0.01,1282.13,781.3,47.35,0.01,1156.26,809.76,70.41,55.29,0.01
25001000108,25,001,000108,741,859,59,0,1263,365,3,900,754,0,951,637,38,2,860,707,50,0,772,746,58,31,1
25001000109,25,001,000109,937.18,1014.71,51.03,1.96,1525.98,427.86,2.94,1119.71,883.21,0.98,1174.66,747.78,53.97,0.98,1050.03,839.05,47.1,0.98,935.22,900.87,52.99,39.25,0.98
25001000110,25,001,000110,888,956,52,0,1433,414,6,1022,861,0,1148,671,47,0,997,789,55,2,904,816,78,43,0
25001000111,25,001,000111,734.11,553.6,42.3,1.01,938.35,373.98,4.09,837.41,487.31,2.03,856.86,408.53,44.07,0.01,798.74,457.14,48.09,1.01,710.45,490.3,50.4,35.68,1.01
25001000112,25,001,000112,905,914,58,4,1435,413,5,1076,806,0,1188,634,43,0,1047,748,45,0,944,797,60,25,0
25001000113,25,001,000113,698.49,560.74,44.94,0,891.91,390.76,1.95,812.79,480.64,0.98,858.7,387.83,38.1,0,790.32,439.61,39.08,0,711.19,479.66,49.82,23.45,0
25001000114,25,001,000114,849.36,866.07,52.11,2,1317,404.57,7.99,1007.73,746.81,2,1101.88,601.6,38.05,2.99,979.65,691.8,37.07,3.99,860.5,751.88,63.07,24.05,3.99
25001000115,25,001,000115,838.57,1099.16,57.8,1,1618.26,359.01,2.04,1032.45,958.02,0,1133.76,813.32,33.29,0,994.2,925.17,36.13,0,884.2,981.04,53.05,25.14,0
25001000116,25,001,000116,908,927,48,1,1453,391,5,1075,792,2,1166,645,44,1,1017,750,57,3,901,826,52,35,2
