GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16PREIFUE,G16PREGSTE,G16PREOWRI,G16HALRCHE,G16HALDGRE,G16HALLSTR,G16HALCCUM,G16HALOWRI
56021003-13,56,021,003-13,265.6,117.9,25.8,2.9,0.6,3.5,8.8,238.7,143.7,16.4,10,0.6
56021004-10,56,021,004-10,149.3,26.7,10.8,2,0,1,6.9,126.6,50.3,8.9,6.9,1
56021004-11,56,021,004-11,48.5,39.7,7.9,0,0,0.9,2.6,49.4,48.5,0.9,0,0
56023000101,56,023,000101,276,44,19,6,0,0,6,228,100,7,14,1
56023000102,56,023,000102,275,60,20,0,2,2,13,229,100,15,17,1
56023000103,56,023,000103,401,59,17,9,0,1,20,347,120,9,18,1
56023000104,56,023,000104,237,49,17,5,1,1,8,212,83,8,8,1
56023000106,56,023,000106,115.3,15.7,4.9,1,0,2,0.1,97.7,34.4,0,6,2
56023000107,56,023,000107,67,5,0,0,0,1,0,56,9,3,2,1
56023000108,56,023,000108,303.8,16,9,3,0,0,7,267.8,34,8,21,1
56023000201,56,023,000201,666.8,66.4,30.2,19.1,5,12.1,82.6,669.7,102.7,24.2,61.4,4
56023000202,56,023,000202,232.8,16.9,9,6,1,0,18.9,231.8,20.9,7,11.9,3
56023000203,56,023,000203,541,228,48,6,1,12,23,513,258,34,30,0
56023000204,56,023,000204,366,42,18,4,2,0,35,382,48,11,19,0
56023000205,56,023,000205,611,92,20,10,1,5,46,587,121,16,54,3
56023000206,56,023,000206,417,38,22,8,3,0,47,433,54,18,24,2
56023000207,56,023,000207,838.4,57.7,36.8,15.9,1,7,81.5,833.4,105.4,23.9,56.7,3
56023000208,56,023,000208,426,50,14,5,1,0,34,423,50,14,31,1
56023000209,56,023,000209,301.9,11.3,6.1,5,0,2,22.9,301.5,26.6,0,18,0
56023000210,56,023,000210,703,254,40,9,5,3,32,699,265,26,32,1
56025000101,56,025,000101,319,170,31,4,3,5,9,269,209,25,34,0
56025000102,56,025,000102,316,197.3,30.1,4,1,16,22,284.8,243.4,14.1,33.1,1
56025000103,56,025,000103,429,248,49,11,4,15,19,361,355,23,38,0
56025000104,56,025,000104,555,280,68,5,3,15,25,485,379,25,39,2
56025000105,56,025,000105,287,200,37,1,1,9,12,249,246,26,22,3
56025000106,56,025,000106,785.2,240.1,63.8,6,3,10,43.8,674.6,353.7,39.9,71.7,2
56025000107,56,025,000107,313,129,48,2,2,9,23,258,185,37,35,2
56025000109,56,025,000109,817,164,54,5,1,8,32,738,260,30,40,3
56025000111,56,025,000111,432,174,18,3,0,5,18,398,209,10,18,2
56025000112,56,025,000112,207,88,24,6,1,7,7,187,115,20,16,1
56025000201,56,025,000201,543.3,215.9,48.3,5,1,14,15.1,474.8,296.3,28.2,36.3,1
56025000202,56,025,000202,428,192,46,2,0,10,22,351,269,27,38,2
56025000203,56,025,000203,412,120,46,5,4,13,15,350,195,31,29,0
56025000204,56,025,000204,349,163,31,5,2,5,16,330,197,20,22,2
56025000206,56,025,000206,873,235,74,14,1,8,28,794,355,31,38,14
56025000207,56,025,000207,1018,224.6,68.2,15,1,9,23.1,865.6,375,43.1,59.2,5
56025000208,56,025,000208,1046.3,212.7,67.9,11,4,6,39.9,913.5,321.5,44.9,75.9,5
56025000209,56,025,000209,448.3,87.5,34.9,2,0,1,13,401.5,137.7,23.1,17.3,3
56025000210,56,025,000210,683,213,69,5,5,7,34,609,324,34,40,2
56025000302,56,025,000302,504.5,186.4,54.5,4.9,3,4.9,16.6,419.8,252.5,40.9,47.8,1
56025000303,56,025,000303,587,217,51,2,3,12,28,520,311,33,26,7
56025000304,56,025,000304,788.8,252.9,79.2,9,3,14,25.2,685.4,363.3,45.1,56.3,8
56025000305,56,025,000305,530,180,33,7,0,2,22,497,231,22,25,3
56025000306,56,025,000306,613,165.7,37.5,9.2,0.1,7.2,17.8,570.5,228.2,20.8,27.3,2.1
56025000308,56,025,000308,977,292.3,79.4,12.8,2.9,9.8,41.2,848.5,418.8,38.2,68.7,2.9
56025000309,56,025,000309,432,125,34,8,1,5,15,366,187,23,30,1
56025000310,56,025,000310,1796.1,453.8,109.6,14.6,3.9,17.5,60.1,1703.9,588.6,59.2,66,6.8
56025000401,56,025,000401,665.7,150.8,67.8,3,1,11.8,18.8,560.7,235,53.3,49,0.1
56025000402,56,025,000402,887.6,101.4,34.7,2.5,2.1,6.7,14.1,769.6,171.4,36.5,56.1,3.1
56025000501,56,025,000501,37,12,2,1,1,0,0,31,18,1,1,0
56025000701,56,025,000701,114.7,22.1,3,2,0,0,6,100.6,28.1,3,11,1
56025000702,56,025,000702,74.3,5.9,2,0,1,1,1,64.4,12.9,3,3,0
56025000801,56,025,000801,895.8,206.2,80.5,3.9,2,9.7,20.2,795.6,294,40.7,69.4,8.7
56025000802,56,025,000802,261.8,53.8,11,0.2,0.1,2.3,4.7,216.4,80.2,13.9,17,2.2
56025000803,56,025,000803,434.8,64.9,27.6,7,5,8,11.4,389.6,97.7,25.9,34.1,2
56025000804,56,025,000804,836.6,118.1,31,5,3,7,26,716.5,198.1,35,58,3
56025000805,56,025,000805,953,93,62,11,2,7,29,847,192,49,52,1
56025000901,56,025,000901,893.2,153.6,42,6,1,3,21,795.5,250.3,27,38.9,2
56025001101,56,025,001101,110,4,5,0,0,0,2,100,13,2,4,0
56025001102,56,025,001102,109,20,5,0,0,1,1,103,23,6,3,0
56025001103,56,025,001103,217,49,6,3,0,1,9,193,69,2,13,0
56025001104,56,025,001104,109,5,2,2,0,2,2,94,12,4,13,0
56025001202,56,025,001202,280,78,21,0,1,5,8,264,104,10,10,0
56025001301,56,025,001301,86,10,0,0,0,0,1,76,12,4,6,1
56025001302,56,025,001302,72,2,2,1,1,0,0,60,3,4,12,0
56025001401,56,025,001401,25,0,0,0,0,0,0,26,2,0,0,0
56025ZZZZZZ,56,025,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0
56027000102,56,027,000102,60,0,0,0,0,0,1,55,1,1,2,0
56027000302,56,027,000302,57,0,4,0,0,0,0,48,1,3,6,2
56027000401,56,027,000401,98,2,1,0,0,0,1,86,4,5,4,0
56027000601,56,027,000601,291,34,14,2,0,3,1,257,65,4,16,1
56027000602,56,027,000602,473,71,30,4,3,4,13,404,132,19,36,1
56027000701,56,027,000701,137,8,0,1,0,0,1,119,14,5,8,0
56029000101,56,029,000101,299.8,44,14,5,1,3,3,262.8,55,11,26,3
56029000201,56,029,000201,799.6,145.7,33.9,12,2,15,15,657.8,226.6,31.9,76.9,5
56029000202,56,029,000202,613.9,165.4,54.1,5,3,8,20.1,523.7,239.5,43.1,42.1,3
56029000301,56,029,000301,535.7,94,26.7,5.5,0.9,10.1,20.3,482.2,121.7,19.4,41.5,0
56029000302,56,029,000302,813.2,169.7,42.2,5.1,3,9.1,27.2,732.5,218,31.2,54.4,0
56029000401,56,029,000401,926.4,174.1,26,14,2,7,12,781.4,228.1,33,74,3
56029000402,56,029,000402,179.1,20.1,6,8,0,1,5,144.1,31.1,15.9,23.9,1
56029000601,56,029,000601,409,46,20,4,0,4,19,350,70,16,63,1
56029000702,56,029,000702,53,9,3,1,0,0,4,51,10,3,3,1
56029000801,56,029,000801,118,12,2,2,1,1,2,111,19,3,4,0
56029000802,56,029,000802,155,26,7,0,1,3,7,141,42,7,9,1
56029000803,56,029,000803,124.8,11.9,3,1,0,0,3,109.9,22.8,3,4,0
56029000901,56,029,000901,256,103,28,9,5,4,23,261,136,9,18,2
56029000902,56,029,000902,226,65,16,2,1,3,11,196,92,6,25,0
56029000904,56,029,000904,331,123,28,4,5,6,20,293,159,19,33,1
56029000905,56,029,000905,338,85,21,4,4,2,28,316,116,5,42,0
56029000907,56,029,000907,544,169,47,7,5,10,30,490,211,39,56,2
56029001001,56,029,001001,399,60,14,9,1,0,18,344,90,11,45,1
56029001002,56,029,001002,583,110.1,29.8,18.8,1,3,37.7,516.6,151.7,26.8,71.4,6
56029001102,56,029,001102,53,15,1,0,0,1,2,47,16,0,8,0
56029001601,56,029,001601,430.2,166.2,23,2,3,6,22,389.2,194.2,22,26,3
56029002101,56,029,002101,534.2,71.8,13.2,6.1,4,9.1,18.2,449.6,115.1,22.2,57.5,1
56029002301,56,029,002301,262.2,37,11,3.5,1.1,2.7,7.6,227.3,50.2,6.5,31.1,0
56029002401,56,029,002401,505,138,41,5,4,14,22,401,191,35,77,2
56029002402,56,029,002402,326,96,23,4,1,4,21,286,145,19,22,0
56029002403,56,029,002403,152,50,7,3,1,5,9,132,66,10,12,0
56029002501,56,029,002501,422,156,46,10,2,8,27,390,203,36,30,2
56029002502,56,029,002502,322,94,18,0,2,9,11,293,125,7,17,2
56029002503,56,029,002503,404.3,78.2,20,3.1,1,3,16,367.1,106.2,20.1,24.2,2
56031000014,56,031,000014,15.4,2.4,0.6,0.4,0,0.1,0.1,12.5,4.2,0.7,1.4,0
56031000101,56,031,000101,259,55,16,3,2,1,4,224,72,11,26,2
56031000102,56,031,000102,238,81,15,2,0,3,4,199,94,20,25,0
56031000103,56,031,000103,420,93,34,14,3,6,15,362,149,17,42,1
56031000104,56,031,000104,284,78,14,7,0,4,4,229,119,14,25,0
56031000106,56,031,000106,419.6,66.6,17.4,10.6,0,3.9,2.9,341.5,115.8,18.3,39.5,0
56031000201,56,031,000201,449,136,26,16,0,11,9,349,219,24,54,0
56031000301,56,031,000301,46,20,4,5,0,0,0,42,25,3,5,0
560310006-2,56,031,0006-2,139.4,21.5,2.1,0.1,1,0,4.1,116.9,31,6.1,10.3,0
56031000601,56,031,000601,178.6,27.5,7.8,6.9,0,2,4.9,150.1,53,2.9,18.6,0
56031000901,56,031,000901,62,9,2,0,0,0,5,55,16,0,6,0
56031001001,56,031,001001,166,21,10,2,0,1,3,145,36,10,11,1
56031001201,56,031,001201,479,57,13,12,0,3,8,407,112,14,32,0
56031002001,56,031,002001,281,51,18,3,0,1,5,239,81,10,22,0
56033001-01,56,033,001-01,353.2,80,30.1,1.9,3.8,9.4,9.4,309.8,129,20.7,19.8,0.9
56033002-01,56,033,002-01,387.8,88.4,24.3,1.9,1,6.8,8.8,330.4,139,21.4,18.5,0
56033002-02,56,033,002-02,251,127,26,1,1,8,12,215,175,14,18,1
56033002-03,56,033,002-03,545.6,166,52,2.7,2.7,9,12.6,491.8,254.9,18,24.2,1.8
56033002-04,56,033,002-04,451.3,148.1,52,6,0,12,17,404.3,227.1,22,21,4
56033002-05,56,033,002-05,734,284,47,2,3,14,30,673,372,30,26,4
56033003-02,56,033,003-02,171,138,40,3,0,8,11,163,178,21,8,0
56033003-03,56,033,003-03,109.5,37.8,6,0.6,0,3.3,3.8,89.8,56.9,7.1,6,0.6
56033003-04,56,033,003-04,464,169,41,3,4,11,24,412,245,31,20,1
56033003-05,56,033,003-05,543.5,171.7,35.1,4.9,1,2.9,14.6,478.1,258.6,13.7,21.5,1
56033004-02,56,033,004-02,434.6,144.5,45.9,7.3,2.8,18.4,15.7,390.1,204.6,19.3,32.2,0.9
56033004-03,56,033,004-03,538.7,156.2,51,5,2,10,28,478.6,230.3,37,30,1
56033004-04,56,033,004-04,122,52,13,1,0,5,7,116,61,10,11,0
56033005-01,56,033,005-01,135.3,32.3,8.9,1,0.1,2.3,1.3,124,37.9,4.6,3.6,0
56033006-01,56,033,006-01,473.4,103.8,22.3,5.8,1,3.9,10.7,408.4,176.6,9.7,15.5,0
56033007-01,56,033,007-01,227.5,56.1,14,3,1,4,4,196.4,90.2,3,11,1
56033008-01,56,033,008-01,410,138,26,4,2,4,7,375,179,20,8,2
56033009-01,56,033,009-01,47,3,0,0,0,1,0,36,7,3,4,0
5603301-01s,56,033,01-01s,11.1,2.5,0.9,0.1,0.1,0.3,0.3,9.8,4,0.6,0.6,0
56033010-01,56,033,010-01,138.8,16,5,2,0,1,1,121.8,32,5,4,0
56033011-01,56,033,011-01,588.9,135.3,26,3.6,1.2,8,22.4,496.5,234.2,20,24.2,1.9
56033012-01,56,033,012-01,1020,283,44,2,1,3,32,934,365,34,36,7
56033013-01,56,033,013-01,345.1,79.1,20.2,0,0,1.1,9.1,312.5,118.7,5.2,13.2,0
56033016-01,56,033,016-01,224,24,4,0,1,0,3,189,54,5,5,0
56033017-01,56,033,017-01,334,43,18,3,0,0,10,282,77,13,22,0
56033017-02,56,033,017-02,232.7,49.8,12.3,1.1,1,3,7,211.9,81.6,4.2,2.2,0
56033018-01,56,033,018-01,55.8,9.1,4,0,0,0,0.1,42.8,18.2,5,2.1,0
56033019-01,56,033,019-01,217,40,11,3,0,0,7,187,73,8,7,0
5603302-01s,56,033,02-01s,11.7,2.7,0.7,0.1,0,0.2,0.3,10,4.2,0.6,0.6,0
5603302-03s,56,033,02-03s,62,18.9,5.9,0.3,0.3,1,1.4,55.9,29,2,2.8,0.2
56033020-01,56,033,020-01,342.5,59.6,24.6,5.7,0.9,1.9,3.8,289.5,120.1,11.3,17,0.9
56033020-02,56,033,020-02,129.2,23.3,9.9,0.3,1,2,2.1,117,38.8,3.5,6.7,1
5603303-03s,56,033,03-03s,86.9,30,4.8,0.4,0,2.6,3,71.3,45.2,5.7,4.8,0.4
5603311-01s,56,033,11-01s,65.9,14.5,2.6,0.3,0.1,0.8,2.6,55.2,25.8,2.2,2.6,0.2
560350001-1,56,035,0001-1,614.1,221.1,52.1,11.8,2,8.8,29.5,553.2,335,30.5,29.5,3
560350001-3,56,035,0001-3,749.5,135.1,46,5,5,13,19,667.3,230.2,32,30.1,3
560350001-4,56,035,0001-4,486,63,21,3,2,2,8,414,105,17,28,2
560350002-1,56,035,0002-1,620,47.3,17,3,1,2,11,548.9,75.4,19,30.1,3
560350002-2,56,035,0002-2,322.9,28.9,8,3,1,0,5,281,47.8,8,21.9,0
560350004-1,56,035,0004-1,267.9,61.9,12.9,1.2,2,0.2,9.5,243.8,85,9.5,9.5,2
560350004-2,56,035,0004-2,203.6,43.7,8.9,6,0,0,4,180.7,54.6,5,17.9,0
560350005-1,56,035,0005-1,145,43,3,1,0,2,7,138,54,2,2,0
56037000101,56,037,000101,25.5,1.4,1,0,0,0,1,19,5.9,0.7,2.1,0.3
56037000301,56,037,000301,253.6,88.6,20,1.3,2,3.1,9.2,183.7,171.6,11.6,7.8,1.6
56037000302,56,037,000302,557,183.8,38.7,1.9,4.1,6.6,20.5,409.2,366,19.2,12,4.1
56037000303,56,037,000303,223.5,64.9,19.8,0.3,1.3,3,7.8,159.4,149.2,6.4,5.7,1.3
56037000304,56,037,000304,100.1,31.1,4,0,2,3,1,61.1,69.1,5,4,0
56037000305,56,037,000305,160.8,61.7,22.1,1.5,1.5,2.3,5.3,105.9,123.4,13.7,11.4,0
56037000401,56,037,000401,284.9,119.9,32,4,3,8,11,206.9,220.9,17,11,1
56037000402,56,037,000402,285,84,23,9,0,3,18,219,167,10,22,0
56037000403,56,037,000403,270.5,65.2,16.6,1.3,1.6,1.4,8.4,207.9,129.7,10.2,11.2,2.1
56037000404,56,037,000404,570,182,51,7,3,6,15,423,364,29,20,0
56037000501,56,037,000501,139,48,13,0,2,3,4,111,75,12,4,1
56037000502,56,037,000502,1098.9,263.5,80.8,12.3,5.7,12.6,51.3,800.4,591.8,39.9,49.1,5.8
56037000503,56,037,000503,1106.1,276.5,74.2,7.7,6.3,9.4,37.7,785.6,640.2,38.1,28.9,3.2
56037000505,56,037,000505,320.4,60.5,18.6,3.7,7.4,4.6,4.7,228.6,150.5,13.9,13,0.9
56037000601,56,037,000601,349.1,136.1,34.4,5,3,4.1,16.1,268.8,236.8,10.1,23.1,2
56037000602,56,037,000602,243.5,62.6,19,2.5,0,6.3,5.7,167,153.1,8.8,7.6,0
56037000603,56,037,000603,259,65,17,3,0,2,13,213,121,6,12,1
56037000701,56,037,000701,549.6,72.3,27.9,2.1,2.2,4.2,10.1,402.8,222.3,13.8,20.3,0.2
56037000901,56,037,000901,159,23,11,1,0,3,4,113,68,8,3,1
56037000902,56,037,000902,61.8,8.6,5.4,0,0,0,4.4,52,20.5,3.3,1.9,0.1
56037001001,56,037,001001,389,159,44,3,1,15,19,318,259,22,20,1
56037001002,56,037,001002,161,72,16,5,1,3,13,118,125,8,14,0
56037001003,56,037,001003,475,139,43,9,0,0,26,396,239,23,19,1
56037001004,56,037,001004,1339,370,119,22,6,14,58,1108,664,68,67,3
56037001005,56,037,001005,735,224,50,11,6,10,36,596,388,46,34,4
56037001006,56,037,001006,445.1,163.3,45.8,7,0,10.9,31.9,361.4,266.9,18.9,38.8,2
56037001201,56,037,001201,192.3,38.5,14.4,0,1,3,3.1,147.5,83.2,9.3,3.2,0
56037001202,56,037,001202,345.6,38.8,17.2,0.9,0.9,1.9,6.1,258.5,125.5,9.3,11.8,0
56037001301,56,037,001301,26,4,2,1,0,0,0,25,5,1,2,0
56037001901,56,037,001901,123.4,18.5,8.4,0,1,3,4.2,91.4,48.8,9.3,3.6,0.1
56037002001,56,037,002001,320.3,15.8,12.6,0,0,0.9,8,250.8,60.2,10.2,22.4,4.2
56037002101,56,037,002101,20,2.3,0.6,0,0,0,0.3,14.6,5.9,0.5,1.4,0.2
56037002301,56,037,002301,95.9,16.6,3.1,2.4,0.8,0,3.1,74.6,30,4.7,7.1,0
56037002401,56,037,002401,88,1,1,0,0,0,4,75,8,1,10,0
56037002501,56,037,002501,77.1,4.8,0.9,2.6,0.2,0,0.9,65.6,7.8,5.3,6.5,0
56037007011,56,037,007011,304,64.7,20.5,2.4,1.9,4.6,8,196.2,173.9,10.8,9.1,3.8
560390001-1,56,039,0001-1,410.7,576.4,66.6,2.9,2.8,10.3,38.8,468.8,572.4,41.4,14.3,2
560390001-2,56,039,0001-2,220,646,73,1,4,18,34,260,657,48,15,0
560390001-3,56,039,0001-3,237.1,337.8,29.5,3,1.1,8.1,23.3,289.9,320.3,13.9,13.4,0.3
560390001-4,56,039,0001-4,71.6,105.8,14.1,2,0,2,10.1,74.7,113.8,6,6,1
560390001-5,56,039,0001-5,246.9,681.3,64.2,4,2,19,46.1,264.1,706.3,43.1,17,3
560390001-6,56,039,0001-6,247.3,516.9,43.6,3.1,1,12.2,22.6,263.7,517.3,34.3,13.4,1
560390001-7,56,039,0001-7,179,482,33,1,1,4,36,207,494,18,3,4
560390001-8,56,039,0001-8,234,597,50,2,3,14,33,268,597,31,14,1
560390001-9,56,039,0001-9,210.1,585.9,55.1,4.9,2,7.9,17,207.2,601.2,37.3,16.6,3.9
560390002-1,56,039,0002-1,380.7,440.9,46.9,0.9,0,12.2,27.2,427.6,444.6,22.5,6.6,2.8
560390003-1,56,039,0003-1,125.7,164.6,22,4,0,8,14,132.7,177.6,20,4,1
560390004-1,56,039,0004-1,186,426,27,1,1,13,25,213,435,18,6,0
560390004-2,56,039,0004-2,348.7,641.2,50.1,2.1,3,12.3,32,432.1,607.3,22.5,7.6,0
560390004-3,56,039,0004-3,104.2,417.8,26.8,0,1,9.6,25.8,134.8,424.4,11.5,4.8,1.9
560390004-4,56,039,0004-4,105,167,25,4,1,3,15,138,174,9,2,1
560390005-1,56,039,0005-1,156.8,138.2,19.2,1,0,6.4,18.2,148.2,151.6,12.5,5.2,11.1
56039001-10,56,039,001-10,418,293,45,6,2,11,28,406,326,34,21,0
56039001-11,56,039,001-11,0,0,0,0,0,0,0,0,0,0,0,0
56041000101,56,041,000101,1030.2,297.4,115.7,28.2,6.8,26.2,88.4,1006,393.6,62.2,83.6,3.9
56041000102,56,041,000102,1249,277.2,97.1,12.1,3,13,75.1,1186,385.4,57.1,70.1,2
56041000103,56,041,000103,721,213.2,76.1,16,4,9,46.1,675.1,268.3,64,62.1,3
560410002-2,56,041,0002-2,0,0,0,0,0,0,0,0,0,0,0,0
56041000201,56,041,000201,686,93.7,41.9,16.6,4.2,4.7,47,690.1,137,23.6,38,3.1
56041000301,56,041,000301,679.5,100,22,9,4,6,54,564.4,184.1,28,70,4
56041000302,56,041,000302,437.5,33,28,12,2,1,28,383.6,96.9,21,33,2
56041000401,56,041,000401,412.8,61.8,24.1,5,1.3,4.2,22.2,356,118.2,18,26.1,0.6
56041000402,56,041,000402,440.3,46.9,38.3,11.8,3.9,6.9,30.5,386.8,108.2,23.7,46.1,0
56041000403,56,041,000403,286.9,43.4,16.5,3.3,0.8,2.9,15.3,247.3,82.6,12.4,17.8,0.4
5604102-1-2,56,041,02-1-2,3.8,0.5,0.2,0.1,0,0,0.2,3.8,0.7,0.1,0.2,0
56043000301,56,043,000301,387,51,32,4,0,6,10,372,77,23,14,0
56043000501,56,043,000501,621,124,36,8,0,6,30,582,185,26,19,5
56043000502,56,043,000502,614,137,52,10,7,8,31,595,211,14,32,2
56043000503,56,043,000503,405,79,31,1,1,12,8,367,123,21,24,0
56043000505,56,043,000505,885.4,141.2,43,8,2,5,20.1,818.2,203.4,38,40.1,0
56045000101,56,045,000101,580.5,47.7,14.4,3.1,2,1,6.2,452.5,120.3,26.4,46.7,0
560450002-1,56,045,0002-1,411,52,8,0,0,1,4,335,91,15,25,2
56045000201,56,045,000201,160,6,5,7,0,2,5,136,13,9,26,1
56045000301,56,045,000301,255,11,5,0,0,0,2,216,27,3,18,0
56045000401,56,045,000401,451,36,7,4,1,1,4,367,80,20,27,1
56045000501,56,045,000501,387.3,46.1,20,8,2,2,4,294,118.3,14.1,31.1,0
56045000502,56,045,000502,312.2,30.9,17.1,3.2,0.8,0.8,9.8,260.1,63.4,18.7,31.7,0
56045000503,56,045,000503,476,69.3,31.5,3.7,0.2,2.2,6,399.3,108,26.8,46.5,2
