GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16PREIFUE,G16PREGSTE,G16PREOWRI,G16HALRCHE,G16HALDGRE,G16HALLSTR,G16HALCCUM,G16HALOWRI
56005019-01,56,005,019-01,304.2,12.6,12.6,2.9,0,0,1.9,256.7,29.1,12.6,21.3,2.9
56005022-01,56,005,022-01,222,19,11,0,0,3,4,193,31,10,14,0
56005023-01,56,005,023-01,598,30,15,1,0,1,10,505,65,24,36,3
56005024-01,56,005,024-01,722,40.5,34.4,4.2,2.5,1.5,16,636.2,83,29.5,49.8,3.7
56005026-01,56,005,026-01,25.1,3.8,2.3,0,0,0,0,22.8,3,2.3,2.3,0
560070001-1,56,007,0001-1,245,188,24,9,2,3,8,215,228,10,20,3
560070002-1,56,007,0002-1,411,129,38,2,5,4,19,350,198,29,21,1
560070002-2,56,007,0002-2,436,135,66,3,2,7,10,379,222,29,26,0
560070003-1,56,007,0003-1,292.4,136.7,46.4,3.1,0,6.1,18.3,250.6,203,28.2,9.2,1
560070003-2,56,007,0003-2,378.6,145.3,37.6,12.8,2,7.9,25.7,308.4,254,20.8,20.8,4
560070004-1,56,007,0004-1,12.1,3,0,0,0,0,0,11.1,4,0,0,0
560070005-1,56,007,0005-1,162.9,29.9,16.9,2,1,2,3,142,53.8,12.9,8.9,0
560070006-1,56,007,0006-1,19.4,0,0,2.9,0,0,0,13.6,3.9,1,1.9,0
560070007-1,56,007,0007-1,86.9,7.2,3.9,1.4,0,0.7,3.3,68.7,21,5.8,4,0
560070008-1,56,007,0008-1,248.6,51.2,14,3,1,1,13,199.2,86.5,12.1,25,0
560070009-1,56,007,0009-1,119.9,11.7,7.8,6.8,0,1,6.8,101.4,31.2,5.8,17.5,0
560070010-1,56,007,0010-1,48.7,4.3,0.2,0.1,0,0,1.1,40.3,6.7,2.1,1.4,0
560070011-1,56,007,0011-1,596,211,63,7,3,7,20,469,340,49,41,2
560070011-2,56,007,0011-2,261.7,45.5,9.7,0,1.6,0.9,8.1,207.2,86.7,9.7,13.7,1.6
560070012-1,56,007,0012-1,133.1,30.7,6,0.7,1.3,2.6,5.3,111.8,56.5,7.2,2.2,0.7
560070013-1,56,007,0013-1,168.3,42,8.9,0.9,0.9,0.9,8,141.4,69.7,5.4,11.6,0
560070014-1,56,007,0014-1,89.9,10.1,6.8,1.9,0,0,5.7,88.4,19,2,4.8,0
560070015-1,56,007,0015-1,303.3,15.6,8.7,2.9,0,1,5.8,271.5,39.8,6.8,11.6,0
5600701-2-0,56,007,01-2-0,11.1,2.9,0.8,0,0,0.1,0.3,9,5,0.5,0.6,0
5600701-2-1,56,007,01-2-1,156.7,39,11.7,0.1,0,1.6,4.4,127.5,68.4,6.6,8.4,0
5600701-2-2,56,007,01-2-2,2.1,0.6,0.2,0,0,0,0.1,1.7,1,0.1,0.1,0
5600701-2-3,56,007,01-2-3,3.4,0.9,0.2,0,0,0,0.1,2.7,1.5,0.1,0.2,0
5600701-2-4,56,007,01-2-4,25.1,4.9,1.6,0.1,0,0.2,0.7,21,8.9,0.9,1.2,0
5600705-1-2,56,007,05-1-2,1.4,0.2,0.1,0,0,0,0,1.2,0.4,0.1,0.1,0
5600706-1-1,56,007,06-1-1,0.4,0,0,0.1,0,0,0,0.3,0.1,0,0,0
5600707-1-2,56,007,07-1-2,47.3,3.9,2.1,0.7,0,0.3,1.8,37.3,11.4,3.2,2.1,0
5600711-2-1,56,007,11-2-1,65.2,11.3,2.4,0,0.4,0.2,2,51.6,21.5,2.4,3.4,0.4
5600712-1-0,56,007,12-1-0,67.8,15.6,3,0.3,0.7,1.4,2.7,57,28.8,3.7,1,0.3
5600713-1-0,56,007,13-1-0,14.6,3.6,0.8,0.1,0.1,0.1,0.7,12.3,6,0.5,1,0
560090001-1,56,009,0001-1,156,8,0,2,0,0,3,136,16,4,9,0
560090002-2,56,009,0002-2,335.8,41.6,10.7,2,1,1,4.9,297.9,72.5,2.2,21.4,1
560090003-1,56,009,0003-1,167.1,8,5,4,0,1,0,143.2,22.9,7,9.9,0
560090004-4,56,009,0004-4,380.1,23.1,15.7,6.4,1.8,1.9,4.6,314.9,65.3,12.9,26.7,0
560090006-6,56,009,0006-6,314,19.7,8.3,2.5,0.3,1.2,1,273.4,44.1,9.5,15.1,0
560090007-7,56,009,0007-7,158.2,14.8,5.8,1.6,0.8,0,3.3,145.9,24,4.1,9,0
560090008-8,56,009,0008-8,244,17,6,3,1,0,4,213,33,4,17,0
560090009-1,56,009,0009-1,495.5,81.4,35.3,2.9,2.9,8.8,10.8,429.7,132.4,20.6,38.2,0
560090009-2,56,009,0009-2,395.6,66.8,15.9,2,2,8,5,333.8,114.6,12,27.9,0
560090023-1,56,009,0023-1,272.4,43.5,23.5,1,1,1,3.2,237.4,64.3,16.4,15.4,0
560090023-2,56,009,0023-2,438.2,43.6,15.9,4,1,5,15.9,405.5,77.3,14.9,19.8,0
560090023-3,56,009,0023-3,479.4,52.7,22.4,4.6,0.2,5.1,12.4,424,83,20,30.7,2
560090023-4,56,009,0023-4,511.4,102.7,36.5,2,1,4,15.8,469,148.1,15.8,25.7,4
560090023-5,56,009,0023-5,265.6,34.7,6.2,2,3,1,5.1,233.9,51.2,9,19.3,0
560090023-6,56,009,0023-6,249,52,12,2,2,1,9,219,69,9,20,1
56009010-10,56,009,010-10,273.9,33.5,13.8,5.9,2,1,0,242.2,51.3,11.8,16.8,0
56009011-11,56,009,011-11,189,15,14,0,0,2,3,162,37,9,13,0
56009013-13,56,009,013-13,98.3,2.1,2,2,0,0,1,91.2,6.1,1,5,0
56009020-20,56,009,020-20,96.4,7.9,2,1,0,0,0,82.7,13.8,4.9,3,0
56011000101,56,011,000101,258,37,19,1,2,1,3,232,64,7,7,3
56011000102,56,011,000102,241,34,7,0,0,0,7,200,71,8,7,0
56011000202,56,011,000202,469,50,23,3,0,3,6,380,115,19,31,0
56011000303,56,011,000303,137,26,13,1,0,1,7,125,34,6,10,2
56011000707,56,011,000707,172,13,7,0,0,0,3,138,19,10,16,0
56011000909,56,011,000909,86,2,5,1,0,0,0,79,5,0,3,4
56011001111,56,011,001111,195.8,12.7,2.9,1,1,0,2.9,160.6,32.3,8.8,9.8,1
56011001212,56,011,001212,323.2,22.3,3.1,5,2,1,3.1,283.4,37.7,2.2,28.2,0
56011001313,56,011,001313,231,8,9,1,0,1,5,204,17,11,14,1
56011001414,56,011,001414,157,18,6,1,0,1,0,128,34,0,12,0
56011001515,56,011,001515,243,14,5,0,0,0,3,204,33,10,8,0
56011001616,56,011,001616,312,6,3,4,0,1,6,263,27,13,30,1
56011001801,56,011,001801,170,14,4,0,0,1,0,140,30,5,13,0
56011001802,56,011,001802,205,10,4,0,1,1,4,171,17,11,18,1
56011002323,56,011,002323,51.3,4,1,0,0,0,0,47.3,3,2,4,0
56011002424,56,011,002424,42,1,2,0,0,0,0,40,0,0,5,0
56011002626,56,011,002626,55,1,4,0,0,0,2,38,8,2,8,1
56013000101,56,013,000101,404,172.3,41.7,5.3,2.7,9.8,16.9,363.1,246.8,14.2,16,1.8
56013000102,56,013,000102,167.1,101.9,17.5,0.8,0.8,4.2,4.2,151.2,127.8,8.3,5,0
56013000103,56,013,000103,298,250.2,31.7,1.9,4.8,8.6,15.4,259.6,309.7,18.2,17.3,0
56013000104,56,013,000104,233,177,29,9,2,8,18,224,219,15,14,2
56013000105,56,013,000105,401,241,48,4,2,7,19,366,306,24,21,2
56013000106,56,013,000106,269.7,249.5,43.1,6,4,9,11.1,265.6,300.7,12.1,9,1
56013000201,56,013,000201,207.2,43.9,5.8,1.9,3.9,3.9,8.7,177.2,74.8,10.7,3.9,0
56013000301,56,013,000301,356.3,74.1,27.2,6.4,1.4,5.8,12.8,310.6,123.5,20.9,22.1,1.1
56013000302,56,013,000302,148.1,33.5,13.8,1.9,0.7,3.4,6.4,128.2,56.3,8.8,9.8,0.4
56013000303,56,013,000303,620,133.2,40.8,8.8,2.6,11.1,21.5,548.6,206.3,40.5,30.6,3.2
56013000304,56,013,000304,291.4,87.5,22.1,3.3,0.7,6.4,12.7,267.4,116.1,17.8,14.4,2.1
56013000305,56,013,000305,565.5,176.9,36.1,6.6,1.6,5.5,29.3,502.8,245.2,34.5,26.8,2.3
56013000306,56,013,000306,601.3,161.6,47.1,4.8,1.5,3.7,22.1,556.3,221.6,33.3,20.4,4.9
56013000401,56,013,000401,110.8,302.2,10.9,4,9.7,33,25.3,149.1,305.6,17.3,11,0
56013000501,56,013,000501,485.9,214.3,49.4,5.3,2.2,9.3,20.3,436.1,290.2,23.4,27.4,1
56013000601,56,013,000601,755.4,289.8,69.6,8.2,3.4,12.4,29.6,683.5,394.9,39.9,38.8,1.1
56013000701,56,013,000701,810.2,188.6,41.9,5,7,9,26.9,741.4,233.5,44.9,36.9,9
56013000801,56,013,000801,181.8,230.7,16.5,0.4,1.7,15.6,27.6,183.5,242,15.1,11.3,0
56013000901,56,013,000901,326.5,17.8,10.9,0,0,1,7.9,287.9,43.5,15.8,10.9,1
56013001001,56,013,001001,602.2,74.5,20.5,0.2,0,3.1,9.2,527.1,121.6,25.5,24.5,4
56013001201,56,013,001201,78.6,9.3,2,1,0,0,0,66.3,16.4,2.1,5.1,0
56013001301,56,013,001301,131.6,406,9.3,0,0,27.1,34.3,151.5,396.3,19.1,10.2,3
56013001401,56,013,001401,403.5,43.8,14.8,3.1,1.2,3.2,13.5,340.9,80.5,29.2,27.6,1.2
56013001501,56,013,001501,214.6,23,7.9,1.6,0.7,1.6,7.2,181,42.8,15.5,14.8,0.7
56013001601,56,013,001601,189.1,61.3,7.5,2.1,0.6,6.3,7.5,171.8,70.2,17.5,9.3,0.1
56013001701,56,013,001701,465,107.6,23.3,4.2,1.7,7.6,21.4,430.6,149.1,18.6,22,2.2
56013001801,56,013,001801,948.6,178.6,51.4,8.7,2.2,5.7,32.3,856.8,274.4,41.9,38.4,3.8
56013001901,56,013,001901,106.7,21.6,0.2,0,0.1,1.2,1.2,91.2,28.6,3.1,2.1,1
56013002001,56,013,002001,253.8,26.1,6.8,2.9,0,2.9,3.9,211.3,50.3,11.6,12.6,1
56013002101,56,013,002101,452.2,77.9,22.1,2.4,0.9,5.5,12.7,386.7,121.4,29.7,23.5,2
