GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBAR,G18USSDTRA,G18USSLPOR,G18USSOWRI,G18HALRCHE,G18HALDHUN,G18HALLBRU,G18HALCCUM,G18HALOWRI,G18GOVRGOR,G18GOVDTHR,G18GOVLSTR,G18GOVCRAM,G18GOVOWRI,G18SOSRBUC,G18SOSDBYR,G18SOSLCAR,G18SOSOWRI,G18AUDRRAC,G18AUDDDOC,G18AUDOWRI,G18TRERMEI,G18TREDLOW,G18TREOWRI,G18SPIRBAL,G18SPIOWRI
5603301-01s,56,033,01-01s,7.9,3,0.3,0,7.1,3,0.4,0.5,0,8.1,2.4,0.2,0.5,0,7.8,2.6,0.6,0,8.3,2.6,0,8.3,2.6,0,9.4,0.1
56033010-01,56,033,010-01,120.8,13,3,0,115.8,14,5,4,0,119.8,10,3,4,2,115.8,11,7,0,120.8,13,0,114.8,17,0,125.8,0
56033011-01,56,033,011-01,462.8,147.2,14.8,3.9,425,148.6,22.4,21.3,2.6,482.7,123.2,4.1,15.9,5.5,470.5,127,23.8,0.1,493.6,118.2,0.1,486.4,126.4,1,528.9,8.6
56033012-01,56,033,012-01,901,299,27,2,860,289,32,25,3,973,218,15,24,4,934,230,37,0,978,215,1,967,222,2,1024,14
56033013-01,56,033,013-01,268.6,94.4,3.1,0,249.3,97.3,5.1,5.3,0,276.8,78.1,4,3.1,2,263.7,78,14.3,0,269,80.9,0,262.9,89.1,0,292.2,3.1
56033016-01,56,033,016-01,159,28,1,0,148,32,2,5,0,161,18,1,3,3,157,22,6,0,158,23,0,162,23,0,160,0
56033017-01,56,033,017-01,267,53,7,0,242,57,10,10,0,256,53,1,13,2,253,51,10,2,267,43,1,261,52,0,289,3
56033017-02,56,033,017-02,207.6,47.1,6,1,192.2,55.2,5.1,4.2,0,191.6,51,4,8.1,8,201.4,44.9,7.2,0,206.7,44.9,1,200.4,55,0,216.9,3
56033018-01,56,033,018-01,38.7,9.1,0,0,35.7,10.1,1,0,0,41.7,6.1,0,1,0,37.7,7.1,1,0,39.7,6.1,0,36.7,7.1,0,38.8,0
56033019-01,56,033,019-01,194,48,4,0,181,47,5,8,0,203,37,1,5,0,188,40,7,0,197,36,0,191,42,0,198,5
5603302-01s,56,033,02-01s,7.7,3.1,0.3,0,7.2,3.4,0.4,0.3,0,8.2,2.7,0.1,0.2,0,7.8,2.8,0.4,0,8.2,2.9,0,8.2,3,0,9.2,0.1
5603302-03s,56,033,02-03s,50.6,19.7,1.6,0,46.7,20.1,1.9,1.9,0,52,17.4,1,1.2,0.2,51.3,16.9,2.2,0,53.7,16,0.1,52.9,16.7,0,56.5,0.9
56033020-01,56,033,020-01,337.6,81.3,3.8,0,308.3,89.8,6.6,13.2,0,336.6,71.9,2.8,9.5,0.9,325.3,69,14.2,0,342.3,63.3,0.9,327.2,76.6,0,360.3,3.8
56033020-02,56,033,020-02,111.4,24.3,0.2,0,105.2,24.7,1.3,1.6,0,99.6,24.8,0.1,8.3,1,111.8,18.8,2.6,0,114.5,17.6,0,109,22.1,0,114.4,0.2
