GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
56015000802,56,015,000802,75.16,11.55,0.53,1.07,0.71,75.87,11.73,0.18,74.09,9.06,1.6,3.02,0.18
56015000901,56,015,000901,212.64,45.24,1.81,2.71,2.71,206.3,49.77,3.62,196.35,42.53,9.05,14.48,1.81
56015000902,56,015,000902,22.36,4.76,0.19,0.29,0.29,21.7,5.23,0.38,20.65,4.47,0.95,1.52,0.19
56015001001,56,015,001001,95.8,49.06,4.43,1.49,0.05,97.19,54.24,0.05,90.17,48.22,5.29,7.69,0.03
56015001002,56,015,001002,256.63,79.71,5.28,2.65,1.66,254.86,84.47,2.03,237.39,72.76,17.97,11.81,1.01
56015001003,56,015,001003,252.61,81.74,3.82,1.83,2.9,256.56,83.92,0.04,241.24,73.75,7.43,14.82,0
56015001004,56,015,001004,431.77,157.69,7.75,6.38,2.39,446.47,140.98,3.03,441.53,117.53,16.18,12.55,1.01
56015001005,56,015,001005,193.89,55.32,2.63,0.53,1.58,198.11,53.74,0,182.83,49,5.8,10.01,0
56015001006,56,015,001006,304,123,8,2,4,313,111,4,303,101,16,11,0
56015001007,56,015,001007,255,113,9,2,2,252,121,1,243,102,13,13,0
56015001008,56,015,001008,638.15,143.1,15.44,10.8,3.84,655.5,140.98,3.32,632.18,124.96,16,25.44,0.17
56015001009,56,015,001009,502.22,125.23,10.36,0.01,0,505.05,119.63,1.88,487.16,100.8,18.82,17.89,0
56015001010,56,015,001010,131.05,49.1,1.18,1.2,1.56,129.24,50.04,1.63,115.64,45.05,5.41,11.63,0.78
56015001301,56,015,001301,147.53,25.08,2,1.01,0,142.53,29.08,2,140.52,24.06,0.01,10.02,0
56015001501,56,015,001501,204.64,25.39,3.2,0.79,0.79,199.82,31.66,0.79,196.93,25.64,4.66,3.99,0
56015001502,56,015,001502,37.35,4.46,0.42,0.21,0.21,35.86,6.15,0.21,35.01,5.52,0.85,0.64,0
56015001601,56,015,001601,204.29,20.07,5.38,1.04,3,208.92,21.63,0,204.48,15.32,3.78,6.38,0
56015001701,56,015,001701,113,4,1,2,0,116,4,0,107,4,2,5,0
56015001801,56,015,001801,216.4,9.94,0.69,0,0,212.65,11.63,1.38,206.46,9.25,2.75,7.19,0.69
56015001802,56,015,001802,80.6,4.06,0.31,0,0,79.35,4.37,0.62,76.54,3.75,1.25,2.81,0.31
56015002001,56,015,002001,20.52,4.27,0,0,0,22.23,1.71,0,21.37,1.71,1.71,0,0
56017000101,56,017,000101,605,155,29,9,4,615,174,3,578,143,40,27,1
56017000102,56,017,000102,455.52,156.34,18.34,6.76,0.97,472.89,150.55,0,455.52,128.36,22.2,18.34,0
56017000204,56,017,000204,114.84,25.74,1.98,0,3.96,110.88,34.65,0,102.96,28.71,5.94,2.97,0
56017000303,56,017,000303,822.48,144.66,11.66,8.24,2.03,801.11,167.45,1,777.48,123.64,36.8,27.66,2
560190003-1,56,019,0003-1,333,112,7,3,2,338,108,0,329,90,17,9,0
560190003-2,56,019,0003-2,204,70,12,0,2,210,70,1,195,71,11,8,0
560190003-3,56,019,0003-3,221.84,70.31,4.28,2.05,0.16,226.76,67.75,0,210.46,61.56,10.5,7.99,0.06
560190003-4,56,019,0003-4,219,75,5,2,3,215,84,0,199,77,14,4,0
560190003-5,56,019,0003-5,118.46,34.89,4.59,0.92,0,116.62,41.32,0,116.62,32.14,8.26,0.92,0
560190003-6,56,019,0003-6,166.88,47.96,3,2,2,163.88,49.96,1,156.88,42.97,10.99,4,0
560190003-7,56,019,0003-7,207.08,58.01,4,1,2,217.09,49.02,1,209.08,45.01,5,5,0
560190003-8,56,019,0003-8,238.64,65.9,3,3,0,241.64,63.9,0,232.65,52.92,7.99,7.99,0
560190004-7,56,019,0004-7,707.51,128.81,13.12,5.03,4.84,717.42,129.94,0,673.74,119.3,29.23,16.09,1.93
560190004-8,56,019,0004-8,679,160,15,6,4,700,154,1,659,134,34,24,1
560190005-9,56,019,0005-9,86,15,3,0,3,91,16,0,88,12,4,0,0
56019002-14,56,019,002-14,182,27,3,1,0,185,22,2,172,23,7,3,0
56019006-10,56,019,006-10,91.55,10.99,2.93,0,0,87.89,16.11,0,85.69,10.25,7.32,1.46,0
56019008-11,56,019,008-11,268.45,18.01,3.07,0,0,257.11,23.89,0,243.31,16.75,11.68,10.54,0
56019009-12,56,019,009-12,99,3,3,1,0,97,8,0,92,4,5,3,0
56019010-15,56,019,010-15,58.59,0.11,0.01,0,0,56.6,1.11,0,52.56,0.1,3.02,2.01,0
560210001-1,56,021,0001-1,841.31,557.45,50.29,16.23,13.17,871.22,588.24,7.09,798.77,543.4,68.51,52.78,1.99
560210001-2,56,021,0001-2,452.91,390.61,40.54,5.93,7.91,464.78,428.19,2.97,437.09,376.77,52.41,25.71,4.94
560210001-3,56,021,0001-3,435.89,414.06,20.53,9.04,10.04,452.92,423.76,7.92,429.68,389.56,35.12,28.19,1.98
560210001-4,56,021,0001-4,204,257,11,2,8,220,248,7,212,226,26,10,1
560210001-5,56,021,0001-5,340,349,18,10,12,371,345,7,352,325,26,11,2
560210001-6,56,021,0001-6,381.31,432.81,20.8,8.91,3.96,430.83,406.07,2.97,403.1,390.22,28.72,18.82,1.98
560210001-7,56,021,0001-7,188,159,18,5,1,200,165,0,184,156,21,6,0
560210001-8,56,021,0001-8,420,432,33,14,8,463,431,3,414,412,46,25,1
560210001-9,56,021,0001-9,289,202,21,8,7,317,200,2,274,195,21,28,1
560210002-1,56,021,0002-1,279.69,216.19,8.2,4.09,7.04,312.17,196.93,0.03,284.9,190.78,18.28,17.18,0.02
560210002-2,56,021,0002-2,452.02,291.01,21,9,6,501.02,276.01,1,477.02,255.01,19,25,2
560210002-3,56,021,0002-3,515.79,398.37,19.12,5.35,12,590.73,348.78,7,572.73,321.54,26.12,16.12,3
560210002-4,56,021,0002-4,310,253,7,11,2,355,224,2,353,211,13,7,0
560210002-5,56,021,0002-5,520,396,22,12,9,575,381,6,560,345,26,18,2
560210002-6,56,021,0002-6,1255.23,729.24,32.64,24.31,15.14,1409.41,630.76,9.2,1335.6,611.17,65.81,21.73,6.08
560210002-7,56,021,0002-7,685.93,495.8,29,15,7,742.33,473.4,3,670.93,464.87,45.93,36,3
560210002-8,56,021,0002-8,114.66,67.28,2.21,3.09,0.05,123.86,59.37,1.04,117.61,53.11,4.34,5.19,2.03
560210002-9,56,021,0002-9,391.37,244.7,22.14,9.1,5.02,412.77,253.41,4.08,386.72,226.17,36.29,20.01,2.97
560210003-1,56,021,0003-1,399,296,15,13,6,425,299,3,392,270,33,24,1
560210003-2,56,021,0003-2,280,207,15,7,3,292,216,1,275,186,30,16,0
560210003-3,56,021,0003-3,283,200,16,9,1,301,204,4,269,197,27,14,4
560210003-4,56,021,0003-4,356.52,293.34,11.01,8.01,3.01,386.56,277.33,1,372.52,253.31,24.04,12.02,2
560210003-5,56,021,0003-5,564.26,382.2,26.96,8.14,3.06,592.16,380.11,3.26,548.78,362.34,37.63,23.79,1.04
560210003-6,56,021,0003-6,538.17,306.06,14,11,4,548.17,317.07,6,527.16,283.07,31,18,4
560210003-7,56,021,0003-7,375.35,251.19,9.55,10.51,4.78,404.95,239.73,2.87,374.39,224.45,29.61,15.28,1.91
560210003-8,56,021,0003-8,478,293,28,5,4,504,299,1,458,267,41,27,0
560210003-9,56,021,0003-9,820,512,36,11,9,869,495,11,800,452,66,48,1
560210004-1,56,021,0004-1,108,29,1,0,0,108,29,0,100,26,6,5,0
560210004-2,56,021,0004-2,557.72,185.64,18.04,7.03,2,577.62,183.71,4.03,535.57,167.58,25.15,28.08,3
560210004-3,56,021,0004-3,26.54,0.98,0,0,0,26.54,0.98,0,26.54,0.98,0,0,0
560210004-4,56,021,0004-4,626,203,16,7,3,655,192,2,602,190,25,23,4
560210004-5,56,021,0004-5,51,7,3,1,2,53,10,0,57,5,2,0,0
560210004-6,56,021,0004-6,1176,399,18,10,9,1214,383,6,1190,332,48,33,3
560210004-7,56,021,0004-7,733.21,292.94,28.19,11.09,5.09,774.36,284.03,5.08,736.14,252.71,46.34,24.27,2.02
560210004-8,56,021,0004-8,603.67,331.45,24.99,11.83,8.89,614.83,357.93,4.94,574.02,325.41,36.89,38.44,0.05
560210004-9,56,021,0004-9,866.82,357.51,22.97,15.98,6.99,868.81,383.48,9.99,796.91,350.52,58.92,46.94,5.99
560210005-1,56,021,0005-1,479.61,152.96,11.84,9.87,4.93,481.58,174.67,1.97,450,151.97,34.54,21.71,0
560210005-2,56,021,0005-2,702.49,320.64,22.35,10.69,4.86,743.3,304.12,6.8,715.12,283.72,28.18,25.26,2.91
560210005-3,56,021,0005-3,1009.46,332.87,21.36,11.14,9.18,1051.36,325.38,5.09,1002.55,294.93,38.27,35.18,2.09
560210005-4,56,021,0005-4,1711.52,534.17,40.73,27.47,18.07,1758.78,552.94,9.09,1701.6,474.25,93.34,43.16,5.09
560210005-5,56,021,0005-5,115.72,62.61,3.08,1.05,1.95,119.81,63.59,0.03,116.57,55.72,4.18,4.98,0.01
560210006-1,56,021,0006-1,861,129,30,5,12,865,156,7,825,129,37,34,1
560210006-2,56,021,0006-2,694,104,21,10,3,693,135,1,663,110,19,33,1
