GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
56029002301,56,029,002301,345.69,44.45,2.07,1.37,0.36,343.21,40.67,0.33,318.17,38.29,15.04,13.59,0.07
56029002401,56,029,002401,540,232,16,7,5,552,217,3,518,206,26,29,2
56029002402,56,029,002402,337,132,9,4,3,360,116,4,331,109,22,16,1
56029002403,56,029,002403,163,48,8,1,1,165,47,1,146,44,9,9,1
56029002501,56,029,002501,454,211,11,4,7,488,178,4,472,165,20,12,1
56029002502,56,029,002502,345,139,0,3,2,376,105,1,356,94,10,17,0
56029002503,56,029,002503,413.47,98.3,5.02,3.01,5.01,418.48,87.29,6.01,401.38,76.22,15.04,16.12,3
56031000014,56,031,000014,17.4,2.73,0.25,0.14,0.07,17.4,3.01,0.04,16.12,2.76,0.39,0.89,0
56031000101,56,031,000101,291,80,6,5,0,297,81,0,272,71,17,17,0
56031000102,56,031,000102,261,94,3,2,0,279,76,0,250,82,10,12,1
56031000103,56,031,000103,461,152,18,10,1,491,142,2,438,127,26,29,1
56031000104,56,031,000104,322,96,3,5,1,336,92,0,296,99,10,19,0
56031000106,56,031,000106,473.6,74.27,6.75,3.86,1.93,473.6,81.99,0.96,438.88,75.24,10.61,24.11,0
56031000201,56,031,000201,548,142,13,9,3,552,159,1,477,156,27,42,1
56031000301,56,031,000301,57,25,1,3,3,61,24,0,59,21,1,6,0
560310006-2,56,031,0006-2,148.12,26.54,0.06,1.04,0.09,146.98,23.77,1,136.64,26.63,3.22,3.15,1
56031000601,56,031,000601,216.88,28.46,2.94,1.96,4.91,209.02,40.23,0,191.36,33.37,11.78,7.85,0
56031000901,56,031,000901,60,10,1,2,1,60,13,1,55,15,0,4,0
56031001001,56,031,001001,173,30,4,0,1,173,35,0,167,32,3,6,0
56031001201,56,031,001201,554,73,3,5,3,554,71,4,515,64,12,26,3
56031002001,56,031,002001,315,56,3,1,1,312,56,0,277,63,10,18,0
56033001-01,56,033,001-01,436.03,116.78,15.07,6.59,5.65,453.92,110.19,3.77,387.06,119.6,36.73,18.84,0.94
56033002-01,56,033,002-01,426.64,126.34,12.63,3.89,6.8,440.24,120.51,0.97,410.12,111.76,19.44,11.66,1.94
56033002-02,56,033,002-02,284,178,11,2,4,312,162,0,292,146,19,10,1
56033002-03,56,033,002-03,634.5,245.9,18.85,8.08,3.59,658.73,236.93,6.28,630.01,210,34.1,19.74,1.79
56033002-04,56,033,002-04,491.36,212.14,26.01,6,4,524.37,195.13,1,491.36,176.12,25.02,23.01,0
56033002-05,56,033,002-05,804,390,22,10,8,881,330,5,834,308,43,18,2
56033003-02,56,033,003-02,199,187,6,2,2,220,171,4,194,175,12,6,2
56033003-03,56,033,003-03,119.36,60.78,1.1,1.64,0.55,124.29,53.11,0.55,118.27,48.18,4.38,6.02,0
56033003-04,56,033,003-04,518,193,22,4,5,536,189,4,513,172,30,14,0
56033003-05,56,033,003-05,631.32,248.82,20.49,7.81,5.85,666.44,228.33,0.98,642.05,195.15,37.08,12.68,0
56033004-02,56,033,004-02,504.81,220.75,25.73,4.6,2.77,534.13,192.39,1.85,492.68,180.35,32.26,23.02,0.02
56033004-03,56,033,004-03,637.79,193.19,30.02,6.01,7,659.82,188.17,6,589.79,180.16,39.03,34.01,2
56033004-04,56,033,004-04,151,60,6,6,1,158,58,1,139,56,12,7,1
56033005-01,56,033,005-01,138.03,36.49,4.45,2.2,0.19,139.61,39.25,0.12,133.45,34.61,7.14,4.58,0.03
56033006-01,56,033,006-01,517.11,128.07,13.58,3.88,2.91,540.39,114.49,1.94,518.07,106.72,21.35,7.76,0
56033007-01,56,033,007-01,242.57,72.16,6.01,3,2,252.56,67.15,3.01,236.55,62.14,11.02,8.01,0
56033008-01,56,033,008-01,515,194,10,0,3,518,189,1,486,168,27,19,1
56033009-01,56,033,009-01,51,6,0,0,0,51,6,1,46,7,0,4,1
5603301-01s,56,033,01-01s,13.48,3.61,0.46,0.2,0.16,14,3.44,0.11,12.04,3.68,1.11,0.57,0.03
56033010-01,56,033,010-01,154.79,16.98,1,1,0,155.79,14.98,0,146.81,16.98,2,4.99,0
56033011-01,56,033,011-01,699.41,174.89,15.62,4.26,4.02,704.52,179.34,3.78,660.62,154.23,38.05,22.07,3.53
56033012-01,56,033,012-01,1194,388,23,11,6,1236,362,9,1207,328,39,28,4
56033013-01,56,033,013-01,404.33,114.83,4.03,2.05,2.02,401.5,109.58,5.01,390.32,98.44,12.13,8.19,0
56033016-01,56,033,016-01,230,39,4,2,1,233,35,0,225,29,7,6,0
56033017-01,56,033,017-01,409,85,6,3,3,412,81,0,393,71,16,12,0
56033017-02,56,033,017-02,296.62,57.27,5.13,0.06,5.01,297.7,60.23,1.03,283.49,53.13,9.22,11.12,0.03
56033018-01,56,033,018-01,52.98,8.14,3.01,0.01,0.01,52,10.12,0.01,45.94,10.12,3.03,4.04,0
56033019-01,56,033,019-01,259,54,2,4,1,263,48,1,254,42,4,8,0
5603302-01s,56,033,02-01s,12.82,3.78,0.38,0.12,0.2,13.22,3.62,0.03,12.33,3.35,0.59,0.35,0.06
5603302-03s,56,033,02-03s,72.14,27.96,2.14,0.92,0.41,74.9,26.94,0.71,71.63,23.88,3.88,2.24,0.2
56033020-01,56,033,020-01,413.4,93.69,9.5,4.73,0.94,419.11,90.86,1.89,404,83.25,16.09,8.51,1.9
56033020-02,56,033,020-02,154.96,39.52,9.24,1.2,0.04,161.09,40.36,1.07,159.42,31.21,7.59,2.35,2.04
5603303-03s,56,033,03-03s,94.74,48.24,0.87,1.3,0.43,98.65,42.15,0.43,93.87,38.24,3.48,4.78,0
5603311-01s,56,033,11-01s,78.58,18.28,1.56,0.45,0.45,78.69,19.28,0.45,73.78,16.38,4.24,2.45,0.45
560350001-1,56,035,0001-1,764.42,307.54,11.79,8.84,4.91,790.95,281.99,2.95,733.97,279.04,29.48,24.56,2.95
560350001-3,56,035,0001-3,911.52,187.14,34,9.01,2.01,921.53,185.11,3.01,846.43,181.13,37.04,49.04,0
560350001-4,56,035,0001-4,581,94,13,1,9,587,93,2,548,93,14,25,1
560350002-1,56,035,0002-1,624.24,56.36,2.03,6.01,3,630.21,47.4,3,587.16,55.33,18,15.09,1.01
560350002-2,56,035,0002-2,343.83,38.87,2.99,3.99,0,342.84,38.87,1.99,324.9,35.88,5.98,12.96,1
560350004-1,56,035,0004-1,341.58,94.46,3.21,5.16,2.09,341.05,89.01,0.05,317.03,97.96,12.52,8.44,0.05
560350004-2,56,035,0004-2,225.4,51.63,2.98,0.99,0.99,223.42,54.61,0,209.52,47.66,3.97,11.92,0.99
560350005-1,56,035,0005-1,165,52,1,2,1,167,45,0,162,47,7,2,0
56037000101,56,037,000101,28.97,2.76,2.07,1.38,0.34,31.04,3.79,0,24.83,4.14,3.45,1.38,0
56037000301,56,037,000301,250.71,102.79,10.77,1.02,3.07,262.58,96.58,0.26,234.26,96.09,18.05,9.46,0
56037000302,56,037,000302,547.11,201.82,22.3,2.55,5.96,565.22,196.99,0.62,515.8,186.72,36.03,19.18,0
56037000303,56,037,000303,229.18,79.76,6.98,1.62,1.67,232.49,82.35,0.11,214.77,74.68,15.85,6.4,0
56037000304,56,037,000304,87.12,31.07,3,1,0,78.13,36.06,0,75.11,31.06,3.01,7.01,0
56037000305,56,037,000305,170.67,92.19,6.86,0.76,2.29,184.38,81.52,0,153.14,89.14,16.76,6.86,0
56037000401,56,037,000401,254.88,143.93,9,0,2,268.87,133.94,2,237.89,135.94,16.99,11.99,0
56037000402,56,037,000402,279.01,88,11,6,0,293.01,84,2,248.01,83,27,20,1
56037000403,56,037,000403,215.05,75.28,8.46,1.32,4.03,223.59,71.86,1.16,198.18,74.04,14.83,8.08,0.08
56037000404,56,037,000404,526,208,22,5,2,531,211,2,484,188,34,30,0
56037000501,56,037,000501,145,59,1,0,3,156,49,2,149,49,6,2,0
56037000502,56,037,000502,1072.21,323.72,39.42,9.94,10.01,1106.31,317.46,3.48,986.98,296.54,79.9,49.32,1.92
56037000503,56,037,000503,1081.79,368.28,21.58,10.06,8.99,1098.69,363.54,4.52,1014.02,334.46,56.1,41.68,4.08
56037000505,56,037,000505,247.07,74.44,5.62,3.69,0.97,243.51,79.91,1.85,203.69,82.69,21.32,12.04,0.92
56037000601,56,037,000601,338.33,123.44,10.1,3.04,1.02,335.33,128.55,3,298.04,125.36,16.31,22.1,1
56037000602,56,037,000602,211.88,66.41,8.22,1.9,0,210.62,68.31,1.26,198.6,63.25,14.55,4.43,0
56037000603,56,037,000603,252,85,12,6,3,269,83,1,244,81,14,11,0
56037000701,56,037,000701,532.07,100.01,4.03,4.15,3.47,527,103.68,0.68,490.05,104.05,14.59,17.11,2.05
56037000901,56,037,000901,152,27,4,0,0,143,33,1,127,35,5,5,1
56037000902,56,037,000902,63.28,11.17,0.88,1.58,0.15,62.16,12.61,0,58.53,11.75,3.46,0.58,0
56037001001,56,037,001001,480,201,10,5,2,463,214,1,369,211,46,39,2
56037001002,56,037,001002,168,73,2,2,1,163,73,1,144,75,7,12,0
56037001003,56,037,001003,467,143,14,3,2,462,154,2,423,130,30,34,0
56037001004,56,037,001004,1575,455,50,17,11,1598,476,6,1430,434,100,92,6
56037001005,56,037,001005,726,260,22,11,9,733,275,4,656,250,34,54,3
56037001006,56,037,001006,495.87,170.27,18.92,2.99,1,490.89,180.23,1.99,437.12,171.26,32.86,29.87,1
56037001201,56,037,001201,161.63,38.53,3.18,3,1,162.32,38.57,0,147.35,39.53,6.35,6.49,0
56037001202,56,037,001202,362.68,51.18,3.85,1.9,1.58,356.89,53.41,0.32,329.37,53.08,10.56,13.13,0.95
56037001301,56,037,001301,32,5,0,0,0,31,6,0,31,5,1,0,0
56037001901,56,037,001901,128.01,23.82,0.18,3.09,0.03,129.03,19.98,1.03,106.57,28.7,5.43,3.25,1
56037002001,56,037,002001,344.75,28.01,8.58,4.8,1.43,348.73,34.14,0.92,325.76,26.36,17.98,9.4,0
56037002101,56,037,002101,19.41,3.45,0.29,0.15,0.05,19.27,3.9,0.05,18.13,3.46,0.88,0.59,0
56037002301,56,037,002301,98.86,15.04,0.78,0.78,0,92.58,19.75,0,85.51,17.41,3.15,9.41,0
56037002401,56,037,002401,94,1,1,0,0,92,0,0,85,1,3,4,0
56037002501,56,037,002501,74.72,5.74,0.22,0.22,0,74.19,6.83,0,71.67,6.18,0.65,3.39,0
56037007011,56,037,007011,316.74,84.87,5.72,2.05,0.94,313.17,85.03,0.74,281.63,82.09,16.95,14.85,0
560390001-1,56,039,0001-1,475.93,789.82,19.87,10.26,13.99,609.95,684.35,2.84,580.3,642.8,37.81,13.19,1.96
560390001-2,56,039,0001-2,214,899,21,9,10,266,850,6,249,836,31,5,2
560390001-3,56,039,0001-3,261.55,461.93,4.85,5.84,13.84,347.1,386.87,2.24,365,352.59,15.35,3.12,2.11
560390001-4,56,039,0001-4,112.61,191.11,5.01,0.01,6.04,133.82,173.92,0.01,125.89,166.83,11.03,2.01,0.01
560390001-5,56,039,0001-5,248.08,884.77,22.04,4.02,13.03,313.39,842.53,3.01,308.32,800.43,35.08,8.03,0
560390001-6,56,039,0001-6,254.86,647.71,22.05,9.14,7.36,297.91,616.84,3.05,283.51,576.97,32.33,12.05,0.05
560390001-7,56,039,0001-7,191,573,11,4,3,248,527,0,247,517,8,3,0
560390001-8,56,039,0001-8,243,714,14,6,4,292,670,1,269,650,25,10,3
560390001-9,56,039,0001-9,278.65,774.46,21.53,6.92,8.9,335.78,727.44,2.94,293.84,711.34,39.18,12.75,3.89
560390002-1,56,039,0002-1,408.86,620.03,21.55,6.57,12.2,499.88,555.25,2.81,500.87,530.81,20.63,3.75,1.88
560390003-1,56,039,0003-1,148.66,232.47,9.98,1,1,168.62,218.51,0,167.62,206.53,8.98,2.99,0
560390004-1,56,039,0004-1,187,566,16,2,6,249,507,1,234,490,23,6,0
560390004-2,56,039,0004-2,370.6,816.37,18.1,3.25,16.64,471.32,741,2.1,482.41,688.42,25.59,8.1,0.1
560390004-3,56,039,0004-3,114.72,550.64,9.56,4.78,5.74,147.22,523.87,1.91,155.82,499.97,15.3,2.87,0
560390004-4,56,039,0004-4,148,298,18,1,11,214,248,4,206,238,12,2,0
560390005-1,56,039,0005-1,183.28,199.36,6.44,3.22,5.26,207.78,186.13,0.09,203.18,174.03,9.7,4.13,1
56039001-10,56,039,001-10,450,501,11,9,5,506,454,1,479,430,29,15,0
56039001-11,56,039,001-11,50,128,3,3,1,62,117,0,59,116,4,2,0
56041000101,56,041,000101,1215.88,420.84,34.02,19.44,12.64,1248.93,408.21,5.83,1149.79,370.3,66.09,59.29,2.92
56041000102,56,041,000102,1460.33,397.27,30.04,14.01,16.03,1498.33,373.31,4.01,1391.2,354.28,48.06,57.09,3
56041000103,56,041,000103,948.3,272.17,26.03,12,5.04,946.3,275.2,1.01,853.21,265.18,41.04,45.09,3
560410002-2,56,041,0002-2,229.05,38.01,2,7,2,229.05,37.01,3,205.05,37.01,6,17,1
56041000201,56,041,000201,815.97,116.12,15.82,4.52,10.24,818.91,124.64,2.14,771.52,115.63,21.7,33.35,1.07
56041000301,56,041,000301,807.64,84.06,20.01,9.01,7,823.61,93.08,2,680.54,99.08,31.02,101.06,1
56041000302,56,041,000302,589.36,59.94,8.99,4.99,2,569.39,72.92,4,501.46,71.92,16.98,53.94,1
56041000401,56,041,000401,533.57,74.15,10.85,1.87,3.54,526.06,79.36,1.18,463.27,78.66,12.03,48.2,0.03
56041000402,56,041,000402,519.48,76.25,16.72,4.89,2.98,518.35,77.33,0.99,437.49,73.43,17.71,73.77,0.97
56041000403,56,041,000403,371.95,51.6,7.43,1.24,2.48,366.59,55.32,0.83,323.24,54.91,8.26,33.03,0
5604102-1-2,56,041,02-1-2,4.46,0.59,0.08,0.02,0.06,4.48,0.64,0.01,4.22,0.6,0.11,0.18,0.01
56043000301,56,043,000301,415,61,13,8,2,417,71,1,396,58,23,13,0
56043000501,56,043,000501,685,140,15,8,4,707,131,3,649,129,30,28,1
56043000502,56,043,000502,692,186,16,10,7,706,192,4,660,174,21,37,2
56043000503,56,043,000503,420,103,11,4,1,415,114,0,378,100,35,20,0
56043000505,56,043,000505,1034.16,161.26,10.02,2,5.04,1033.12,151.35,4,981.04,138.29,34.06,28.03,6
56045000101,56,045,000101,594.35,54.25,4.2,6.01,0,576.49,66.06,0,522.63,66.12,14.25,30.54,1
560450002-1,56,045,0002-1,429,62,3,3,1,430,59,1,403,58,3,23,0
56045000201,56,045,000201,151,7,1,1,0,134,18,2,126,11,4,9,2
56045000301,56,045,000301,288,10,2,0,0,268,18,1,246,20,2,12,0
56045000401,56,045,000401,466,28,4,1,2,458,30,1,406,48,9,23,0
56045000501,56,045,000501,391.32,70.12,11.01,6.01,3,398.28,71.15,0,361.16,63.15,13.03,30.07,0
56045000502,56,045,000502,305.66,54.47,8.13,0.81,0,309.72,47.96,0,270.7,50.4,11.38,24.39,0
56045000503,56,045,000503,481.67,74.17,12.67,2.17,3,466.5,89.83,2,424.5,85.33,15.33,28,1
