GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38031002905,38,031,002905,363.25,116.19,29.3,3.91,1.95,0.98,6.83,454.06,50.77,17.58,7.81,1.95,401.33,78.11,41.98,0.98,426.72,82.99,13.67,1.95,361.29,124,1.95,346.65,123.03,30.27,0.98,336.88,93.73,60.54,0,357.39,85.92,47.84,1.95
38031002906,38,031,002906,356.2,113.34,24.89,3.98,3.97,0,1.99,422.85,58.65,18.89,5.97,0,385.04,89.49,29.83,0,404.94,88.49,14.92,0,362.15,94.49,0,315.43,142.19,28.84,0,309.43,100.42,63.69,0,339.3,100.4,33.83,0
38033003901,38,033,003901,794.58,98.87,39.95,3.99,6.99,0,10.99,855.51,61.93,27.95,7.98,1,809.57,95.89,45.92,0,793.67,127.75,25.97,2,751.73,144.74,0,730.75,118.81,58.91,2,722.76,104.84,67.89,1,742.73,84.86,70.89,4.99
38035001701,38,035,001701,412.56,179.64,19.43,5.45,1.03,0.04,3.42,474.77,125.11,13.42,4.61,0.03,449.21,146.04,21.44,0.1,476.92,116.73,20.18,0.01,488.29,75.78,2.74,399.16,150.85,31.04,0.04,414.48,134.68,32.2,0.03,409.71,134,32.2,0.04
38035001702,38,035,001702,1221.53,863.45,158.39,25.07,10.94,1.98,52.59,1662.21,549.71,57.23,23.03,1.98,1475.84,638.99,126.92,4.94,1607.99,534.35,110.05,0.99,1568.31,433.86,8.08,1237.42,735.08,151.29,3.96,1275.92,648.13,161.23,1.98,1273.66,620.44,150.35,3.96
38035001703,38,035,001703,1112,871,151,29,6,5,54,1469,649,61,27,2,1345,708,121,2,1504,576,93,1,1534,415,12,1155,771,145,1,1227,652,171,0,1244,613,144,1
38035001704,38,035,001704,962,660,77,17,5,3,47,1250,465,34,10,1,1114,512,76,5,1224,434,45,6,1267,257,8,985,572,69,2,1031,498,87,1,1031,468,82,0
38035001705,38,035,001705,1228.85,688.35,87.47,9.75,6.8,1.94,34.94,1644.52,389.12,13.71,11.68,0.97,1449.35,487.27,62.27,4.85,1636.79,353.16,42.86,0,1553.5,242.2,7.78,1245.21,595.94,63.33,0.97,1332.64,471.65,78.86,0.97,1302.53,437.7,82.74,0.97
38035001801,38,035,001801,358.56,135.47,38.02,7.17,1.07,1.01,8.34,400.24,102.61,21.38,9.14,0.01,372.07,112.14,34.86,0.03,393.95,90.47,35.7,0.01,367.69,92.83,4.05,300.62,137.7,46.98,1.02,302.82,124.22,53.04,0.01,317.86,105.98,46.98,2.02
38035001802,38,035,001802,386.4,311.95,63.68,15.02,2.12,1.06,19.44,489.76,260.07,29.29,6.24,0.99,428.84,274.99,70.45,1.03,497.85,231.37,42.83,0.03,482.35,192.14,4.11,370.39,284.82,63.23,0.03,363.67,287.61,64.98,0,389.87,250.09,67.87,0.99
38035001803,38,035,001803,239.62,187.44,28.99,2.9,3.86,1.93,15.46,293.72,154.59,12.56,7.73,0,286.96,154.59,23.19,0.97,297.59,130.44,29.95,0.97,281.16,117.88,3.86,208.7,179.71,44.44,0.97,215.46,173.91,37.68,0,225.12,153.62,34.78,0
38035001804,38,035,001804,346,320,76,19,4,1,16,448,258,44,15,1,400,292,69,0,441,258,55,2,454,222,5,332,299,95,2,340,277,98,1,338,265,99,2
38035001805,38,035,001805,653,628,125,31,10,0,25,853,525,56,14,1,764,553,108,2,853,484,91,1,870,381,19,643,587,130,3,663,553,139,2,669,526,126,3
38035001806,38,035,001806,64,101,10,2,1,0,7,87,85,8,2,0,66,97,13,3,91,78,8,0,99,36,8,67,91,14,1,71,86,12,0,77,77,11,0
38035001807,38,035,001807,808,576,103,24,7,0,20,1037,422,35,24,0,923,462,95,1,1016,408,67,0,1042,293,12,768,543,118,2,832,455,107,2,822,438,121,1
38035001901,38,035,001901,355.13,132.55,28.11,7.03,1,1,7.04,414.27,97.5,12.05,5,0,375.2,104.52,41.09,0,390.36,92.43,35.03,1.99,366.39,104.27,2.01,295.26,143.44,44.06,0,315.18,114.53,51.05,1,322.24,106.44,39.09,2
38035001902,38,035,001902,255,83,37,1,2,0,7,320,47,13,8,0,275,81,28,1,294,55,35,0,296,62,2,244,90,35,2,247,76,47,0,265,63,37,0
38035001903,38,035,001903,818,259,68,10,6,1,30,978,159,30,24,1,878,229,68,1,964,172,47,3,947,163,4,780,274,91,0,776,242,101,1,797,223,85,0
38035001904,38,035,001904,469,153,46,6,0,2,16,574,100,16,3,1,496,139,47,1,548,115,22,4,520,125,2,458,164,45,0,454,142,57,1,463,129,59,0
38035002001,38,035,002001,414,147,59,7,7,1,13,470,103,32,17,2,427,136,53,1,448,104,47,0,443,112,1,363,142,68,1,359,144,63,0,354,140,59,0
38035002002,38,035,002002,1099.78,385.53,89.34,12.15,10.1,0.03,24.54,1313.14,263.95,34.21,18.18,0.01,1216.16,313.45,72.95,2.07,1318.03,246.4,39.65,3,1242.75,253.7,10.12,1017.03,439.12,94.97,2.01,1036.37,353.21,129.2,3.01,1040.91,327.69,135.26,4.01
38035004201,38,035,004201,562,363,76,7,11,1,20,731,249,36,16,0,660,298,62,0,681,271,58,1,705,201,8,545,324,98,0,546,320,95,2,562,286,101,3
38035004202,38,035,004202,475,575,140,34,3,4,37,677,428,77,28,1,558,522,111,1,624,446,95,1,611,387,12,497,455,149,1,461,492,127,2,488,441,132,0
38035004203,38,035,004203,680,411,88,21,3,2,15,773,265,55,22,1,694,301,80,2,747,240,51,3,633,216,10,560,258,101,4,553,246,87,4,544,237,86,3
38035004204,38,035,004204,617,517,103,15,7,0,27,774,387,45,15,1,693,421,82,1,757,369,68,3,751,258,8,571,441,95,5,566,409,113,2,566,389,103,2
38035004301,38,035,004301,940.24,680.59,94.9,20.27,7.04,4,37.13,1248.03,452.07,43.67,23.22,2,1100.91,514.06,95.03,2,1222.17,435.67,63.99,1,1196.84,298.64,7.13,956.52,571.2,89.53,2,1000.24,511.48,84.57,2,1002.02,451.48,97.57,3
