GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38077002508,38,077,002508,513.81,236.59,22.48,1.18,527.91,200.89,29.79,1.03,564.99,187.39,14.53,4.1,509.53,227.45,1.03,504.84,234.26,1.03,651,14.23,509.17,224.88,2.03
38077002509,38,077,002509,442.3,252.08,12.71,4.66,471.05,207.3,20.7,0.66,525.38,168.17,14.1,2.71,460.84,222.19,0.67,443.09,243.28,0.67,604.92,6.07,451.69,233.31,0.67
38077002510,38,077,002510,191.64,110.33,7.62,1.09,199.62,93.64,13.79,0.36,208.33,90,10.89,1.09,188.37,113.6,0.36,188.73,114.68,0.36,265.67,4.72,185.83,115.77,0.36
38077002511,38,077,002511,890.84,494.31,30.81,7.17,957.99,390.8,44.51,0.31,1010.59,346.43,41.37,12.18,906.59,453.34,1.31,910.03,457.44,2.3,1194.02,22.7,917.09,441.8,1.31
38077002601,38,077,002601,155,34,9,5,163,30,7,0,156,28,11,5,157,37,0,154,43,0,178,0,153,39,1
38077002602,38,077,002602,268,126,7,4,276,113,8,0,262,111,18,11,264,124,0,251,136,1,325,4,245,126,0
38077002603,38,077,002603,413,247,13,6,415,225,26,0,429,207,12,22,395,251,0,383,268,2,516,17,380,245,1
38077002604,38,077,002604,361,145,23,2,357,135,25,0,359,127,24,12,325,166,0,319,177,2,420,6,332,145,2
38077002605,38,077,002605,190.78,67.92,2,0,197.77,54.94,3,0,197.77,52.94,7.99,4.99,170.8,72.92,1,172.8,71.92,0,212.75,4,169.8,62.93,0
38079000901,38,079,000901,377,257,12,0,384,236,19,0,385,226,18,11,348,269,1,338,282,1,511,15,342,271,0
38079000902,38,079,000902,179,259,10,0,190,237,11,1,224,212,7,4,174,254,1,176,257,1,315,18,179,246,2
38079000903,38,079,000903,162.01,1222.01,15,3,192.01,1152.01,42,1,256.01,1101.01,27,2,165.01,1208.01,1,172.01,1203.01,3,769.02,55,156.01,1200.01,5
38079000904,38,079,000904,220,546,14,2,237,497,14,0,277,465,19,6,205,541,0,209,538,1,462,23,213,525,0
38079000905,38,079,000905,318.99,198,9,0,340.99,170,14,0,353.99,147,9,16,307.99,193,1,291.99,218,1,409.99,12,302.99,200,1
38081002601,38,081,002601,296,194,22,0,316,177,18,0,340,155,12,7,293,206,0,289,211,2,428,6,290,199,0
38081002602,38,081,002602,307.01,160,15,1,323.01,136,16,0,346.01,111,16,8,309.01,158,0,290.01,176,2,414.01,6,304.01,163,0
38081002603,38,081,002603,174.13,79.08,4,1,181.13,67.07,4,1,183.14,60.06,8,6,172.12,76.08,0,174.12,75.09,2,219.16,1,173.12,75.08,0
38081002604,38,081,002604,332.87,208.92,12,2,330.87,194.92,12,0,370.85,169.93,10,1,310.88,221.91,1,308.88,224.91,1,426.83,7,309.88,216.91,0
38081002605,38,081,002605,156,96,9,0,144,99,8,0,174,75,7,0,143,104,0,140,110,0,198,6,140,106,0
38083000701,38,083,000701,687.78,103.99,16,4,683.78,102.99,17,0,515.88,100.99,42.99,134.93,662.78,124.99,0,617.8,161.97,7,720.78,5,647.8,134.98,1
38085003101,38,085,003101,16,130,1,0,26,115,6,0,31,110,2,4,23,123,1,23,123,1,63,6,25,120,1
38085003102,38,085,003102,46.87,27.62,3.06,0,48.28,24.55,3.08,0.01,38.89,26.56,4.15,4.32,42.15,25.67,2.01,40,26.83,2.01,50.49,3.03,38.16,27.68,2.01
38085003103,38,085,003103,22.79,87.18,0,0,27.74,75.29,3.96,0,31.7,73.31,2.97,0.99,21.8,86.19,0,22.79,84.21,0,51.52,11.89,19.81,87.18,0
38085003104,38,085,003104,126.05,47.88,1.14,0.01,123.18,45.81,2.11,0,109.87,41.76,9.37,11.03,115.93,55.02,0,108.6,57.31,2.02,135.43,3,112.85,56.1,0
38085003105,38,085,003105,21.21,205.82,1,3,31.26,183.71,12.04,0,44.3,174.69,9.03,2.01,23.2,201.81,2,29.21,196.79,0,108.48,16.11,29.19,195.82,0
38085003106,38,085,003106,16,253,6,1,28,231,15,0,37,224,14,0,15,252,2,22,251,1,127,21,21,246,0
38087003901,38,087,003901,105,13,0,1,102,8,2,0,92,10,4,11,101,13,0,97,17,1,104,2,102,12,0
38087003902,38,087,003902,151,18.88,0.99,0,150.01,16.89,2.98,0,119.21,18.88,8.94,20.86,145.04,20.86,0,135.11,28.81,0,148.02,1.99,140.07,23.84,0
38087003903,38,087,003903,123,12,1,0,124,12,2,0,117,11,3,8,124,15,0,118,20,0,125,1,123,15,0
38089003601,38,089,003601,584.5,58.06,17,1,579.5,49.06,22.01,0,438.4,44.06,34.03,132.07,575.48,59.07,1,540.45,75.1,14,599.49,2.01,556.46,61.08,1
38089003602,38,089,003602,739.01,97,22,1,752.01,82,18,0,583,76,45,143,725.01,98,1,670.01,130,23,754.01,10,694.01,111,2
38089003603,38,089,003603,1923.31,396.16,76.45,5.61,1954.15,316.93,90.44,0.94,1685,326.14,142.6,211.37,1897.08,405.48,3.73,1819.33,457.08,28.07,2103.8,26.09,1821.44,432.49,1.87
38089003604,38,089,003604,1560.2,205.72,41.34,5.37,1587.28,164.18,50.3,2.05,1351.19,153.94,71.99,208.02,1528.51,209.38,2.26,1434.49,282.63,28.85,1605.21,12.83,1470.36,221.29,1.13
38089003605,38,089,003605,267.19,59.02,8,0,268.19,52.02,8.01,1,230.16,46.02,14.01,37.03,262.18,61.02,0,251.17,69.03,2,275.19,2,250.17,62.02,0
38089003606,38,089,003606,238,35,6,0,244,31,3,1,204,32,8,35,229,35,0,212,47,4,242,2,225,36,0
38089003607,38,089,003607,488,84,22,2,500,71,16,0,421,67,27,77,482,91,1,450,116,10,512,8,468,86,0
38089003701,38,089,003701,6310.3,1564.09,203.21,30.02,6523.38,1214.88,242.25,8,5586.64,1231.9,411.39,746.58,6219.23,1510.12,13.01,5930.01,1730.26,84.08,6959.8,88.07,6110.02,1568.19,15.01
38091002301,38,091,002301,129,64,12,0,145,54,3,0,139,58,5,4,136,66,0,140,61,0,167,3,135,65,0
38091002302,38,091,002302,146,84,13,0,156,77,6,0,152,82,5,2,148,82,0,140,91,0,193,2,138,91,0
38091002303,38,091,002303,120.91,90.19,2.97,0.99,128.84,77.3,3.96,0,141.72,65.41,4.96,2.97,112.98,95.14,0,111.99,98.12,0.99,174.43,5.95,119.92,90.19,0
38091002304,38,091,002304,126.88,79.68,8.01,3,137.94,71.58,8.02,0,148.04,64.48,5.04,2.02,125.81,90.71,0,121.81,95.73,0.01,180.28,6.04,129.87,85.67,0
38091002305,38,091,002305,132.7,74.66,2.11,2.02,139.78,64.52,4.11,0,136.48,63.61,4.2,6.16,126.59,72.64,0,126.39,74.84,0.02,162.96,1,120.64,73.57,0
38093001201,38,093,001201,693,375,25,5,721,305,42,0,748,263,34,35,675,347,2,662,365,4,851,11,641,339,2
38093001202,38,093,001202,1109,546,47,9,1144,449,54,1,1188,406,56,31,1045,528,2,1046,543,5,1289,16,1003,505,4
38093001203,38,093,001203,766.6,352.91,29.41,6.86,773.46,287.23,40.19,0.98,792.09,252.92,49.02,34.31,685.23,352.91,1.96,683.27,361.73,0,839.14,12.74,645.04,361.73,0.98
38093001204,38,093,001204,761.28,365.16,46.38,2.09,759.08,306.7,51.53,2.02,761.21,272.32,74.62,40.5,722.25,352.44,1.07,722.5,350.61,3.02,851.49,19.15,676.26,361.58,0.02
38093001205,38,093,001205,594.81,222.39,16.05,5,579.81,194.33,28.06,0,582.81,181.29,38.08,25.04,534.77,236.38,1,533.77,235.37,2,633.91,9.02,496.72,234.39,0
38093002901,38,093,002901,242,41,4,1,235,40,9,0,225,34,9,18,223,48,0,225,43,0,249,0,233,39,0
38093002902,38,093,002902,152,37,6,2,150,29,6,0,144,28,13,7,140,42,0,139,45,0,168,1,142,41,0
38093002903,38,093,002903,316.25,113.06,10.01,1,313.25,97.05,14.01,1,326.24,75.05,13.01,22.01,295.23,108.06,0,288.23,114.07,3,342.25,3,304.23,104.06,0
38093002904,38,093,002904,626.07,154.22,19.68,1.15,607.76,130.4,32.9,0.03,605.99,117.74,30.09,32.84,574.4,156.65,0.12,565.82,164.92,6.02,614.24,2.28,582.32,147.92,0.03
38093002905,38,093,002905,439.2,68.34,5.06,1.02,435.21,59.33,12.07,0,399.38,50.36,23.21,31.61,424.18,75.38,1,426.02,72.51,3.02,454.39,1.02,432.01,67.48,0
38093002906,38,093,002906,584.65,171.17,18.6,1.14,587.78,150.84,16.82,0.02,592.16,129.14,20,22.7,541.99,185.17,1.04,538.96,187.35,2,633.13,7.26,531.18,191.35,0.02
38093002907,38,093,002907,712.34,230.08,21.87,4.75,701.86,203.45,29.49,0.95,708.51,182.54,35.19,27.59,658.12,243.38,3.8,670.46,251.94,0.96,777.86,8.55,656.23,250.97,0.95
38095001501,38,095,001501,563.38,175.81,17.98,0,576.37,152.83,14.98,0,574.37,130.86,21.98,27.97,546.4,185.8,0,515.43,222.76,2,649.29,1,522.43,199.78,0
38095001502,38,095,001502,144,50,3,1,156,41,1,0,145,37,4,9,139,51,0,130,64,2,168,1,138,55,0
38095001503,38,095,001503,122,91,4,1,133,77,2,0,141,66,4,5,116,90,0,106,104,0,164,1,110,92,0
38097002001,38,097,002001,89,45,4,0,96,34,7,0,101,28,6,4,94,42,0,90,47,0,126,2,94,41,0
38097002002,38,097,002002,118.15,76.06,5,1,140.16,58.05,1,0,143.16,51.04,2,5,131.15,64.06,0,125.14,71.07,1,160.19,4,132.14,62.06,0
38097002003,38,097,002003,60,34,3,0,62,32,2,1,67,26,0,2,57,34,0,58,34,0,78,3,59,35,0
38097002004,38,097,002004,473.17,303.62,25.8,1.97,505.11,264.79,31.63,0.99,525.58,242.21,24.79,11.91,487.95,304.55,0.05,489.71,299.81,1.01,686.48,22.84,497.89,286.79,1.01
38097002005,38,097,002005,145.83,70.38,6.2,0.03,160.89,56.21,2.37,0.01,150.42,60.79,5.21,3.09,145.05,68.45,1.95,136.29,76.19,0.99,194.52,6.16,148.11,68.21,0.99
38097002006,38,097,002006,272.71,163.82,6.99,1,295.68,135.85,10.99,0,311.67,122.87,6.99,4,281.7,150.84,0,258.72,173.81,2,379.59,4,271.71,152.84,0
38097002007,38,097,002007,150.29,59.18,2.01,0,150.32,53.15,2.01,0,152.33,53.13,4.01,2,144.3,57.16,0,133.28,67.19,0,178.41,2,140.29,59.16,0
38097002008,38,097,002008,343.09,166.08,11.01,2,367.1,135.06,11.01,1,363.1,133.06,10,7,348.09,158.07,0,331.09,171.07,0,446.14,10,348.09,158.08,0
38097002009,38,097,002009,151,94,9,1,159,87,7,0,158,82,6,8,160,91,0,148,102,3,223,4,157,92,0
38097002010,38,097,002010,257,144,14,1,268,135,12,0,263,131,13,10,261,149,0,260,151,0,347,6,260,146,1
38097002011,38,097,002011,244,151,9,0,262,128,7,0,272,116,7,8,250,144,0,233,162,0,342,3,247,146,0
38097002012,38,097,002012,217.91,185.92,13.99,3,242.9,155.94,16.99,1,247.9,154.94,11,5,231.91,178.93,0,224.91,183.93,0,338.86,10,214.91,190.92,1
38099001001,38,099,001001,1065.01,456,32,7,1115.01,378,33,2,1063.01,345,32,114,1004.01,471,0,969.01,500,5,1274.01,20,981.01,466,2
38099001901,38,099,001901,2260.08,877.46,63.05,24.01,2371.12,704.4,83.05,4,2399.17,630.37,88.04,74.02,2209.03,873.51,4,2129.06,938.46,18.01,2689.34,39.01,2187.06,893.48,6
38101000301,38,101,000301,635.04,146.27,20.17,6.02,642.11,135.1,22.24,2.01,609.08,126.99,34.28,35.11,610.06,175.31,1.02,601.03,179.34,4.03,712.8,19.13,631.05,152.31,2.02
38101000302,38,101,000302,856.74,248.55,30.13,3.53,864.32,214.72,39.58,2.01,850.67,188.12,58.45,36.54,859.03,250.6,0.6,838.93,264.49,6.31,990.64,18.91,860.55,246.01,0.49
38101000303,38,101,000303,680,113,29,4,691,107,18,0,669,88,24,37,662,139,1,655,147,2,758,9,661,134,1
38101000304,38,101,000304,2703.22,1121.18,148.71,21.45,2760.57,971.18,207.18,4.98,2737.24,868.89,248.27,99.35,2715.91,1152.09,16.38,2691.04,1182.16,22.66,3364.56,116.96,2707.4,1151.68,13.49
38101000401,38,101,000401,654.18,129.11,12.01,2,664.17,109.1,17.02,0,636,93.11,30.06,32.11,645.1,132.14,0,640.06,141.2,0,716.21,8.01,602.08,139.13,1
38101000402,38,101,000402,451.47,82.15,15,0,461.46,72.15,15.02,0,402.51,69.09,24,45.03,431.45,95.17,0,423.41,111.2,0,494.58,1.01,414.43,93.17,0
38101000403,38,101,000403,147.13,41.03,1,0,151.13,28.03,6.01,0,141.12,27.03,9,10.01,142.12,43.04,0,133.12,51.04,0,161.14,1,134.11,47.04,0
38101000404,38,101,000404,191.66,53.91,2.99,4.99,187.67,56.9,5.99,0,166.71,48.91,11.98,19.97,182.68,62.89,0,170.7,76.87,1,211.63,5.99,180.68,59.9,0
38101000405,38,101,000405,244,48,1,0,245,42,3,0,216,39,11,24,223,53,0,214,62,0,244,7,213,48,0
38101000406,38,101,000406,404.99,64,12,2,409.99,55,18,0,368.99,57,26,29,394.99,72,1,388.99,81,3,435.99,7,400.99,65,0
38101000501,38,101,000501,4371,1946,194,39,4536,1675,249,11,4637,1481,238,139,4442,1860,19,4308,2007,20,5510,137,4342,1953,14
38101003801,38,101,003801,173.43,86.71,11.82,0,173.43,70.95,14.78,0,164.56,74.89,11.82,10.84,172.44,78.83,0,169.48,83.76,1.97,211.85,1.97,168.5,81.79,0
38101003802,38,101,003802,878,166,24,1,902,134,19,0,854,122,52,37,875,165,0,847,185,1,958,6,859,171,0
38101003803,38,101,003803,233,46,4,1,242,32,8,0,224,25,17,14,237,38,0,216,54,3,250,2,224,47,0
38101003804,38,101,003804,383.19,95.08,7.01,2,378.2,81.06,20.01,0,363.2,70.06,24.01,27.01,364.2,98.07,1,368.19,96.08,2,414.24,3.01,365.19,97.08,2
38101003805,38,101,003805,686.68,179.65,19.96,3.99,702.65,150.71,22.96,1,693.66,131.75,33.93,24.95,677.69,186.64,0,668.71,197.62,0,770.52,7.98,665.72,188.64,4.99
38101003806,38,101,003806,2992.13,1143.27,110.03,11.01,3069.15,974.23,155.03,2,3073.14,878.2,164.05,106.04,3025.11,1099.29,4,2895.1,1232.3,9,3604.25,76.01,2970.09,1155.29,5.01
38101004001,38,101,004001,411.34,150.27,26.25,1.86,409.48,135.14,35.6,0,418.66,117.5,34.63,15.06,425.3,143.63,0,421.53,149.29,0.03,497.58,9.34,409.41,157.65,0
38101004002,38,101,004002,34.65,13.8,2.19,0.21,34.83,12.38,2.84,0.02,35.71,10.66,2.82,1.26,35.68,13.31,0.05,35.24,13.83,0.08,42.6,0.91,34.52,14.28,0.04
38101004003,38,101,004003,2843.58,1419.22,173.74,29.93,2941.27,1263.54,192.78,4.98,3035.08,1069.95,206.73,103.84,2890.59,1395.22,15.95,2824.75,1447.12,25.92,3665.96,102.78,2840.57,1420.29,11.96
38103001401,38,103,001401,321.83,42.87,2.08,2.99,316.95,41.7,7.1,0,261.48,36.67,21.11,42.46,307.82,56.87,0,284.68,75.99,1.03,327.42,2.02,303.79,57.84,0.01
38103001402,38,103,001402,212.13,50.03,1,1,202.13,49.02,9,0,176.1,46.02,5.01,37.02,203.12,60.03,0,186.12,70.03,3,235.14,1,191.12,61.03,0
38103001403,38,103,001403,221.97,37.99,6,2,220.97,39.99,4,0,185.97,31,15,34.99,211.97,41.99,0,189.97,54.99,6,232.97,2,203.97,44.99,0
38103001404,38,103,001404,237.06,65.02,5,1,241.06,58.02,7,0,204.05,60.02,10,31.01,231.06,68.02,0,220.06,77.02,1,268.07,1,225.06,68.02,0
38103001405,38,103,001405,695.67,198.21,14.94,0.01,720.54,161.38,22.91,0,614.88,151.41,29.92,101.65,689.66,204.22,0,653.76,235.13,4.98,824.1,4.98,684.67,196.26,1
38103001406,38,103,001406,204.87,47.97,3,0,208.87,35.98,5,0,163.9,30.98,16.99,34.98,198.88,46.97,2,187.88,55.97,2,222.86,0,191.88,49.97,2
38105000101,38,105,000101,1368,300,45,10,1347,246,71,1,1279,214,89,100,1342,273,2,1282,335,4,1436,15,1305,298,1
38105000102,38,105,000102,1803,371,67,18,1807,317,67,1,1677,295,87,146,1774,354,4,1746,382,5,1912,12,1749,357,4
38105000103,38,105,000103,273,60,5,0,272,44,8,1,242,45,15,26,269,45,0,263,55,1,288,4,261,52,1
38105000104,38,105,000104,1939,495.19,65.06,13.01,1944.95,416.17,90.07,4,1868.76,363.15,100.11,134.18,1911.92,478.19,4,1901.87,487.24,16,2120.93,30.01,1876.88,490.21,3
38105000201,38,105,000201,1558.98,146.55,44.56,5.93,1522.32,132.71,56.46,1,1371.92,119.85,89.09,136.59,1495.59,149.61,1,1456.99,184.21,2,1507.58,5.94,1464.9,163.45,1
38105000202,38,105,000202,209,16,8,0,203,15,12,0,175,13,15,23,193,24,1,189,25,2,195,3,188,24,1
38105000203,38,105,000203,1668.8,242.73,49.49,9.06,1589.41,222.57,73.61,6.01,1452.79,194.42,99,138.47,1551.1,245.77,5.01,1526.68,273.16,11.02,1585.29,15.07,1536.77,244.91,5.01
38105000204,38,105,000204,124,22,1,0,126,16,2,0,111,14,2,20,124,16,0,120,23,0,127,2,127,15,0
38105000205,38,105,000205,238.83,65.6,10.93,0,235.85,58.64,9.94,0.99,212.99,54.67,23.85,19.89,225.91,67.58,0.99,218.95,76.53,0,244.79,2.98,221.93,66.59,0.99
38105000206,38,105,000206,320,33,8,0,319,27,9,0,270,33,20,30,317,31,0,303,42,0,318,1,310,37,0
38105000207,38,105,000207,353,87,18,1,352,77,22,1,345,74,18,21,337,98,0,328,105,0,380,7,331,96,0
38105000208,38,105,000208,1050,122,10,5,1015,112,23,1,811,93,37,214,986,131,2,966,141,13,1015,5,974,130,2
38105000209,38,105,000209,161,28,5,2,159,25,8,0,144,31,13,8,148,33,0,145,42,0,167,0,153,34,0
38105000210,38,105,000210,152,36,3,0,150,32,2,0,123,34,9,21,134,45,0,133,47,0,157,2,143,37,0
38105000211,38,105,000211,523,144,22,0,494,121,38,2,467,111,48,34,495,131,3,491,141,5,537,8,490,133,2
