GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38043001403,38,043,001403,81.94,20.98,1,0,80.94,20.98,1,0,66.95,19.98,3,14.99,74.94,23.98,0,74.94,23.98,0,90.93,0,73.94,21.98,1
38043001404,38,043,001404,534,96,12,0,535,95,13,0,411,98,35,92,491,137,0,483,138,1,569,5,498,123,0
38043001405,38,043,001405,148,13,1,0,145,11,5,0,99,13,12,33,145,14,0,145,15,0,148,0,141,15,0
38043001406,38,043,001406,270.86,28.67,4.94,1.98,271.84,27.68,5.93,0,201.66,30.64,17.79,51.41,269.86,32.62,0,256.02,43.5,1.98,287.66,1.98,255.04,40.53,0
38045002801,38,045,002801,565.63,171.28,17.92,0,586.55,131.45,25.89,1,584.55,122.49,29.88,11.95,550.7,178.25,0,542.73,188.21,1,661.23,4.98,560.65,170.29,0
38045002901,38,045,002901,177,33,2,0,185,24,3,0,186,19,6,2,172,31,0,167,37,0,189,0,170,32,0
38045002902,38,045,002902,335,127,10,2,341,114,8,0,321,97,12,39,321,133,1,322,133,2,383,3,330,125,0
38045002903,38,045,002903,565,195,14,1,580,167,23,2,572,152,21,28,563,186,1,555,195,4,662,12,561,192,1
38047002801,38,047,002801,256.19,28.17,4.01,1.01,249.18,28.13,7.02,0,173.98,31.12,15.07,59.21,224.12,42.19,0,217.06,46.25,4,247.18,1,234.09,34.2,1
38047002802,38,047,002802,352.63,49.81,3.98,1.99,349.64,37.85,6.97,0,283.9,35.86,19.92,65.74,330.71,56.78,0,313.78,71.72,0,350.64,0,322.74,56.78,1
38047002803,38,047,002803,190,39,3,0,185,34,11,0,167,34,13,15,175,50,1,177,52,2,204,2,185,45,0
38047002804,38,047,002804,59,5,0,0,58,7,0,0,52,3,0,9,52,11,0,56,4,2,56,0,58,5,0
38047002805,38,047,002805,72,6,3,1,72,6,3,0,62,5,6,8,73,6,0,72,8,0,72,0,73,7,0
38049000601,38,049,000601,195.9,35.8,5.97,1.99,197.89,34.81,7.96,0,191.92,26.85,5.97,11.93,187.94,43.76,0,183.97,48.73,0,214.79,0,182.97,38.78,0
38049000602,38,049,000602,173.06,26.01,9,1,174.06,25.01,8,0,168.06,20.01,9,8,174.06,30.01,0,167.06,32.02,3,192.07,0,167.06,31.01,0
38049000603,38,049,000603,501.7,103.13,10.02,2.01,492.7,104.12,17.03,1,437.68,80.09,44.02,52.04,460.67,132.15,1,445.65,145.17,4,539.76,7,451.65,118.14,3
38049000604,38,049,000604,276.05,40.02,13,1,272.05,43.02,12,0,250.05,36.01,22,20,268.05,55.02,0,253.05,71.02,1,305.06,1,263.05,55.02,0
38049000605,38,049,000605,749.03,235,22,1,757.03,232,11,0,728.02,192,29,51.01,720.03,253,0,693.03,282.01,3,884.03,14,680.03,268.01,0
38049000606,38,049,000606,180,26,4,0,177,27,4,0,160,26,7,15,171,31,0,163,39,0,188,1,162,33,0
38049000607,38,049,000607,157,60,4,0,160,54,3,0,153,41,11,12,148,67,0,147,71,0,185,3,138,64,1
38049000608,38,049,000608,131,38,0,0,127,34,5,0,122,25,8,11,124,40,0,113,49,0,151,0,113,40,0
38051002801,38,051,002801,306.09,64.03,5,2,308.09,53.03,10,1,322.08,40.03,7.01,4,300.08,60.03,0,292.08,72.03,0,332.1,0,292.08,70.04,0
38051002802,38,051,002802,160.9,47.97,8.99,1,161.9,48.97,6,0,144.91,48.97,14.99,8.99,154.9,55.97,0,146.91,60.96,1,181.89,2,143.91,63.96,0
38051002803,38,051,002803,59.37,19.72,1.07,0,60.45,16.55,1.11,0,57.45,16.51,3.12,5.05,59.3,19.75,0,55.27,24.79,0,66.77,2.02,56.35,20.71,0
38051002804,38,051,002804,348.39,87.06,11,5.01,382.4,60.05,11.01,0,361.36,58.05,12.03,14.02,371.36,74.09,1,351.35,93.09,0.01,415.41,2.01,361.38,80.07,0
38051002805,38,051,002805,141.62,22.94,1,1.99,144.61,18.95,1.99,0,131.65,17.95,9.97,5.98,130.65,30.92,0,126.66,33.91,1.99,148.6,2.99,136.63,23.94,0
38051002806,38,051,002806,138.44,19.92,2.99,1,135.45,22.91,2.99,0,93.62,19.92,16.93,25.9,130.47,24.9,0,122.5,31.87,0,138.44,0,128.48,25.9,0
38053000401,38,053,000401,38,159,2,1,41,141,15,1,53,143,3,0,44,156,0,42,155,1,125,15,35,162,1
38053000402,38,053,000402,31,203,3,1,36,180,10,0,44,181,5,0,25,203,0,35,190,0,149,14,32,194,0
38053003901,38,053,003901,136.85,20.07,0.03,0,130.88,18.07,2.02,0,139.75,9.11,3.06,1.06,128.86,18.09,1,132.81,16.14,0,134.88,1,127.85,18.09,1
38053003902,38,053,003902,120.48,11.09,1,0,119.44,10.08,1.01,0,115.51,10.02,3.01,4.99,116.44,10.08,0.01,116.47,13.06,0,118.47,0.01,115.44,11.08,0.01
38053003903,38,053,003903,426.7,34.73,10.92,0,415.79,34.73,15.88,0.99,395.94,33.74,16.87,23.82,409.83,48.62,1.98,402.89,48.62,3.97,427.7,0.99,402.89,48.62,0.99
38053003904,38,053,003904,259.84,22.28,3.88,0.97,254.05,19.37,7.74,0,243.33,11.64,9.71,16.49,248.25,25.18,0,249.18,25.19,0.01,257.88,2.9,247.27,25.18,0
38053003905,38,053,003905,1369.94,98.5,27.77,4.9,1331.72,96.2,48.49,0.98,1285.41,78.5,52.47,65.96,1304.18,119.04,4.91,1267.62,153.5,9.84,1344.76,8.93,1302.89,122.08,2.96
38053003906,38,053,003906,1606.35,220.94,54.05,3.06,1576.94,184.18,85.15,0.02,1570.23,162.06,77.28,44.75,1551.68,230.21,4.05,1508.4,264.51,5.12,1648.61,17.02,1513.94,246.14,4.02
38053003907,38,053,003907,89.62,4.26,1.03,0.99,89.69,4.17,0.04,0.01,86.68,2.16,1.05,1.07,87.66,6.23,0.01,87.67,5.21,0.01,89.84,0,85.74,8.14,0.01
38053003908,38,053,003908,180.33,12.29,2.32,0.09,181.72,9.28,2.62,0.01,164.5,9.8,8.53,11.78,179.32,11.63,0.04,173.25,14.82,2.02,174.25,1.14,178.29,11.68,0.03
38053003909,38,053,003909,220.39,28.19,4.01,1,215.39,22.19,10.01,0,204.39,18.17,12.02,15.02,210.37,25.21,1,193.37,39.21,3,206.5,2.01,199.36,32.2,1
38055000401,38,055,000401,561.01,135,10,1,550.01,133,16,0,450.01,140,31,79,519.01,159,1,489.01,192,4,589.01,12,518.01,160,2
38055000402,38,055,000402,43.74,227.64,7.95,0,56.66,194.83,10.93,2.98,64.61,189.86,12.92,4.97,45.73,216.7,3.98,46.72,219.68,1.99,169.98,12.92,36.78,221.67,2.98
38055000801,38,055,000801,3591.37,865.69,77.98,11,3611.36,789.77,106.96,0,2949.67,762.75,260.87,494.8,3433.45,930.71,2,3186.57,1166.6,17.99,3841.3,52.98,3375.44,999.71,1
38057000401,38,057,000401,3.26,8.36,0.05,0,5.34,5.17,1.07,0.02,6.39,5.14,0.08,0.03,2.27,9.3,0.02,5.28,6.32,0.01,10.02,0.08,3.22,8.33,0.02
38057003301,38,057,003301,247.1,83.7,9.96,1.99,246.11,88.68,9.96,0,205.25,79.71,14.95,40.85,238.14,99.64,0,223.19,115.58,0,275,4.98,223.19,113.59,0
38057003302,38,057,003302,153,36,1,2,157,32,1,0,143,30,11,7,143,44,0,144,44,0,158,0,138,50,0
38057003303,38,057,003303,1275,320,47,4,1280,314,37,2,1160,260,58,151,1257,345,0,1214,375,6,1435,27,1231,376,1
38057003304,38,057,003304,1727,208,37,5,1737,184,36,1,1479,166,68,230,1680,242,1,1647,264,14,1825,11,1669,258,2
38057003305,38,057,003305,220.24,27.66,4.94,0,214.32,26.67,6.91,0,169.85,29.62,12.84,36.57,202.49,38.51,0.99,197.55,46.4,0.99,224.21,0.99,199.51,42.45,0.99
38057003306,38,057,003306,227,21,2,0,228,18,3,0,186,21,10,30,224,24,0,224,22,0,235,2,222,26,0
38059003101,38,059,003101,546.22,35.24,7.04,0,211.75,32.22,9.02,1,180.36,24.22,22.09,26.31,193.69,48.27,1,189.59,53.36,1,229.81,2,198.66,40.31,1
38059003102,38,059,003102,347,33,1,0,225,27,7,0,181,24,12,43,213,39,0,201,49,3,222,1,211,38,0
38059003103,38,059,003103,643.73,125.98,12.71,1.95,692.44,111.01,19.61,0.01,544.25,125.23,40.79,111.84,654.9,144.88,2.88,615.26,173.16,9.52,737.98,10.75,663.26,138.26,0.05
38059003104,38,059,003104,577.72,127.15,13.1,1.04,463.56,111.89,16.1,1.99,385.38,113.81,31.14,64.19,437.38,136,2,407.43,168.92,2.01,506.95,7.07,438.39,137.91,2
38059003105,38,059,003105,1685.32,388.07,58.01,3,1348.15,351.07,68.01,1,1098.13,353.06,98.01,229.02,1297.15,419.07,6,1250.14,472.08,6,1529.19,35,1285.14,419.08,6
38059003106,38,059,003106,1447,187,19,5,362,158,23,0,335,153,25,38,342,190,0,330,208,1,458,17,344,186,2
38059003301,38,059,003301,415.02,132.28,18.06,5,726.62,119.22,21.06,2,501.8,118.33,43.25,202.46,690.44,153.31,3.01,637.3,196.36,6.1,763.56,9,701.3,145.38,1
38059003302,38,059,003302,453,286,30,8,1395,256,60,2,1131,266,92,223,1333,340,1,1304,366,4,1528,17,1338,325,2
38059003303,38,059,003303,1349,11,6,0,132,11,10,0,89,16,13,34,132,22,0,129,22,1,141,0,133,20,0
38059003401,38,059,003401,474.89,487.34,40.94,5.98,1479.74,409.81,68.81,0.99,1237.14,411.21,104.05,204.95,1417.34,483.99,4.04,1334.13,567.84,5.23,1682.86,33.95,1400.72,484.81,4.94
38059003402,38,059,003402,215.41,646.23,60.83,15.96,1767.16,525.56,65.82,1,1559.72,500.63,107.7,184.49,1652.47,608.33,2.99,1616.57,639.25,5.98,1986.56,36.9,1659.45,578.41,1.99
