GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRCRA,G18USSDHEI,G18USSOWRI,G18HALRARM,G18HALDSCH,G18HALITUT,G18HALOWRI,G18SOSDBOS,G18SOSICOA,G18SOSIJAE,G18SOSOWRI,G18ATGRSTE,G18ATGDTHO,G18ATGOWRI,G18AGRRGOE,G18AGRDDOT,G18AGROWRI,G18PSCRCHR,G18PSCDBRA,G18PSCOWRI,G18PSCRKRO,G18PSCDBUC,G18PSCOWR2,G18TAXRRAU,G18TAXDOVE,G18TAXOWRI
38015000707,38,015,000707,790.3,497.9,13.9,858.4,352.6,55.1,3,426.9,181.8,595.6,5.1,891.8,358.5,5,904.3,332.5,5,829.1,393.4,5,809.1,393.1,5,778.2,459.5,3.1
38015000708,38,015,000708,873.1,552.4,14,961.2,392.2,50,1,513.4,185.2,652.8,4,1039.2,369.3,1,1046.2,336.2,1,940.1,411.2,0,894.1,437.2,1,880,496.4,2
38015000801,38,015,000801,181.8,78.8,1,184.8,59.6,14.1,0,81.6,42.3,129.4,2,189,63.5,3,202,53.5,1,177.8,71.6,1,171.7,73.7,1,163.8,86.7,1
38015000802,38,015,000802,103,63,2,107,49,10,0,54,15,91,0,120,44,0,131,34,0,122,37,0,112,46,0,110,50,1
38015000803,38,015,000803,170.6,49,1,176.6,30.8,12.1,0,40.7,44.2,122.6,1,185.9,29.7,0,184.9,30.7,1,172.7,41.9,0,167.6,40.9,1,152.4,56.1,0
38015000804,38,015,000804,1109,403,10,1182,282,41,1,394,207,834,2,1241,261,4,1257,229,3,1149,309,3,1115,318,3,1055,413,4
38015000805,38,015,000805,956.2,360.3,4,1012.1,263.5,37.9,0,337.4,141.7,784.5,1,1057,250.5,0,1064,232.6,1,991.1,292.4,1,974.2,295.4,1,890.3,389.3,2
38015000806,38,015,000806,589.8,252.7,9,643.9,173.5,27.1,2,241.6,113.3,455.5,0,674,162.5,1,674,150.4,1,628.9,187.6,0,611.8,192.6,0,563.7,251.7,4
38015002801,38,015,002801,168,70,1,180,42,9,1,58,43,126,0,182,54,0,191,41,0,176,49,1,163,62,0,154,83,1
38015002802,38,015,002802,275.9,86,0,289.9,64,10,0,78,34,227.9,1,291.9,63,1,293.9,56,0,275.9,75,0,270,77,0,267,81,0
38015002803,38,015,002803,591,202,5,627,139,17,3,192,111,434,4,654,135,2,658,122,2,612,143,4,595,157,3,563,195,8
38015003001,38,015,003001,970,461.2,5,1015.8,340,56.2,2,424.4,153.9,768.3,3.8,1069.6,332.6,4.9,1101.8,286.8,4.8,980.1,385.9,4.8,977.2,376.8,5.8,919,441.7,3.9
38015003002,38,015,003002,867,691,28,932,501,113,5,601,243,655,8,1000,545,5,1032,482,2,908,581,5,879,588,6,849,649,6
38015003003,38,015,003003,1180,724.6,10.1,1292.1,544.2,55.7,3,666.5,244.2,914.4,4.1,1414.3,469.4,8.1,1424.3,438,2.2,1263.9,557.8,3.1,1220,573.4,3.2,1184.1,660.3,4.1
38015003004,38,015,003004,1381.8,791,17.9,1512.3,559.9,79.7,2,748.1,216.2,1091.9,3,1606.9,528,6,1631.9,472.2,1,1457.5,614.7,3,1480.4,561.9,5,1385.8,702.3,5
38015003201,38,015,003201,424.9,342.8,9.5,438.7,271.7,55.6,1.1,292.8,99,343.8,4.6,487.7,268.7,4.6,492.8,256.3,2.4,437.5,305.5,2.2,429.3,297.7,2.3,426.6,316.1,3.3
38015003202,38,015,003202,362.8,318.5,5.5,380.3,264.9,29.5,0.9,287.1,66.5,283.4,6.5,424.6,231.7,6.5,415.4,238.2,4.6,379.4,274.1,2.8,376.6,265.9,3.7,358.1,290.8,3.7
38015003203,38,015,003203,265,255,8,273,197,31,4,207,73,203,2,302,207,3,302,193,3,254,233,2,255,228,3,265,230,3
38015003204,38,015,003204,350,321,13,385,234,52,2,260,121,270,5,408,260,2,449,205,5,369,278,6,359,284,6,360,293,5
38015003205,38,015,003205,769.7,563.8,20,834.7,402.9,89,3,478.8,204.9,605.8,6,898.7,416.8,11,913.7,387.9,5,821.7,469.8,5,808.7,469.8,6,764.7,522.8,8
38015003206,38,015,003206,1099.3,623.2,7,1199.3,444.1,46,0,586.2,149.1,891.2,3,1299.3,396.2,3,1317.3,341.1,2,1177.3,453.2,1,1150.3,465.2,1,1099.3,548.2,3
38015003207,38,015,003207,423,325,9,483,225,43,3,301,84,342,4,515,228,4,532,196,4,460,261,2,446,257,3,452,276,3
38015003501,38,015,003501,442.4,372.3,3.2,494.2,277.4,27.9,0,317.3,82.9,369.1,3.2,557.2,234.4,3.2,536.5,239.1,2.4,487,272.6,1.6,483.9,263.1,2.4,456,317.3,1.6
38015003502,38,015,003502,699,863,11,746,702,75,2,722,185,567,5,891,640,5,851,635,2,753,710,2,745,705,1,703,788,4
38015003503,38,015,003503,791,584,9,876,442,44,3,510,190,629,2,982,385,4,982,360,5,864,451,1,829,474,3,800,525,3
38015003504,38,015,003504,550,505,11,605,371,66,6,435,125,451,4,651,399,2,649,371,4,577,434,4,573,433,1,551,473,2
38015003505,38,015,003505,846.9,555,11,939.5,402.5,45.8,1,481.2,149.4,728.3,2,1008.3,376.6,5,1016.3,347.7,3,895.7,439.4,2,886.8,427.4,2,835.9,510.1,4
38015003506,38,015,003506,562,408,9,597,297,66,3,344,140,444,5,679,276,2,680,249,6,608,316,4,600,316,4,570,361,5
38015004701,38,015,004701,1928.5,1005.2,18,2154.4,726.5,43,2,948.3,341.7,1503.9,4,2338.2,556.6,8,2329.2,537.6,5,2086.4,719.5,4,2100.4,677.5,4,1921.5,915.3,4
38015004702,38,015,004702,1581,1169,15,1789,863,71,1,1001,305,1329,5,1956,748,7,1948,734,4,1734,903,2,1695,908,4,1648,1013,2
38015004703,38,015,004703,615,544,18,686,394,71,8,466,127,504,7,750,395,3,738,376,6,659,443,5,652,437,5,625,490,6
38015004704,38,015,004704,1367.5,829.8,6,1550.6,560.5,62,2,731.7,206.3,1155.1,6,1684.8,476.4,4,1664.8,466.4,1,1516.6,586.5,1,1505.6,578.5,1,1432.5,701.7,4
38017011-01,38,017,011-01,1216,2160,21,1356,1884,110,11,1801,347,1072,12,1643,1664,9,1591,1660,13,1362,1830,13,1445,1737,12,1408,1837,11
38017011-02,38,017,011-02,1223,2211,26,1287,1924,175,11,1822,414,1036,17,1530,1810,8,1511,1761,9,1292,1946,7,1326,1884,8,1277,1996,9
38017013-01,38,017,013-01,1077.9,1320.4,13.4,1202.1,1081.5,79.7,1.1,1096.9,304.5,881.8,3.1,1432.8,911.3,3,1375.8,931.4,3,1234,1042.8,1.1,1238.5,1025.6,2.1,1146,1165,1.2
38017013-02,38,017,013-02,689.8,1111.5,16.2,753.8,923.6,102.3,2,908,235.2,563.1,3.1,916.6,840.9,3,908.6,814.1,3,766.3,935.9,1,801.3,885.7,3,760.9,955.9,2
38017013-03,38,017,013-03,1433.3,1626.5,17.4,1621.6,1330.9,89.8,4.8,1287.5,345.8,1275.9,4.8,1908.5,1090.4,1,1816.7,1133.9,2.9,1634.2,1260.4,4.8,1651.6,1215,5.8,1593.6,1355.1,5.8
38017016-01,38,017,016-01,750.8,1415.7,25,802.9,1197.5,140.1,14,1163.6,258.2,665.6,17,986,1144.4,10,972,1134.4,10,841.9,1249.5,14,858.9,1226.5,10,819.9,1284.5,10
38017016-02,38,017,016-02,827.9,1298.6,23.1,893.5,1091.6,107.3,9,1101.4,181.2,730.4,8,1073.5,990.7,5,1064.2,980.9,8,944.6,1077.3,8,939.6,1063.2,7,898.5,1137.6,5
38017016-03,38,017,016-03,1410,1891,18,1510,1591,160,3,1629,334,1113,17,1792,1434,10,1731,1434,7,1548,1576,9,1542,1554,10,1509,1652,8
38017016-04,38,017,016-04,648,570,4,694,478,33,0,480,162,495,2,802,391,3,778,396,3,715,447,1,712,432,2,680,480,3
38017020-01,38,017,020-01,192,223,2,225,173,16,1,166,58,182,4,270,142,1,268,133,2,220,177,1,232,158,1,219,180,1
38017021-01,38,017,021-01,903,2279,31,962,2004,189,8,1903,316,840,9,1164,1938,7,1165,1877,8,1005,2017,5,1027,1968,8,1029,2015,9
38017021-02,38,017,021-02,769.3,1558.5,27,817.4,1321.4,146,9,1307.4,337.1,530.3,14,958.4,1266.3,14,979.4,1213.3,13,826.4,1342.4,12,808.4,1343.4,14,835.4,1350.4,14
38017022-01,38,017,022-01,110,86,2,126,60,12,0,71,21,103,0,127,70,0,139,58,0,125,69,0,123,71,0,113,80,0
38017022-02,38,017,022-02,208,262,3,246,199,20,2,211,47,197,3,289,164,4,277,181,2,262,190,2,255,190,3,246,208,1
38017022-03,38,017,022-03,117,140,4,143,111,3,2,122,28,104,1,160,100,0,146,114,0,145,107,0,138,109,1,136,115,0
38017022-04,38,017,022-04,673,753,10,791,561,68,6,583,154,642,9,952,457,6,914,485,6,786,570,3,819,528,3,769,615,4
38017022-05,38,017,022-05,444,378,4,477,289,46,1,289,127,372,3,515,292,3,513,272,3,476,300,4,483,292,4,453,327,5
38017022-06,38,017,022-06,1634.8,1629.8,13,1751.7,1319.8,143,1,1402.8,339,1316.8,6,2071.7,1105.8,7,1991.7,1135.8,8,1828.7,1241.8,10,1810.7,1239.8,7,1683.8,1418.8,8
38017022-07,38,017,022-07,262,256,0,299,198,18,0,200,58,242,0,346,169,0,310,197,0,302,194,0,311,181,0,281,219,0
38017022-08,38,017,022-08,1178,1215,12,1308,973,75,5,1027,286,919,10,1507,839,4,1462,830,7,1324,929,4,1307,923,5,1246,1049,5
38017024-01,38,017,024-01,98,96,0,104,80,8,0,79,27,80,0,125,66,0,114,78,0,111,76,0,104,83,0,105,83,0
38017024-02,38,017,024-02,154,160,1,166,130,14,0,120,48,133,0,189,114,1,190,110,0,182,110,0,179,108,0,173,126,0
38017025-01,38,017,025-01,243,154,1,274,106,14,0,116,50,193,1,292,95,0,277,103,0,266,95,0,260,95,0,254,118,0
38017025-02,38,017,025-02,301,264,5,314,226,19,1,229,64,241,2,373,179,2,357,190,2,340,193,2,341,187,1,322,223,1
38017027-01,38,017,027-01,303,719,9,340,620,50,3,578,102,299,2,408,590,2,405,578,2,343,623,2,354,608,3,352,620,3
38017027-02,38,017,027-02,1416,2024,15,1584,1674,110,6,1698,437,1065,7,1878,1444,8,1836,1414,5,1569,1648,2,1625,1566,3,1541,1714,4
38017027-03,38,017,027-03,2309.4,2739.8,22.3,2527.9,2300.7,159.4,3,2381.2,638.4,1670.6,11.1,3011.9,1907.7,7,2852.3,1967.6,4,2623.6,2107.9,8,2560.7,2114.3,10,2415.7,2378.9,11
38017041-01,38,017,041-01,1660,2370,26,1823,2017,158,6,1897,456,1477,8,2172,1785,9,2169,1722,10,1906,1932,7,1952,1868,4,1867,2002,8
38017041-02,38,017,041-02,1483.2,1704.4,19,1582.3,1464.2,103.1,4,1462.2,292.3,1253,7,1872.6,1246,4,1823.5,1241,6,1628.3,1378.1,5,1673.3,1320.1,4,1580.3,1463.2,5
38017044-01,38,017,044-01,1222,2660,27,1330,2299,187,8,2340,279,1097,13,1629,2111,12,1640,2034,11,1361,2243,10,1385,2171,15,1356,2293,11
38017044-02,38,017,044-02,1287.2,1911.4,15.9,1400.9,1670.1,98.7,3,1699,281.2,1101.8,6,1789.8,1335.1,9,1654.2,1404.9,6,1483.7,1529.5,5,1455.7,1521.5,8,1410.9,1632.2,8
38017045-01,38,017,045-01,1365.7,2033.6,18,1480.9,1733.3,143.1,2,1639.5,315.4,1253.4,8,1790.6,1490.7,9,1730.3,1491.9,8,1532.1,1644,7,1507,1641,5,1486.9,1730.2,6
38017045-02,38,017,045-02,610.3,476.3,8,669,375.9,32.8,0,408.7,146.1,461.2,6,744.5,322.2,1,727.6,321.2,1,669,355,1,663,356,1,652,384.9,3
38017045-03,38,017,045-03,575.4,502.3,7,631.5,403.9,41.2,0,407.8,142.3,470.3,5,722.8,336.7,3,714.8,333.7,1,648.5,374.9,2,668.5,352.9,3,629.5,426.9,0
38017045-04,38,017,045-04,233.2,208.2,1,267.2,156.2,14,0,164.2,41.1,218.2,0,303.3,133.1,0,297.3,131.1,0,257.3,164.1,0,270.3,147.1,0,252.2,176.2,0
38017046-01,38,017,046-01,761,1373,11,854,1169,97,3,1120,175,754,5,1069,1020,6,1030,1042,5,898,1134,7,940,1087,5,887,1162,7
38017046-02,38,017,046-02,1475.7,1810.6,15.1,1607.6,1558.9,77.7,7,1553.7,296.4,1272.3,6,1958.7,1248.3,7,1861.3,1281.3,11,1674.9,1407.5,10,1687,1349.2,11,1625.4,1485,12
38017046-03,38,017,046-03,951,1131.4,13.6,1031.5,968.4,71.8,1,943.2,230.9,807.3,4.8,1240.1,812.2,1,1205.2,811.2,1,1065.4,927.7,1.9,1072.2,898.5,1,1017.9,979.1,1.9
38019001001,38,019,001001,1181.9,765.4,12,1216.9,643.4,64,4,614.3,222.2,922.7,6,1427,468.3,4,1421,444.3,5,1222.9,595.4,3,1133.9,654.4,3,1170.9,657.4,4
38021002601,38,021,002601,81,68,3,94,53,2,0,57,12,71,0,104,42,0,88,58,0,91,51,0,86,52,0,83,59,0
38021002602,38,021,002602,572,555,3,656,443,23,1,443,158,483,2,755,357,1,664,456,0,665,422,0,654,433,0,634,468,0
38021002801,38,021,002801,600,288,0,625,222,35,0,229,156,461,1,677,203,0,638,235,0,633,235,0,621,235,0,597,272,0
38023000201,38,023,000201,349,220.1,4,422,124.1,22,0,154.1,93,294,0,467,107.1,0,460,106,0,368,180.1,1,406,144.1,0,363,199.1,0
38023000202,38,023,000202,156,134.9,1,189,91.9,10,0,98.9,34,147,0,216,70.9,0,222,61,0,179,101,1,190,85,0,161,123.9,0
38023000203,38,023,000203,95,58,2,111,41,3,0,43,24,81,0,113,37,2,117,36,0,102,48,0,98,51,0,93,59,0
38023000204,38,023,000204,120,56,1,137,33,9,1,38,33,103,1,144,35,1,148,30,1,130,46,1,137,39,1,118,59,1
38025000401,38,025,000401,21,108,0,22,97,8,0,89,8,26,0,25,100,0,25,99,0,22,103,0,21,103,0,24,103,0
38025000402,38,025,000402,160,41,1,171,28,3,0,35,27,130,1,170,32,0,168,33,0,164,33,0,156,41,0,153,48,0
38025000403,38,025,000403,216,57.3,1,233,34.3,4,1,41.3,39,178,1,239,32.3,1,246.1,27.3,1,224,41.3,1,220,43.3,1,191,80.3,0
38025000404,38,025,000404,66,22,0,68,16,1,0,18,6,54,0,70,13,0,72,11,0,69,13,0,61,19,0,62,20,0
38025000405,38,025,000405,3,49.7,0,5,46.7,1,0,44.7,2,5,0,6,45.7,0,7,44.7,0,3,48.7,0,3,47.7,0,5,45.7,0
38025003601,38,025,003601,237,58,1,250,41,5,0,50,36,196,0,259,33,0,255,40,0,236,45,0,233,51,0,219,81,0
38025003602,38,025,003602,155,51,4,186,26,2,0,31,21,151,0,185,25,1,186,25,0,169,36,1,163,35,0,155,52,0
38025003603,38,025,003603,71,14,0,76,7,2,0,9,2,72,0,78,8,0,77,8,0,75,10,0,72,10,0,70,13,0
38025003604,38,025,003604,19,1,1,19,1,1,0,4,6,10,0,15,5,0,18,2,0,17,3,0,19,1,0,16,4,0
38025003901,38,025,003901,88.7,12.1,1,92.7,8.1,0,0,10.1,17.1,71.6,0,88.7,10.1,0,91.8,8.1,0,90.7,7.1,0,91.7,5.1,0,79.7,20.1,0
38025003902,38,025,003902,130.4,27.1,1,134.4,20.1,0,0,30.1,14.1,101.3,0,129.4,23.1,0,127.4,27.1,0,128.4,21.1,0,116.4,32.1,0,95.3,60.1,0
38025003903,38,025,003903,332.6,83.9,0,346.6,53.9,15,0,72.9,59.9,253.7,2,351.6,56.9,0,351.6,58.9,0,343.6,64.9,0,324.6,75.9,0,291.6,122.8,0
38027002301,38,027,002301,360.4,309.3,2,387.4,248.3,30,1,223.2,101.1,323.4,2,444.4,216.2,0,437.5,222.2,2,393.4,257.3,0,376.4,270.2,0,384.4,270.2,0
38027002302,38,027,002302,314,245.2,2,330,210.3,18,0,182.4,62.8,293.1,0,360.9,196.4,0,376.8,183.4,0,325,211.3,0,333,201.4,0,332,211.3,0
38029002801,38,029,002801,351.1,89,1,360.1,67,12,2,73,44,304,0,372.1,65,0,383.1,53,0,353.1,76,0,342,83,0,329,103,0
38029002802,38,029,002802,312.9,76.7,3,319.8,55.8,12.9,1,87.7,74.7,214.2,2,314.9,72.7,1,339.8,45.8,2,301.9,78.7,3,294.9,79.7,2,291.9,87.7,2
38029002803,38,029,002803,257.5,87.2,2,285.5,58.1,11,0,85.1,46.1,207.3,1,296.5,61.1,0,304.5,53.1,0,285.5,66.1,0,272.5,76.1,0,268.5,84.1,0
38029002804,38,029,002804,246.1,74.2,2,260.2,40.2,10,1,71.3,57.2,170.8,0,266.1,46.3,0,269.2,44.1,0,248.1,53.3,0,232.1,58.3,1,237,68.3,0
38029002805,38,029,002805,266.1,64,3,283.1,41,6,0,64,38,214.1,0,274.1,51,4,294.1,39,0,271.1,53,0,262.1,59,0,243.1,77,3
38031002901,38,031,002901,53,50,0,62,36,3,0,42,13,43,0,68,34,0,68,34,0,64,36,0,60,37,0,62,38,0
38031002902,38,031,002902,33,32,1,45,21,0,0,19,5,38,1,46,21,0,47,18,0,36,28,0,40,22,1,40,23,0
38031002903,38,031,002903,59,33,0,62,27,2,0,30,10,48,0,67,24,0,69,22,0,62,28,0,59,28,0,61,28,0
38031002904,38,031,002904,289.5,120.4,4.1,315.8,80.5,11.7,0.1,111.3,48.8,245.2,0.1,343.8,62.9,0.1,347.8,60.9,1.1,317.5,79,0,309.5,80.9,0,291,109.7,0
38031002905,38,031,002905,332,187.5,4.9,341.8,153.3,25.4,2,184.5,65.4,249,2,379.9,130.8,2,379.9,132.8,2.9,332,175.7,2,334,167.9,2,315.4,194.3,1
38031002906,38,031,002906,285.6,165.1,4,305.5,132.3,10.9,2,155.2,50.7,229.9,2,331.4,117.3,2,334.4,111.4,2,304.5,130.3,1,289.6,139.2,1,269.7,174,1
38033003901,38,033,003901,702.8,170.8,5,719.7,122.8,25,2,150.8,156.7,491.1,5,734.7,130.8,2,749.7,114.8,2,672.9,159.8,1,657.9,159.8,1,644.9,195.7,1
38035001701,38,035,001701,395.5,274.6,1.8,394.9,257,9.5,0.9,222.3,66,333.7,0,478.1,178.9,0.1,456,189.9,0.9,409.4,221.2,0,398.6,215.6,0,396.9,245.8,0.1
38035001702,38,035,001702,1147.1,1254.6,8,1178.7,1122.3,68.6,3,991.3,227.3,946.8,3,1471,855,3,1372.1,860.5,1,1186.3,1001.2,1,1182.8,976.2,1,1159.1,1104,2
38035001703,38,035,001703,909,1178,12,892,1100,72,3,981,229,696,4,1204,817,4,1132,829,2,916,986,4,911,968,2,911,1055,6
38035001704,38,035,001704,767,881,3,771,823,32,2,698,164,650,7,994,606,3,930,623,5,819,700,2,800,693,2,777,782,6
38035001705,38,035,001705,1168.1,1023.5,2.9,1172.9,955.5,24.3,3.9,802,217.8,929,1.9,1511.2,598.9,2.9,1424.7,623.2,1,1202.2,783.5,1,1184.6,769,1.9,1140,917.6,3.9
38035001801,38,035,001801,294.9,207.9,4.1,285.1,188.1,17.5,1,164.3,64.4,229.7,2,332.9,154.5,1,333.3,138.5,3,289.2,172.4,3,286.2,174.2,2,270,202,2
38035001802,38,035,001802,322.9,486.7,7.2,333.8,420.5,37.5,1,400.5,95.3,256.4,1,412.6,370.9,2,394.3,373.8,3,329.9,421.1,2,335.9,410.8,1,323.7,449.4,2
38035001803,38,035,001803,160.4,262.8,5.8,156.5,248.3,19.3,0,216.4,52.2,136.2,0,220.3,195.2,0,209.7,192.3,1,160.4,235.8,0,161.3,226.1,0,154.6,249.3,0
38035001804,38,035,001804,264,433,16,262,374,50,2,324,98,238,4,342,328,8,332,325,7,275,370,8,270,372,6,274,388,7
