GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRCRA,G18USSDHEI,G18USSOWRI,G18HALRARM,G18HALDSCH,G18HALITUT,G18HALOWRI,G18SOSDBOS,G18SOSICOA,G18SOSIJAE,G18SOSOWRI,G18ATGRSTE,G18ATGDTHO,G18ATGOWRI,G18AGRRGOE,G18AGRDDOT,G18AGROWRI,G18PSCRCHR,G18PSCDBRA,G18PSCOWRI,G18PSCRKRO,G18PSCDBUC,G18PSCOWR2,G18TAXRRAU,G18TAXDOVE,G18TAXOWRI
38001003901,38,001,003901,796.1,364,4,878.1,236,44,0,289,195,609.1,1,934.1,217,4,934.1,208,0,888.1,248,1,812.1,297,0,834.1,297,2
38003002401,38,003,002401,178,191,3,201,158,9,0,165,40,144,0,254,109,0,237,124,0,203,155,0,199,155,0,193,164,1
38003002402,38,003,002402,283.6,370.7,3.9,304,304.7,35.9,1,307.6,67,243.7,1,352.5,289.2,1,375.8,264,1.9,300.1,325.1,1,309.8,297.9,3.9,297.2,323.2,1.9
38003002403,38,003,002403,188,194,3,206,148,21,2,166,33,161,1,236,136,1,222,146,2,195,167,2,195,168,2,183,186,1
38003002404,38,003,002404,301.9,330.2,3,325,277.2,30.5,1.1,301.5,78.8,230,2.1,385.4,240.9,0.1,382.9,237.7,1,323.8,295.6,1.1,338.7,269.6,0.1,318.6,297.5,1
38003002405,38,003,002405,370.8,401.7,1,420,319.6,26.1,1,321.5,106.2,314.8,2.9,503,263.6,1,500.1,259.7,0,421.9,317.7,1,416.1,316.7,1,393.9,352.4,1
38003002406,38,003,002406,164,163,0,179,131,12,0,135,37,132,1,202,116,0,210,108,0,181,129,0,173,131,1,168,145,0
38003002407,38,003,002407,70,59,1,78,49,4,0,43,20,66,0,93,38,0,94,37,0,81,49,0,75,54,0,78,52,0
38003002408,38,003,002408,79,63,1,100,39,3,0,42,13,82,0,109,31,0,109,32,0,96,42,0,92,45,0,83,54,0
38003002409,38,003,002409,126,91,0,144,65,4,0,62,31,110,0,166,50,0,169,47,0,141,62,0,133,68,0,138,70,0
38003002410,38,003,002410,39,38,1,47,28,2,0,29,12,32,0,48,28,0,52,24,2,46,26,1,46,27,0,48,27,0
38003002411,38,003,002411,324.8,249.4,0.2,346,193.5,27.5,1,216.3,71,256.5,1.1,392,168.4,1,400.2,164.6,0.1,359.2,184.7,1,358.3,182.8,1.1,337.4,216.9,0.1
38003002412,38,003,002412,112,113,0,130,84,7,1,74,25,121,0,150,68,1,149,71,0,132,82,0,136,82,0,130,92,0
38003002413,38,003,002413,119,123,0,126,103,12,0,101,38,98,0,147,89,0,157,83,0,134,97,0,131,99,0,112,120,1
38003002414,38,003,002414,41,51,0,49,42,2,0,39,6,45,0,68,24,0,59,33,0,46,43,0,58,29,0,50,41,0
38003002415,38,003,002415,110,79,2,130,50,5,0,45,21,115,1,141,45,0,145,43,0,124,60,0,125,53,0,125,57,0
38005001401,38,005,001401,545.7,476.3,7,578.7,397.4,42.9,0,340.5,81.9,582.5,0,714.5,299.5,0,701.5,306.5,1,611.5,386.5,0,591.5,392.4,1,581.6,415.4,0
38005002301,38,005,002301,117.6,118.4,1,123.6,103.4,12,0,93.3,18.1,122.5,1,157.6,82.3,1,160.7,77.3,1,137.6,92.4,0,128.6,99.4,0,133.6,102.4,0
38005002302,38,005,002302,74.3,691.2,2,112.3,601.2,41,3,588.1,60,94.3,2,132.4,617.1,2,139.4,605.1,3,120.3,622.2,4,97.3,644.2,4,111.3,626.2,4
38005002303,38,005,002303,91.2,141.1,2,95.2,123.1,9,1,115.1,11,91.1,2,111.2,113.1,4,115.2,111.1,2,100.2,123.1,2,95.2,122.1,2,95.2,125.1,4
38007003901,38,007,003901,120.8,52.5,0,128.7,33.7,11.9,0,45.5,29.7,84.1,0,138.6,33.7,0,138.6,30.7,0,127.7,41.6,1,126.7,42.6,0,130.7,42.6,0
38007003902,38,007,003902,254,41,0,262,26,6,0,31,50,201,1,260,30,0,259,28,0,249,39,0,240,40,0,233,54,0
38007003903,38,007,003903,74.4,21.1,0,77.4,16.1,3,0,12.1,10.1,63.3,1,82.4,13.1,0,87.4,8.1,0,76.4,15.1,0,78.3,15.1,0,74.4,17.1,0
38009000601,38,009,000601,448.9,170.6,4.1,470.6,119.5,25.4,1,138.5,89.3,374.3,1,507.2,118.2,1,529.3,92.1,0,418.8,204.6,0,451.8,152.2,0,463.2,153.1,0
38009000602,38,009,000602,451.2,238,4,495.6,163,26.7,1,232.9,85,343.6,2,535.1,147.2,3,545,137.3,2,381.2,299.2,2,443.3,211.3,2,467,205.4,2
38009000603,38,009,000603,384.1,218.5,5,416.1,149.6,33.9,3,172.7,103.7,304.3,4,449,149.6,2,456,143.6,1,337.2,255.4,1,384.1,192.5,2,400.1,187.6,1
38009000604,38,009,000604,504.3,239.2,1,536.2,185.4,21.9,0,207.3,83.7,423.6,1,588.1,153.5,0,588.1,146.5,0,468.4,264.1,0,525.3,202.3,0,517.3,218.3,1
38009000605,38,009,000605,358.7,243.8,0,397.8,188.6,18.1,1,207.7,63.3,309.4,2,431.9,166.5,1,444.9,150.5,1,317.6,278.9,1,352.7,222.7,1,365.7,219.7,1
38011003901,38,011,003901,540.7,215.4,7.8,590.6,136.1,21.5,2,182.1,105.8,416.3,1,619,130.2,1,623,114.5,1,571,159.6,1,552.4,171.3,0,553.4,179.2,0
38011003902,38,011,003902,313.3,78.6,1.2,347.4,39.9,6.5,0,55.9,53.2,251.7,0,349,47.8,0,356,35.5,0,328,56.4,0,319.6,58.7,0,307.6,76.8,0
38011003903,38,011,003903,171,32,2,182,17,8,0,21,41,126,0,180,23,0,191,15,0,181,23,0,170,29,0,169,36,0
38011003904,38,011,003904,207.9,78,1,210.9,60,16,0,82,43,137.9,3,220.9,60,0,226.9,52,1,203.9,75,0,188.9,81,0,187.9,87,0
38013000201,38,013,000201,47,11,0,50,5,0,1,6,7,35,0,52,3,0,50,4,0,49,6,0,47,6,0,40,14,0
38013000202,38,013,000202,177,81,2,199,56,4,0,58,29,163,0,218,43,0,213,45,0,193,60,1,197,53,0,201,60,0
38013000203,38,013,000203,243.5,57.1,1,251.5,41.1,10,0,47.1,28.1,215.4,0,264.5,38.1,0,264.5,37.1,0,251.5,48.1,0,247.5,49.1,0,237.5,60.1,0
38013000204,38,013,000204,113,30,3,122,16,3,0,22,19,96,0,128,16,0,125,16,1,113,28,0,118,19,0,111,31,0
38013000205,38,013,000205,99,23,0,101,16,4,0,13,13,90,0,106,15,0,107,13,0,101,20,0,104,15,0,106,14,0
38013000206,38,013,000206,50,26,1,56,17,3,0,20,7,40,0,59,15,0,63,12,0,51,20,0,55,19,0,55,20,0
38015000701,38,015,000701,1294.9,577,19.3,1346.5,412.4,89.5,5.1,608.2,326.5,827.5,8.3,1390,457.1,6.1,1444.6,376,3.2,1288.2,490.6,4.2,1262.7,495.6,4.2,1176.2,633.9,10.2
38015000702,38,015,000702,915.6,494.6,10.1,1020.8,325.3,36.9,2,455.7,173.8,683.3,3,1092.6,287.9,4,1076.1,277,4,979.2,343.3,6.1,965.2,337,6,888.6,456.6,7
38015000703,38,015,000703,1050.3,585.3,12.1,1127.7,418.9,61.1,5,542.4,260.4,726.4,9.2,1188.8,435.5,2,1206.7,373.6,2.1,1075.3,454,3.1,1058.9,455.3,4.1,941.2,625.2,5.1
38015000704,38,015,000704,512.9,195.9,5.6,540.9,146.4,17.7,1.9,189.3,122.2,360.9,6.5,558.6,139.9,1.9,560.5,128.7,2.8,517.6,157.6,3.7,503.6,165.1,3.7,458.8,230.4,2.8
38015000705,38,015,000705,549.1,202,2.2,596.6,131,16.4,1,210.6,101.4,389.2,3,595.9,146.1,2,607.4,124.6,2,570.5,138.5,1,551.4,148.8,1,516.3,199.8,2
38015000706,38,015,000706,902.8,441.6,3.6,955.4,325.4,39,0,427.8,183.6,633,1.7,1004.2,307.1,0.8,1020.6,277.3,0.6,943.2,326.2,2.3,925.4,334.1,1.6,873.2,410.9,1.4
