GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16HALRZIN,G16HALDJUN,G16HALLBRE,G16GOVRGIA,G16GOVDBUL,G16GOVLDUN,G16ATGRFOX,G16ATGDJEN,G16SOSRSTA,G16SOSDLIN,G16SOSLROO,G16AUDRROS,G16AUDDLAS,G16SPIRARN,G16SPIDROM
30095000010,30,095,000010,80.51,42.92,5.62,1.85,0,84.24,47.62,5.59,73.01,62.56,1.89,97.37,37.3,79.61,54.1,3.74,76.76,55.1,68.42,63.45
30095000011,30,095,000011,136.47,48.35,10.22,0.17,0,140.64,58.47,5.34,121.14,78.25,6.01,166.02,37.17,141.27,56.99,6.17,129.32,70.74,128.61,70.51
30095000013,30,095,000013,643.41,193.54,47.73,11.12,0.1,638.41,232.84,33.12,534.67,336.57,28.3,716.37,158.08,643.11,220.84,30.21,600.47,273.74,570.96,304.27
30097000001,30,097,000001,324.28,80.36,18.91,8.51,2.84,318.6,107.78,13.24,261.88,165.45,15.13,351.69,76.58,298.75,116.29,19.85,306.31,118.18,278.9,147.48
30097000002,30,097,000002,274.8,105.62,22.49,3.91,0,277.73,125.17,12.71,232.74,171.14,15.65,330.54,85.08,283.6,118.33,15.65,265.02,146.69,247.41,164.29
30097000003,30,097,000003,379.47,86.01,14.71,5.17,0.01,393.39,90.77,9.48,340.02,146.2,8.54,415.88,61.63,369.61,94.47,20.54,353.93,117.38,347.65,124.72
30097000004,30,097,000004,389.77,102.06,14.49,4.61,0.19,388.14,134.28,6.04,352.92,163.62,7.11,422.87,90.83,391.1,120.5,9.56,380.08,131.32,357.41,150.14
30097000005,30,097,000005,232.82,30.49,6.9,0.99,0,215.16,50.15,7.86,202.34,63.96,10.79,241.7,29.51,220.07,38.36,11.8,212.18,55.1,211.19,58.06
30099000001,30,099,000001,936.87,385.57,91.03,13.1,7.99,939.03,507.85,35.35,762.9,678.09,40.19,1119.9,309.19,928,489.07,30.35,886.53,512.52,824.84,597.22
30099000006,30,099,000006,220.08,82.09,18.54,1.17,0.04,218.98,108.99,4.54,172.41,159.67,3.44,266.52,54.63,210.83,112.06,4.49,199.45,117.43,160.47,159.48
30099000007,30,099,000007,636.94,197.37,32.84,8.13,2.74,644.08,252.71,22.61,544.55,353.08,19.95,740.01,154.89,639.52,250.81,21.66,611.51,272.42,562.93,329.23
30099000011,30,099,000011,113.6,27.55,9.09,1.02,0.02,108.68,45.58,2.06,90.52,63.73,2.07,128.82,22.44,109.64,45.53,2.04,96.73,57.41,87.72,62.54
30099000017,30,099,000017,209.25,98.2,7.88,2.95,0.98,207.27,109.04,7.86,161.11,156.18,6.88,226.95,89.36,183.73,128.66,8.84,194.5,117.87,161.12,159.11
3010100DG-1,30,101,00DG-1,96.54,23.9,5.73,0,0,96.54,29.63,3.82,80.29,47.79,0.96,108.96,15.29,86.02,38.23,2.87,82.2,42.06,83.16,43.01
3010100Ke-1,30,101,00Ke-1,98.72,20.51,1,1.96,0,90.95,29.28,4.89,79.22,41.03,3.9,98.76,20.49,86.07,34.17,1.96,87.99,29.31,88.95,33.24
3010100Sh-1,30,101,00Sh-1,806.84,247.51,62.34,19.23,3.82,822.02,293.71,47.11,636.02,487.53,33.56,911.3,202.44,755.93,332.17,49.81,723.27,367.53,665.84,441.53
3010100Sh-6,30,101,00Sh-6,177.03,35.65,10.77,3.76,0.19,179.61,43.88,9,153.92,74.64,3.58,193.72,27.67,172.18,50.82,6.24,163.87,56.34,156.23,71.43
3010100Su-1,30,101,00Su-1,315.41,74.1,16.02,4,2,319.41,96.13,10.02,262.34,147.2,14,345.47,73.07,303.37,105.16,12.01,290.35,119.18,264.36,154.18
30103000001,30,103,000001,341.32,58.15,26.02,6,1,335.99,95.18,9.02,267.79,158,12.02,368.99,64.13,272.5,157.62,3.01,300.82,127.28,265.67,169.13
30105000031,30,105,000031,467.87,250.83,38.03,9.96,2.97,463.94,308.6,19.05,404.71,355.93,25.97,520.68,243.89,402.93,361.57,15.04,423.74,328.83,399.76,349.91
30105000033,30,105,000033,1066.11,351.26,99.77,21.94,4.99,1080.11,437.01,54.9,933.46,580.67,54.88,1167.89,337.29,960.42,502.86,71.84,939.49,539.75,883.58,621.59
30105000034,30,105,000034,1162.96,282.64,96.1,12.02,6,1156.07,368.64,72.04,1004.08,526.67,63.02,1230.23,292.5,1037.93,463.8,56.02,1025.01,467.7,973.01,528.64
30107000001,30,107,000001,59.95,5.33,4.9,0.05,0.01,58.05,12.14,2.94,48.99,23.12,1,60.11,12.03,55.17,14.06,2,50.26,18.03,48.31,21.88
30107000002,30,107,000002,297.12,92.8,21.48,8.04,2.13,297.99,115.64,13.32,220.3,196.71,7.29,323.78,97.08,295.56,118.35,15.01,272.36,144.21,265.45,150.36
30107000003,30,107,000003,71.28,17.48,1.27,1.97,0.06,70.36,21.72,0.16,66.5,26.58,1.22,78.68,13.4,61.49,24.81,4.1,63.01,28.91,65.21,26.09
30107000004,30,107,000004,108.3,28.29,4.58,1.08,1.05,98.73,40.78,4.16,73.94,67.65,4.17,111.48,29.04,98.51,42.92,3.09,86.31,53.06,86.29,52.25
30107000009,30,107,000009,168.78,35.73,11.21,2.83,2.79,167.82,52.57,7.46,140.65,86.26,6.53,187.49,37.55,161.21,64.68,2.87,154.66,66.66,155.6,68.49
30109000001,30,109,000001,467.44,55.65,18.08,0.02,1,412.2,105.82,27.14,384.92,144.12,21.06,452.29,74.63,389.06,122.78,20.1,446.07,89.71,380.98,132.88
301110039.1,30,111,0039.1,164.94,22.87,4.24,1.04,0.02,160.15,30.28,4.17,139.56,49.23,6.2,175.69,17.84,145.8,47.7,2.15,146.98,41.53,141.99,51.89
301110039.2,30,111,0039.2,1245.17,296.64,76.27,12.03,5.01,1210.13,425.91,54.14,979.69,650.33,65.18,1368.39,282.55,967.41,675.6,45.1,1109.8,529.25,1071.82,592.22
301110040.1,30,111,0040.1,1347.97,306.95,95.72,13.27,5.08,1321.99,434.26,57.96,1096.19,653.22,72.84,1469.62,279.44,1206.99,547.7,47.17,1198.82,560.94,1175.56,598.91
301110040.3,30,111,0040.3,282.79,56.05,18.36,1.12,0.1,279.49,77.39,13.32,225.87,126.79,16.5,310.83,51.77,271.39,86.98,10.62,260.17,98.47,269.31,96.69
301110040.4,30,111,0040.4,194.71,59.88,12.98,0,0,203.69,70.87,2.01,164.74,102.83,10.98,218.67,48.91,195.7,70.88,9.98,189.71,79.86,186.72,85.85
301110040.5,30,111,0040.5,100.32,18.73,8.03,0,0.67,98.99,25.42,6.02,94.31,35.45,1.34,109.69,18.73,100.99,26.08,2.01,98.32,28.76,92.3,35.45
301110042.1,30,111,0042.1,84.3,16.66,3.92,0.98,0.98,87.24,21.56,2.94,82.34,28.43,1.96,96.06,11.76,84.3,23.53,3.92,84.3,24.51,84.3,25.49
301110042.2,30,111,0042.2,194.43,68.78,9.78,1.61,0.18,188.13,82.02,11.5,160.02,108.89,11.89,213.7,58.91,192.18,84.06,4.15,181.54,86.91,183.45,94.45
301110043.1,30,111,0043.1,393.78,87.52,24.75,2.23,1.96,408.57,104.27,12.18,340.27,178.06,12.33,446.07,69.61,356.03,160.28,6.56,351.57,149.05,335.75,181.17
301110043.2,30,111,0043.2,588.99,198.87,43.5,12.5,2.35,577.1,266.28,26.05,464.94,375.8,29.73,673.88,171.04,534.28,294.85,30.59,536.32,296.72,501.31,349.43
301110043.3,30,111,0043.3,1876.86,891.53,215.16,44.39,9.63,1899.89,1118.54,109.73,1469.99,1533.1,127.03,2228.28,820.61,1772.09,1222.72,107.15,1757.02,1259.85,1636.33,1435.69
301110044.1,30,111,0044.1,596,266,57,13,3,605,337,32,457,487,33,705,246,577,363,28,553,395,534,426
301110044.2,30,111,0044.2,1145,627,161,37,7,1209,765,68,897,1053,91,1465,506,1157,782,75,1123,824,1072,925
301110044.3,30,111,0044.3,889.29,470.92,115.12,18.49,4.08,956.47,564.94,37.74,762.91,754.56,39.8,1124.45,382.08,920.27,599.93,29.81,852.08,638.45,819.88,719.02
301110045.2,30,111,0045.2,2377.8,1166.19,281.43,50.36,13.82,2579.24,1349.85,90.85,2145.75,1754.71,128.37,3020.63,884.76,2472.59,1415.03,102.7,2336.32,1541.42,2148.71,1803.1
301110046.1,30,111,0046.1,231.96,98.69,18.74,1.9,1.17,253.6,104.74,5.67,215.62,140.17,7.58,276.64,78.97,241.05,111.74,8.5,223.64,130.98,225.03,135.7
301110046.2,30,111,0046.2,2989.22,1952.59,278.39,49.53,10.9,3369.69,2052.62,94.11,2805.97,2622.29,96.1,3986.86,1369.07,3319.16,2060.54,104.03,3008.03,2265.68,2874.31,2550.97
301110047.1,30,111,0047.1,574.26,725.72,94.23,45.69,6.98,579.6,816.26,68.65,451.37,952.45,71.68,750.27,659.07,566.87,809.89,74.68,556.79,854.35,549.91,893.35
301110047.2,30,111,0047.2,1156.16,1150.2,150.85,18.86,5.95,1336.77,1206.77,42.67,1142.26,1405.25,49.62,1641.44,851.49,1354.64,1151.19,53.59,1202.8,1267.31,1208.75,1316.93
301110048.1,30,111,0048.1,1105,1159,182,52,10,1180,1313,97,952,1538,99,1488,967,1168,1287,100,1067,1410,1093,1422
301110048.2,30,111,0048.2,1107,866,127,25,5,1222,934,44,975,1187,51,1480,645,1202,941,50,1062,1042,1119,1042
301110049.1,30,111,0049.1,584,726,132,44,10,609,873,84,464,1016,88,797,690,594,842,98,588,895,572,949
301110049.2,30,111,0049.2,869,758,139,34,7,890,905,79,712,1090,77,1147,659,902,876,71,860,928,868,972
301110050.1,30,111,0050.1,850,702,165,59,5,833,912,90,630,1109,103,1109,686,822,916,80,799,978,798,1012
301110050.2,30,111,0050.2,999.26,681.6,137.05,23.6,11.8,1046.45,775.08,83.5,818.65,1009.24,89.85,1285.15,553.63,1023.76,795.05,68.07,977.48,848.6,952.97,904.87
301110051.1,30,111,0051.1,634.18,412.61,71.8,18.41,15.49,588.92,524.92,59.05,425.97,676.28,72.59,737.43,397.55,569.61,537.35,58.11,594.36,542.5,584.56,566.92
301110051.2,30,111,0051.2,534.11,382.26,57.82,13.93,2.55,551.98,425.13,29.95,451.89,527.84,30.32,668.71,295.03,557.33,405.91,31.27,516.74,450.26,497.62,483.78
301110051.3,30,111,0051.3,984,613,150,29,8,1020,740,77,780,969,93,1257,523,969,771,76,965,809,925,873
301110052.1,30,111,0052.1,830.2,608.15,140.02,28.01,8,837.21,741.16,101.01,598.17,968.2,114.01,1048.25,567.11,809.21,759.15,87.01,789.19,799.17,845.19,805.18
301110052.2,30,111,0052.2,1214.93,780.69,118.1,34.02,8,1226.97,916.76,82.05,937.8,1216.94,80.05,1547.18,612.53,1245.98,911.72,58.06,1138.91,1012.8,1242.87,968.86
301110053.1,30,111,0053.1,2981.74,1233.63,212.33,16.02,13.02,3374.12,1231.72,65.06,2921.52,1684.22,77.12,3734.36,805.44,3330.87,1227.84,88.14,2969.62,1532.19,2916.79,1672.11
301110053.2,30,111,0053.2,1070.88,260.24,84.62,14.08,5.01,1121.96,308.8,40.27,940.76,500.99,33.29,1215.93,211.84,1057.78,360,38.18,995.01,423.68,1007.29,425.53
301110053.3,30,111,0053.3,782.55,218.36,61.26,7.9,0.99,792.43,272.7,26.68,671.88,393.25,28.65,886.29,179.82,771.68,294.44,18.77,698.56,359.65,725.24,345.82
301110054.1,30,111,0054.1,2907.74,1585.4,289.95,51.4,15.2,3096.55,1787.92,133.5,2504.35,2341.76,167.15,3648.85,1164.37,2999.24,1804.95,142.93,2777.52,1988.4,2807.03,2085.13
301110054.2,30,111,0054.2,569.17,185.54,40.72,9.26,0.93,603.32,216.07,25.89,486.01,334.31,24.05,661.75,152.99,583.08,241.79,12.08,522.15,276.02,523,297.32
301110055.1,30,111,0055.1,346.43,106.11,21.6,3.6,0,334.79,134.89,17.98,279.92,191.56,19.79,373.45,107.9,323.09,140.28,20.69,320.34,150.24,302.34,180.8
301110055.2,30,111,0055.2,73.42,15.27,5.45,1.11,0.01,77.81,19.6,2.31,68.36,29.06,3.27,82.52,13.85,75.57,19.96,3.1,67.88,28.26,64.95,31.49
301110055.3,30,111,0055.3,828.38,254.37,64.09,15.32,3.2,838.02,312.65,48.11,715.2,437.92,43.74,943.29,228.43,826.3,331.44,33.04,739.8,418.21,732.07,441.94
301110055.4,30,111,0055.4,750.49,349.35,88.39,16.37,4.07,721.04,454.34,65.05,546.66,602.99,92.72,869.25,328.68,694.93,468.81,64.57,702.3,495.24,664.37,552.5
301110055.5,30,111,0055.5,1047.94,507.6,116.69,11.42,5.08,1049.25,636.03,53.3,805.24,876.13,57.16,1255.99,428.92,1007.03,675.51,37.87,950.8,750.77,888.6,822.36
301110056.1,30,111,0056.1,231.53,63.05,19.7,4.93,0,243.35,82.76,7.88,199.02,124.14,8.87,272.91,53.2,203.94,115.27,9.85,205.91,115.27,200.99,124.14
301110056.2,30,111,0056.2,2117.35,837.96,148.16,50.33,13.8,1998.26,1110.29,128.29,1558.94,1524.92,162.79,2383.15,766.8,1925.77,1195.52,91.81,1866.61,1265.5,1776.89,1397.71
301110056.3,30,111,0056.3,559.85,226.39,37.35,6.4,5.99,566.37,267.62,18.05,477.39,353.79,22.26,650.5,175.92,561.03,259.32,21.33,527.02,291.23,510.07,324.53
30111040-45,30,111,040-45,574.98,175.07,38.32,5.71,1.97,597.09,200.38,21.03,500.9,297.42,22.39,655.6,138.49,553.72,237.01,21.49,525.71,265.35,505.08,297.94
