GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRROS,G18USSDTES,G18USSLBRE,G18HALRGIA,G18HALDWIL,G18HALLSWA,G18CSCRGRE,G18CSCDREN,G18CSCLROO
30053000014,30,053,000014,167.9,74.8,5.3,171.9,69.8,7.4,171.7,58.5,10.9
30055000004,30,055,000004,295.7,93.3,9.7,313.2,74.9,8.8,302.5,68.1,9.8
30055000008,30,055,000008,283.9,69.5,10.6,296.8,59.7,10.3,271,53.3,20.6
30055000027,30,055,000027,195.2,73.3,8.9,205.3,67.9,2.3,189.8,61.7,10.2
30057000005,30,057,000005,586.6,390.9,24.8,654.8,327.6,24.7,608.4,278.1,61.4
30057000007,30,057,000007,490.9,262,33.2,552.5,217.4,17.3,544,176.9,39.6
30057000020,30,057,000020,1008.9,662.2,47.9,1058.8,608.5,55.6,1038.3,473.9,130.7
30057000021,30,057,000021,235.9,237.4,26.9,266.8,211.5,22,261.8,163.4,47.1
300570001-1,30,057,0001-1,82.8,89,6.2,86.1,86.6,5.2,81.1,70.3,14.3
300570001-2,30,057,0001-2,117.2,70.4,6.5,129.6,58,4.7,130.3,47.4,5.6
300570015-1,30,057,0015-1,154,53.4,4.5,164.3,44.4,1.4,148.9,39.8,15.4
300570015-2,30,057,0015-2,212.9,119.9,20.7,236.7,108.7,13.8,226.3,83.8,35.9
30059000005,30,059,000005,627.7,318.9,28,678.5,264.2,37.9,649.6,211.2,65.9
30061000022,30,061,000022,162.3,175.5,13,170.4,162.7,13.8,163.3,143.1,23.6
30061000024,30,061,000024,78,81.6,14,89.1,78.5,8,88.1,61.4,11.1
30061000025,30,061,000025,261.2,151.9,9.7,287.3,127.7,8.7,276.6,102.6,17.4
30061000026,30,061,000026,223.9,140.1,16.2,248.3,122.8,9.2,234.1,106.4,22.3
30061000027,30,061,000027,99.7,34.2,9.8,104.6,27.4,11.7,101.6,21.5,9.8
30061000030,30,061,000030,354.4,201.2,29.2,384.7,182.5,17.4,357.7,161.7,34.6
3006300014N,30,063,00014N,113,84,1,116,76,5,113,69,9
3006300014S,30,063,00014S,127,115,3,132,107,3,129,87,14
3006300089B,30,063,00089B,61.4,87.3,1,68.7,79.9,2.7,67.7,70,5.3
3006300089C,30,063,00089C,233.1,220,15.2,249.4,199.2,18.7,244.1,168.8,40.7
3006300089L,30,063,00089L,337,313,8,350,293,12,338,248,37
3006300089P,30,063,00089P,181,1318,16,208,1284,25,209,1172,62
3006300090E,30,063,00090E,389,1022,20,427,987,19,388,912,66
3006300090R,30,063,00090R,114,373,18,133,355,18,129,307,54
3006300090W,30,063,00090W,489,1714,39,538,1665,44,529,1454,140
3006300091L,30,063,00091L,196.1,1742.6,21.8,220.1,1693.6,49.8,220.6,1560.9,110.1
3006300092B,30,063,00092B,522.5,765.5,36.4,558.6,719.6,48.4,532,639.1,85.9
3006300092C,30,063,00092C,293.7,286,24,333.9,247.6,20.3,310.1,216.7,51.1
3006300092P,30,063,00092P,380,367,17.1,420.1,322.8,20.2,414,261.5,50.3
3006300094E,30,063,00094E,167.6,287.2,6,183.5,267.3,11,182.5,238.4,24.9
3006300094F,30,063,00094F,575.5,431.6,25.8,627.9,373.4,30.8,588,336,60.7
3006300094H,30,063,00094H,543.6,992,22.3,589.9,926.6,38.3,563.9,843,67.5
3006300094L,30,063,00094L,147.1,1155.3,24,167.2,1115.9,39.4,166.3,987.1,113.4
3006300095L,30,063,00095L,222,1634,40,248,1588,57,234,1481,119
3006300096E,30,063,00096E,1507.4,2534,113.7,1651.1,2363.4,130.7,1619.2,2101,223.5
3006300096F,30,063,00096F,470.1,333.1,22.2,508.6,297.3,21.2,484.5,248.9,50.2
3006300096W,30,063,00096W,423.2,359.3,17.4,450.3,322.7,22.1,431,289.5,46.3
3006300097H,30,063,00097H,423.3,553.3,28.8,460.4,506.9,37.1,451.1,432.6,53.9
3006300097L,30,063,00097L,1378,1465.9,77,1500.4,1345.4,79,1458,1111.3,199.5
3006300098N,30,063,00098N,167.2,410.9,16.7,188.8,386.4,13.8,197.4,325.7,36.5
3006300098S,30,063,00098S,450,992,31,515,918,41,497,792,102
3006300100N,30,063,00100N,194,1156,29,208,1122,41,213,975,105
3006300100S,30,063,00100S,162,681,14,180,655,22,167,585,63
300630089CS,30,063,0089CS,684.9,885.6,34.6,760.9,808.6,39.6,734.5,685.8,96.6
300630089LC,30,063,0089LC,96.3,184.6,2.1,99.5,178.3,5.4,91.4,170.7,6.8
300630089UC,30,063,0089UC,70,460,14,89,430,23,83,374,52
300630090CC,30,063,0090CC,418,883,24,475,819,29,457,724,77
300630091SC,30,063,0091SC,101,1052,10,108,1029,27,112,952,42
300630092EM,30,063,0092EM,247.9,622.4,36.2,294.9,573.4,39.2,270.4,492.1,100.9
300630092Se,30,063,0092Se,653,516,37,710,471,31,687,405,77
300630092Sw,30,063,0092Sw,209,103,11,222,95,9,212,89,15
300630094SM,30,063,0094SM,393,260,21,427,219,25,401,200,39
300630095Ha,30,063,0095Ha,338.3,923.2,37.2,372.6,882,42,353.1,772.1,104.8
300630095He,30,063,0095He,192.5,509.4,31.3,224.5,474.3,33.3,210.7,398.9,90.7
300630095SC,30,063,0095SC,102,813,13,117,788,18,108,706,58
300630096SM,30,063,0096SM,119,104,3,123,96,5,125,81,9
300630097PC,30,063,0097PC,238.1,186.3,8.6,255.4,169.8,6.3,231.1,165.3,23.5
300630097TR,30,063,0097TR,483.2,648.9,30.2,528.5,598.6,25.7,500.8,516.5,66.7
300630098TR,30,063,0098TR,605.2,915.6,36.7,660,858.7,35.6,628.3,754.6,94
300630099CS,30,063,0099CS,683.4,983.1,28.4,779,859.2,52.2,771.1,746.7,80.1
300630099MH,30,063,0099MH,565.3,1206.9,47.2,631.6,1140.6,50.2,607.4,992,116.5
300630099RN,30,063,0099RN,235,725,32,275,691,27,273,613,62
300630099RS,30,063,0099RS,420,934,31,469,882,37,444,772,93
30063091RsE,30,063,091RsE,255.7,1006.9,26.3,272.4,988.3,28.1,274.9,891.3,51
30063091RsW,30,063,091RsW,351.1,1850.4,18.9,406.4,1789.1,21.8,393.8,1642.3,77.2
30063098CSP,30,063,098CSP,486,1151,63,535,1094,70,517,946,154
30063100SJE,30,063,100SJE,173,1526,23,209,1481,32,199,1365,90
30063100SJW,30,063,100SJW,234,1833,23,279,1771,38,267,1600,131
30065000001,30,065,000001,249,145,27,268,134,16,284,96,23
30065000003,30,065,000003,245,100,22,263,84,17,267,65,20
30065000005,30,065,000005,475.1,111.1,20.8,488,94.2,24.7,466.4,81.2,30.7
30065000006,30,065,000006,572.9,172.7,38.4,601.7,153.5,28.8,542.2,137.2,56.6
30065000007,30,065,000007,96.4,20.4,5.8,103.2,16.6,3.9,99.3,12.7,5.8
30065000008,30,065,000008,95.9,22.2,1.6,100.1,18.4,1.2,91.6,15.8,3.4
3006700059A,30,067,00059A,555.1,306.3,16.5,591.7,274.8,19.4,562,233.1,45
3006700059B,30,067,00059B,691.2,562.2,33.6,737.1,518.3,30.8,688.5,462.3,72.6
3006700059C,30,067,00059C,570.9,414.9,15.9,610.5,375.3,17.9,573.9,325.7,57.5
3006700059D,30,067,00059D,344.9,489.4,17.9,376.8,456.6,17.9,356.9,428.6,36.9
3006700060A,30,067,00060A,405.6,392,21.1,445.9,348.5,26.9,429.3,295,44.9
3006700060B,30,067,00060B,366,358.3,25.8,407.4,320.6,23,385,274.3,56.6
300670060CL,30,067,0060CL,457.2,486,24.7,484,449.8,28.5,488.5,374.9,50.4
300670060DL,30,067,0060DL,282.7,485.7,22.9,308.8,444.4,39,280.9,409.7,69.7
300670060EL,30,067,0060EL,179.5,532.6,23.9,198.2,509.2,26.8,200.6,439.6,61
300670060FL,30,067,0060FL,177.3,513.9,21.3,201.7,484.5,25.2,187.5,434.1,64.5
300670060GL,30,067,0060GL,325.4,571.4,29.4,347.6,558.1,21.5,339.9,486.7,59.9
30069000001,30,069,000001,234.6,54.8,5.7,244.9,43.4,7.5,221.4,43.4,9.4
300710011-N,30,071,0011-N,991.9,435,69.4,1111.9,350,42.4,984.1,312.9,93.5
300710011-S,30,071,0011-S,431.6,142.6,9.8,473.5,101.5,9.8,435.4,102.5,13.7
30073000019,30,073,000019,173,128.6,11.1,188.3,111.3,13.1,186.2,91.1,22.2
30073000020,30,073,000020,11.8,279.3,3.1,20.8,265.3,6,15.8,257.2,16
30073000023,30,073,000023,81.5,26.9,7,83.5,30.8,4,88.4,20.9,2
30073000024,30,073,000024,293,250.4,21,346.1,210.3,16,336,170.2,28.1
30073000027,30,073,000027,323.7,215.3,21,375.8,165.2,14,335.7,141.2,36.1
30073000029,30,073,000029,104.2,46,5,119,32.2,4,107.1,25.2,11
30073000034,30,073,000034,159.9,90.4,8,174.8,72.5,9.9,172.8,67.5,8.9
30073000035,30,073,000035,269.1,141.4,19.8,301.8,118.4,16.9,281.9,100.6,17
30075000003,30,075,000003,37.5,15.1,1,38.8,14,1,34.7,10,4
30075000004,30,075,000004,32,9,1,36,4,2,32,5,4
30075000005,30,075,000005,87.7,35.7,2,95.8,29.6,3.1,88.8,22.6,6
30075000008,30,075,000008,20.4,3.1,0,20.4,3.1,0,20.2,1.9,0.1
30075000009,30,075,000009,33.5,11.1,0,33.5,11,0,31.7,9.2,0.9
30075000011,30,075,000011,293.4,73.1,13.8,308.2,63.2,9.9,298.4,38.5,12.8
30075000012,30,075,000012,242.9,56,4,251.9,47,2,233.9,35,8
30077000001,30,077,000001,132.4,19.9,1.1,131.5,20.8,2,128.5,18.7,2.1
30077000002,30,077,000002,66.3,29.3,3.3,71.5,26.2,2.1,67.4,21.2,5.2
30077000003,30,077,000003,222.7,128.7,3,243.9,107.3,6.9,223.9,97.5,13.7
30077000004,30,077,000004,140.2,98.7,6.9,153.1,82.9,10.9,156,62.2,21.7
30077000005,30,077,000005,158,170,15,184,142,14,191,108,30
30077000006,30,077,000006,174.2,167.7,11,199.3,137.6,18,206.2,116.5,15.1
30077000007,30,077,000007,180,145,25,210,122,13,202,115,20
30077000008,30,077,000008,135,69.3,4.9,142.9,62.3,2.1,138.9,56.3,4.2
30077000010,30,077,000010,56.2,20,4,60.2,16,1,57.2,14,1
30077000011,30,077,000011,79.7,13,6.6,86.3,11.1,2,82.6,9,5.7
30077000012,30,077,000012,100.7,42.5,2.1,103.8,37.5,4.9,106.6,28.7,6
30077000014,30,077,000014,108.9,49,7,120.9,37,7,117.9,29,6
30077000016,30,077,000016,84.9,73.9,3.1,96.8,57.1,8.2,88,53.8,6.5
30079000001,30,079,000001,98,59,8,112,45,7,102,39,14
30079000002,30,079,000002,94.7,51.5,7.1,100.7,46.4,6.1,102.6,33.3,6.2
30079000003,30,079,000003,95.5,36,7,106.4,31.9,3,100.3,22,8
30079000004,30,079,000004,165.2,32,4.2,168.5,26.9,6.1,159.5,21.6,10.2
30081000001,30,081,000001,410.5,162.7,14.2,437.8,139.3,9.2,418.6,122.9,27.4
30081000002,30,081,000002,684,302.9,30.6,740.3,266.3,14,697.8,206.8,54.4
30081000003,30,081,000003,432.1,209.7,17.1,459.4,183.6,14,445.1,149.4,34.2
30081000004,30,081,000004,498.4,238.7,12.6,518.7,215.7,16.3,495.6,177.4,24.5
30081000005,30,081,000005,624.8,462.7,22.9,665.3,418.8,24.6,640.8,350.1,58.1
30081000006,30,081,000006,541.3,390.3,26,583.2,360.2,12.2,572.9,291.2,41
30081000007,30,081,000007,699.1,566.3,28.9,743.5,515.8,32.3,729.9,428.6,59.8
30081000008,30,081,000008,557,726.6,40.7,603.9,683.4,32.9,602.9,566.2,89.7
30081000009,30,081,000009,443.3,490.2,42.2,480.9,457.4,27.7,491.4,378.4,67
30081000010,30,081,000010,659.5,372.4,30.8,702.4,340.9,23.9,687.5,283.2,46.2
30081000011,30,081,000011,676.1,396.3,24.9,728.7,345.7,23.9,709.5,284.9,50.7
30081000012,30,081,000012,575.6,372.4,13.8,621.3,327.5,21.8,584.6,270,44
30081000013,30,081,000013,603.2,321.1,38.2,642.4,285.7,31.7,609.3,219.2,74.8
30081000014,30,081,000014,268.8,16,13,273.8,14,9,270.8,6,18
30081000015,30,081,000015,732.7,409.6,22.1,766.9,377.4,23.1,750.8,325.2,49.2
30081000016,30,081,000016,453.4,242.9,22.8,476.4,217.1,28.4,474.3,180.4,39.4
30081000017,30,081,000017,550.9,356,20,573.9,319.1,32,569.9,280.2,39
30081000018,30,081,000018,659.1,385.7,31.3,693.3,344.7,33.2,697.2,276.4,46.9
30081000019,30,081,000019,756.2,547.7,29.8,806.9,493.3,36.1,803.3,409.1,59.1
30081000020,30,081,000020,454.6,441.4,24.2,485.5,400.9,33.1,469.1,356.1,62.7
30081000021,30,081,000021,304.1,184.4,20.3,323.4,168.9,15.4,317.6,142.9,33.8
30081000022,30,081,000022,716.6,520.1,28.5,758,479.7,31.4,745.8,378.2,77.7
30081000023,30,081,000023,755.5,522.5,36.6,799.4,471.4,38.7,780.2,408.8,63.3
30081000024,30,081,000024,562.4,515.1,31.4,606.8,460.2,33.1,599,380.9,61.9
30083000001,30,083,000001,122.5,64.2,10.7,139,47.6,12.6,131.2,44.7,16.5
30083000002,30,083,000002,206.8,99,20.3,230.3,81.5,12.4,221,75.4,25.5
30083000003,30,083,000003,300.6,114.8,16.1,311.8,105.6,14.1,293.7,99.6,21.1
30083000004,30,083,000004,175,67.3,8,192.1,54.2,4,183,54.2,7.1
30083000005,30,083,000005,206.4,88,10.6,231.3,64.1,10.6,212.9,70.7,15.5
30083000007,30,083,000007,108.1,72.9,9.5,121.3,62.5,7.6,99.6,64.4,17
30083000008,30,083,000008,349.1,135.4,20.5,371.5,125.7,9.8,352,114,21.4
30083000009,30,083,000009,192.1,58.7,5.7,202.5,48.6,6.5,188.5,50.7,7.9
30083000012,30,083,000012,310.4,122.8,28.1,334.1,108.2,17.2,325.8,86.5,29
30083000017,30,083,000017,91.3,30.6,6,106.5,19.5,1,93.3,22.5,5.1
30083000019,30,083,000019,77,39.7,4.4,90.5,30.3,0.4,81,31,3
30083000022,30,083,000022,340.7,100,13.2,365.6,79.4,11,350.5,77.1,20
30083000023,30,083,000023,525.7,146.3,24.9,551.3,139.1,12.2,517,129.5,22.1
30085000002,30,085,000002,170.3,50,9.9,179.3,49.2,1.6,170.8,41.4,7.1
30085000010,30,085,000010,105.2,64.6,8.1,113.6,55.2,8.1,106.2,47.9,12.3
30085000012,30,085,000012,284.1,147.9,4.9,310.4,119.7,5.9,281.2,102.2,14.6
30085000015,30,085,000015,13,129,3.9,14.4,127.7,3,14,120.8,7.9
30085000016,30,085,000016,37.5,211,4,53.2,195.4,5,51.2,190.4,7
30085000017,30,085,000017,49.5,44.6,5.9,63.3,31.7,4,55.4,24.8,10.9
30085000018,30,085,000018,122.2,516.1,14.9,146.9,485.4,20.9,139.1,461.3,34.8
30085000022,30,085,000022,79.8,95.2,4.8,78.8,94.2,6.7,80.8,79.8,11.5
30085000024,30,085,000024,89.8,245.2,11.9,95.9,235.2,14.9,86,218.2,25.9
30085000026,30,085,000026,240,244,16,252,227,18,227,210,36
30085000027,30,085,000027,64.8,236.9,3.1,75.7,221,5.1,73.6,206,17.1
30085000028,30,085,000028,102.8,17.3,1,106,12.2,2,95.4,15.9,4.1
30087000003,30,087,000003,258.2,186.8,12.9,279,167,9.9,255.2,165.1,15.8
30087000006,30,087,000006,232.2,133.8,16,253.3,116.7,13,232.2,109.7,21.1
30087000007,30,087,000007,22.6,22.5,0,26.4,17.9,1.9,24.5,18.8,0.9
30087000010,30,087,000010,107.4,35.4,5.4,115.9,22.2,9.2,116.3,22.4,5.2
30087000011,30,087,000011,74.2,10.1,4.9,82.1,6.9,2,77.1,7.8,2.2
30087000015,30,087,000015,50.4,490.4,1.9,58.1,473,9.6,60.2,456.5,13.1
30087000017,30,087,000017,80.8,193.8,3,90.8,172.9,10,83.8,162.9,17.9
30087000020,30,087,000020,141.7,48.5,6,147.7,45.3,3,131.9,51.1,6
30087000021,30,087,000021,88.9,27.1,3.9,94.7,20.3,2.9,89.9,20.3,5.8
30087000026,30,087,000026,53,14.1,1.2,56.3,10.9,0.2,52,12.8,2.3
30087000030,30,087,000030,191.5,115.3,12.1,212,99.5,7.4,201.8,92,13
30087000032,30,087,000032,468.4,233.7,24,506.4,196.8,21,470.4,195.8,43
30089000001,30,089,000001,230.2,95.5,12.1,231.2,87.4,16,237.2,74.4,21.1
30089000002,30,089,000002,271.6,133.6,16.7,288.3,117.9,14.7,274.6,98.2,24.5
30089000003,30,089,000003,597.4,257.1,25.2,634.4,223,20.2,609.4,184.8,41.2
30089000004,30,089,000004,600,337.5,35,641,290.6,35,632.8,229.8,51
30089000005,30,089,000005,644,330.6,43.9,677.3,307.9,32.3,655,236.7,61.4
30089000006,30,089,000006,651.4,269.9,35.3,688.4,234,33.4,678,175,49.1
30089000007,30,089,000007,419.1,208.7,22.4,446.3,182.5,19.5,418.5,158.8,49.3
30089000008,30,089,000008,348.4,325.8,31.8,375.8,302.4,30.6,367.2,253.8,57.9
30089000009,30,089,000009,72.4,101.2,3.2,71.7,96.9,7.2,74.6,83.7,15.3
30091000001,30,091,000001,122.7,55.5,3.2,133.8,46.4,0.1,123.6,42,4.3
30091000002,30,091,000002,195.8,163.3,13,215.8,145.4,8,198.8,122.4,26.9
30091000003,30,091,000003,180.1,155.2,26.9,194,152.2,15.9,192,108.4,26.9
30091000004,30,091,000004,283.5,182.7,20,292.5,171.8,19,264.6,133.8,31
30091000005,30,091,000005,126.5,61.2,8,135.5,57.2,4,131.5,46.1,10.1
30091000006,30,091,000006,107,92.8,11.9,113.9,86.9,5,103,61.3,17.8
30093000001,30,093,000001,43,128,8,51,119,9,52,108,13
30093000003,30,093,000003,107.1,315.7,13.2,130.5,291.4,11.2,118.3,267.8,24.6
30093000004,30,093,000004,250,791,24,300,732,28,276,692,47
30093000006,30,093,000006,381.8,1238.5,29.6,469.4,1150.6,34.8,443.3,1013.4,89.6
30093000011,30,093,000011,40,139.1,3,48,134.1,3,44,117.1,15
30093000014,30,093,000014,184,799,25,228,742,43,205,688,66
30093000016,30,093,000016,227,784,22,266,739,23,244,677,66
30093000017,30,093,000017,196.3,604.5,34.1,221.5,577.3,35.2,207.6,507.8,75.5
30093000018,30,093,000018,123.7,419.5,13.8,137.5,400.7,17.8,148.4,350.2,44.5
30093000021,30,093,000021,91,411,18,113,392,11,122,338,33
30093000022,30,093,000022,317.9,856.3,31.8,367.5,800.6,34.8,338.7,722.2,87.4
30093000028,30,093,000028,62.9,72.6,2.2,77.2,59.4,2.3,72.8,48,6.6
30093000029,30,093,000029,41.8,38.2,0.1,49,31.9,0.1,47,22.8,5.1
3009300002E,30,093,00002E,113,381,14,130,359,17,130,318,35
3009300002W,30,093,00002W,107,401,23,138,368,23,138,339,33
3009300008E,30,093,00008E,493.1,1221.2,23.2,585,1128.3,31.2,533.9,1032.3,53.5
3009300008W,30,093,00008W,333.3,830.3,28.2,380.6,774,38.2,383.1,697.8,75.7
3009300009E,30,093,00009E,238.8,344.8,9.9,276.5,308.1,12.9,270.5,259.6,38.6
3009300009N,30,093,00009N,250.5,502,12.4,303.5,445.1,15.2,300.3,383.1,31.3
3009300009W,30,093,00009W,18,58,1,20,54,1,21,48,4
3009300010N,30,093,00010N,30.4,110.1,3.8,34.2,103.4,4.7,28.5,89.2,15.2
3009300010S,30,093,00010S,36.9,130.3,7.2,45.2,122.9,6.3,37.8,113.1,14.8
3009300012E,30,093,00012E,61.9,147.7,7.5,77.7,130,6.6,66.5,125.2,10.4
3009300012W,30,093,00012W,32,122,4,42,111,4,38,108,8
3009300019N,30,093,00019N,72,230.2,2.2,80.1,216.9,3.2,86.7,185,16.6
3009300019S,30,093,00019S,46.4,141.5,2.6,62.6,123.6,3.5,57.5,108.2,9.5
3009300019W,30,093,00019W,31.2,71.6,3.1,38.6,63.2,1.1,38.5,58.8,2.2
3009300026E,30,093,00026E,70.9,76,3.9,83.8,67.1,3.5,73,62.2,6.7
3009300026W,30,093,00026W,65.1,75.9,6.4,76,67.7,3.6,73.3,63.1,5.5
3009300027N,30,093,00027N,48.7,46.4,2,51.8,43.3,1,51.7,34.4,6
3009300027S,30,093,00027S,130.2,180.9,14.6,146.9,163.2,12.7,145.9,139.7,19.5
30095000001,30,095,000001,1369,564.1,68.2,1444.9,494.9,73,1427.7,403,87.5
30095000002,30,095,000002,715.8,373.4,31.1,754.1,334.8,36,728.6,290.8,66.2
30095000004,30,095,000004,166.9,83.9,9.7,179.8,71.2,9.9,176.1,62.5,17.2
30095000007,30,095,000007,50.3,9,0,52.1,7.2,0,46.7,6.3,2.7
30095000009,30,095,000009,125.4,37.9,4,136.5,29.8,3,123,31.6,4.3
30095000010,30,095,000010,76.7,44.9,3.8,79.5,44,1.9,74.9,41.1,5.6
30095000011,30,095,000011,115.8,73,8.1,120.9,72.8,3.1,122.5,60.9,10.2
30095000013,30,095,000013,583.7,303.6,31.3,603.1,284.5,28.2,610.8,236.8,46.6
30097000001,30,097,000001,243.9,152.2,17,263.8,135.2,14.2,253.4,112.5,32.1
30097000002,30,097,000002,222,147.7,18.6,242.5,131,19.6,241.6,106.6,27.4
30097000003,30,097,000003,319.1,127.7,15.6,336.8,115.1,8.6,319.6,78.4,33.9
30097000004,30,097,000004,374.1,170.3,14.3,402.7,157,14.1,391.9,112.3,47.4
30097000005,30,097,000005,218,58,8.8,234.7,45.3,4.9,227.8,39.4,14.8
30099000001,30,099,000001,756.9,615.6,47,827.6,550.9,39.1,794.2,484.6,62.6
30099000006,30,099,000006,193.3,139.1,6.3,216.2,113.3,8.3,199.8,93.7,10.6
30099000007,30,099,000007,534.8,316,17.3,584.4,268.2,17.3,558.3,232.9,43.3
30099000011,30,099,000011,95.4,57.7,4.1,107.4,43.7,5,95.5,42.6,7
30099000017,30,099,000017,159.2,134.6,6.9,174.9,117.9,4.9,170.9,109,12.8
3010100DG-1,30,101,00DG-1,85.1,35.4,4.8,92.7,29.6,1.9,77.4,31.5,3.8
3010100Ke-1,30,101,00Ke-1,79.2,39,5.8,88,29.3,5.8,82.1,21.5,12.7
3010100Sh-1,30,101,00Sh-1,635.9,377.1,37.5,694.4,330.1,33.7,657.7,259.1,64.5
3010100Sh-6,30,101,00Sh-6,150.2,53,6.8,155.4,48.5,6.5,145.6,39.4,11.8
3010100Su-1,30,101,00Su-1,255.4,121.2,14,277.4,104.1,8,265.3,79.1,22
30103000001,30,103,000001,270.4,128.2,6,300.1,94.5,11.4,268.1,104.5,15.4
30105000031,30,105,000031,378.9,352.2,24.1,431.8,297.2,24,384,270.3,46.9
30105000033,30,105,000033,820.6,654.3,88.6,963,513.9,87.6,877.4,474,86.6
30105000034,30,105,000034,935.3,535.9,87,1044.4,442.8,66,982.1,385.7,78.1
30107000001,30,107,000001,53.9,18,3.9,58.7,15.1,2,50.1,13,4.9
30107000002,30,107,000002,236.8,148.1,14.2,255.3,135.4,10.1,247.9,102.6,21.7
30107000003,30,107,000003,66.3,22.1,4.2,71.4,19,3.2,72.3,9.1,0.4
30107000004,30,107,000004,81.8,44.7,4.2,87.4,38.2,3.2,84.9,34.6,4.7
30107000009,30,107,000009,150,83.3,5.7,161.2,70.2,3.8,158.4,47.7,14.9
30109000001,30,109,000001,394.1,141.1,12.2,406.5,114.9,18.1,376.1,100,26.1
301110039.1,30,111,0039.1,127.2,39.5,5.2,134.8,32,6.7,132.7,25.8,9.9
301110039.2,30,111,0039.2,1047,506,57.2,1142,436.9,38.3,1094.9,376.8,84.3
301110040.1,30,111,0040.1,1197.7,506.3,73.1,1262.6,442.1,72.1,1199.5,388.3,112.9
301110040.3,30,111,0040.3,260.4,110.6,6.6,272.3,94.1,11.6,268,82,13.7
301110040.4,30,111,0040.4,176.7,85.9,14,191.7,74.9,11,188.7,64.9,13
301110040.5,30,111,0040.5,89.6,28.8,2.7,95.6,24.1,1.3,93,18.1,6
301110042.1,30,111,0042.1,80.4,29.4,2,84.3,28.4,1,74.5,25.5,7.8
301110042.2,30,111,0042.2,158.4,105.1,11.4,174.8,90.7,8.4,162.4,84.5,14.5
301110043.1,30,111,0043.1,347.2,163.6,11.4,374.5,140.9,9.5,349.7,134.1,17.7
301110043.2,30,111,0043.2,497.1,318.4,31.8,519.1,294,33.9,513.4,252.5,54.1
301110043.3,30,111,0043.3,1534.5,1431,130.9,1638.3,1317.6,134.9,1617.1,1141.5,222.4
301110044.1,30,111,0044.1,429,419,47,480,378,37,478,339,48
301110044.2,30,111,0044.2,890,944,74,990,853,69,957,753,111
301110044.3,30,111,0044.3,752.7,698.4,49.7,823.3,632.9,43.6,797.3,549.7,86.3
301110045.2,30,111,0045.2,2150.7,1726.1,109.6,2297.8,1577,108.6,2233.6,1371.6,203.4
301110046.1,30,111,0046.1,234.7,148.8,8.2,257.9,129.2,8.2,243,113.4,21.4
301110046.2,30,111,0046.2,2704,2611.5,129.8,2910.1,2431.1,126.8,2808,2176.5,234.8
301110047.1,30,111,0047.1,433,940,63.7,479.1,898.9,57.9,482.6,794.9,114.8
301110047.2,30,111,0047.2,1071.8,1464.8,47.6,1147.2,1390.4,63.5,1087.7,1256.4,117.1
301110048.1,30,111,0048.1,872,1532,73,931,1472,82,930,1298,166
301110048.2,30,111,0048.2,968,1118,69,1063,1044,54,1021,972,84
301110049.1,30,111,0049.1,406,1053,52,456,992,69,434,899,119
301110049.2,30,111,0049.2,666,1068,65,738,987,76,723,866,127
301110050.1,30,111,0050.1,559,1047,96,635,972,93,627,853,156
301110050.2,30,111,0050.2,754.2,967.5,64.4,806.9,907.6,79,821.4,773.3,129.8
301110051.1,30,111,0051.1,401.1,606.9,64,444,567,62.9,464.1,474,104.5
301110051.2,30,111,0051.2,476.8,584.1,32.7,523.4,541.4,34,515.1,491.2,53.2
301110051.3,30,111,0051.3,731,836,85,793,782,80,787,676,127
301110052.1,30,111,0052.1,584.2,899.2,94,637.2,828.2,106,678.2,666.2,169
301110052.2,30,111,0052.2,955.8,1046,64.1,1025.9,958,89.1,1012.9,867.9,94.1
301110053.1,30,111,0053.1,3046.1,1875.5,81.1,3236.6,1683.1,89.1,3069.3,1519.8,186.4
301110053.2,30,111,0053.2,961,472.4,65.4,1016.5,422,59.4,1017.4,329.7,85.3
301110053.3,30,111,0053.3,698.6,337.9,37.5,744,294.4,38.5,735.1,262.8,35.6
301110054.1,30,111,0054.1,2516.8,2332.5,127.6,2703.2,2140.4,139,2613.6,1887.7,258.2
301110054.2,30,111,0054.2,506.4,315.2,17.6,541.5,278.2,25,539.6,225.5,45.3
301110055.1,30,111,0055.1,256.6,138.6,20.7,281.8,125.1,11.7,280,100.9,27.9
301110055.2,30,111,0055.2,75.5,35.6,4.2,79.9,32.2,3.3,76,33.4,4.5
301110055.3,30,111,0055.3,761.8,394.6,46,822.2,352.4,33.9,784.2,304.1,68.1
301110055.4,30,111,0055.4,509.4,509.4,76.9,560.9,470.4,66.6,556.8,407.4,101.4
301110055.5,30,111,0055.5,872.5,775.1,47.2,926.1,707,60.9,909.1,635.8,110.8
301110056.1,30,111,0056.1,200,116.3,12.8,224.6,97.5,7.9,209.8,92.6,10.8
301110056.2,30,111,0056.2,1757,1289.3,124.4,1884.6,1157.9,123.3,1860.6,979.4,203.2
301110056.3,30,111,0056.3,498.5,343.7,31.3,549.1,312.3,13.4,529.1,274.6,30.2
30111040-45,30,111,040-45,521.6,286.2,25.4,556.7,249.8,25.2,531.7,230.3,41
