GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRDAI,G20USSDBUL,G20HALRROS,G20HALDWIL,G20GOVRGIA,G20GOVDCOO,G20GOVLBIS,G20ATGRKNU,G20ATGDGRA,G20SOSRJAC,G20SOSDBEN,G20AUDRDOW,G20AUDDMOR,G20AUDLROO,G20SPIRARN,G20SPIDROM,G20SPILLEA
30001000001,30,001,000001,190.3,164.5,14.9,186.3,185.4,194.3,175.4,188.3,165.5,18.8,196.3,169.5,203.2,159.6,184.4,156.6,24.8,171.5,170.5,24.8
30001000002,30,001,000002,671.1,181.4,12.1,645.1,222.5,646.1,213.4,627.2,201.3,31,668.2,191.4,681.1,169.4,634.1,171.4,45.1,617.1,204.4,33
30001000003,30,001,000003,630.8,231,17.2,632.5,250.5,620.7,254.3,626.5,229.1,17.5,631.9,231.1,644,214.9,604.6,212.8,35.5,594.2,245.2,25.4
30001000004,30,001,000004,181,34,6,175,46,176,43,168,43,8,181,35,177,35,175,27,13,163,49,3
30001000005,30,001,000005,120.3,24.1,5,119.4,30.1,120.3,29.1,117.3,32.1,2,124.4,22.1,125.4,21.1,114.4,20.1,12,111.4,29.1,5
30001000006,30,001,000006,279.4,144.8,12,253.6,182.6,252.6,177.9,258.2,154,21.2,277.5,154,283.1,142.9,260.9,134.6,24.9,246.2,158.6,23
30001000007,30,001,000007,258.6,86.1,3.8,248.7,101.8,251.7,96.4,257.1,84.8,9.5,260.4,88.8,252.8,90,247.3,82.4,10.7,240.2,96.1,8.6
30001000008,30,001,000008,56.6,18.9,0,59.6,15.9,56.6,18.9,54.7,16.9,3,60.6,14.9,61.6,13.9,57.6,14.9,3,60.6,11.9,3
30001000009,30,001,000009,355,121,5,342,145,345,136,345,123,16,357,126,360,119,340,112,26,324,143,16
30001000012,30,001,000012,355.6,240.7,10.9,331.8,271.4,343.7,258.5,330.8,251.6,27.7,359.6,243.7,362.5,233.8,342.7,228.8,22.8,316,261.5,18.8
30001000014,30,001,000014,307.1,190.5,25.1,278.8,241.9,291.8,227.9,292.9,195.6,32.2,305.1,212.6,322.1,192.5,275.9,190.4,46.2,266.8,214.7,29.2
30001000017,30,001,000017,97.5,34.7,7,98.3,39.8,100.4,36.7,102.3,32.7,4.1,105.5,33.6,102.4,32.7,95.4,30.6,8.1,99.3,36.7,2.1
30001000019,30,001,000019,110.8,32.2,6,108.8,34.2,110.8,38.2,111.8,33.2,4,112.8,33.2,118.8,27.2,107.8,27.2,11.1,100.7,41.2,4
30001000020,30,001,000020,87.9,7,2,86.9,10,86.9,10,85.9,10,1,89.9,8,87.9,10,85.9,7,5,83.9,10,3
30001000021,30,001,000021,119.8,44.1,1,113.8,53.1,113.8,48.1,113.8,45.1,6,118.8,46,119.8,46,113.8,45,6,117.7,43.1,3
30001000023,30,001,000023,99.8,52.4,2,93,59.1,98.8,52.4,97.8,49.5,6.8,106.5,48.5,98.8,53.3,94.9,48.5,4.9,94.9,50.4,5.8
30003000001,30,003,000001,89.5,49.7,3.3,90.8,51.7,90,52.5,86.5,48.4,6.1,92.3,49.3,91.6,47.5,85.7,48.4,5.9,81.6,52.1,4.2
30003000002,30,003,000002,68.3,57.8,4.7,67.4,62.5,66.4,63.5,61.7,63.4,5.7,68.3,61.5,69.3,59.7,64.5,59.7,5.7,58.8,66.3,5.7
30003000003,30,003,000003,126,26,0,122,28,119,27,123,19,9,128,25,124,23,124,19,5,111,36,3
30003000004,30,003,000004,80.6,28.2,2.4,79.4,30.8,79.3,30.9,78.6,27.4,2.2,79.6,29.6,83.5,24.3,81.4,23.6,2,64.3,43,2.7
30003000005,30,003,000005,54.4,152.3,2,50.4,160.1,48.8,159.9,53,150,6.7,55.7,153.8,54,153.7,48.2,153.9,6.5,45.7,158.2,4.9
30003000006,30,003,000006,40.5,13.8,1,38.6,14.8,40.5,14.8,38.6,14.8,1,42.5,12.9,42.5,12.9,41.5,9.9,2,38.6,13.8,1
30003000007,30,003,000007,185,588.7,11.9,159.1,630.7,166.8,622.8,159.4,608.1,27.1,164.5,623.2,166.3,618.3,139.3,630,21.2,141.9,623.7,25
30003000008,30,003,000008,94.1,61.1,4.9,98.7,62.2,94,64.2,94.7,60.4,5.8,98.7,59.4,95,61.2,87.2,59.3,10.6,78.6,67.1,9.6
30003000009,30,003,000009,43.7,120.3,1,34.6,129.5,41.6,123.5,38.6,117.4,9,41.6,123.5,39.6,123.4,39.6,120.5,5,36.5,121.5,7
30003000010,30,003,000010,54.2,14.8,2,54.1,16,50.1,20,51.2,17.7,1.2,55.3,14.8,54.2,13.8,53.1,13.8,2.2,51,17,1.1
30003000014,30,003,000014,74.7,83.6,1,68.8,95.3,69.7,92.4,64.8,93.4,5,60,101.2,62.9,98.2,61,96.2,3,53.1,105.1,3
30003000015,30,003,000015,129,147.4,7,123.4,159.1,117.4,169.8,121.3,149.3,17.7,133.1,150.2,125.2,157.1,120.9,155,10.2,110.8,159.3,15
30003000017,30,003,000017,257,184.4,8.2,249.5,203,251.3,197.3,248.2,173.8,25,266.1,183.2,262.9,180.5,246.7,174,24,225.2,203.3,18.4
30003000018,30,003,000018,219,132,11,208,154,211,152,212,123,26,224,137,215,148,207,138,19,184,163,18
30003000019,30,003,000019,285.8,222.7,11.1,282.1,238.5,279.3,241.2,262.6,227.3,28.8,284.9,232,285.8,222.7,283,206.9,23.2,246.8,249.6,16.7
30003000021,30,003,000021,124.2,216.1,3.2,106.3,239.1,108.2,238.2,105.9,235.2,5.4,102.5,241.9,105.5,231,99.2,237.7,5.4,86.9,249.1,6.3
30003000025,30,003,000025,57,64.2,1,56.8,64.6,54.9,64.6,54.9,64.4,3,56.7,63.7,56.7,63.6,55.7,60.8,3,54.5,65.8,1.1
30003000026,30,003,000026,86.4,296.1,8,81.4,310.1,80.4,309.1,85.4,290.1,15,88.4,296.1,91.4,295.1,85.4,287.1,15,78.4,293.1,15
3000300004N,30,003,00004N,137.1,28,2,134.1,33,134.1,33,137.1,26,3,139.1,29,142.1,23,139.1,24,4,130.1,30,5
30005000001,30,005,000001,234.9,46.6,9.7,230,65,231,61.1,228.1,56.3,8.7,233,56.3,233.9,51.4,220.3,47.6,19.4,218.4,68.9,3.9
30005000003,30,005,000003,42.5,361.4,6.7,37.4,380,46,363.8,36.7,347.6,26.5,48.8,362,44.6,365.1,38.5,357,16.2,33.5,369.5,11.6
30005000008,30,005,000008,119,235,4,95,262,110,243,103,234,13,118,236,126,227,118,224,11,101,241,11
30005000009,30,005,000009,28.4,167.6,5.2,17.2,183.2,25.5,174.6,17.2,175.1,9.9,21.6,181.6,25.4,175.7,18.2,176.4,8.5,20.1,176.8,6.4
30005000010,30,005,000010,401.4,82.1,7.2,383.6,109.5,381.9,104.8,382.5,92.3,14.1,389,98.8,391.7,92.1,371.7,86.7,18.5,352.9,117.8,12.4
30005000011,30,005,000011,463.6,207.1,15.1,428.4,254.5,429.3,242.5,435.3,215.3,33.2,449.4,220.4,447.5,220.2,435.2,195.2,29.3,393.9,258.7,17.2
30005000013,30,005,000013,116,16.2,2.3,107.9,26.7,110.9,23.6,109.9,21.5,4.2,111,23.5,112,19.4,107.7,22.2,1.5,99.6,29.8,4.1
30005000015,30,005,000015,63.9,473.1,8.8,44.4,511.1,57.1,493.6,53.2,477,23.4,56.1,495.5,73.6,475.1,53.2,482.9,16.6,39.5,501.4,16.6
30007000001,30,007,000001,676,203.6,14.9,662,237.4,669.9,226.5,633.4,235.2,28.8,667,219.5,684.9,201.6,652.2,193.6,33.7,607.5,243.3,31.8
30007000007,30,007,000007,452,146,22,455,171,466,160,442,160,24,459,162,473,140,442,134,28,416,174,26
30007000011,30,007,000011,659.4,151.8,13.3,645.1,177.5,644.3,168.2,628.7,164.3,25.5,644.3,162,666.6,141.8,632,137.6,33.7,600.2,185.5,21.6
30007000012,30,007,000012,535.9,169.3,14,514,206.2,525,192.2,512,182.3,22,524,184.1,538,168.2,518.7,159.3,24.1,486,199.1,24
30007000013,30,007,000013,827.1,161.2,24.2,808.6,206.7,822.2,184.5,794.2,182.5,37.7,822.2,167,842.5,153.5,769,155.4,59,763.3,188.2,41.6
30009000001,30,009,000001,430.3,110,13.4,419.6,138.8,425.1,119.8,407.2,121.7,24.6,428,112.8,430.7,113.2,409.9,108,21.1,389.8,138.2,16.7
30009000002,30,009,000002,204,88.1,5.8,201.1,97.7,203.1,94.8,193.4,91.1,10.5,210.7,82.4,209.8,84.3,197.3,81.4,9.6,195.2,92.1,9.6
30009000003,30,009,000003,538,126.3,10.3,534.6,145.1,542.5,137.8,518.4,143.1,16.9,549.2,127.1,551,123.3,530.5,122.2,22.4,508.6,151.1,16.8
30009000004,30,009,000004,268.7,66.7,10.8,262.9,82.4,261.9,82.4,259.9,67.7,17.6,275.6,70.6,272.6,71.6,258.9,63.8,23.5,246.2,77.5,21.6
30009000005,30,009,000005,356.3,95,6.6,346.8,109.9,342.9,112.1,332.4,105,16.6,353.7,96.2,356.4,94.3,344.5,88.1,16.2,322.7,106.9,14.3
30009000006,30,009,000006,269,87,10,264,102,257,105,253,93,20,267,93,281,79,254,86,18,253,91,16
30009000007,30,009,000007,465.3,152.8,15,457.4,183.7,466.5,169.7,443.2,161.2,35.7,480.4,157.7,477.5,155.6,460.2,154.6,22.3,437.9,167.3,32.8
30009000008,30,009,000008,245.3,336.7,12.8,240.6,363.4,246.9,352.9,242.6,338.7,17.7,257.3,337.5,260.4,328.4,253.7,301.5,37.2,229.2,343.6,22.8
30009000009,30,009,000009,140.9,287.8,20,125.9,222.9,134.9,312.8,126.9,302.8,22,148.9,289.8,146.9,287.8,136.9,262.9,36,126.9,288.8,25
30009000010,30,009,000010,192.5,323.5,14.1,189.6,346.5,205.6,327.5,189.6,323.4,22.1,212.6,312.4,214.6,310.4,199.6,298.3,26.1,185.5,314.4,28.1
30009000011,30,009,000011,537.3,512.5,28.2,546,539.7,556.7,521.3,545.1,511.5,26.3,572.3,504.7,576.2,499.9,550.9,468.7,43.8,532.4,509.6,30.2
30009000015,30,009,000015,499.7,107.9,8.7,490.1,122.5,498.7,116.5,473.8,109,31.6,502.5,110.8,506.4,103.2,481.4,104,21.2,465.9,124.4,19.2
30009000016,30,009,000016,253.6,113.4,5,259.6,118.4,255.6,124.3,253.6,115.4,8.9,266.5,110.4,264.5,109.4,249.6,101.5,18.9,240.7,117.4,16.9
30011000001,30,011,000001,108.7,9.4,0,107.8,10.4,103.1,13.2,105.9,11.3,0.9,110.6,5.7,106.8,10.4,107.7,8.5,1.9,106.8,8.5,0.9
30011000003,30,011,000003,79.7,8.8,0,81.6,6.9,80.4,7.1,77.5,10.9,0.1,81.8,6.6,82.6,5.8,81.6,4.7,1.2,80.4,7.8,0.1
30011000013,30,011,000013,211.9,31.8,11.9,208.9,42.8,202,47.8,202,35.8,13.9,206.9,40.8,205.9,39.8,199,29.9,15.9,192,41.8,11.9
30011000014,30,011,000014,374.8,24.3,3.1,368.8,34.3,372.7,28.4,362.8,33.2,3.1,373.8,20.3,369.8,20.4,357.9,23.2,8.1,345.9,42.1,6.1
30013000023,30,013,000023,2143,1887,132,2012,2171,2098,2079,2024,1944,204,2109,2012,2225,1890,2022,1839,224,1781,2150,192
30013000024,30,013,000024,2364,1998,150,2249,2292,2278,2231,2207,2102,201,2327,2108,2442,1984,2231,1912,247,1926,2320,210
30013000025,30,013,000025,2328,1972,158,2194,2263,2258,2169,2194,2026,214,2286,2071,2379,1967,2228,1845,260,1971,2186,208
30013000027,30,013,000027,678.5,321.8,17.6,666.3,350.8,663.5,342.5,658.8,322.4,35.8,674.3,322.3,675.8,313.3,650,296.9,43.1,592.2,364.4,45.8
30013000030,30,013,000030,437.7,135.2,12.1,418.6,161.4,421.7,155.2,418.7,145.2,19.1,424.8,144.1,441.8,134.1,406.7,137,23.2,380.4,173.3,20.2
3001300019C,30,013,00019C,518.3,190.9,10.1,499.3,226,495.3,218,487.3,211.9,21.1,514.4,191.9,506.5,196.7,479.3,193.7,21.2,429.9,259.1,20.2
3001300019D,30,013,00019D,357,156,16,352,181,346,183,348,157,24,354,170,372,152,351,150,20,314,194,17
3001300019E,30,013,00019E,210.1,112,1,211.1,115,209.2,113,196.3,119.9,7.9,205.2,113,212.1,106.1,198.2,109,10.9,188.3,120.9,10.9
3001300020A,30,013,00020A,3136.7,1762.1,101.9,3125.7,1914,3139.7,1862,3093.7,1770.1,136.8,3161.7,1780.1,3269.5,1620.3,3080.7,1578.3,187.8,2745.1,2010.9,160.8
3001300020B,30,013,00020B,970,560,24,942,630,971,592,948,581,41,962,584,987,540,947,514,56,846,654,48
3001300021A,30,013,00021A,2719.6,2006.2,136.2,2600.4,2285.6,2638.5,2201.4,2625.4,2055.2,175.3,2612.5,2125.3,2825.6,1914.2,2640.4,1829.1,220.3,2251.5,2366.4,159.3
3001300021B,30,013,00021B,246.8,197.8,15,213.8,242.8,227.8,223.8,217.8,207.8,30,243.8,208.8,231.8,213.8,231.8,186.8,28,210.8,216.8,22
3001300022A,30,013,00022A,1747.5,1390.9,94.3,1581.8,1667.7,1659.2,1570.5,1594.7,1457.4,166.7,1696.9,1476.2,1743.5,1412.7,1654.2,1310.6,187.6,1422,1610.2,145.9
3001300022B,30,013,00022B,817.6,369.6,54.4,782.2,457.3,802.2,427.2,753.3,405.7,79.4,806.2,392,821.8,381.3,746.4,357.2,83.5,684.7,462,62.6
3001300022C,30,013,00022C,29,11,1,28,13,25,14,30,10,1,26,13,28,10,26,10,3,23,13,3
3001300026A,30,013,00026A,1469.7,1283.3,91.7,1366,1487.7,1426.9,1411.9,1368,1294.2,177.5,1433.8,1357,1488.7,1295.2,1391,1219.4,163.5,1421.9,1408.9,151.6
3001300026B,30,013,00026B,253.8,160.7,36,260.7,185.8,261.8,178.8,243.7,143.7,45.1,252.8,159.7,264.8,152.7,223.7,121.7,65.1,209.8,154.8,46.1
300130019A1,30,013,0019A1,375,106.8,6.9,368,128.6,369,121.7,369,107.8,18.8,374,111.8,375,109.8,373,95,13.8,331.4,128.6,22.8
300130019A2,30,013,0019A2,854,221,19,830,257,830,253,828,227,35,839,231,867,203,805,212,32,739,292,37
300130019A3,30,013,0019A3,351.7,90.3,4,334.7,110.3,341.7,104.3,331.7,100.3,11,344.7,94.3,340.7,95.2,329.6,92.3,16,296.6,137.3,7
300130019A4,30,013,0019A4,387.9,185.9,11.3,375,207.6,374.6,205.8,377.3,190.3,12.8,377,199.1,392.6,178.6,378.4,174.7,15.1,332.4,225.3,17.4
300130019B1,30,013,0019B1,68.8,15.1,0.9,65.9,19.8,65,18.8,70.6,15.1,0,67.8,17,67.8,17,66.9,14.1,3.8,63.1,20.7,0
300130019B2,30,013,0019B2,864.7,327.3,21.1,849.6,365.5,836.6,372.4,849.6,333.3,32.1,853.6,342.4,872.7,317.2,815.6,320.2,55.1,760.3,376.6,49.1
30015000001,30,015,000001,283.5,158.6,14.3,275,186.4,274.2,184.7,260.9,175.4,23.5,283.5,172.8,285.2,161.1,281.8,148.5,20.2,240.6,190.5,22.7
30015000002,30,015,000002,328.3,198,21.2,318.6,237.2,317.6,228.1,310.4,218.4,22.9,340.2,202.2,342.4,195.1,314.2,191,28.7,287.5,234.8,18.9
30015000003,30,015,000003,239.6,85.1,8.9,213,121.6,217,116.7,227.8,93,12.8,233.7,96.9,233.7,92,225.8,76.2,22.7,206.9,109.8,15.8
30015000004,30,015,000004,189.4,62.6,6.3,187.6,73.5,189.4,70.7,183.1,69.8,7.3,187.7,68,192.2,56.3,184.9,51.7,11.8,162.3,80.7,8.2
30015000005,30,015,000005,7,219,7,4,230,11,220,9,211,10,12,218,14,213,12,213,6,8,215,8
30015000006,30,015,000006,217.7,72.7,7.2,210.4,88.2,215.3,80.3,211.4,76,9.3,225.5,70.1,219.6,72.8,219.5,58.7,14.3,195.1,89.1,11.3
30015000007,30,015,000007,121.8,49.9,5.5,115.9,63.8,119.6,57.9,119.4,52.7,6.4,123.8,52.4,123.1,46.2,118.6,45,10.1,104.2,59.6,9.3
30015000008,30,015,000008,221.2,77.3,5.5,212.8,96.2,199.9,102.8,216.8,81.5,5.7,223.2,80.2,227.6,75.3,214.1,78.1,8.9,187.6,109.1,8.7
30015000009,30,015,000009,259.4,60.7,6.4,252.9,73.6,253,70.8,254.8,62.5,9.2,259.4,58.9,251.2,59.8,244.8,58.8,12,220,89.1,10.1
30017000001,30,017,000001,617.4,293.4,27.6,560.3,374.2,587.9,348.6,554.4,302.3,80.8,614.5,315.1,625.3,298.4,581,279.6,62,548.5,321,52.2
30017000002,30,017,000002,600.4,241.8,17.9,571.1,293.9,580.9,280.8,580,252.3,31.9,612.6,245.1,607.8,236.9,577.6,227.1,40.7,541.8,280,31.8
30017000003,30,017,000003,963,395,31,924,466,929,453,918,417,58,969,405,970,397,905,386,73,872,456,49
30017000004,30,017,000004,899.2,342.3,41.4,831.5,442.4,863.9,409.1,816.4,387.5,73.1,887.2,375.6,898.4,354.4,842.8,333.1,79.9,770.3,429.7,56.7
30017000005,30,017,000005,139.8,64.9,3.8,142.6,68.8,143.5,66,138.8,70.6,2.9,146.5,62.1,144.5,61.2,141.6,60.2,5.8,135.9,69.7,3.9
30017000006,30,017,000006,152.6,20.8,2,148.6,29.7,152.6,24.7,153.6,23.7,1,154.5,22.7,151.6,23.7,149.6,21.7,5,145.7,28.6,2
30017000007,30,017,000007,158.8,37,6,158.9,41.1,157.1,42.9,154.8,38.3,8.9,168.8,33.9,161,37.7,152.1,34.8,12,147.9,41.2,12.8
30017000008,30,017,000008,416.8,105.7,5.3,403.1,128.7,403.4,126.6,406.2,110.1,13.4,417.8,108.4,417.6,103.6,407.4,98.4,17.5,382.4,126.5,14.3
30017000009,30,017,000009,85.4,5.4,1.9,85.3,7.4,84.3,8.4,82.5,7.3,2.9,84.4,8.2,86.4,6.3,81.5,5.4,3.9,77.7,5.6,6.6
30017000010,30,017,000010,31.8,2.3,3,32.7,4.3,32.6,4.4,31.5,3.4,2.1,32.6,4.4,34.7,2.3,27.7,5.1,4.1,31.2,4.2,0.5
30017000011,30,017,000011,46,0,0,45.1,1,45.1,1,42.4,1,1.8,46,0.1,44.2,0,44.2,0,1,43.2,1.9,0
30017000012,30,017,000012,25.9,0.9,0,24.9,1.9,24.9,1.9,25.7,1,0.1,24.9,1.9,25.8,0.9,24.8,0.9,1,24.8,2,0
30017000013,30,017,000013,38.3,3,1,37.3,3.9,37.3,3.9,38.3,3,1,37.3,3,38.3,3,39.3,2,1,38.3,2,1
30017000014,30,017,000014,25.2,1,0,25.2,1,25.2,1,24.2,1,1,25.2,1,25.2,1,24.2,1,1,25.2,1,0
30019000002,30,019,000002,115,28,5,114,33,111,36,102,37,5,109,34,110,29,108,22,6,98,36,8
30019000003,30,019,000003,246.6,50.1,6.8,247.4,56.2,247.4,56.1,245.4,52.2,6.8,248.4,51.2,234.9,54,233.9,49.1,8.8,224,55.2,10.7
30019000005,30,019,000005,230.1,71.1,4,219.2,86.8,219.2,84.9,217.2,79,4,221.2,78,224.1,68.1,223.2,63.2,4,204.4,87.8,4
30019000006,30,019,000006,200.3,44.3,4,199.3,65.3,201.3,50.3,196.3,47.3,8,196.3,53.3,203.2,42.3,189.2,45.3,8.1,180.2,56.3,9.1
30021000001,30,021,000001,445.5,181.9,15.6,428.4,212.8,421,217.2,402.5,207.2,30.6,424.4,203.1,441.2,183.2,412.5,176.2,31.7,387.1,219.4,28.5
30021000002,30,021,000002,407.6,139.5,13.9,381.7,177.3,383.6,173.4,377.7,167.4,19.9,399.6,157.4,398.6,151.4,367.7,146.5,36.9,363.7,176.4,18.9
30021000003,30,021,000003,469.4,149.6,20.6,456.3,184.4,463.2,178.4,443.5,182.8,19.1,472.2,160.4,479.8,150.7,450.9,149.6,27,427.3,194,18
30021000004,30,021,000004,332.7,109.6,16.1,320.6,131.7,329.6,128.7,299.6,125.7,30.1,322.7,125.6,328.7,115.6,300.5,110.6,35.1,288.5,138.7,20.1
